observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-04-24T11:19:13.151Z,2024-04-24T11:19:13.161227Z,2024-04-24T11:19:13.204669Z,53.669000000000004 ms,43.44186 ms,43.44186 ms,43.44186 ms,43.44186 ms,1
2024-04-24T11:19:13.175Z,2024-04-24T11:19:13.208332Z,2024-04-24T11:19:13.227127Z,52.127 ms,18.793477 ms,31.1176685 ms,18.793477 ms,43.44186 ms,2
2024-04-24T11:19:18.151Z,2024-04-24T11:19:18.157896Z,2024-04-24T11:19:18.184358Z,33.358 ms,26.461064 ms,29.565467 ms,18.793477 ms,43.44186 ms,3
2024-04-24T11:19:18.175Z,2024-04-24T11:19:18.186286Z,2024-04-24T11:19:18.205083Z,30.083 ms,18.795818 ms,26.87305475 ms,18.793477 ms,43.44186 ms,4
2024-04-24T11:19:23.152Z,2024-04-24T11:19:23.162049Z,2024-04-24T11:19:23.182756Z,30.756 ms,20.706064 ms,25.639656600000002 ms,18.793477 ms,43.44186 ms,5
2024-04-24T11:19:23.176Z,2024-04-24T11:19:23.186130Z,2024-04-24T11:19:23.199861Z,23.861 ms,13.732059 ms,23.655057 ms,13.732059 ms,43.44186 ms,6
2024-04-24T11:19:28.151Z,2024-04-24T11:19:28.158104Z,2024-04-24T11:19:28.178614Z,27.614 ms,20.490583 ms,23.20298928571429 ms,13.732059 ms,43.44186 ms,7
2024-04-24T11:19:28.175Z,2024-04-24T11:19:28.183225Z,2024-04-24T11:19:28.198971Z,23.971 ms,15.745507 ms,22.270804 ms,13.732059 ms,43.44186 ms,8
2024-04-24T11:19:33.152Z,2024-04-24T11:19:33.162031Z,2024-04-24T11:19:33.185561Z,33.561 ms,23.528868 ms,22.41058888888889 ms,13.732059 ms,43.44186 ms,9
2024-04-24T11:19:33.175Z,2024-04-24T11:19:33.188151Z,2024-04-24T11:19:33.203238Z,28.238 ms,15.086016 ms,21.6781316 ms,13.732059 ms,43.44186 ms,10
2024-04-24T11:19:38.152Z,2024-04-24T11:19:38.160925Z,2024-04-24T11:19:38.181286Z,29.285999999999998 ms,20.360803 ms,21.558374454545454 ms,13.732059 ms,43.44186 ms,11
2024-04-24T11:19:38.176Z,2024-04-24T11:19:38.184847Z,2024-04-24T11:19:38.197554Z,21.554 ms,12.705952 ms,20.820672583333334 ms,12.705952 ms,43.44186 ms,12
2024-04-24T11:19:43.152Z,2024-04-24T11:19:43.161308Z,2024-04-24T11:19:43.181035Z,29.034999999999997 ms,19.725945 ms,20.73646276923077 ms,12.705952 ms,43.44186 ms,13
2024-04-24T11:19:43.175Z,2024-04-24T11:19:43.184549Z,2024-04-24T11:19:43.198041Z,23.041 ms,13.475996 ms,20.217858 ms,12.705952 ms,43.44186 ms,14
