observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-04-24T13:17:21.242Z,2024-04-24T13:17:21.441279Z,2024-04-24T13:17:22.073964Z,831.964 ms,632.686053 ms,632.686053 ms,632.686053 ms,632.686053 ms,1
2024-04-24T13:17:21.538Z,2024-04-24T13:17:22.078440Z,2024-04-24T13:17:22.671677Z,1133.6770000000001 ms,593.236775 ms,612.961414 ms,593.236775 ms,632.686053 ms,2
2024-04-24T13:47:21.893Z,2024-04-24T13:47:22.040954Z,2024-04-24T13:47:22.852502Z,959.502 ms,811.548464 ms,679.1570973333334 ms,593.236775 ms,811.548464 ms,3
2024-04-24T13:47:22.128Z,2024-04-24T13:47:22.855625Z,2024-04-24T13:47:23.391124Z,1263.124 ms,535.498348 ms,643.24241 ms,535.498348 ms,811.548464 ms,4
2024-04-24T14:17:22.460Z,2024-04-24T14:17:22.608442Z,2024-04-24T14:17:23.391882Z,931.882 ms,783.440591 ms,671.2820462000001 ms,535.498348 ms,811.548464 ms,5
2024-04-24T14:17:22.702Z,2024-04-24T14:17:23.393546Z,2024-04-24T14:17:23.872896Z,1170.896 ms,479.348952 ms,639.2931971666666 ms,479.348952 ms,811.548464 ms,6
2024-04-24T14:47:23.032Z,2024-04-24T14:47:23.176624Z,2024-04-24T14:47:24.058679Z,1026.6789999999999 ms,882.056085 ms,673.9736097142858 ms,479.348952 ms,882.056085 ms,7
2024-04-24T14:47:23.265Z,2024-04-24T14:47:24.060558Z,2024-04-24T14:47:24.520303Z,1255.303 ms,459.743978 ms,647.19490575 ms,459.743978 ms,882.056085 ms,8
2024-04-24T15:17:23.584Z,2024-04-24T15:17:23.728092Z,2024-04-24T15:17:24.534062Z,950.062 ms,805.97153 ms,664.8367528888888 ms,459.743978 ms,882.056085 ms,9
2024-04-24T15:17:23.818Z,2024-04-24T15:17:24.535919Z,2024-04-24T15:17:25.087922Z,1269.922 ms,552.003021 ms,653.5533797 ms,459.743978 ms,882.056085 ms,10
2024-04-24T15:47:24.164Z,2024-04-24T15:47:24.303774Z,2024-04-24T15:47:25.028100Z,864.1 ms,724.325951 ms,659.9872498181819 ms,459.743978 ms,882.056085 ms,11
2024-04-24T15:47:24.388Z,2024-04-24T15:47:25.030084Z,2024-04-24T15:47:25.499277Z,1111.277 ms,469.193214 ms,644.0877468333334 ms,459.743978 ms,882.056085 ms,12
2024-04-24T16:17:24.709Z,2024-04-24T16:17:24.851442Z,2024-04-24T16:17:25.712195Z,1003.195 ms,860.735042 ms,660.7529233846154 ms,459.743978 ms,882.056085 ms,13
2024-04-24T16:17:24.936Z,2024-04-24T16:17:25.714041Z,2024-04-24T16:17:26.185877Z,1249.877 ms,471.8359 ms,647.2588502857143 ms,459.743978 ms,882.056085 ms,14
2024-04-24T16:47:25.273Z,2024-04-24T16:47:25.416237Z,2024-04-24T16:47:26.415613Z,1142.613 ms,999.375334 ms,670.7332825333333 ms,459.743978 ms,999.375334 ms,15
2024-04-24T16:47:25.529Z,2024-04-24T16:47:26.417415Z,2024-04-24T16:47:26.852561Z,1323.561 ms,435.145208 ms,656.009027875 ms,435.145208 ms,999.375334 ms,16
2024-04-24T17:17:25.860Z,2024-04-24T17:17:26.004006Z,2024-04-24T17:17:26.804910Z,944.9100000000001 ms,800.904454 ms,664.5322882352941 ms,435.145208 ms,999.375334 ms,17
2024-04-24T17:17:26.088Z,2024-04-24T17:17:26.806814Z,2024-04-24T17:17:27.231600Z,1143.6 ms,424.785171 ms,651.2130039444444 ms,424.785171 ms,999.375334 ms,18
2024-04-24T17:47:26.425Z,2024-04-24T17:47:26.564206Z,2024-04-24T17:47:27.181728Z,756.728 ms,617.521952 ms,649.4397906842105 ms,424.785171 ms,999.375334 ms,19
2024-04-24T17:47:26.652Z,2024-04-24T17:47:27.183628Z,2024-04-24T17:47:27.636008Z,984.008 ms,452.38055 ms,639.58682865 ms,424.785171 ms,999.375334 ms,20
2024-04-24T18:17:26.984Z,2024-04-24T18:17:27.123709Z,2024-04-24T18:17:27.660635Z,676.635 ms,536.927454 ms,634.698287 ms,424.785171 ms,999.375334 ms,21
2024-04-24T18:17:27.219Z,2024-04-24T18:17:27.662501Z,2024-04-24T18:17:28.152992Z,933.9920000000001 ms,490.508843 ms,628.1442213636363 ms,424.785171 ms,999.375334 ms,22
2024-04-24T18:47:27.554Z,2024-04-24T18:47:27.699413Z,2024-04-24T18:47:28.529461Z,975.461 ms,830.048999 ms,636.9226899565217 ms,424.785171 ms,999.375334 ms,23
2024-04-24T18:47:27.791Z,2024-04-24T18:47:28.531282Z,2024-04-24T18:47:28.995330Z,1204.33 ms,464.048011 ms,629.7195783333334 ms,424.785171 ms,999.375334 ms,24
2024-04-24T19:17:28.114Z,2024-04-24T19:17:28.260384Z,2024-04-24T19:17:28.978881Z,864.881 ms,718.497842 ms,633.27070888 ms,424.785171 ms,999.375334 ms,25
2024-04-24T19:17:28.341Z,2024-04-24T19:17:28.980731Z,2024-04-24T19:17:29.466182Z,1125.182 ms,485.45101 ms,627.5853358461538 ms,424.785171 ms,999.375334 ms,26
