observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-11-22T19:20:31.122000Z,2025-11-22T19:20:31.141000Z,19.0 ms,19.0 ms,19.0 ms,19.0 ms,1
2025-11-22T19:20:31.133000Z,2025-11-22T19:20:31.183000Z,50.0 ms,34.5 ms,19.0 ms,50.0 ms,2
2025-11-22T19:20:36.124000Z,2025-11-22T19:20:36.140000Z,16.0 ms,28.333333333333336 ms,16.0 ms,50.0 ms,3
2025-11-22T19:20:36.136000Z,2025-11-22T19:20:36.163000Z,27.0 ms,28.0 ms,16.0 ms,50.0 ms,4
2025-11-22T19:20:41.123000Z,2025-11-22T19:20:41.147000Z,24.0 ms,27.200000000000003 ms,16.0 ms,50.0 ms,5
2025-11-22T19:20:41.135000Z,2025-11-22T19:20:41.178000Z,43.0 ms,29.833333333333332 ms,16.0 ms,50.0 ms,6
2025-11-22T19:20:46.122000Z,2025-11-22T19:20:46.148000Z,26.0 ms,29.285714285714285 ms,16.0 ms,50.0 ms,7
2025-11-22T19:20:46.134000Z,2025-11-22T19:20:46.173000Z,39.0 ms,30.5 ms,16.0 ms,50.0 ms,8
2025-11-22T19:20:51.125000Z,2025-11-22T19:20:51.145000Z,20.0 ms,29.333333333333336 ms,16.0 ms,50.0 ms,9
2025-11-22T19:20:51.137000Z,2025-11-22T19:20:51.163000Z,26.0 ms,29.000000000000004 ms,16.0 ms,50.0 ms,10
2025-11-22T19:20:56.128000Z,2025-11-22T19:20:56.149000Z,21.0 ms,28.27272727272728 ms,16.0 ms,50.0 ms,11
2025-11-22T19:20:56.140000Z,2025-11-22T19:20:56.173000Z,33.0 ms,28.666666666666675 ms,16.0 ms,50.0 ms,12
2025-11-22T19:21:01.126000Z,2025-11-22T19:21:01.145000Z,19.0 ms,27.923076923076934 ms,16.0 ms,50.0 ms,13
2025-11-22T19:21:01.139000Z,2025-11-22T19:21:01.161000Z,22.0 ms,27.500000000000007 ms,16.0 ms,50.0 ms,14
2025-11-22T19:21:06.125000Z,2025-11-22T19:21:06.146000Z,21.0 ms,27.066666666666677 ms,16.0 ms,50.0 ms,15
2025-11-22T19:21:06.138000Z,2025-11-22T19:21:06.161000Z,23.0 ms,26.81250000000001 ms,16.0 ms,50.0 ms,16
2025-11-22T19:21:11.128000Z,2025-11-22T19:21:11.149000Z,21.0 ms,26.470588235294127 ms,16.0 ms,50.0 ms,17
2025-11-22T19:21:11.137000Z,2025-11-22T19:21:11.163000Z,26.0 ms,26.444444444444454 ms,16.0 ms,50.0 ms,18
2025-11-22T19:21:16.127000Z,2025-11-22T19:21:16.149000Z,22.0 ms,26.210526315789487 ms,16.0 ms,50.0 ms,19
2025-11-22T19:21:16.140000Z,2025-11-22T19:21:16.177000Z,37.0 ms,26.750000000000014 ms,16.0 ms,50.0 ms,20
2025-11-22T19:21:21.125000Z,2025-11-22T19:21:21.145000Z,20.0 ms,26.42857142857144 ms,16.0 ms,50.0 ms,21
2025-11-22T19:21:21.140000Z,2025-11-22T19:21:21.167000Z,27.0 ms,26.454545454545467 ms,16.0 ms,50.0 ms,22
2025-11-22T19:21:21.351000Z,2025-11-22T19:21:21.579000Z,228.0 ms,35.21739130434784 ms,16.0 ms,228.0 ms,23
2025-11-22T19:21:21.351000Z,2025-11-22T19:21:22.352000Z,1000.9999999999999 ms,75.45833333333333 ms,16.0 ms,1000.9999999999999 ms,24
2025-11-22T19:21:21.351000Z,2025-11-22T19:21:22.386000Z,1035.0 ms,113.84 ms,16.0 ms,1035.0 ms,25
2025-11-22T19:21:21.588000Z,2025-11-22T19:21:22.459000Z,871.0 ms,142.96153846153848 ms,16.0 ms,1035.0 ms,26
2025-11-22T19:21:21.588000Z,2025-11-22T19:21:23.121000Z,1533.0 ms,194.44444444444446 ms,16.0 ms,1533.0 ms,27
2025-11-22T19:21:21.588000Z,2025-11-22T19:21:23.143000Z,1555.0 ms,243.03571428571428 ms,16.0 ms,1555.0 ms,28
2025-11-22T19:21:26.125000Z,2025-11-22T19:21:26.152000Z,27.0 ms,235.58620689655172 ms,16.0 ms,1555.0 ms,29
2025-11-22T19:21:26.139000Z,2025-11-22T19:21:26.168000Z,29.0 ms,228.7 ms,16.0 ms,1555.0 ms,30
2025-11-22T19:21:31.128000Z,2025-11-22T19:21:31.149000Z,21.0 ms,222.0 ms,16.0 ms,1555.0 ms,31
2025-11-22T19:21:31.138000Z,2025-11-22T19:21:31.164000Z,26.0 ms,215.87499999999997 ms,16.0 ms,1555.0 ms,32
2025-11-22T19:21:36.127000Z,2025-11-22T19:21:36.144000Z,17.0 ms,209.84848484848484 ms,16.0 ms,1555.0 ms,33
2025-11-22T19:21:36.138000Z,2025-11-22T19:21:36.157000Z,19.0 ms,204.23529411764707 ms,16.0 ms,1555.0 ms,34
2025-11-22T19:21:41.126000Z,2025-11-22T19:21:41.148000Z,22.0 ms,199.02857142857144 ms,16.0 ms,1555.0 ms,35
2025-11-22T19:21:41.137000Z,2025-11-22T19:21:41.168000Z,31.0 ms,194.3611111111111 ms,16.0 ms,1555.0 ms,36
2025-11-22T19:21:46.128000Z,2025-11-22T19:21:46.147000Z,19.0 ms,189.62162162162164 ms,16.0 ms,1555.0 ms,37
2025-11-22T19:21:46.140000Z,2025-11-22T19:21:46.160000Z,20.0 ms,185.1578947368421 ms,16.0 ms,1555.0 ms,38
2025-11-22T19:21:51.126000Z,2025-11-22T19:21:51.142000Z,16.0 ms,180.82051282051282 ms,16.0 ms,1555.0 ms,39
2025-11-22T19:21:51.140000Z,2025-11-22T19:21:51.154000Z,14.0 ms,176.65 ms,14.0 ms,1555.0 ms,40
2025-11-22T19:21:56.125000Z,2025-11-22T19:21:56.147000Z,22.0 ms,172.87804878048783 ms,14.0 ms,1555.0 ms,41
2025-11-22T19:21:56.139000Z,2025-11-22T19:21:56.159000Z,20.0 ms,169.23809523809524 ms,14.0 ms,1555.0 ms,42
2025-11-22T19:22:01.127000Z,2025-11-22T19:22:01.148000Z,21.0 ms,165.7906976744186 ms,14.0 ms,1555.0 ms,43
2025-11-22T19:22:01.137000Z,2025-11-22T19:22:01.161000Z,24.0 ms,162.5681818181818 ms,14.0 ms,1555.0 ms,44
2025-11-22T19:22:06.126000Z,2025-11-22T19:22:06.146000Z,20.0 ms,159.39999999999998 ms,14.0 ms,1555.0 ms,45
