observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-11-25T21:48:04.302Z,2025-11-25T21:48:04.409809Z,2025-11-25T21:48:04.428960Z,126.96 ms,19.151583 ms,19.151583 ms,19.151583 ms,19.151583 ms,1
2025-11-25T21:48:09.410Z,2025-11-25T21:48:09.414113Z,2025-11-25T21:48:09.449107Z,39.107 ms,34.994029 ms,27.072806 ms,19.151583 ms,34.994029 ms,2
2025-11-25T21:48:14.417Z,2025-11-25T21:48:14.420322Z,2025-11-25T21:48:14.442869Z,25.869 ms,22.546286 ms,25.563966 ms,19.151583 ms,34.994029 ms,3
2025-11-25T21:48:19.423Z,2025-11-25T21:48:19.426560Z,2025-11-25T21:48:19.449583Z,26.583 ms,23.022553 ms,24.92861275 ms,19.151583 ms,34.994029 ms,4
2025-11-25T21:48:24.429Z,2025-11-25T21:48:24.432525Z,2025-11-25T21:48:24.454124Z,25.124 ms,21.597931 ms,24.262476399999997 ms,19.151583 ms,34.994029 ms,5
2025-11-25T21:48:29.436Z,2025-11-25T21:48:29.439810Z,2025-11-25T21:48:29.461634Z,25.634 ms,21.822386 ms,23.855794666666668 ms,19.151583 ms,34.994029 ms,6
2025-11-25T21:48:34.442Z,2025-11-25T21:48:34.444971Z,2025-11-25T21:48:34.466132Z,24.132 ms,21.160454 ms,23.470746 ms,19.151583 ms,34.994029 ms,7
2025-11-25T21:48:39.449Z,2025-11-25T21:48:39.451943Z,2025-11-25T21:48:39.465659Z,16.659 ms,13.715368 ms,22.25132375 ms,13.715368 ms,34.994029 ms,8
2025-11-25T21:48:44.454Z,2025-11-25T21:48:44.456960Z,2025-11-25T21:48:44.478170Z,24.17 ms,21.2092 ms,22.135532222222224 ms,13.715368 ms,34.994029 ms,9
2025-11-25T21:48:49.457Z,2025-11-25T21:48:49.460208Z,2025-11-25T21:48:49.483054Z,26.054000000000002 ms,22.845781 ms,22.2065571 ms,13.715368 ms,34.994029 ms,10
2025-11-25T21:48:54.461Z,2025-11-25T21:48:54.463955Z,2025-11-25T21:48:54.482790Z,21.79 ms,18.83461 ms,21.900016454545455 ms,13.715368 ms,34.994029 ms,11
2025-11-25T21:48:59.465Z,2025-11-25T21:48:59.467977Z,2025-11-25T21:48:59.484336Z,19.336 ms,16.358075 ms,21.438188 ms,13.715368 ms,34.994029 ms,12
