observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-11-25T21:48:09.410000Z,2025-11-25T21:48:09.429000Z,19.0 ms,19.0 ms,19.0 ms,19.0 ms,1
2025-11-25T21:48:14.417000Z,2025-11-25T21:48:14.435000Z,18.0 ms,18.5 ms,18.0 ms,19.0 ms,2
2025-11-25T21:48:19.423000Z,2025-11-25T21:48:19.438000Z,15.0 ms,17.333333333333332 ms,15.0 ms,19.0 ms,3
2025-11-25T21:48:24.429000Z,2025-11-25T21:48:24.443000Z,14.0 ms,16.5 ms,14.0 ms,19.0 ms,4
2025-11-25T21:48:29.436000Z,2025-11-25T21:48:29.450000Z,14.0 ms,16.0 ms,14.0 ms,19.0 ms,5
2025-11-25T21:48:34.442000Z,2025-11-25T21:48:34.455000Z,13.0 ms,15.5 ms,13.0 ms,19.0 ms,6
2025-11-25T21:48:39.449000Z,2025-11-25T21:48:39.461000Z,12.0 ms,15.0 ms,12.0 ms,19.0 ms,7
2025-11-25T21:48:44.454000Z,2025-11-25T21:48:44.467000Z,13.0 ms,14.75 ms,12.0 ms,19.0 ms,8
2025-11-25T21:48:49.457000Z,2025-11-25T21:48:49.469000Z,12.0 ms,14.444444444444445 ms,12.0 ms,19.0 ms,9
2025-11-25T21:48:54.461000Z,2025-11-25T21:48:54.476000Z,15.0 ms,14.500000000000002 ms,12.0 ms,19.0 ms,10
2025-11-25T21:48:58.833000Z,2025-11-25T21:48:58.933000Z,100.0 ms,22.272727272727273 ms,12.0 ms,100.0 ms,11
2025-11-25T21:48:59.465000Z,2025-11-25T21:48:59.477000Z,12.0 ms,21.416666666666668 ms,12.0 ms,100.0 ms,12
2025-11-25T21:49:04.471000Z,2025-11-25T21:49:04.483000Z,12.0 ms,20.692307692307693 ms,12.0 ms,100.0 ms,13
2025-11-25T21:49:09.477000Z,2025-11-25T21:49:09.489000Z,12.0 ms,20.071428571428573 ms,12.0 ms,100.0 ms,14
2025-11-25T21:49:14.481000Z,2025-11-25T21:49:14.494000Z,13.0 ms,19.6 ms,12.0 ms,100.0 ms,15
2025-11-25T21:49:19.488000Z,2025-11-25T21:49:19.499000Z,11.0 ms,19.062500000000004 ms,11.0 ms,100.0 ms,16
2025-11-25T21:49:24.494000Z,2025-11-25T21:49:24.505000Z,11.0 ms,18.588235294117652 ms,11.0 ms,100.0 ms,17
2025-11-25T21:49:29.501000Z,2025-11-25T21:49:29.512000Z,11.0 ms,18.16666666666667 ms,11.0 ms,100.0 ms,18
2025-11-25T21:49:34.505000Z,2025-11-25T21:49:34.516000Z,11.0 ms,17.78947368421053 ms,11.0 ms,100.0 ms,19
2025-11-25T21:49:39.509000Z,2025-11-25T21:49:39.521000Z,12.0 ms,17.500000000000004 ms,11.0 ms,100.0 ms,20
2025-11-25T21:49:44.516000Z,2025-11-25T21:49:44.529000Z,13.0 ms,17.28571428571429 ms,11.0 ms,100.0 ms,21
2025-11-25T21:49:49.521000Z,2025-11-25T21:49:49.532000Z,11.0 ms,17.000000000000004 ms,11.0 ms,100.0 ms,22
2025-11-25T21:49:54.525000Z,2025-11-25T21:49:54.535000Z,10.0 ms,16.69565217391305 ms,10.0 ms,100.0 ms,23
2025-11-25T21:49:58.897000Z,2025-11-25T21:49:58.997000Z,100.0 ms,20.166666666666668 ms,10.0 ms,100.0 ms,24
2025-11-25T21:49:59.532000Z,2025-11-25T21:49:59.542000Z,10.0 ms,19.76 ms,10.0 ms,100.0 ms,25
2025-11-25T21:50:04.538000Z,2025-11-25T21:50:04.549000Z,11.0 ms,19.423076923076927 ms,10.0 ms,100.0 ms,26
2025-11-25T21:50:09.545000Z,2025-11-25T21:50:09.557000Z,12.0 ms,19.148148148148152 ms,10.0 ms,100.0 ms,27
2025-11-25T21:50:14.552000Z,2025-11-25T21:50:14.564000Z,12.0 ms,18.89285714285715 ms,10.0 ms,100.0 ms,28
2025-11-25T21:50:19.555000Z,2025-11-25T21:50:19.566000Z,11.0 ms,18.62068965517242 ms,10.0 ms,100.0 ms,29
2025-11-25T21:50:24.561000Z,2025-11-25T21:50:24.572000Z,11.0 ms,18.366666666666674 ms,10.0 ms,100.0 ms,30
2025-11-25T21:50:29.568000Z,2025-11-25T21:50:29.579000Z,11.0 ms,18.12903225806452 ms,10.0 ms,100.0 ms,31
2025-11-25T21:50:34.575000Z,2025-11-25T21:50:34.586000Z,11.0 ms,17.906250000000007 ms,10.0 ms,100.0 ms,32
2025-11-25T21:50:39.581000Z,2025-11-25T21:50:39.592000Z,11.0 ms,17.696969696969703 ms,10.0 ms,100.0 ms,33
2025-11-25T21:50:44.585000Z,2025-11-25T21:50:44.596000Z,11.0 ms,17.500000000000004 ms,10.0 ms,100.0 ms,34
2025-11-25T21:50:49.589000Z,2025-11-25T21:50:49.614000Z,25.0 ms,17.71428571428572 ms,10.0 ms,100.0 ms,35
2025-11-25T21:50:54.596000Z,2025-11-25T21:50:54.606000Z,10.0 ms,17.500000000000004 ms,10.0 ms,100.0 ms,36
2025-11-25T21:50:58.964000Z,2025-11-25T21:50:59.011000Z,47.0 ms,18.297297297297305 ms,10.0 ms,100.0 ms,37
2025-11-25T21:50:59.601000Z,2025-11-25T21:50:59.610000Z,9.0 ms,18.052631578947377 ms,9.0 ms,100.0 ms,38
2025-11-25T21:51:04.605000Z,2025-11-25T21:51:04.615000Z,10.0 ms,17.84615384615385 ms,9.0 ms,100.0 ms,39
2025-11-25T21:51:09.611000Z,2025-11-25T21:51:09.621000Z,10.0 ms,17.650000000000006 ms,9.0 ms,100.0 ms,40
2025-11-25T21:51:14.617000Z,2025-11-25T21:51:14.628000Z,11.0 ms,17.487804878048788 ms,9.0 ms,100.0 ms,41
