observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T20:06:12.608547Z,2025-05-21T20:06:12.652285Z,2025-05-21T20:06:12.713215Z,104.66799999999999 ms,60.930994 ms,60.930994 ms,60.930994 ms,60.930994 ms,1
2025-05-21T20:06:17.603064Z,2025-05-21T20:06:17.606344Z,2025-05-21T20:06:17.641456Z,38.392 ms,35.110743 ms,48.0208685 ms,35.110743 ms,60.930994 ms,2
2025-05-21T20:06:22.603025Z,2025-05-21T20:06:22.607817Z,2025-05-21T20:06:22.639971Z,36.946 ms,32.153568 ms,42.731768333333335 ms,32.153568 ms,60.930994 ms,3
2025-05-21T20:06:27.603292Z,2025-05-21T20:06:27.609856Z,2025-05-21T20:06:27.639988Z,36.696 ms,30.131247 ms,39.581638 ms,30.131247 ms,60.930994 ms,4
2025-05-21T20:06:32.604135Z,2025-05-21T20:06:32.607285Z,2025-05-21T20:06:32.637736Z,33.601 ms,30.450229 ms,37.7553562 ms,30.131247 ms,60.930994 ms,5
2025-05-21T20:06:37.604400Z,2025-05-21T20:06:37.607534Z,2025-05-21T20:06:37.630883Z,26.483 ms,23.349071 ms,35.35430866666666 ms,23.349071 ms,60.930994 ms,6
2025-05-21T20:06:42.603822Z,2025-05-21T20:06:42.606916Z,2025-05-21T20:06:42.626476Z,22.654 ms,19.559377 ms,33.09788985714286 ms,19.559377 ms,60.930994 ms,7
2025-05-21T20:06:47.604043Z,2025-05-21T20:06:47.607525Z,2025-05-21T20:06:47.622239Z,18.196 ms,14.713004 ms,30.799779125 ms,14.713004 ms,60.930994 ms,8
2025-05-21T20:06:52.604820Z,2025-05-21T20:06:52.608231Z,2025-05-21T20:06:52.623125Z,18.305 ms,14.893252 ms,29.032387222222223 ms,14.713004 ms,60.930994 ms,9
2025-05-21T20:06:57.604412Z,2025-05-21T20:06:57.611991Z,2025-05-21T20:06:57.631365Z,26.953000000000003 ms,19.373812 ms,28.0665297 ms,14.713004 ms,60.930994 ms,10
2025-05-21T20:07:02.604084Z,2025-05-21T20:07:02.607145Z,2025-05-21T20:07:02.620189Z,16.105 ms,13.042868 ms,26.700742272727272 ms,13.042868 ms,60.930994 ms,11
2025-05-21T20:07:07.604186Z,2025-05-21T20:07:07.607184Z,2025-05-21T20:07:07.621344Z,17.158 ms,14.160158 ms,25.65569358333333 ms,13.042868 ms,60.930994 ms,12
2025-05-21T20:07:12.604316Z,2025-05-21T20:07:12.607437Z,2025-05-21T20:07:12.623414Z,19.098 ms,15.976118 ms,24.911110846153846 ms,13.042868 ms,60.930994 ms,13
2025-05-21T20:07:17.604172Z,2025-05-21T20:07:17.607122Z,2025-05-21T20:07:17.621151Z,16.979000000000003 ms,14.029378 ms,24.133844214285713 ms,13.042868 ms,60.930994 ms,14
2025-05-21T20:07:22.605103Z,2025-05-21T20:07:22.608375Z,2025-05-21T20:07:22.622170Z,17.067 ms,13.794622 ms,23.444562733333335 ms,13.042868 ms,60.930994 ms,15
2025-05-21T20:07:27.604579Z,2025-05-21T20:07:27.607628Z,2025-05-21T20:07:27.626685Z,22.106 ms,19.05677 ms,23.1703256875 ms,13.042868 ms,60.930994 ms,16
2025-05-21T20:07:32.604491Z,2025-05-21T20:07:32.607567Z,2025-05-21T20:07:32.626191Z,21.7 ms,18.623707 ms,22.902877529411764 ms,13.042868 ms,60.930994 ms,17
2025-05-21T20:07:37.604736Z,2025-05-21T20:07:37.607590Z,2025-05-21T20:07:37.626630Z,21.894000000000002 ms,19.039955 ms,22.688270722222224 ms,13.042868 ms,60.930994 ms,18
2025-05-21T20:07:42.607851Z,2025-05-21T20:07:42.611223Z,2025-05-21T20:07:42.630735Z,22.884 ms,19.511772 ms,22.52108657894737 ms,13.042868 ms,60.930994 ms,19
2025-05-21T20:07:47.604846Z,2025-05-21T20:07:47.608158Z,2025-05-21T20:07:47.627290Z,22.444 ms,19.1311 ms,22.35158725 ms,13.042868 ms,60.930994 ms,20
2025-05-21T20:07:52.604663Z,2025-05-21T20:07:52.607591Z,2025-05-21T20:07:52.625798Z,21.135 ms,18.207165 ms,22.15423380952381 ms,13.042868 ms,60.930994 ms,21
