observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-22T07:53:10.042939Z,2025-04-22T07:53:10.075022Z,2025-04-22T07:53:10.121324Z,78.38499999999999 ms,46.303394 ms,46.303394 ms,46.303394 ms,46.303394 ms,1
2025-04-22T07:53:15.028511Z,2025-04-22T07:53:15.032282Z,2025-04-22T07:53:15.064260Z,35.749 ms,31.976346 ms,39.13987 ms,31.976346 ms,46.303394 ms,2
2025-04-22T07:53:20.041422Z,2025-04-22T07:53:20.045205Z,2025-04-22T07:53:20.073047Z,31.625 ms,27.839955 ms,35.37323166666666 ms,27.839955 ms,46.303394 ms,3
2025-04-22T07:53:25.031501Z,2025-04-22T07:53:25.035880Z,2025-04-22T07:53:25.065260Z,33.759 ms,29.378912 ms,33.87465175 ms,27.839955 ms,46.303394 ms,4
2025-04-22T07:53:30.030754Z,2025-04-22T07:53:30.034223Z,2025-04-22T07:53:30.061756Z,31.002 ms,27.531682 ms,32.6060578 ms,27.531682 ms,46.303394 ms,5
2025-04-22T07:53:35.039464Z,2025-04-22T07:53:35.042669Z,2025-04-22T07:53:35.063039Z,23.575 ms,20.368703 ms,30.566498666666668 ms,20.368703 ms,46.303394 ms,6
2025-04-22T07:53:40.044360Z,2025-04-22T07:53:40.047595Z,2025-04-22T07:53:40.072268Z,27.907999999999998 ms,24.67158 ms,29.72436742857143 ms,20.368703 ms,46.303394 ms,7
2025-04-22T07:53:45.044421Z,2025-04-22T07:53:45.047915Z,2025-04-22T07:53:45.089289Z,44.867999999999995 ms,41.373231 ms,31.180475375 ms,20.368703 ms,46.303394 ms,8
2025-04-22T07:53:50.045272Z,2025-04-22T07:53:50.048916Z,2025-04-22T07:53:50.071827Z,26.555 ms,22.910759 ms,30.261618 ms,20.368703 ms,46.303394 ms,9
2025-04-22T07:53:55.049424Z,2025-04-22T07:53:55.052622Z,2025-04-22T07:53:55.071608Z,22.183999999999997 ms,18.984532 ms,29.133909399999997 ms,18.984532 ms,46.303394 ms,10
2025-04-22T07:54:00.050359Z,2025-04-22T07:54:00.053434Z,2025-04-22T07:54:00.070685Z,20.326 ms,17.249125 ms,28.05347445454545 ms,17.249125 ms,46.303394 ms,11
2025-04-22T07:54:05.052220Z,2025-04-22T07:54:05.055081Z,2025-04-22T07:54:05.077485Z,25.265 ms,22.403208 ms,27.582618916666668 ms,17.249125 ms,46.303394 ms,12
2025-04-22T07:54:10.054274Z,2025-04-22T07:54:10.057173Z,2025-04-22T07:54:10.078432Z,24.157999999999998 ms,21.257319 ms,27.096057384615385 ms,17.249125 ms,46.303394 ms,13
2025-04-22T07:54:15.050185Z,2025-04-22T07:54:15.053526Z,2025-04-22T07:54:15.075938Z,25.753 ms,22.410907 ms,26.761403785714286 ms,17.249125 ms,46.303394 ms,14
2025-04-22T07:54:20.058193Z,2025-04-22T07:54:20.061154Z,2025-04-22T07:54:20.075486Z,17.293 ms,14.33134 ms,25.93273286666667 ms,14.33134 ms,46.303394 ms,15
2025-04-22T07:54:25.060805Z,2025-04-22T07:54:25.064068Z,2025-04-22T07:54:25.082653Z,21.848 ms,18.58461 ms,25.4734751875 ms,14.33134 ms,46.303394 ms,16
2025-04-22T07:54:30.060110Z,2025-04-22T07:54:30.062973Z,2025-04-22T07:54:30.077273Z,17.163 ms,14.299456 ms,24.816179941176472 ms,14.299456 ms,46.303394 ms,17
2025-04-22T07:54:35.057683Z,2025-04-22T07:54:35.060632Z,2025-04-22T07:54:35.088127Z,30.444 ms,27.493736 ms,24.964933055555555 ms,14.299456 ms,46.303394 ms,18
2025-04-22T07:54:40.063410Z,2025-04-22T07:54:40.066733Z,2025-04-22T07:54:40.087704Z,24.294 ms,20.969834 ms,24.75466468421053 ms,14.299456 ms,46.303394 ms,19
2025-04-22T07:54:45.064284Z,2025-04-22T07:54:45.067411Z,2025-04-22T07:54:45.089455Z,25.171 ms,22.043973 ms,24.619130100000003 ms,14.299456 ms,46.303394 ms,20
2025-04-22T07:54:50.067148Z,2025-04-22T07:54:50.070279Z,2025-04-22T07:54:50.091575Z,24.427 ms,21.294715 ms,24.46082461904762 ms,14.299456 ms,46.303394 ms,21
2025-04-22T07:54:55.072214Z,2025-04-22T07:54:55.075237Z,2025-04-22T07:54:55.095974Z,23.76 ms,20.735548 ms,24.29149386363636 ms,14.299456 ms,46.303394 ms,22
2025-04-22T07:55:00.075159Z,2025-04-22T07:55:00.078229Z,2025-04-22T07:55:00.097934Z,22.775 ms,19.703897 ms,24.092033130434782 ms,14.299456 ms,46.303394 ms,23
2025-04-22T07:55:05.076206Z,2025-04-22T07:55:05.079552Z,2025-04-22T07:55:05.100478Z,24.272 ms,20.925138 ms,23.960079166666667 ms,14.299456 ms,46.303394 ms,24
2025-04-22T07:55:10.078553Z,2025-04-22T07:55:10.081751Z,2025-04-22T07:55:10.102436Z,23.883000000000003 ms,20.683605 ms,23.8290202 ms,14.299456 ms,46.303394 ms,25
2025-04-22T07:55:15.078177Z,2025-04-22T07:55:15.081098Z,2025-04-22T07:55:15.097561Z,19.383999999999997 ms,16.461835 ms,23.545666923076922 ms,14.299456 ms,46.303394 ms,26
2025-04-22T07:55:20.082164Z,2025-04-22T07:55:20.085080Z,2025-04-22T07:55:20.105324Z,23.16 ms,20.24297 ms,23.423344814814815 ms,14.299456 ms,46.303394 ms,27
2025-04-22T07:55:25.082250Z,2025-04-22T07:55:25.085304Z,2025-04-22T07:55:25.101899Z,19.649 ms,16.594286 ms,23.17944985714286 ms,14.299456 ms,46.303394 ms,28
2025-04-22T07:55:30.083106Z,2025-04-22T07:55:30.086109Z,2025-04-22T07:55:30.110134Z,27.028 ms,24.024557 ms,23.208591482758617 ms,14.299456 ms,46.303394 ms,29
2025-04-22T07:55:35.084998Z,2025-04-22T07:55:35.087984Z,2025-04-22T07:55:35.104688Z,19.689999999999998 ms,16.703301 ms,22.991748466666664 ms,14.299456 ms,46.303394 ms,30
2025-04-22T07:55:40.082116Z,2025-04-22T07:55:40.085034Z,2025-04-22T07:55:40.097649Z,15.533 ms,12.613175 ms,22.65695577419355 ms,12.613175 ms,46.303394 ms,31
2025-04-22T07:55:45.087165Z,2025-04-22T07:55:45.090542Z,2025-04-22T07:55:45.110468Z,23.303 ms,19.924615 ms,22.571570125 ms,12.613175 ms,46.303394 ms,32
2025-04-22T07:55:50.087033Z,2025-04-22T07:55:50.089887Z,2025-04-22T07:55:50.110148Z,23.115 ms,20.259943 ms,22.501520818181817 ms,12.613175 ms,46.303394 ms,33
2025-04-22T07:55:55.086760Z,2025-04-22T07:55:55.089762Z,2025-04-22T07:55:55.109507Z,22.747 ms,19.744046 ms,22.42041861764706 ms,12.613175 ms,46.303394 ms,34
2025-04-22T07:56:00.091169Z,2025-04-22T07:56:00.093981Z,2025-04-22T07:56:00.113377Z,22.208 ms,19.393897 ms,22.33394657142857 ms,12.613175 ms,46.303394 ms,35
2025-04-22T07:56:05.093128Z,2025-04-22T07:56:05.095921Z,2025-04-22T07:56:05.115428Z,22.3 ms,19.506451 ms,22.255405027777776 ms,12.613175 ms,46.303394 ms,36
2025-04-22T07:56:10.094182Z,2025-04-22T07:56:10.097785Z,2025-04-22T07:56:10.117933Z,23.751 ms,20.146657 ms,22.19841183783784 ms,12.613175 ms,46.303394 ms,37
2025-04-22T07:56:15.096897Z,2025-04-22T07:56:15.099808Z,2025-04-22T07:56:15.114873Z,17.976 ms,15.064072 ms,22.010666052631578 ms,12.613175 ms,46.303394 ms,38
2025-04-22T07:56:20.096976Z,2025-04-22T07:56:20.099783Z,2025-04-22T07:56:20.111548Z,14.572 ms,11.763274 ms,21.74791241025641 ms,11.763274 ms,46.303394 ms,39
2025-04-22T07:56:25.097998Z,2025-04-22T07:56:25.101190Z,2025-04-22T07:56:25.119723Z,21.725 ms,18.531737 ms,21.667508025 ms,11.763274 ms,46.303394 ms,40
2025-04-22T07:56:30.099117Z,2025-04-22T07:56:30.102197Z,2025-04-22T07:56:30.115963Z,16.846 ms,13.7648 ms,21.474759048780484 ms,11.763274 ms,46.303394 ms,41
2025-04-22T07:56:35.100890Z,2025-04-22T07:56:35.103773Z,2025-04-22T07:56:35.117689Z,16.799000000000003 ms,13.915033 ms,21.29476557142857 ms,11.763274 ms,46.303394 ms,42
2025-04-22T07:56:40.105802Z,2025-04-22T07:56:40.108683Z,2025-04-22T07:56:40.130349Z,24.547 ms,21.664612 ms,21.303366651162793 ms,11.763274 ms,46.303394 ms,43
2025-04-22T07:56:45.104390Z,2025-04-22T07:56:45.107275Z,2025-04-22T07:56:45.121434Z,17.044 ms,14.157489 ms,21.14096034090909 ms,11.763274 ms,46.303394 ms,44
2025-04-22T07:56:50.115472Z,2025-04-22T07:56:50.118647Z,2025-04-22T07:56:50.129824Z,14.352 ms,11.17626 ms,20.919522555555556 ms,11.17626 ms,46.303394 ms,45
2025-04-22T07:56:55.112862Z,2025-04-22T07:56:55.115780Z,2025-04-22T07:56:55.130773Z,17.911 ms,14.991135 ms,20.79064456521739 ms,11.17626 ms,46.303394 ms,46
2025-04-22T07:57:00.117836Z,2025-04-22T07:57:00.120683Z,2025-04-22T07:57:00.142405Z,24.569 ms,21.720937 ms,20.810438021276596 ms,11.17626 ms,46.303394 ms,47
2025-04-22T07:57:05.126084Z,2025-04-22T07:57:05.129080Z,2025-04-22T07:57:05.148222Z,22.138 ms,19.140271 ms,20.775642875 ms,11.17626 ms,46.303394 ms,48
2025-04-22T07:57:10.121264Z,2025-04-22T07:57:10.124315Z,2025-04-22T07:57:10.143267Z,22.003 ms,18.950293 ms,20.738390836734695 ms,11.17626 ms,46.303394 ms,49
2025-04-22T07:57:15.123922Z,2025-04-22T07:57:15.127130Z,2025-04-22T07:57:15.147139Z,23.217000000000002 ms,20.008075 ms,20.72378452 ms,11.17626 ms,46.303394 ms,50
2025-04-22T07:57:20.125804Z,2025-04-22T07:57:20.128453Z,2025-04-22T07:57:20.141662Z,15.858 ms,13.207652 ms,20.57640937254902 ms,11.17626 ms,46.303394 ms,51
2025-04-22T07:57:25.129852Z,2025-04-22T07:57:25.132589Z,2025-04-22T07:57:25.151843Z,21.991 ms,19.236336 ms,20.550638730769233 ms,11.17626 ms,46.303394 ms,52
2025-04-22T07:57:30.125950Z,2025-04-22T07:57:30.129439Z,2025-04-22T07:57:30.144127Z,18.177 ms,14.687108 ms,20.4400060754717 ms,11.17626 ms,46.303394 ms,53
2025-04-22T07:57:35.129766Z,2025-04-22T07:57:35.132542Z,2025-04-22T07:57:35.147829Z,18.063 ms,15.28596 ms,20.344560777777776 ms,11.17626 ms,46.303394 ms,54
2025-04-22T07:57:40.133725Z,2025-04-22T07:57:40.136529Z,2025-04-22T07:57:40.149404Z,15.678999999999998 ms,12.873277 ms,20.208719254545453 ms,11.17626 ms,46.303394 ms,55
2025-04-22T07:57:45.132733Z,2025-04-22T07:57:45.135438Z,2025-04-22T07:57:45.151446Z,18.713 ms,16.00702 ms,20.133688910714287 ms,11.17626 ms,46.303394 ms,56
2025-04-22T07:57:50.137631Z,2025-04-22T07:57:50.140467Z,2025-04-22T07:57:50.152502Z,14.871 ms,12.034219 ms,19.99159294736842 ms,11.17626 ms,46.303394 ms,57
2025-04-22T07:57:55.138710Z,2025-04-22T07:57:55.141594Z,2025-04-22T07:57:55.156023Z,17.313 ms,14.427355 ms,19.895657810344826 ms,11.17626 ms,46.303394 ms,58
2025-04-22T07:58:00.139799Z,2025-04-22T07:58:00.142536Z,2025-04-22T07:58:00.157381Z,17.582 ms,14.844445 ms,19.810044033898304 ms,11.17626 ms,46.303394 ms,59
2025-04-22T07:58:05.138992Z,2025-04-22T07:58:05.141719Z,2025-04-22T07:58:05.160310Z,21.318 ms,18.590197 ms,19.78971325 ms,11.17626 ms,46.303394 ms,60
2025-04-22T07:58:10.145682Z,2025-04-22T07:58:10.148506Z,2025-04-22T07:58:10.161854Z,16.172 ms,13.347618 ms,19.68410513114754 ms,11.17626 ms,46.303394 ms,61
2025-04-22T07:58:15.145639Z,2025-04-22T07:58:15.148796Z,2025-04-22T07:58:15.164930Z,19.291 ms,16.132437 ms,19.626820161290322 ms,11.17626 ms,46.303394 ms,62
2025-04-22T07:58:20.145578Z,2025-04-22T07:58:20.148547Z,2025-04-22T07:58:20.161455Z,15.876999999999999 ms,12.90698 ms,19.520156031746033 ms,11.17626 ms,46.303394 ms,63
2025-04-22T07:58:25.149672Z,2025-04-22T07:58:25.152676Z,2025-04-22T07:58:25.166960Z,17.288 ms,14.283219 ms,19.438328890625 ms,11.17626 ms,46.303394 ms,64
2025-04-22T07:58:30.150820Z,2025-04-22T07:58:30.153488Z,2025-04-22T07:58:30.168344Z,17.524 ms,14.855609 ms,19.367825507692306 ms,11.17626 ms,46.303394 ms,65
2025-04-22T07:58:35.150564Z,2025-04-22T07:58:35.153512Z,2025-04-22T07:58:35.169188Z,18.624000000000002 ms,15.675168 ms,19.311876151515154 ms,11.17626 ms,46.303394 ms,66
2025-04-22T07:58:40.152764Z,2025-04-22T07:58:40.155586Z,2025-04-22T07:58:40.168468Z,15.703999999999999 ms,12.865412 ms,19.215660268656716 ms,11.17626 ms,46.303394 ms,67
2025-04-22T07:58:45.153726Z,2025-04-22T07:58:45.156345Z,2025-04-22T07:58:45.169804Z,16.078 ms,13.45744 ms,19.13098055882353 ms,11.17626 ms,46.303394 ms,68
2025-04-22T07:58:50.155600Z,2025-04-22T07:58:50.158199Z,2025-04-22T07:58:50.171395Z,15.795 ms,13.181228 ms,19.044752260869565 ms,11.17626 ms,46.303394 ms,69
2025-04-22T07:58:55.156512Z,2025-04-22T07:58:55.159022Z,2025-04-22T07:58:55.171116Z,14.604000000000001 ms,12.093551 ms,18.945449385714284 ms,11.17626 ms,46.303394 ms,70
2025-04-22T07:59:00.159418Z,2025-04-22T07:59:00.162016Z,2025-04-22T07:59:00.173399Z,13.981 ms,11.3818 ms,18.83891911267606 ms,11.17626 ms,46.303394 ms,71
2025-04-22T07:59:05.157451Z,2025-04-22T07:59:05.159993Z,2025-04-22T07:59:05.171928Z,14.477 ms,11.933647 ms,18.743012555555556 ms,11.17626 ms,46.303394 ms,72
2025-04-22T07:59:10.162998Z,2025-04-22T07:59:10.165612Z,2025-04-22T07:59:10.178382Z,15.384 ms,12.768767 ms,18.661173575342467 ms,11.17626 ms,46.303394 ms,73
2025-04-22T07:59:15.162590Z,2025-04-22T07:59:15.165208Z,2025-04-22T07:59:15.184208Z,21.618 ms,18.998411 ms,18.665730837837838 ms,11.17626 ms,46.303394 ms,74
2025-04-22T07:59:20.163583Z,2025-04-22T07:59:20.166383Z,2025-04-22T07:59:20.179173Z,15.59 ms,12.788544 ms,18.58736834666667 ms,11.17626 ms,46.303394 ms,75
2025-04-22T07:59:25.164581Z,2025-04-22T07:59:25.167445Z,2025-04-22T07:59:25.177349Z,12.768 ms,9.903111 ms,18.47310180263158 ms,9.903111 ms,46.303394 ms,76
2025-04-22T07:59:30.165559Z,2025-04-22T07:59:30.168355Z,2025-04-22T07:59:30.181305Z,15.746 ms,12.949255 ms,18.40136353246753 ms,9.903111 ms,46.303394 ms,77
2025-04-22T07:59:35.167722Z,2025-04-22T07:59:35.170434Z,2025-04-22T07:59:35.183167Z,15.445 ms,12.715986 ms,18.328474076923076 ms,9.903111 ms,46.303394 ms,78
2025-04-22T07:59:40.170508Z,2025-04-22T07:59:40.173239Z,2025-04-22T07:59:40.186100Z,15.592 ms,12.859698 ms,18.25924906329114 ms,9.903111 ms,46.303394 ms,79
2025-04-22T07:59:45.172394Z,2025-04-22T07:59:45.175375Z,2025-04-22T07:59:45.189062Z,16.668 ms,13.685668 ms,18.2020793 ms,9.903111 ms,46.303394 ms,80
2025-04-22T07:59:50.174605Z,2025-04-22T07:59:50.177393Z,2025-04-22T07:59:50.191398Z,16.793 ms,14.003385 ms,18.150243567901235 ms,9.903111 ms,46.303394 ms,81
2025-04-22T07:59:55.174576Z,2025-04-22T07:59:55.177360Z,2025-04-22T07:59:55.190153Z,15.577 ms,12.792069 ms,18.08489997560976 ms,9.903111 ms,46.303394 ms,82
2025-04-22T08:00:00.178500Z,2025-04-22T08:00:00.181291Z,2025-04-22T08:00:00.194559Z,16.059 ms,13.267337 ms,18.02685704819277 ms,9.903111 ms,46.303394 ms,83
2025-04-22T08:00:05.181374Z,2025-04-22T08:00:05.184052Z,2025-04-22T08:00:05.196392Z,15.018 ms,12.338963 ms,17.95914402380952 ms,9.903111 ms,46.303394 ms,84
2025-04-22T08:00:10.180125Z,2025-04-22T08:00:10.183141Z,2025-04-22T08:00:10.196075Z,15.95 ms,12.933204 ms,17.900015317647057 ms,9.903111 ms,46.303394 ms,85
2025-04-22T08:00:15.182334Z,2025-04-22T08:00:15.185475Z,2025-04-22T08:00:15.199246Z,16.912 ms,13.770167 ms,17.851993825581395 ms,9.903111 ms,46.303394 ms,86
2025-04-22T08:00:20.188269Z,2025-04-22T08:00:20.191104Z,2025-04-22T08:00:20.199933Z,11.664000000000001 ms,8.827412 ms,17.748263 ms,8.827412 ms,46.303394 ms,87
2025-04-22T08:00:25.190450Z,2025-04-22T08:00:25.193620Z,2025-04-22T08:00:25.202906Z,12.456 ms,9.285958 ms,17.652100443181816 ms,8.827412 ms,46.303394 ms,88
2025-04-22T08:00:30.189329Z,2025-04-22T08:00:30.192359Z,2025-04-22T08:00:30.205509Z,16.18 ms,13.148511 ms,17.60149831460674 ms,8.827412 ms,46.303394 ms,89
2025-04-22T08:00:35.197284Z,2025-04-22T08:00:35.200259Z,2025-04-22T08:00:35.212927Z,15.643 ms,12.666787 ms,17.546668188888887 ms,8.827412 ms,46.303394 ms,90
2025-04-22T08:00:40.193394Z,2025-04-22T08:00:40.196194Z,2025-04-22T08:00:40.206412Z,13.018 ms,10.217176 ms,17.466124318681317 ms,8.827412 ms,46.303394 ms,91
2025-04-22T08:00:45.190718Z,2025-04-22T08:00:45.193321Z,2025-04-22T08:00:45.206699Z,15.980999999999998 ms,13.361901 ms,17.421513195652174 ms,8.827412 ms,46.303394 ms,92
2025-04-22T08:00:50.198177Z,2025-04-22T08:00:50.200689Z,2025-04-22T08:00:50.209809Z,11.632 ms,9.11851 ms,17.33223359139785 ms,8.827412 ms,46.303394 ms,93
2025-04-22T08:00:55.199326Z,2025-04-22T08:00:55.202037Z,2025-04-22T08:00:55.214312Z,14.985999999999999 ms,12.274227 ms,17.278425010638298 ms,8.827412 ms,46.303394 ms,94
2025-04-22T08:01:00.199256Z,2025-04-22T08:01:00.201748Z,2025-04-22T08:01:00.211474Z,12.218 ms,9.725094 ms,17.198916263157894 ms,8.827412 ms,46.303394 ms,95
2025-04-22T08:01:05.201230Z,2025-04-22T08:01:05.204031Z,2025-04-22T08:01:05.216033Z,14.803 ms,12.001215 ms,17.14477354166667 ms,8.827412 ms,46.303394 ms,96
2025-04-22T08:01:10.207344Z,2025-04-22T08:01:10.210149Z,2025-04-22T08:01:10.221954Z,14.61 ms,11.804189 ms,17.089715969072163 ms,8.827412 ms,46.303394 ms,97
2025-04-22T08:01:15.205226Z,2025-04-22T08:01:15.208004Z,2025-04-22T08:01:15.220635Z,15.409 ms,12.629818 ms,17.04420680612245 ms,8.827412 ms,46.303394 ms,98
2025-04-22T08:01:20.205592Z,2025-04-22T08:01:20.208641Z,2025-04-22T08:01:20.220704Z,15.112 ms,12.062208 ms,16.993883585858587 ms,8.827412 ms,46.303394 ms,99
2025-04-22T08:01:25.205160Z,2025-04-22T08:01:25.208133Z,2025-04-22T08:01:25.220441Z,15.280999999999999 ms,12.30758 ms,16.94702055 ms,8.827412 ms,46.303394 ms,100
