observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T20:06:12.608547Z,2025-05-21T20:06:12.652285Z,2025-05-21T20:06:12.652424Z,104.66799999999999 ms,0.141915 ms,0.141915 ms,0.141915 ms,0.141915 ms,1
2025-05-21T20:06:17.603064Z,2025-05-21T20:06:17.606344Z,2025-05-21T20:06:17.606528Z,38.392 ms,0.170878 ms,0.1563965 ms,0.141915 ms,0.170878 ms,2
2025-05-21T20:06:22.603025Z,2025-05-21T20:06:22.607817Z,2025-05-21T20:06:22.607950Z,36.946 ms,0.134524 ms,0.14910566666666666 ms,0.134524 ms,0.170878 ms,3
2025-05-21T20:06:27.603292Z,2025-05-21T20:06:27.609856Z,2025-05-21T20:06:27.610044Z,36.696 ms,0.189328 ms,0.15916125 ms,0.134524 ms,0.189328 ms,4
2025-05-21T20:06:32.604135Z,2025-05-21T20:06:32.607285Z,2025-05-21T20:06:32.607420Z,33.601 ms,0.136456 ms,0.1546202 ms,0.134524 ms,0.189328 ms,5
2025-05-21T20:06:37.604400Z,2025-05-21T20:06:37.607534Z,2025-05-21T20:06:37.607705Z,26.483 ms,0.17291 ms,0.1576685 ms,0.134524 ms,0.189328 ms,6
2025-05-21T20:06:42.603822Z,2025-05-21T20:06:42.606916Z,2025-05-21T20:06:42.607076Z,22.654 ms,0.161884 ms,0.1582707142857143 ms,0.134524 ms,0.189328 ms,7
2025-05-21T20:06:47.604043Z,2025-05-21T20:06:47.607525Z,2025-05-21T20:06:47.607643Z,18.196 ms,0.118772 ms,0.153333375 ms,0.118772 ms,0.189328 ms,8
2025-05-21T20:06:52.604820Z,2025-05-21T20:06:52.608231Z,2025-05-21T20:06:52.608451Z,18.305 ms,0.222306 ms,0.160997 ms,0.118772 ms,0.222306 ms,9
2025-05-21T20:06:57.604412Z,2025-05-21T20:06:57.611991Z,2025-05-21T20:06:57.612120Z,26.953000000000003 ms,0.130582 ms,0.1579555 ms,0.118772 ms,0.222306 ms,10
2025-05-21T20:07:02.604084Z,2025-05-21T20:07:02.607145Z,2025-05-21T20:07:02.607316Z,16.105 ms,0.171516 ms,0.15918827272727273 ms,0.118772 ms,0.222306 ms,11
2025-05-21T20:07:07.604186Z,2025-05-21T20:07:07.607184Z,2025-05-21T20:07:07.607360Z,17.158 ms,0.177957 ms,0.16075233333333333 ms,0.118772 ms,0.222306 ms,12
2025-05-21T20:07:12.604316Z,2025-05-21T20:07:12.607437Z,2025-05-21T20:07:12.607552Z,19.098 ms,0.116269 ms,0.15733053846153847 ms,0.116269 ms,0.222306 ms,13
2025-05-21T20:07:17.604172Z,2025-05-21T20:07:17.607122Z,2025-05-21T20:07:17.607255Z,16.979000000000003 ms,0.134823 ms,0.15572285714285714 ms,0.116269 ms,0.222306 ms,14
2025-05-21T20:07:22.605103Z,2025-05-21T20:07:22.608375Z,2025-05-21T20:07:22.608512Z,17.067 ms,0.138439 ms,0.1545706 ms,0.116269 ms,0.222306 ms,15
2025-05-21T20:07:27.604579Z,2025-05-21T20:07:27.607628Z,2025-05-21T20:07:27.607818Z,22.106 ms,0.191473 ms,0.156877 ms,0.116269 ms,0.222306 ms,16
2025-05-21T20:07:32.604491Z,2025-05-21T20:07:32.607567Z,2025-05-21T20:07:32.607711Z,21.7 ms,0.144854 ms,0.15616976470588234 ms,0.116269 ms,0.222306 ms,17
2025-05-21T20:07:37.604736Z,2025-05-21T20:07:37.607590Z,2025-05-21T20:07:37.607738Z,21.894000000000002 ms,0.149351 ms,0.15579094444444444 ms,0.116269 ms,0.222306 ms,18
2025-05-21T20:07:42.607851Z,2025-05-21T20:07:42.611223Z,2025-05-21T20:07:42.611413Z,22.884 ms,0.191236 ms,0.15765647368421054 ms,0.116269 ms,0.222306 ms,19
2025-05-21T20:07:47.604846Z,2025-05-21T20:07:47.608158Z,2025-05-21T20:07:47.608349Z,22.444 ms,0.192772 ms,0.15941225 ms,0.116269 ms,0.222306 ms,20
2025-05-21T20:07:52.604663Z,2025-05-21T20:07:52.607591Z,2025-05-21T20:07:52.607739Z,21.135 ms,0.149318 ms,0.15893157142857142 ms,0.116269 ms,0.222306 ms,21
