observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-22T23:03:26.895720Z,2025-04-22T23:03:26.925958Z,2025-04-22T23:03:26.926120Z,71.022 ms,0.16446 ms,0.16446 ms,0.16446 ms,0.16446 ms,1
2025-04-22T23:03:31.888088Z,2025-04-22T23:03:31.892079Z,2025-04-22T23:03:31.894846Z,37.265 ms,2.767763 ms,1.4661115 ms,0.16446 ms,2.767763 ms,2
2025-04-22T23:03:36.887881Z,2025-04-22T23:03:36.891228Z,2025-04-22T23:03:36.891417Z,31.911 ms,0.18978 ms,1.0406676666666665 ms,0.16446 ms,2.767763 ms,3
2025-04-22T23:03:41.887944Z,2025-04-22T23:03:41.892168Z,2025-04-22T23:03:41.892295Z,33.631 ms,0.128467 ms,0.8126175 ms,0.128467 ms,2.767763 ms,4
2025-04-22T23:03:46.888034Z,2025-04-22T23:03:46.891292Z,2025-04-22T23:03:46.891427Z,32.134 ms,0.136359 ms,0.6773658 ms,0.128467 ms,2.767763 ms,5
2025-04-22T23:03:51.888156Z,2025-04-22T23:03:51.891410Z,2025-04-22T23:03:51.891606Z,30.887 ms,0.197175 ms,0.597334 ms,0.128467 ms,2.767763 ms,6
2025-04-22T23:03:56.888570Z,2025-04-22T23:03:56.892217Z,2025-04-22T23:03:56.892408Z,41.686 ms,0.192297 ms,0.5394715714285715 ms,0.128467 ms,2.767763 ms,7
2025-04-22T23:04:01.888211Z,2025-04-22T23:04:01.891484Z,2025-04-22T23:04:01.891614Z,22.016000000000002 ms,0.131249 ms,0.48844375 ms,0.128467 ms,2.767763 ms,8
2025-04-22T23:04:06.888088Z,2025-04-22T23:04:06.891533Z,2025-04-22T23:04:06.891697Z,26.813 ms,0.164316 ms,0.4524295555555556 ms,0.128467 ms,2.767763 ms,9
2025-04-22T23:04:11.888238Z,2025-04-22T23:04:11.891865Z,2025-04-22T23:04:11.892014Z,22.81 ms,0.149582 ms,0.4221448 ms,0.128467 ms,2.767763 ms,10
2025-04-22T23:04:16.888231Z,2025-04-22T23:04:16.891541Z,2025-04-22T23:04:16.891668Z,26.563 ms,0.128389 ms,0.3954397272727273 ms,0.128389 ms,2.767763 ms,11
2025-04-22T23:04:21.888162Z,2025-04-22T23:04:21.891172Z,2025-04-22T23:04:21.891328Z,21.217 ms,0.156558 ms,0.37553291666666666 ms,0.128389 ms,2.767763 ms,12
2025-04-22T23:04:26.888319Z,2025-04-22T23:04:26.891363Z,2025-04-22T23:04:26.891491Z,21.432 ms,0.12882 ms,0.356555 ms,0.128389 ms,2.767763 ms,13
2025-04-22T23:04:31.888312Z,2025-04-22T23:04:31.891456Z,2025-04-22T23:04:31.891609Z,21.595 ms,0.154121 ms,0.3420954285714286 ms,0.128389 ms,2.767763 ms,14
2025-04-22T23:04:36.888290Z,2025-04-22T23:04:36.891374Z,2025-04-22T23:04:36.891544Z,19.577 ms,0.171094 ms,0.33069533333333334 ms,0.128389 ms,2.767763 ms,15
2025-04-22T23:04:41.889110Z,2025-04-22T23:04:41.892444Z,2025-04-22T23:04:41.892599Z,21.263 ms,0.156404 ms,0.319802125 ms,0.128389 ms,2.767763 ms,16
2025-04-22T23:04:46.888628Z,2025-04-22T23:04:46.891950Z,2025-04-22T23:04:46.892106Z,25.44 ms,0.156713 ms,0.31020864705882356 ms,0.128389 ms,2.767763 ms,17
2025-04-22T23:04:51.888578Z,2025-04-22T23:04:51.891708Z,2025-04-22T23:04:51.891895Z,25.987 ms,0.187858 ms,0.30341138888888886 ms,0.128389 ms,2.767763 ms,18
2025-04-22T23:04:56.888498Z,2025-04-22T23:04:56.891624Z,2025-04-22T23:04:56.891772Z,25.854 ms,0.1492 ms,0.295295 ms,0.128389 ms,2.767763 ms,19
2025-04-22T23:05:01.889285Z,2025-04-22T23:05:01.892346Z,2025-04-22T23:05:01.892480Z,16.741 ms,0.134711 ms,0.2872658 ms,0.128389 ms,2.767763 ms,20
2025-04-22T23:05:06.888619Z,2025-04-22T23:05:06.891700Z,2025-04-22T23:05:06.891866Z,25.587 ms,0.167013 ms,0.2815394761904762 ms,0.128389 ms,2.767763 ms,21
2025-04-22T23:05:11.889091Z,2025-04-22T23:05:11.892187Z,2025-04-22T23:05:11.892297Z,23.391 ms,0.111042 ms,0.2737895909090909 ms,0.111042 ms,2.767763 ms,22
2025-04-22T23:05:16.889026Z,2025-04-22T23:05:16.892254Z,2025-04-22T23:05:16.892421Z,23.91 ms,0.167987 ms,0.2691894782608696 ms,0.111042 ms,2.767763 ms,23
2025-04-22T23:05:21.890420Z,2025-04-22T23:05:21.893377Z,2025-04-22T23:05:21.893518Z,17.746000000000002 ms,0.14233 ms,0.2639036666666667 ms,0.111042 ms,2.767763 ms,24
2025-04-22T23:05:26.888782Z,2025-04-22T23:05:26.891919Z,2025-04-22T23:05:26.892087Z,18.988999999999997 ms,0.169573 ms,0.26013044 ms,0.111042 ms,2.767763 ms,25
2025-04-22T23:05:31.888963Z,2025-04-22T23:05:31.892014Z,2025-04-22T23:05:31.892160Z,20.006 ms,0.147227 ms,0.255788 ms,0.111042 ms,2.767763 ms,26
2025-04-22T23:05:36.889221Z,2025-04-22T23:05:36.892177Z,2025-04-22T23:05:36.892331Z,18.855 ms,0.155434 ms,0.2520711851851852 ms,0.111042 ms,2.767763 ms,27
2025-04-22T23:05:41.889088Z,2025-04-22T23:05:41.892162Z,2025-04-22T23:05:41.892291Z,22.967000000000002 ms,0.130658 ms,0.247735 ms,0.111042 ms,2.767763 ms,28
2025-04-22T23:05:46.889116Z,2025-04-22T23:05:46.891826Z,2025-04-22T23:05:46.891965Z,22.873 ms,0.140958 ms,0.2440530344827586 ms,0.111042 ms,2.767763 ms,29
2025-04-22T23:05:51.889702Z,2025-04-22T23:05:51.892716Z,2025-04-22T23:05:51.892940Z,23.148 ms,0.225946 ms,0.24344946666666667 ms,0.111042 ms,2.767763 ms,30
2025-04-22T23:05:56.889578Z,2025-04-22T23:05:56.892435Z,2025-04-22T23:05:56.892603Z,21.656000000000002 ms,0.168922 ms,0.24104535483870967 ms,0.111042 ms,2.767763 ms,31
2025-04-22T23:06:01.889997Z,2025-04-22T23:06:01.893070Z,2025-04-22T23:06:01.893259Z,18.686999999999998 ms,0.189891 ms,0.23944678125 ms,0.111042 ms,2.767763 ms,32
2025-04-22T23:06:06.892994Z,2025-04-22T23:06:06.895888Z,2025-04-22T23:06:06.896016Z,22.906 ms,0.129431 ms,0.23611296969696968 ms,0.111042 ms,2.767763 ms,33
2025-04-22T23:06:11.891652Z,2025-04-22T23:06:11.894473Z,2025-04-22T23:06:11.894639Z,17.978 ms,0.166856 ms,0.234076 ms,0.111042 ms,2.767763 ms,34
2025-04-22T23:06:16.890086Z,2025-04-22T23:06:16.892887Z,2025-04-22T23:06:16.893015Z,22.785 ms,0.128871 ms,0.23107014285714286 ms,0.111042 ms,2.767763 ms,35
2025-04-22T23:06:21.890676Z,2025-04-22T23:06:21.893458Z,2025-04-22T23:06:21.893613Z,22.62 ms,0.155762 ms,0.22897825 ms,0.111042 ms,2.767763 ms,36
2025-04-22T23:06:26.890261Z,2025-04-22T23:06:26.893031Z,2025-04-22T23:06:26.893159Z,17.299 ms,0.12961 ms,0.22629262162162161 ms,0.111042 ms,2.767763 ms,37
2025-04-22T23:06:31.896752Z,2025-04-22T23:06:31.899651Z,2025-04-22T23:06:31.899781Z,14.864 ms,0.131483 ms,0.22379763157894736 ms,0.111042 ms,2.767763 ms,38
2025-04-22T23:06:36.890542Z,2025-04-22T23:06:36.893525Z,2025-04-22T23:06:36.893670Z,22.758 ms,0.146475 ms,0.221815 ms,0.111042 ms,2.767763 ms,39
2025-04-22T23:06:41.890419Z,2025-04-22T23:06:41.893386Z,2025-04-22T23:06:41.893590Z,22.596 ms,0.204585 ms,0.22138425 ms,0.111042 ms,2.767763 ms,40
