observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-10T15:46:24.177875Z,2025-04-10T15:46:24.315878Z,2025-04-10T15:46:24.368439Z,190.56400000000002 ms,52.561304 ms,52.561304 ms,52.561304 ms,52.561304 ms,1
2025-04-10T15:46:29.163041Z,2025-04-10T15:46:29.275430Z,2025-04-10T15:46:29.305491Z,142.45 ms,30.060244 ms,41.310774 ms,30.060244 ms,52.561304 ms,2
2025-04-10T15:46:34.161376Z,2025-04-10T15:46:34.273468Z,2025-04-10T15:46:34.306565Z,145.18900000000002 ms,33.09675 ms,38.572766 ms,30.060244 ms,52.561304 ms,3
2025-04-10T15:46:39.165326Z,2025-04-10T15:46:39.277284Z,2025-04-10T15:46:39.317303Z,151.977 ms,40.019777 ms,38.93451875 ms,30.060244 ms,52.561304 ms,4
2025-04-10T15:46:44.173461Z,2025-04-10T15:46:44.284538Z,2025-04-10T15:46:44.304598Z,131.137 ms,20.05979 ms,35.159573 ms,20.05979 ms,52.561304 ms,5
2025-04-10T15:46:49.173333Z,2025-04-10T15:46:49.284474Z,2025-04-10T15:46:49.304932Z,131.599 ms,20.456946 ms,32.70913516666667 ms,20.05979 ms,52.561304 ms,6
2025-04-10T15:46:54.176385Z,2025-04-10T15:46:54.287431Z,2025-04-10T15:46:54.312466Z,136.08100000000002 ms,25.034905 ms,31.61281657142857 ms,20.05979 ms,52.561304 ms,7
2025-04-10T15:46:59.185509Z,2025-04-10T15:46:59.297559Z,2025-04-10T15:46:59.327954Z,142.445 ms,30.394585 ms,31.460537625 ms,20.05979 ms,52.561304 ms,8
2025-04-10T15:47:04.184333Z,2025-04-10T15:47:04.294969Z,2025-04-10T15:47:04.320434Z,136.101 ms,25.464887 ms,30.794354222222225 ms,20.05979 ms,52.561304 ms,9
2025-04-10T15:47:09.186355Z,2025-04-10T15:47:09.296500Z,2025-04-10T15:47:09.320445Z,134.08999999999997 ms,23.944855 ms,30.1094043 ms,20.05979 ms,52.561304 ms,10
2025-04-10T15:47:14.184520Z,2025-04-10T15:47:14.295130Z,2025-04-10T15:47:14.318151Z,133.631 ms,23.020758 ms,29.46498190909091 ms,20.05979 ms,52.561304 ms,11
2025-04-10T15:47:19.190243Z,2025-04-10T15:47:19.300722Z,2025-04-10T15:47:19.322840Z,132.59699999999998 ms,22.118225 ms,28.85275216666667 ms,20.05979 ms,52.561304 ms,12
2025-04-10T15:47:24.193241Z,2025-04-10T15:47:24.303828Z,2025-04-10T15:47:24.321948Z,128.707 ms,18.120536 ms,28.027197076923077 ms,18.120536 ms,52.561304 ms,13
2025-04-10T15:47:29.189965Z,2025-04-10T15:47:29.300445Z,2025-04-10T15:47:29.323191Z,133.226 ms,22.746472 ms,27.65000242857143 ms,18.120536 ms,52.561304 ms,14
2025-04-10T15:47:34.192174Z,2025-04-10T15:47:34.302633Z,2025-04-10T15:47:34.320538Z,128.364 ms,17.904801 ms,27.000322333333333 ms,17.904801 ms,52.561304 ms,15
2025-04-10T15:47:39.196209Z,2025-04-10T15:47:39.307154Z,2025-04-10T15:47:39.327575Z,131.366 ms,20.419931 ms,26.589047875 ms,17.904801 ms,52.561304 ms,16
2025-04-10T15:47:44.201311Z,2025-04-10T15:47:44.312879Z,2025-04-10T15:47:44.336764Z,135.453 ms,23.885435 ms,26.430011823529412 ms,17.904801 ms,52.561304 ms,17
2025-04-10T15:47:49.204077Z,2025-04-10T15:47:49.314705Z,2025-04-10T15:47:49.332097Z,128.01999999999998 ms,17.39149 ms,25.927871722222225 ms,17.39149 ms,52.561304 ms,18
2025-04-10T15:47:54.206609Z,2025-04-10T15:47:54.317140Z,2025-04-10T15:47:54.334666Z,128.05700000000002 ms,17.525447 ms,25.485638842105264 ms,17.39149 ms,52.561304 ms,19
2025-04-10T15:47:59.207117Z,2025-04-10T15:47:59.317649Z,2025-04-10T15:47:59.336831Z,129.714 ms,19.182254 ms,25.1704696 ms,17.39149 ms,52.561304 ms,20
2025-04-10T15:48:04.210058Z,2025-04-10T15:48:04.320892Z,2025-04-10T15:48:04.338019Z,127.96099999999998 ms,17.126502 ms,24.787423523809522 ms,17.126502 ms,52.561304 ms,21
2025-04-10T15:48:09.213120Z,2025-04-10T15:48:09.323717Z,2025-04-10T15:48:09.344707Z,131.58700000000002 ms,20.989773 ms,24.614803045454547 ms,17.126502 ms,52.561304 ms,22
2025-04-10T15:48:14.214810Z,2025-04-10T15:48:14.325203Z,2025-04-10T15:48:14.346258Z,131.448 ms,21.038854 ms,24.459327 ms,17.126502 ms,52.561304 ms,23
2025-04-10T15:48:19.219098Z,2025-04-10T15:48:19.329094Z,2025-04-10T15:48:19.352054Z,132.956 ms,22.959674 ms,24.39684145833333 ms,17.126502 ms,52.561304 ms,24
2025-04-10T15:48:24.222194Z,2025-04-10T15:48:24.332904Z,2025-04-10T15:48:24.353575Z,131.381 ms,20.670549 ms,24.247789760000003 ms,17.126502 ms,52.561304 ms,25
2025-04-10T15:48:29.226086Z,2025-04-10T15:48:29.336104Z,2025-04-10T15:48:29.352179Z,126.09300000000002 ms,16.074143 ms,23.933418730769233 ms,16.074143 ms,52.561304 ms,26
2025-04-10T15:48:34.227073Z,2025-04-10T15:48:34.336783Z,2025-04-10T15:48:34.352528Z,125.45500000000001 ms,15.744844 ms,23.630138185185185 ms,15.744844 ms,52.561304 ms,27
2025-04-10T15:48:39.224449Z,2025-04-10T15:48:39.334705Z,2025-04-10T15:48:39.351273Z,126.824 ms,16.568249 ms,23.377927857142858 ms,15.744844 ms,52.561304 ms,28
2025-04-10T15:48:44.233102Z,2025-04-10T15:48:44.342916Z,2025-04-10T15:48:44.368507Z,135.405 ms,25.591023 ms,23.45424148275862 ms,15.744844 ms,52.561304 ms,29
2025-04-10T15:48:49.233955Z,2025-04-10T15:48:49.343460Z,2025-04-10T15:48:49.360797Z,126.84200000000001 ms,17.335576 ms,23.250285966666667 ms,15.744844 ms,52.561304 ms,30
2025-04-10T15:48:54.235172Z,2025-04-10T15:48:54.344811Z,2025-04-10T15:48:54.365040Z,129.86800000000002 ms,20.22881 ms,23.152819 ms,15.744844 ms,52.561304 ms,31
2025-04-10T15:48:59.235235Z,2025-04-10T15:48:59.345155Z,2025-04-10T15:48:59.359880Z,124.64500000000001 ms,14.724812 ms,22.88944378125 ms,14.724812 ms,52.561304 ms,32
2025-04-10T15:49:04.237997Z,2025-04-10T15:49:04.347970Z,2025-04-10T15:49:04.363342Z,125.34500000000001 ms,15.371457 ms,22.661626 ms,14.724812 ms,52.561304 ms,33
2025-04-10T15:49:09.238142Z,2025-04-10T15:49:09.349192Z,2025-04-10T15:49:09.370146Z,132.00400000000002 ms,20.953262 ms,22.61138 ms,14.724812 ms,52.561304 ms,34
2025-04-10T15:49:14.237064Z,2025-04-10T15:49:14.347141Z,2025-04-10T15:49:14.363641Z,126.577 ms,16.499247 ms,22.43674762857143 ms,14.724812 ms,52.561304 ms,35
2025-04-10T15:49:19.241932Z,2025-04-10T15:49:19.351603Z,2025-04-10T15:49:19.365717Z,123.78500000000001 ms,14.113892 ms,22.205557194444445 ms,14.113892 ms,52.561304 ms,36
2025-04-10T15:49:24.241244Z,2025-04-10T15:49:24.351636Z,2025-04-10T15:49:24.368393Z,127.14900000000002 ms,16.761186 ms,22.058412027027025 ms,14.113892 ms,52.561304 ms,37
2025-04-10T15:49:29.246051Z,2025-04-10T15:49:29.356131Z,2025-04-10T15:49:29.370519Z,124.46799999999999 ms,14.387012 ms,21.85653307894737 ms,14.113892 ms,52.561304 ms,38
2025-04-10T15:49:34.246984Z,2025-04-10T15:49:34.357035Z,2025-04-10T15:49:34.372036Z,125.05199999999999 ms,15.0013 ms,21.68075787179487 ms,14.113892 ms,52.561304 ms,39
2025-04-10T15:49:39.247072Z,2025-04-10T15:49:39.357267Z,2025-04-10T15:49:39.372515Z,125.443 ms,15.247604 ms,21.519929025 ms,14.113892 ms,52.561304 ms,40
2025-04-10T15:49:44.245642Z,2025-04-10T15:49:44.355663Z,2025-04-10T15:49:44.370432Z,124.78999999999999 ms,14.769507 ms,21.355284585365855 ms,14.113892 ms,52.561304 ms,41
2025-04-10T15:49:49.245826Z,2025-04-10T15:49:49.355870Z,2025-04-10T15:49:49.371342Z,125.51599999999999 ms,15.47125 ms,21.215188523809523 ms,14.113892 ms,52.561304 ms,42
2025-04-10T15:49:54.265940Z,2025-04-10T15:49:54.375326Z,2025-04-10T15:49:54.389823Z,123.883 ms,14.496326 ms,21.058935906976746 ms,14.113892 ms,52.561304 ms,43
2025-04-10T15:49:59.258968Z,2025-04-10T15:49:59.368330Z,2025-04-10T15:49:59.381852Z,122.88399999999999 ms,13.52148 ms,20.88763009090909 ms,13.52148 ms,52.561304 ms,44
