observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-20T15:59:36.749664Z,2025-04-20T15:59:36.780714Z,2025-04-20T15:59:36.781186Z,31.522000000000002 ms,0.472 ms,0.472 ms,0.472 ms,0.472 ms,1
2025-04-20T15:59:41.735087Z,2025-04-20T15:59:41.738160Z,2025-04-20T15:59:41.738576Z,3.489 ms,0.416 ms,0.44399999999999995 ms,0.416 ms,0.472 ms,2
2025-04-20T15:59:46.735192Z,2025-04-20T15:59:46.738459Z,2025-04-20T15:59:46.738810Z,3.6180000000000003 ms,0.35100000000000003 ms,0.413 ms,0.35100000000000003 ms,0.472 ms,3
2025-04-20T15:59:51.735171Z,2025-04-20T15:59:51.738602Z,2025-04-20T15:59:51.738954Z,3.783 ms,0.352 ms,0.39775 ms,0.35100000000000003 ms,0.472 ms,4
2025-04-20T15:59:56.735176Z,2025-04-20T15:59:56.738089Z,2025-04-20T15:59:56.738533Z,3.357 ms,0.444 ms,0.407 ms,0.35100000000000003 ms,0.472 ms,5
2025-04-20T16:00:01.735247Z,2025-04-20T16:00:01.738300Z,2025-04-20T16:00:01.738687Z,3.44 ms,0.38699999999999996 ms,0.4036666666666666 ms,0.35100000000000003 ms,0.472 ms,6
2025-04-20T16:00:06.735914Z,2025-04-20T16:00:06.739020Z,2025-04-20T16:00:06.739337Z,3.423 ms,0.317 ms,0.39128571428571424 ms,0.317 ms,0.472 ms,7
2025-04-20T16:00:11.735315Z,2025-04-20T16:00:11.738451Z,2025-04-20T16:00:11.738798Z,3.483 ms,0.347 ms,0.38575 ms,0.317 ms,0.472 ms,8
2025-04-20T16:00:16.735415Z,2025-04-20T16:00:16.738578Z,2025-04-20T16:00:16.738969Z,3.554 ms,0.391 ms,0.3863333333333333 ms,0.317 ms,0.472 ms,9
2025-04-20T16:00:21.735338Z,2025-04-20T16:00:21.738158Z,2025-04-20T16:00:21.738567Z,3.229 ms,0.40900000000000003 ms,0.38859999999999995 ms,0.317 ms,0.472 ms,10
2025-04-20T16:00:26.735332Z,2025-04-20T16:00:26.738445Z,2025-04-20T16:00:26.738821Z,3.489 ms,0.376 ms,0.3874545454545454 ms,0.317 ms,0.472 ms,11
2025-04-20T16:00:31.735437Z,2025-04-20T16:00:31.738466Z,2025-04-20T16:00:31.738813Z,3.376 ms,0.347 ms,0.3840833333333333 ms,0.317 ms,0.472 ms,12
2025-04-20T16:00:36.735624Z,2025-04-20T16:00:36.738879Z,2025-04-20T16:00:36.739268Z,3.644 ms,0.389 ms,0.3844615384615384 ms,0.317 ms,0.472 ms,13
2025-04-20T16:00:41.735329Z,2025-04-20T16:00:41.738286Z,2025-04-20T16:00:41.738806Z,3.477 ms,0.5199999999999999 ms,0.3941428571428571 ms,0.317 ms,0.5199999999999999 ms,14
2025-04-20T16:00:46.736017Z,2025-04-20T16:00:46.740251Z,2025-04-20T16:00:46.740596Z,4.579 ms,0.345 ms,0.39086666666666653 ms,0.317 ms,0.5199999999999999 ms,15
2025-04-20T16:00:51.735709Z,2025-04-20T16:00:51.738746Z,2025-04-20T16:00:51.739162Z,3.453 ms,0.416 ms,0.3924374999999999 ms,0.317 ms,0.5199999999999999 ms,16
2025-04-20T16:00:56.735543Z,2025-04-20T16:00:56.738629Z,2025-04-20T16:00:56.738971Z,3.428 ms,0.342 ms,0.389470588235294 ms,0.317 ms,0.5199999999999999 ms,17
2025-04-20T16:01:01.735898Z,2025-04-20T16:01:01.738964Z,2025-04-20T16:01:01.739353Z,3.455 ms,0.389 ms,0.38944444444444437 ms,0.317 ms,0.5199999999999999 ms,18
2025-04-20T16:01:06.735690Z,2025-04-20T16:01:06.738734Z,2025-04-20T16:01:06.739110Z,3.42 ms,0.376 ms,0.38873684210526305 ms,0.317 ms,0.5199999999999999 ms,19
2025-04-20T16:01:11.735702Z,2025-04-20T16:01:11.738801Z,2025-04-20T16:01:11.739239Z,3.5370000000000004 ms,0.438 ms,0.3911999999999999 ms,0.317 ms,0.5199999999999999 ms,20
2025-04-20T16:01:16.735566Z,2025-04-20T16:01:16.738466Z,2025-04-20T16:01:16.738848Z,3.282 ms,0.382 ms,0.39076190476190464 ms,0.317 ms,0.5199999999999999 ms,21
2025-04-20T16:01:21.735725Z,2025-04-20T16:01:21.738670Z,2025-04-20T16:01:21.739083Z,3.3579999999999997 ms,0.41300000000000003 ms,0.3917727272727272 ms,0.317 ms,0.5199999999999999 ms,22
2025-04-20T16:01:26.735643Z,2025-04-20T16:01:26.738632Z,2025-04-20T16:01:26.739006Z,3.363 ms,0.374 ms,0.3909999999999999 ms,0.317 ms,0.5199999999999999 ms,23
2025-04-20T16:01:31.735764Z,2025-04-20T16:01:31.738409Z,2025-04-20T16:01:31.738783Z,3.019 ms,0.374 ms,0.39029166666666654 ms,0.317 ms,0.5199999999999999 ms,24
