observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-04-12T09:17:22.879Z,2024-04-12T09:17:23.033143Z,2024-04-12T09:17:23.081520Z,202.52 ms,48.377943 ms,48.377943 ms,48.377943 ms,48.377943 ms,1
2024-04-12T09:17:27.517Z,2024-04-12T09:17:27.670417Z,2024-04-12T09:17:27.689343Z,172.343 ms,18.925551 ms,33.651747 ms,18.925551 ms,48.377943 ms,2
2024-04-12T09:17:27.879Z,2024-04-12T09:17:28.032304Z,2024-04-12T09:17:28.053494Z,174.494 ms,21.189823 ms,29.497772333333334 ms,18.925551 ms,48.377943 ms,3
2024-04-12T09:17:32.518Z,2024-04-12T09:17:32.670440Z,2024-04-12T09:17:32.691044Z,173.044 ms,20.602189 ms,27.2738765 ms,18.925551 ms,48.377943 ms,4
2024-04-12T09:17:32.880Z,2024-04-12T09:17:33.032376Z,2024-04-12T09:17:33.051711Z,171.711 ms,19.334026 ms,25.685906399999997 ms,18.925551 ms,48.377943 ms,5
2024-04-12T09:17:37.518Z,2024-04-12T09:17:37.670515Z,2024-04-12T09:17:37.709498Z,191.498 ms,38.981347 ms,27.901813166666667 ms,18.925551 ms,48.377943 ms,6
2024-04-12T09:17:37.880Z,2024-04-12T09:17:38.032459Z,2024-04-12T09:17:38.051326Z,171.326 ms,18.865719 ms,26.61094257142857 ms,18.865719 ms,48.377943 ms,7
2024-04-12T09:17:42.518Z,2024-04-12T09:17:42.671489Z,2024-04-12T09:17:42.690352Z,172.352 ms,18.862858 ms,25.642432 ms,18.862858 ms,48.377943 ms,8
2024-04-12T09:17:42.880Z,2024-04-12T09:17:43.032475Z,2024-04-12T09:17:43.051264Z,171.264 ms,18.801843 ms,24.882366555555556 ms,18.801843 ms,48.377943 ms,9
2024-04-12T09:17:47.518Z,2024-04-12T09:17:47.671598Z,2024-04-12T09:17:47.698814Z,180.814 ms,27.215422 ms,25.1156721 ms,18.801843 ms,48.377943 ms,10
2024-04-12T09:17:47.880Z,2024-04-12T09:17:48.032762Z,2024-04-12T09:17:48.047491Z,167.491 ms,14.727924 ms,24.171331363636362 ms,14.727924 ms,48.377943 ms,11
2024-04-12T09:17:52.518Z,2024-04-12T09:17:52.670496Z,2024-04-12T09:17:52.692819Z,174.819 ms,22.322171 ms,24.017234666666667 ms,14.727924 ms,48.377943 ms,12
