observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-19T22:08:57.165143Z,2025-04-19T22:08:57.205966Z,2025-04-19T22:08:57.290549Z,125.40599999999999 ms,84.584206 ms,84.584206 ms,84.584206 ms,84.584206 ms,1
2025-04-19T22:09:02.813797Z,2025-04-19T22:09:02.822361Z,2025-04-19T22:09:02.894062Z,80.265 ms,71.7021 ms,78.143153 ms,71.7021 ms,84.584206 ms,2
2025-04-19T22:09:08.331699Z,2025-04-19T22:09:08.337544Z,2025-04-19T22:09:08.392591Z,60.892 ms,55.046401 ms,70.44423566666667 ms,55.046401 ms,84.584206 ms,3
2025-04-19T22:09:13.779496Z,2025-04-19T22:09:13.785533Z,2025-04-19T22:09:13.829260Z,49.764 ms,43.727017 ms,63.764931 ms,43.727017 ms,84.584206 ms,4
2025-04-19T22:09:19.190225Z,2025-04-19T22:09:19.195396Z,2025-04-19T22:09:19.242618Z,52.393 ms,47.221375 ms,60.4562198 ms,43.727017 ms,84.584206 ms,5
2025-04-19T22:09:24.646807Z,2025-04-19T22:09:24.652203Z,2025-04-19T22:09:24.688835Z,42.028000000000006 ms,36.630996 ms,56.485349166666666 ms,36.630996 ms,84.584206 ms,6
2025-04-19T22:09:30.075029Z,2025-04-19T22:09:30.079988Z,2025-04-19T22:09:30.122411Z,47.382 ms,42.422566 ms,54.47638014285714 ms,36.630996 ms,84.584206 ms,7
2025-04-19T22:09:35.491666Z,2025-04-19T22:09:35.497015Z,2025-04-19T22:09:35.532071Z,40.405 ms,35.055064 ms,52.048715625 ms,35.055064 ms,84.584206 ms,8
2025-04-19T22:09:40.953538Z,2025-04-19T22:09:40.959389Z,2025-04-19T22:09:41.010371Z,56.833 ms,50.982118 ms,51.930204777777774 ms,35.055064 ms,84.584206 ms,9
2025-04-19T22:09:46.369587Z,2025-04-19T22:09:46.374779Z,2025-04-19T22:09:46.408476Z,38.889 ms,33.697098 ms,50.1068941 ms,33.697098 ms,84.584206 ms,10
2025-04-19T22:09:51.844410Z,2025-04-19T22:09:51.849474Z,2025-04-19T22:09:51.893476Z,49.065999999999995 ms,44.002683 ms,49.55196581818182 ms,33.697098 ms,84.584206 ms,11
2025-04-19T22:09:57.277918Z,2025-04-19T22:09:57.284515Z,2025-04-19T22:09:57.325236Z,47.318 ms,40.720293 ms,48.81599308333334 ms,33.697098 ms,84.584206 ms,12
2025-04-19T22:10:02.732434Z,2025-04-19T22:10:02.737863Z,2025-04-19T22:10:02.773188Z,40.754 ms,35.325145 ms,47.77823553846154 ms,33.697098 ms,84.584206 ms,13
2025-04-19T22:10:08.132818Z,2025-04-19T22:10:08.138183Z,2025-04-19T22:10:08.179051Z,46.233000000000004 ms,40.868596 ms,47.28468985714286 ms,33.697098 ms,84.584206 ms,14
2025-04-19T22:10:13.526604Z,2025-04-19T22:10:13.531906Z,2025-04-19T22:10:13.567469Z,40.865 ms,35.562581 ms,46.50321593333333 ms,33.697098 ms,84.584206 ms,15
2025-04-19T22:10:18.958672Z,2025-04-19T22:10:18.963838Z,2025-04-19T22:10:18.998210Z,39.538 ms,34.372028 ms,45.7450166875 ms,33.697098 ms,84.584206 ms,16
2025-04-19T22:10:24.418457Z,2025-04-19T22:10:24.423624Z,2025-04-19T22:10:24.458539Z,40.082 ms,34.916028 ms,45.108017352941175 ms,33.697098 ms,84.584206 ms,17
2025-04-19T22:10:29.827469Z,2025-04-19T22:10:29.832554Z,2025-04-19T22:10:29.868018Z,40.549 ms,35.464104 ms,44.57224438888889 ms,33.697098 ms,84.584206 ms,18
2025-04-19T22:10:35.218870Z,2025-04-19T22:10:35.223993Z,2025-04-19T22:10:35.259559Z,40.689 ms,35.565982 ms,44.098230578947366 ms,33.697098 ms,84.584206 ms,19
2025-04-19T22:10:40.610534Z,2025-04-19T22:10:40.615630Z,2025-04-19T22:10:40.652329Z,41.795 ms,36.698445 ms,43.7282413 ms,33.697098 ms,84.584206 ms,20
2025-04-19T22:10:46.062466Z,2025-04-19T22:10:46.067567Z,2025-04-19T22:10:46.101004Z,38.538000000000004 ms,33.437423 ms,43.238202333333334 ms,33.437423 ms,84.584206 ms,21
2025-04-19T22:10:51.499379Z,2025-04-19T22:10:51.504399Z,2025-04-19T22:10:51.555260Z,55.881 ms,50.861409 ms,43.584711727272726 ms,33.437423 ms,84.584206 ms,22
2025-04-19T22:10:56.923621Z,2025-04-19T22:10:56.929108Z,2025-04-19T22:10:56.964715Z,41.094 ms,35.606017 ms,43.23781195652174 ms,33.437423 ms,84.584206 ms,23
2025-04-19T22:11:02.450854Z,2025-04-19T22:11:02.456082Z,2025-04-19T22:11:02.493699Z,42.845 ms,37.616389 ms,43.003586 ms,33.437423 ms,84.584206 ms,24
2025-04-19T22:11:07.905970Z,2025-04-19T22:11:07.911118Z,2025-04-19T22:11:07.961765Z,55.794999999999995 ms,50.647418 ms,43.30933928 ms,33.437423 ms,84.584206 ms,25
2025-04-19T22:11:13.365272Z,2025-04-19T22:11:13.370584Z,2025-04-19T22:11:13.405733Z,40.461 ms,35.148283 ms,42.9954525 ms,33.437423 ms,84.584206 ms,26
2025-04-19T22:11:18.764572Z,2025-04-19T22:11:18.770334Z,2025-04-19T22:11:18.807985Z,43.413 ms,37.650723 ms,42.797499555555554 ms,33.437423 ms,84.584206 ms,27
2025-04-19T22:11:24.172274Z,2025-04-19T22:11:24.177123Z,2025-04-19T22:11:24.210617Z,38.343 ms,33.494621 ms,42.46525389285714 ms,33.437423 ms,84.584206 ms,28
2025-04-19T22:11:29.562007Z,2025-04-19T22:11:29.567152Z,2025-04-19T22:11:29.600369Z,38.362 ms,33.21706 ms,42.14635065517241 ms,33.21706 ms,84.584206 ms,29
2025-04-19T22:11:34.969143Z,2025-04-19T22:11:34.974221Z,2025-04-19T22:11:35.008850Z,39.707 ms,34.628371 ms,41.89575133333334 ms,33.21706 ms,84.584206 ms,30
2025-04-19T22:11:40.396301Z,2025-04-19T22:11:40.401461Z,2025-04-19T22:11:40.433843Z,37.542 ms,32.381382 ms,41.58883619354839 ms,32.381382 ms,84.584206 ms,31
2025-04-19T22:11:45.790880Z,2025-04-19T22:11:45.795937Z,2025-04-19T22:11:45.832056Z,41.175999999999995 ms,36.118453 ms,41.41788671875 ms,32.381382 ms,84.584206 ms,32
