observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-19T22:08:57.165143Z,2025-04-19T22:08:57.205966Z,2025-04-19T22:08:57.206514Z,125.40599999999999 ms,0.549827 ms,0.549827 ms,0.549827 ms,0.549827 ms,1
2025-04-19T22:09:02.813797Z,2025-04-19T22:09:02.822361Z,2025-04-19T22:09:02.822750Z,80.265 ms,0.390162 ms,0.4699945 ms,0.390162 ms,0.549827 ms,2
2025-04-19T22:09:08.331699Z,2025-04-19T22:09:08.337544Z,2025-04-19T22:09:08.337958Z,60.892 ms,0.414179 ms,0.4513893333333333 ms,0.390162 ms,0.549827 ms,3
2025-04-19T22:09:13.779496Z,2025-04-19T22:09:13.785533Z,2025-04-19T22:09:13.786122Z,49.764 ms,0.590489 ms,0.48616425 ms,0.390162 ms,0.590489 ms,4
2025-04-19T22:09:19.190225Z,2025-04-19T22:09:19.195396Z,2025-04-19T22:09:19.195826Z,52.393 ms,0.417239 ms,0.4723792 ms,0.390162 ms,0.590489 ms,5
2025-04-19T22:09:24.646807Z,2025-04-19T22:09:24.652203Z,2025-04-19T22:09:24.652542Z,42.028000000000006 ms,0.339407 ms,0.45021716666666667 ms,0.339407 ms,0.590489 ms,6
2025-04-19T22:09:30.075029Z,2025-04-19T22:09:30.079988Z,2025-04-19T22:09:30.080438Z,47.382 ms,0.451012 ms,0.45033071428571425 ms,0.339407 ms,0.590489 ms,7
2025-04-19T22:09:35.491666Z,2025-04-19T22:09:35.497015Z,2025-04-19T22:09:35.497351Z,40.405 ms,0.337238 ms,0.436194125 ms,0.337238 ms,0.590489 ms,8
2025-04-19T22:09:40.953538Z,2025-04-19T22:09:40.959389Z,2025-04-19T22:09:40.959835Z,56.833 ms,0.447155 ms,0.437412 ms,0.337238 ms,0.590489 ms,9
2025-04-19T22:09:46.369587Z,2025-04-19T22:09:46.374779Z,2025-04-19T22:09:46.375122Z,38.889 ms,0.344194 ms,0.42809020000000003 ms,0.337238 ms,0.590489 ms,10
2025-04-19T22:09:51.844410Z,2025-04-19T22:09:51.849474Z,2025-04-19T22:09:51.849885Z,49.065999999999995 ms,0.413091 ms,0.42672663636363634 ms,0.337238 ms,0.590489 ms,11
2025-04-19T22:09:57.277918Z,2025-04-19T22:09:57.284515Z,2025-04-19T22:09:57.284854Z,47.318 ms,0.339706 ms,0.4194749166666667 ms,0.337238 ms,0.590489 ms,12
