observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-10T15:50:56.561569Z,2025-04-10T15:50:56.712884Z,2025-04-10T15:50:56.929398Z,367.829 ms,216.517357 ms,216.517357 ms,216.517357 ms,216.517357 ms,1
2025-04-10T15:51:02.350683Z,2025-04-10T15:51:02.472874Z,2025-04-10T15:51:02.632925Z,282.242 ms,160.051308 ms,188.2843325 ms,160.051308 ms,216.517357 ms,2
2025-04-10T15:51:08.021990Z,2025-04-10T15:51:08.137693Z,2025-04-10T15:51:08.311966Z,289.976 ms,174.273043 ms,183.61390266666666 ms,160.051308 ms,216.517357 ms,3
2025-04-10T15:51:13.753225Z,2025-04-10T15:51:13.866993Z,2025-04-10T15:51:14.024744Z,271.519 ms,157.75044 ms,177.148037 ms,157.75044 ms,216.517357 ms,4
2025-04-10T15:51:19.649536Z,2025-04-10T15:51:19.770509Z,2025-04-10T15:51:19.904107Z,254.571 ms,133.597644 ms,168.4379584 ms,133.597644 ms,216.517357 ms,5
2025-04-10T15:51:25.290580Z,2025-04-10T15:51:25.405397Z,2025-04-10T15:51:25.531102Z,240.52200000000002 ms,125.704171 ms,161.3156605 ms,125.704171 ms,216.517357 ms,6
2025-04-10T15:51:30.964967Z,2025-04-10T15:51:31.079160Z,2025-04-10T15:51:31.210456Z,245.489 ms,131.29636 ms,157.027189 ms,125.704171 ms,216.517357 ms,7
2025-04-10T15:51:36.587290Z,2025-04-10T15:51:36.702820Z,2025-04-10T15:51:36.842807Z,255.517 ms,139.98618 ms,154.897062875 ms,125.704171 ms,216.517357 ms,8
2025-04-10T15:51:42.229111Z,2025-04-10T15:51:42.343911Z,2025-04-10T15:51:42.471102Z,241.991 ms,127.190454 ms,151.8185507777778 ms,125.704171 ms,216.517357 ms,9
2025-04-10T15:51:47.893794Z,2025-04-10T15:51:48.008081Z,2025-04-10T15:51:48.147237Z,253.44299999999998 ms,139.155186 ms,150.5522143 ms,125.704171 ms,216.517357 ms,10
2025-04-10T15:51:53.544789Z,2025-04-10T15:51:53.663360Z,2025-04-10T15:51:53.791125Z,246.336 ms,127.764707 ms,148.48062272727273 ms,125.704171 ms,216.517357 ms,11
2025-04-10T15:51:59.176294Z,2025-04-10T15:51:59.289215Z,2025-04-10T15:51:59.417414Z,241.12 ms,128.199256 ms,146.79050883333335 ms,125.704171 ms,216.517357 ms,12
2025-04-10T15:52:04.855908Z,2025-04-10T15:52:04.970046Z,2025-04-10T15:52:05.098233Z,242.32500000000002 ms,128.186802 ms,145.35945446153846 ms,125.704171 ms,216.517357 ms,13
2025-04-10T15:52:10.487250Z,2025-04-10T15:52:10.600618Z,2025-04-10T15:52:10.724072Z,236.822 ms,123.45352 ms,143.79474485714286 ms,123.45352 ms,216.517357 ms,14
2025-04-10T15:52:16.151747Z,2025-04-10T15:52:16.267199Z,2025-04-10T15:52:16.398199Z,246.452 ms,130.999185 ms,142.94170753333333 ms,123.45352 ms,216.517357 ms,15
2025-04-10T15:52:21.792397Z,2025-04-10T15:52:21.907216Z,2025-04-10T15:52:22.035866Z,243.469 ms,128.651105 ms,142.048544875 ms,123.45352 ms,216.517357 ms,16
2025-04-10T15:52:27.417905Z,2025-04-10T15:52:27.531436Z,2025-04-10T15:52:27.655029Z,237.124 ms,123.592998 ms,140.96292447058823 ms,123.45352 ms,216.517357 ms,17
2025-04-10T15:52:33.030536Z,2025-04-10T15:52:33.144193Z,2025-04-10T15:52:33.275255Z,244.719 ms,131.062054 ms,140.4128761111111 ms,123.45352 ms,216.517357 ms,18
2025-04-10T15:52:38.700106Z,2025-04-10T15:52:38.812970Z,2025-04-10T15:52:38.938944Z,238.838 ms,125.974155 ms,139.65294342105264 ms,123.45352 ms,216.517357 ms,19
2025-04-10T15:52:44.347214Z,2025-04-10T15:52:44.461586Z,2025-04-10T15:52:44.587360Z,240.146 ms,125.773491 ms,138.9589708 ms,123.45352 ms,216.517357 ms,20
2025-04-10T15:52:49.968542Z,2025-04-10T15:52:50.081638Z,2025-04-10T15:52:50.211098Z,242.55599999999998 ms,129.460583 ms,138.50666661904762 ms,123.45352 ms,216.517357 ms,21
2025-04-10T15:52:55.591854Z,2025-04-10T15:52:55.704936Z,2025-04-10T15:52:55.841747Z,249.893 ms,136.810282 ms,138.4295582272727 ms,123.45352 ms,216.517357 ms,22
2025-04-10T15:53:01.294383Z,2025-04-10T15:53:01.409059Z,2025-04-10T15:53:01.535262Z,240.87900000000002 ms,126.203323 ms,137.8979827826087 ms,123.45352 ms,216.517357 ms,23
2025-04-10T15:53:06.964568Z,2025-04-10T15:53:07.082985Z,2025-04-10T15:53:07.275539Z,310.971 ms,192.55473 ms,140.17534725 ms,123.45352 ms,216.517357 ms,24
2025-04-10T15:53:12.648193Z,2025-04-10T15:53:12.760750Z,2025-04-10T15:53:12.881389Z,233.196 ms,120.638678 ms,139.39388047999998 ms,120.638678 ms,216.517357 ms,25
2025-04-10T15:53:18.299266Z,2025-04-10T15:53:18.412036Z,2025-04-10T15:53:18.610978Z,311.712 ms,198.940648 ms,141.6841407692308 ms,120.638678 ms,216.517357 ms,26
2025-04-10T15:53:24.018900Z,2025-04-10T15:53:24.131385Z,2025-04-10T15:53:24.251047Z,232.147 ms,119.66265 ms,140.86853 ms,119.66265 ms,216.517357 ms,27
2025-04-10T15:53:29.654754Z,2025-04-10T15:53:29.769745Z,2025-04-10T15:53:29.954527Z,299.773 ms,184.782299 ms,142.43687889285712 ms,119.66265 ms,216.517357 ms,28
2025-04-10T15:53:35.420576Z,2025-04-10T15:53:35.532240Z,2025-04-10T15:53:35.653931Z,233.35500000000002 ms,121.690947 ms,141.72150193103448 ms,119.66265 ms,216.517357 ms,29
2025-04-10T15:53:41.091065Z,2025-04-10T15:53:41.204727Z,2025-04-10T15:53:41.353070Z,262.005 ms,148.342587 ms,141.9422047666667 ms,119.66265 ms,216.517357 ms,30
2025-04-10T15:53:46.782539Z,2025-04-10T15:53:46.894488Z,2025-04-10T15:53:47.018875Z,236.33599999999998 ms,124.386421 ms,141.37588916129033 ms,119.66265 ms,216.517357 ms,31
2025-04-10T15:53:52.425764Z,2025-04-10T15:53:52.541556Z,2025-04-10T15:53:52.683743Z,257.97900000000004 ms,142.187903 ms,141.40126459375 ms,119.66265 ms,216.517357 ms,32
2025-04-10T15:53:58.055817Z,2025-04-10T15:53:58.167885Z,2025-04-10T15:53:58.302255Z,246.438 ms,134.370182 ms,141.1882014848485 ms,119.66265 ms,216.517357 ms,33
2025-04-10T15:54:03.734052Z,2025-04-10T15:54:03.857886Z,2025-04-10T15:54:04.026760Z,292.708 ms,168.873543 ms,142.0024762352941 ms,119.66265 ms,216.517357 ms,34
2025-04-10T15:54:09.432267Z,2025-04-10T15:54:09.544866Z,2025-04-10T15:54:09.675238Z,242.971 ms,130.371253 ms,141.67015557142858 ms,119.66265 ms,216.517357 ms,35
2025-04-10T15:54:15.093028Z,2025-04-10T15:54:15.209332Z,2025-04-10T15:54:15.354097Z,261.069 ms,144.764676 ms,141.7561144722222 ms,119.66265 ms,216.517357 ms,36
2025-04-10T15:54:20.756680Z,2025-04-10T15:54:20.870307Z,2025-04-10T15:54:20.991906Z,235.226 ms,121.582477 ms,141.21088102702703 ms,119.66265 ms,216.517357 ms,37
