observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T19:53:23.154186Z,2025-05-21T19:53:23.186502Z,2025-05-21T19:53:23.189021Z,34.835 ms,2.519 ms,2.519 ms,2.519 ms,2.519 ms,1
2025-05-21T19:53:23.496127Z,2025-05-21T19:53:23.501854Z,2025-05-21T19:53:23.504989Z,8.862 ms,3.1350000000000002 ms,2.827 ms,2.519 ms,3.1350000000000002 ms,2
2025-05-21T19:53:28.397175Z,2025-05-21T19:53:28.402278Z,2025-05-21T19:53:28.404700Z,7.5249999999999995 ms,2.422 ms,2.692 ms,2.422 ms,3.1350000000000002 ms,3
2025-05-21T19:53:28.671250Z,2025-05-21T19:53:28.675746Z,2025-05-21T19:53:28.679081Z,7.8309999999999995 ms,3.335 ms,2.85275 ms,2.422 ms,3.335 ms,4
2025-05-21T19:53:32.105283Z,2025-05-21T19:53:32.110034Z,2025-05-21T19:53:32.112338Z,7.055 ms,2.3040000000000003 ms,2.743 ms,2.3040000000000003 ms,3.335 ms,5
2025-05-21T19:53:32.381213Z,2025-05-21T19:53:32.385736Z,2025-05-21T19:53:32.388848Z,7.635000000000001 ms,3.112 ms,2.8045 ms,2.3040000000000003 ms,3.335 ms,6
2025-05-21T19:53:35.307118Z,2025-05-21T19:53:35.313179Z,2025-05-21T19:53:35.315563Z,8.444999999999999 ms,2.384 ms,2.7444285714285717 ms,2.3040000000000003 ms,3.335 ms,7
2025-05-21T19:53:35.579399Z,2025-05-21T19:53:35.583962Z,2025-05-21T19:53:35.586951Z,7.552 ms,2.989 ms,2.775 ms,2.3040000000000003 ms,3.335 ms,8
2025-05-21T19:53:39.750461Z,2025-05-21T19:53:39.755053Z,2025-05-21T19:53:39.757361Z,6.8999999999999995 ms,2.3080000000000003 ms,2.7231111111111113 ms,2.3040000000000003 ms,3.335 ms,9
2025-05-21T19:53:40.057629Z,2025-05-21T19:53:40.062086Z,2025-05-21T19:53:40.065209Z,7.58 ms,3.1229999999999998 ms,2.7631 ms,2.3040000000000003 ms,3.335 ms,10
2025-05-21T19:53:43.882669Z,2025-05-21T19:53:43.887856Z,2025-05-21T19:53:43.890578Z,7.908999999999999 ms,2.722 ms,2.7593636363636365 ms,2.3040000000000003 ms,3.335 ms,11
2025-05-21T19:53:44.286802Z,2025-05-21T19:53:44.291610Z,2025-05-21T19:53:44.294655Z,7.853000000000001 ms,3.045 ms,2.783166666666667 ms,2.3040000000000003 ms,3.335 ms,12
2025-05-21T19:53:47.394754Z,2025-05-21T19:53:47.399355Z,2025-05-21T19:53:47.401657Z,6.9030000000000005 ms,2.3019999999999996 ms,2.7461538461538466 ms,2.3019999999999996 ms,3.335 ms,13
2025-05-21T19:53:55.177306Z,2025-05-21T19:53:55.181687Z,2025-05-21T19:53:55.184866Z,7.56 ms,3.179 ms,2.777071428571429 ms,2.3019999999999996 ms,3.335 ms,14
2025-05-21T19:54:00.102128Z,2025-05-21T19:54:00.106587Z,2025-05-21T19:54:00.109000Z,6.872 ms,2.4130000000000003 ms,2.7528 ms,2.3019999999999996 ms,3.335 ms,15
2025-05-21T19:54:03.394536Z,2025-05-21T19:54:03.398887Z,2025-05-21T19:54:03.402077Z,7.541 ms,3.19 ms,2.780125 ms,2.3019999999999996 ms,3.335 ms,16
2025-05-21T19:54:32.143387Z,2025-05-21T19:54:32.148208Z,2025-05-21T19:54:32.150665Z,7.278 ms,2.457 ms,2.7611176470588235 ms,2.3019999999999996 ms,3.335 ms,17
2025-05-21T19:54:35.105438Z,2025-05-21T19:54:35.109707Z,2025-05-21T19:54:35.112829Z,7.391 ms,3.1220000000000003 ms,2.7811666666666666 ms,2.3019999999999996 ms,3.335 ms,18
