observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-22T04:32:54.708785Z,2025-04-22T04:32:54.738875Z,2025-04-22T04:32:54.740350Z,31.565 ms,1.4749999999999999 ms,1.4749999999999999 ms,1.4749999999999999 ms,1.4749999999999999 ms,1
2025-04-22T04:32:55.111495Z,2025-04-22T04:32:55.117768Z,2025-04-22T04:32:55.119585Z,8.09 ms,1.817 ms,1.646 ms,1.4749999999999999 ms,1.817 ms,2
2025-04-22T04:33:00.494504Z,2025-04-22T04:33:00.499309Z,2025-04-22T04:33:00.500398Z,5.894 ms,1.089 ms,1.4603333333333333 ms,1.089 ms,1.817 ms,3
2025-04-22T04:33:00.813114Z,2025-04-22T04:33:00.818074Z,2025-04-22T04:33:00.819886Z,6.772 ms,1.812 ms,1.54825 ms,1.089 ms,1.817 ms,4
2025-04-22T04:33:06.150351Z,2025-04-22T04:33:06.155509Z,2025-04-22T04:33:06.156585Z,6.234 ms,1.0759999999999998 ms,1.4538 ms,1.0759999999999998 ms,1.817 ms,5
2025-04-22T04:33:06.626617Z,2025-04-22T04:33:06.631342Z,2025-04-22T04:33:06.633063Z,6.446000000000001 ms,1.721 ms,1.4983333333333333 ms,1.0759999999999998 ms,1.817 ms,6
2025-04-22T04:33:11.975225Z,2025-04-22T04:33:11.979887Z,2025-04-22T04:33:11.980945Z,5.720000000000001 ms,1.0579999999999998 ms,1.4354285714285715 ms,1.0579999999999998 ms,1.817 ms,7
2025-04-22T04:33:12.317984Z,2025-04-22T04:33:12.322315Z,2025-04-22T04:33:12.323991Z,6.007000000000001 ms,1.676 ms,1.4655 ms,1.0579999999999998 ms,1.817 ms,8
2025-04-22T04:33:17.685166Z,2025-04-22T04:33:17.689610Z,2025-04-22T04:33:17.690737Z,5.571000000000001 ms,1.127 ms,1.427888888888889 ms,1.0579999999999998 ms,1.817 ms,9
2025-04-22T04:33:17.994602Z,2025-04-22T04:33:17.999129Z,2025-04-22T04:33:18.000762Z,6.159999999999999 ms,1.633 ms,1.4484000000000001 ms,1.0579999999999998 ms,1.817 ms,10
2025-04-22T04:33:23.314013Z,2025-04-22T04:33:23.318375Z,2025-04-22T04:33:23.319447Z,5.433999999999999 ms,1.072 ms,1.4141818181818182 ms,1.0579999999999998 ms,1.817 ms,11
2025-04-22T04:33:23.620009Z,2025-04-22T04:33:23.624703Z,2025-04-22T04:33:23.626382Z,6.373 ms,1.6789999999999998 ms,1.43625 ms,1.0579999999999998 ms,1.817 ms,12
2025-04-22T04:33:29.009178Z,2025-04-22T04:33:29.013907Z,2025-04-22T04:33:29.015027Z,5.849 ms,1.1199999999999999 ms,1.4119230769230768 ms,1.0579999999999998 ms,1.817 ms,13
2025-04-22T04:33:29.357074Z,2025-04-22T04:33:29.361383Z,2025-04-22T04:33:29.363159Z,6.085 ms,1.776 ms,1.4379285714285714 ms,1.0579999999999998 ms,1.817 ms,14
2025-04-22T04:33:34.712936Z,2025-04-22T04:33:34.717357Z,2025-04-22T04:33:34.718494Z,5.558 ms,1.137 ms,1.4178666666666666 ms,1.0579999999999998 ms,1.817 ms,15
2025-04-22T04:33:35.027976Z,2025-04-22T04:33:35.032339Z,2025-04-22T04:33:35.034115Z,6.139 ms,1.776 ms,1.4402499999999998 ms,1.0579999999999998 ms,1.817 ms,16
2025-04-22T04:33:40.348016Z,2025-04-22T04:33:40.352467Z,2025-04-22T04:33:40.353581Z,5.5649999999999995 ms,1.1139999999999999 ms,1.4210588235294117 ms,1.0579999999999998 ms,1.817 ms,17
2025-04-22T04:33:40.648163Z,2025-04-22T04:33:40.652527Z,2025-04-22T04:33:40.654142Z,5.979 ms,1.615 ms,1.431833333333333 ms,1.0579999999999998 ms,1.817 ms,18
2025-04-22T04:33:46.007098Z,2025-04-22T04:33:46.011627Z,2025-04-22T04:33:46.012688Z,5.590000000000001 ms,1.0610000000000002 ms,1.412315789473684 ms,1.0579999999999998 ms,1.817 ms,19
2025-04-22T04:33:46.350809Z,2025-04-22T04:33:46.355136Z,2025-04-22T04:33:46.356785Z,5.976 ms,1.649 ms,1.4241499999999998 ms,1.0579999999999998 ms,1.817 ms,20
2025-04-22T04:33:51.663612Z,2025-04-22T04:33:51.667913Z,2025-04-22T04:33:51.668958Z,5.346 ms,1.045 ms,1.406095238095238 ms,1.045 ms,1.817 ms,21
2025-04-22T04:33:52.005261Z,2025-04-22T04:33:52.009697Z,2025-04-22T04:33:52.011470Z,6.2090000000000005 ms,1.7730000000000001 ms,1.422772727272727 ms,1.045 ms,1.817 ms,22
2025-04-22T04:33:57.364730Z,2025-04-22T04:33:57.368819Z,2025-04-22T04:33:57.369873Z,5.143 ms,1.054 ms,1.4067391304347823 ms,1.045 ms,1.817 ms,23
2025-04-22T04:33:57.670264Z,2025-04-22T04:33:57.674799Z,2025-04-22T04:33:57.676455Z,6.191000000000001 ms,1.656 ms,1.4171249999999997 ms,1.045 ms,1.817 ms,24
2025-04-22T04:34:02.991668Z,2025-04-22T04:34:02.995797Z,2025-04-22T04:34:02.996979Z,5.311 ms,1.1820000000000002 ms,1.4077199999999999 ms,1.045 ms,1.817 ms,25
2025-04-22T04:34:03.296127Z,2025-04-22T04:34:03.300307Z,2025-04-22T04:34:03.301897Z,5.77 ms,1.59 ms,1.4147307692307691 ms,1.045 ms,1.817 ms,26
2025-04-22T04:34:08.610770Z,2025-04-22T04:34:08.614886Z,2025-04-22T04:34:08.615946Z,5.176 ms,1.06 ms,1.4015925925925923 ms,1.045 ms,1.817 ms,27
2025-04-22T04:34:08.935107Z,2025-04-22T04:34:08.939538Z,2025-04-22T04:34:08.941250Z,6.143 ms,1.712 ms,1.4126785714285712 ms,1.045 ms,1.817 ms,28
2025-04-22T04:34:14.320833Z,2025-04-22T04:34:14.325094Z,2025-04-22T04:34:14.326187Z,5.354 ms,1.093 ms,1.401655172413793 ms,1.045 ms,1.817 ms,29
2025-04-22T04:34:14.654251Z,2025-04-22T04:34:14.658360Z,2025-04-22T04:34:14.660025Z,5.774 ms,1.665 ms,1.410433333333333 ms,1.045 ms,1.817 ms,30
2025-04-22T04:34:20.290592Z,2025-04-22T04:34:20.295385Z,2025-04-22T04:34:20.296834Z,6.242 ms,1.449 ms,1.4116774193548383 ms,1.045 ms,1.817 ms,31
2025-04-22T04:34:20.642082Z,2025-04-22T04:34:20.646415Z,2025-04-22T04:34:20.648102Z,6.0200000000000005 ms,1.6869999999999998 ms,1.4202812499999997 ms,1.045 ms,1.817 ms,32
2025-04-22T04:34:25.965850Z,2025-04-22T04:34:25.969915Z,2025-04-22T04:34:25.971040Z,5.19 ms,1.125 ms,1.411333333333333 ms,1.045 ms,1.817 ms,33
2025-04-22T04:34:26.309967Z,2025-04-22T04:34:26.313871Z,2025-04-22T04:34:26.315556Z,5.589 ms,1.685 ms,1.4193823529411762 ms,1.045 ms,1.817 ms,34
2025-04-22T04:34:31.705261Z,2025-04-22T04:34:31.709536Z,2025-04-22T04:34:31.710770Z,5.509 ms,1.234 ms,1.414085714285714 ms,1.045 ms,1.817 ms,35
2025-04-22T04:34:32.036961Z,2025-04-22T04:34:32.041152Z,2025-04-22T04:34:32.042986Z,6.025 ms,1.8339999999999999 ms,1.4257499999999996 ms,1.045 ms,1.8339999999999999 ms,36
2025-04-22T04:34:37.360316Z,2025-04-22T04:34:37.364343Z,2025-04-22T04:34:37.365413Z,5.0969999999999995 ms,1.07 ms,1.4161351351351348 ms,1.045 ms,1.8339999999999999 ms,37
2025-04-22T04:34:37.663880Z,2025-04-22T04:34:37.667810Z,2025-04-22T04:34:37.669473Z,5.593 ms,1.663 ms,1.422631578947368 ms,1.045 ms,1.8339999999999999 ms,38
2025-04-22T04:34:43.028368Z,2025-04-22T04:34:43.032798Z,2025-04-22T04:34:43.033880Z,5.5120000000000005 ms,1.082 ms,1.4138974358974357 ms,1.045 ms,1.8339999999999999 ms,39
2025-04-22T04:34:43.371969Z,2025-04-22T04:34:43.375977Z,2025-04-22T04:34:43.377617Z,5.648000000000001 ms,1.64 ms,1.4195499999999999 ms,1.045 ms,1.8339999999999999 ms,40
2025-04-22T04:34:48.692230Z,2025-04-22T04:34:48.696475Z,2025-04-22T04:34:48.697603Z,5.373 ms,1.1280000000000001 ms,1.4124390243902436 ms,1.045 ms,1.8339999999999999 ms,41
2025-04-22T04:34:48.999951Z,2025-04-22T04:34:49.004892Z,2025-04-22T04:34:49.006636Z,6.685 ms,1.7440000000000002 ms,1.4203333333333332 ms,1.045 ms,1.8339999999999999 ms,42
2025-04-22T04:34:54.387843Z,2025-04-22T04:34:54.392175Z,2025-04-22T04:34:54.393226Z,5.383 ms,1.0510000000000002 ms,1.4117441860465114 ms,1.045 ms,1.8339999999999999 ms,43
2025-04-22T04:34:54.714867Z,2025-04-22T04:34:54.718966Z,2025-04-22T04:34:54.720684Z,5.817 ms,1.718 ms,1.4187045454545453 ms,1.045 ms,1.8339999999999999 ms,44
2025-04-22T04:35:00.045022Z,2025-04-22T04:35:00.049070Z,2025-04-22T04:35:00.050125Z,5.103 ms,1.055 ms,1.410622222222222 ms,1.045 ms,1.8339999999999999 ms,45
2025-04-22T04:35:00.361130Z,2025-04-22T04:35:00.365228Z,2025-04-22T04:35:00.367298Z,6.168 ms,2.07 ms,1.4249565217391305 ms,1.045 ms,2.07 ms,46
2025-04-22T04:35:05.688743Z,2025-04-22T04:35:05.692771Z,2025-04-22T04:35:05.693873Z,5.13 ms,1.1019999999999999 ms,1.4180851063829787 ms,1.045 ms,2.07 ms,47
2025-04-22T04:35:06.019991Z,2025-04-22T04:35:06.024094Z,2025-04-22T04:35:06.025754Z,5.763 ms,1.66 ms,1.423125 ms,1.045 ms,2.07 ms,48
2025-04-22T04:35:11.376125Z,2025-04-22T04:35:11.380180Z,2025-04-22T04:35:11.381211Z,5.086 ms,1.031 ms,1.4151224489795917 ms,1.031 ms,2.07 ms,49
2025-04-22T04:35:11.704716Z,2025-04-22T04:35:11.708855Z,2025-04-22T04:35:11.710601Z,5.885 ms,1.746 ms,1.42174 ms,1.031 ms,2.07 ms,50
2025-04-22T04:35:17.055829Z,2025-04-22T04:35:17.059778Z,2025-04-22T04:35:17.060838Z,5.009 ms,1.06 ms,1.4146470588235294 ms,1.031 ms,2.07 ms,51
2025-04-22T04:35:17.349780Z,2025-04-22T04:35:17.353779Z,2025-04-22T04:35:17.355456Z,5.675999999999999 ms,1.677 ms,1.4196923076923078 ms,1.031 ms,2.07 ms,52
2025-04-22T04:35:22.758938Z,2025-04-22T04:35:22.762999Z,2025-04-22T04:35:22.764085Z,5.146999999999999 ms,1.0859999999999999 ms,1.4133962264150945 ms,1.031 ms,2.07 ms,53
2025-04-22T04:35:23.185072Z,2025-04-22T04:35:23.189137Z,2025-04-22T04:35:23.190832Z,5.760000000000001 ms,1.6949999999999998 ms,1.4186111111111113 ms,1.031 ms,2.07 ms,54
2025-04-22T04:35:28.524674Z,2025-04-22T04:35:28.528895Z,2025-04-22T04:35:28.530064Z,5.39 ms,1.1689999999999998 ms,1.4140727272727274 ms,1.031 ms,2.07 ms,55
2025-04-22T04:35:28.826816Z,2025-04-22T04:35:28.830976Z,2025-04-22T04:35:28.832617Z,5.801 ms,1.641 ms,1.4181250000000003 ms,1.031 ms,2.07 ms,56
2025-04-22T04:35:34.155954Z,2025-04-22T04:35:34.160240Z,2025-04-22T04:35:34.161273Z,5.319 ms,1.0330000000000001 ms,1.4113684210526318 ms,1.031 ms,2.07 ms,57
2025-04-22T04:35:34.484191Z,2025-04-22T04:35:34.488249Z,2025-04-22T04:35:34.489913Z,5.7219999999999995 ms,1.664 ms,1.4157241379310348 ms,1.031 ms,2.07 ms,58
2025-04-22T04:35:39.808730Z,2025-04-22T04:35:39.812766Z,2025-04-22T04:35:39.813844Z,5.114 ms,1.078 ms,1.4100000000000001 ms,1.031 ms,2.07 ms,59
2025-04-22T04:35:40.119651Z,2025-04-22T04:35:40.123461Z,2025-04-22T04:35:40.125083Z,5.432 ms,1.6219999999999999 ms,1.4135333333333335 ms,1.031 ms,2.07 ms,60
2025-04-22T04:35:45.451828Z,2025-04-22T04:35:45.455927Z,2025-04-22T04:35:45.457083Z,5.255 ms,1.156 ms,1.4093114754098364 ms,1.031 ms,2.07 ms,61
2025-04-22T04:35:45.798754Z,2025-04-22T04:35:45.802979Z,2025-04-22T04:35:45.804701Z,5.947 ms,1.722 ms,1.4143548387096776 ms,1.031 ms,2.07 ms,62
2025-04-22T04:35:51.140929Z,2025-04-22T04:35:51.145088Z,2025-04-22T04:35:51.146204Z,5.275 ms,1.116 ms,1.409619047619048 ms,1.031 ms,2.07 ms,63
2025-04-22T04:35:51.438144Z,2025-04-22T04:35:51.442092Z,2025-04-22T04:35:51.443777Z,5.633 ms,1.685 ms,1.4139218750000004 ms,1.031 ms,2.07 ms,64
2025-04-22T04:35:56.753183Z,2025-04-22T04:35:56.757260Z,2025-04-22T04:35:56.758409Z,5.226 ms,1.149 ms,1.4098461538461544 ms,1.031 ms,2.07 ms,65
2025-04-22T04:35:57.057792Z,2025-04-22T04:35:57.061936Z,2025-04-22T04:35:57.063662Z,5.87 ms,1.7260000000000002 ms,1.4146363636363641 ms,1.031 ms,2.07 ms,66
2025-04-22T04:36:02.392673Z,2025-04-22T04:36:02.396636Z,2025-04-22T04:36:02.397683Z,5.01 ms,1.047 ms,1.409149253731344 ms,1.031 ms,2.07 ms,67
2025-04-22T04:36:02.694546Z,2025-04-22T04:36:02.698634Z,2025-04-22T04:36:02.700261Z,5.715 ms,1.627 ms,1.412352941176471 ms,1.031 ms,2.07 ms,68
2025-04-22T04:36:08.018764Z,2025-04-22T04:36:08.022659Z,2025-04-22T04:36:08.023720Z,4.956 ms,1.0610000000000002 ms,1.407260869565218 ms,1.031 ms,2.07 ms,69
2025-04-22T04:36:08.356696Z,2025-04-22T04:36:08.360672Z,2025-04-22T04:36:08.362422Z,5.726 ms,1.75 ms,1.4121571428571436 ms,1.031 ms,2.07 ms,70
2025-04-22T04:36:13.717672Z,2025-04-22T04:36:13.721482Z,2025-04-22T04:36:13.722612Z,4.9399999999999995 ms,1.13 ms,1.40818309859155 ms,1.031 ms,2.07 ms,71
2025-04-22T04:36:14.016999Z,2025-04-22T04:36:14.020990Z,2025-04-22T04:36:14.022729Z,5.7299999999999995 ms,1.739 ms,1.4127777777777786 ms,1.031 ms,2.07 ms,72
2025-04-22T04:36:19.368021Z,2025-04-22T04:36:19.372028Z,2025-04-22T04:36:19.373102Z,5.0809999999999995 ms,1.074 ms,1.4081369863013709 ms,1.031 ms,2.07 ms,73
2025-04-22T04:36:19.669698Z,2025-04-22T04:36:19.673506Z,2025-04-22T04:36:19.675260Z,5.562 ms,1.754 ms,1.4128108108108117 ms,1.031 ms,2.07 ms,74
2025-04-22T04:36:24.987722Z,2025-04-22T04:36:24.991676Z,2025-04-22T04:36:24.992752Z,5.029999999999999 ms,1.0759999999999998 ms,1.408320000000001 ms,1.031 ms,2.07 ms,75
2025-04-22T04:36:25.298710Z,2025-04-22T04:36:25.302688Z,2025-04-22T04:36:25.304394Z,5.684 ms,1.706 ms,1.412236842105264 ms,1.031 ms,2.07 ms,76
2025-04-22T04:36:30.656470Z,2025-04-22T04:36:30.660394Z,2025-04-22T04:36:30.661579Z,5.109 ms,1.185 ms,1.4092857142857151 ms,1.031 ms,2.07 ms,77
2025-04-22T04:36:30.993586Z,2025-04-22T04:36:30.997534Z,2025-04-22T04:36:30.999240Z,5.654 ms,1.706 ms,1.4130897435897445 ms,1.031 ms,2.07 ms,78
2025-04-22T04:36:36.348530Z,2025-04-22T04:36:36.352358Z,2025-04-22T04:36:36.353419Z,4.889 ms,1.0610000000000002 ms,1.4086329113924059 ms,1.031 ms,2.07 ms,79
2025-04-22T04:36:36.642525Z,2025-04-22T04:36:36.646433Z,2025-04-22T04:36:36.648069Z,5.5440000000000005 ms,1.6360000000000001 ms,1.411475000000001 ms,1.031 ms,2.07 ms,80
2025-04-22T04:36:41.968744Z,2025-04-22T04:36:41.972845Z,2025-04-22T04:36:41.973905Z,5.161 ms,1.06 ms,1.4071358024691367 ms,1.031 ms,2.07 ms,81
2025-04-22T04:36:42.279671Z,2025-04-22T04:36:42.283562Z,2025-04-22T04:36:42.285206Z,5.535 ms,1.6440000000000001 ms,1.4100243902439036 ms,1.031 ms,2.07 ms,82
2025-04-22T04:36:47.598733Z,2025-04-22T04:36:47.602664Z,2025-04-22T04:36:47.603721Z,4.988 ms,1.057 ms,1.4057710843373503 ms,1.031 ms,2.07 ms,83
2025-04-22T04:36:47.937567Z,2025-04-22T04:36:47.941458Z,2025-04-22T04:36:47.943183Z,5.6160000000000005 ms,1.7249999999999999 ms,1.4095714285714298 ms,1.031 ms,2.07 ms,84
2025-04-22T04:36:53.301577Z,2025-04-22T04:36:53.305703Z,2025-04-22T04:36:53.306820Z,5.243 ms,1.117 ms,1.406129411764707 ms,1.031 ms,2.07 ms,85
2025-04-22T04:36:53.602783Z,2025-04-22T04:36:53.607030Z,2025-04-22T04:36:53.608647Z,5.864 ms,1.617 ms,1.4085813953488382 ms,1.031 ms,2.07 ms,86
2025-04-22T04:36:58.956284Z,2025-04-22T04:36:58.960228Z,2025-04-22T04:36:58.961285Z,5.001 ms,1.057 ms,1.4045402298850587 ms,1.031 ms,2.07 ms,87
2025-04-22T04:36:59.259244Z,2025-04-22T04:36:59.263190Z,2025-04-22T04:36:59.264891Z,5.647 ms,1.701 ms,1.4079090909090919 ms,1.031 ms,2.07 ms,88
2025-04-22T04:37:04.593553Z,2025-04-22T04:37:04.597393Z,2025-04-22T04:37:04.598541Z,4.988 ms,1.148 ms,1.404988764044945 ms,1.031 ms,2.07 ms,89
2025-04-22T04:37:04.884576Z,2025-04-22T04:37:04.888452Z,2025-04-22T04:37:04.890113Z,5.537 ms,1.661 ms,1.4078333333333344 ms,1.031 ms,2.07 ms,90
2025-04-22T04:37:10.221489Z,2025-04-22T04:37:10.225540Z,2025-04-22T04:37:10.226758Z,5.269 ms,1.218 ms,1.4057472527472539 ms,1.031 ms,2.07 ms,91
2025-04-22T04:37:10.555643Z,2025-04-22T04:37:10.559532Z,2025-04-22T04:37:10.561205Z,5.562 ms,1.673 ms,1.4086521739130446 ms,1.031 ms,2.07 ms,92
2025-04-22T04:37:15.901490Z,2025-04-22T04:37:15.905496Z,2025-04-22T04:37:15.906645Z,5.155 ms,1.149 ms,1.4058602150537647 ms,1.031 ms,2.07 ms,93
2025-04-22T04:37:16.198626Z,2025-04-22T04:37:16.202612Z,2025-04-22T04:37:16.204264Z,5.638 ms,1.6520000000000001 ms,1.4084787234042564 ms,1.031 ms,2.07 ms,94
2025-04-22T04:37:21.526510Z,2025-04-22T04:37:21.530589Z,2025-04-22T04:37:21.531686Z,5.176 ms,1.0970000000000002 ms,1.405200000000001 ms,1.031 ms,2.07 ms,95
2025-04-22T04:37:21.819543Z,2025-04-22T04:37:21.823538Z,2025-04-22T04:37:21.825244Z,5.7010000000000005 ms,1.706 ms,1.4083333333333343 ms,1.031 ms,2.07 ms,96
2025-04-22T04:37:27.136518Z,2025-04-22T04:37:27.140589Z,2025-04-22T04:37:27.141639Z,5.1209999999999996 ms,1.05 ms,1.404639175257733 ms,1.031 ms,2.07 ms,97
2025-04-22T04:37:27.438688Z,2025-04-22T04:37:27.442744Z,2025-04-22T04:37:27.444411Z,5.723 ms,1.667 ms,1.4073163265306132 ms,1.031 ms,2.07 ms,98
