observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-23T12:47:39.891774Z,2025-04-23T12:47:39.921134Z,2025-04-23T12:47:39.922440Z,30.666 ms,1.306 ms,1.306 ms,1.306 ms,1.306 ms,1
2025-04-23T12:47:45.167110Z,2025-04-23T12:47:45.173031Z,2025-04-23T12:47:45.174068Z,6.958 ms,1.037 ms,1.1715 ms,1.037 ms,1.306 ms,2
2025-04-23T12:47:50.406956Z,2025-04-23T12:47:50.411777Z,2025-04-23T12:47:50.412841Z,5.885 ms,1.064 ms,1.1356666666666668 ms,1.037 ms,1.306 ms,3
2025-04-23T12:47:55.646816Z,2025-04-23T12:47:55.651911Z,2025-04-23T12:47:55.652988Z,6.172000000000001 ms,1.077 ms,1.121 ms,1.037 ms,1.306 ms,4
2025-04-23T12:48:00.891323Z,2025-04-23T12:48:00.895505Z,2025-04-23T12:48:00.896633Z,5.31 ms,1.1280000000000001 ms,1.1224000000000003 ms,1.037 ms,1.306 ms,5
2025-04-23T12:48:06.133481Z,2025-04-23T12:48:06.138625Z,2025-04-23T12:48:06.139738Z,6.257000000000001 ms,1.113 ms,1.1208333333333336 ms,1.037 ms,1.306 ms,6
2025-04-23T12:48:11.376177Z,2025-04-23T12:48:11.380561Z,2025-04-23T12:48:11.381616Z,5.439 ms,1.055 ms,1.1114285714285717 ms,1.037 ms,1.306 ms,7
2025-04-23T12:48:16.620151Z,2025-04-23T12:48:16.624801Z,2025-04-23T12:48:16.625863Z,5.712 ms,1.062 ms,1.10525 ms,1.037 ms,1.306 ms,8
2025-04-23T12:48:21.859223Z,2025-04-23T12:48:21.863455Z,2025-04-23T12:48:21.864532Z,5.309 ms,1.077 ms,1.1021111111111113 ms,1.037 ms,1.306 ms,9
2025-04-23T12:48:27.110778Z,2025-04-23T12:48:27.115244Z,2025-04-23T12:48:27.116302Z,5.524 ms,1.0579999999999998 ms,1.0977000000000001 ms,1.037 ms,1.306 ms,10
2025-04-23T12:48:32.345986Z,2025-04-23T12:48:32.350319Z,2025-04-23T12:48:32.351485Z,5.4990000000000006 ms,1.166 ms,1.103909090909091 ms,1.037 ms,1.306 ms,11
2025-04-23T12:48:37.600678Z,2025-04-23T12:48:37.605193Z,2025-04-23T12:48:37.606359Z,5.681 ms,1.166 ms,1.1090833333333334 ms,1.037 ms,1.306 ms,12
2025-04-23T12:48:42.859090Z,2025-04-23T12:48:42.863257Z,2025-04-23T12:48:42.864265Z,5.175 ms,1.008 ms,1.1013076923076925 ms,1.008 ms,1.306 ms,13
2025-04-23T12:48:48.097715Z,2025-04-23T12:48:48.102002Z,2025-04-23T12:48:48.103168Z,5.453 ms,1.166 ms,1.1059285714285716 ms,1.008 ms,1.306 ms,14
2025-04-23T12:48:53.497624Z,2025-04-23T12:48:53.503217Z,2025-04-23T12:48:53.504491Z,6.867 ms,1.274 ms,1.1171333333333333 ms,1.008 ms,1.306 ms,15
2025-04-23T12:48:58.740431Z,2025-04-23T12:48:58.744635Z,2025-04-23T12:48:58.745723Z,5.292 ms,1.088 ms,1.1153125 ms,1.008 ms,1.306 ms,16
