observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-21T23:33:45.445812Z,2025-04-21T23:33:45.473567Z,2025-04-21T23:33:45.489592Z,43.78 ms,16.025000000000002 ms,16.025000000000002 ms,16.025000000000002 ms,16.025000000000002 ms,1
2025-04-21T23:33:50.445003Z,2025-04-21T23:33:50.448468Z,2025-04-21T23:33:50.456956Z,11.953 ms,8.488000000000001 ms,12.2565 ms,8.488000000000001 ms,16.025000000000002 ms,2
2025-04-21T23:33:55.447017Z,2025-04-21T23:33:55.450420Z,2025-04-21T23:33:55.459505Z,12.488000000000001 ms,9.084999999999999 ms,11.199333333333334 ms,8.488000000000001 ms,16.025000000000002 ms,3
2025-04-21T23:34:00.447996Z,2025-04-21T23:34:00.451330Z,2025-04-21T23:34:00.459655Z,11.658999999999999 ms,8.325000000000001 ms,10.48075 ms,8.325000000000001 ms,16.025000000000002 ms,4
2025-04-21T23:34:05.448971Z,2025-04-21T23:34:05.452379Z,2025-04-21T23:34:05.462213Z,13.242 ms,9.834000000000001 ms,10.3514 ms,8.325000000000001 ms,16.025000000000002 ms,5
2025-04-21T23:34:10.448937Z,2025-04-21T23:34:10.452313Z,2025-04-21T23:34:10.460361Z,11.424 ms,8.048 ms,9.967500000000001 ms,8.048 ms,16.025000000000002 ms,6
2025-04-21T23:34:15.449047Z,2025-04-21T23:34:15.452060Z,2025-04-21T23:34:15.460126Z,11.079 ms,8.066 ms,9.695857142857143 ms,8.048 ms,16.025000000000002 ms,7
2025-04-21T23:34:20.452026Z,2025-04-21T23:34:20.455157Z,2025-04-21T23:34:20.466119Z,14.093 ms,10.962 ms,9.854125 ms,8.048 ms,16.025000000000002 ms,8
2025-04-21T23:34:25.455339Z,2025-04-21T23:34:25.458587Z,2025-04-21T23:34:25.467174Z,11.835 ms,8.587 ms,9.713333333333333 ms,8.048 ms,16.025000000000002 ms,9
2025-04-21T23:34:30.454170Z,2025-04-21T23:34:30.457289Z,2025-04-21T23:34:30.465738Z,11.568 ms,8.449 ms,9.586899999999998 ms,8.048 ms,16.025000000000002 ms,10
2025-04-21T23:34:35.459978Z,2025-04-21T23:34:35.462991Z,2025-04-21T23:34:35.472825Z,12.847000000000001 ms,9.834000000000001 ms,9.609363636363636 ms,8.048 ms,16.025000000000002 ms,11
2025-04-21T23:34:40.460898Z,2025-04-21T23:34:40.463651Z,2025-04-21T23:34:40.471647Z,10.749 ms,7.9959999999999996 ms,9.474916666666665 ms,7.9959999999999996 ms,16.025000000000002 ms,12
2025-04-21T23:34:45.463840Z,2025-04-21T23:34:45.466775Z,2025-04-21T23:34:45.474931Z,11.091 ms,8.156 ms,9.373461538461537 ms,7.9959999999999996 ms,16.025000000000002 ms,13
2025-04-21T23:34:50.472866Z,2025-04-21T23:34:50.476026Z,2025-04-21T23:34:50.484637Z,11.771 ms,8.611 ms,9.318999999999999 ms,7.9959999999999996 ms,16.025000000000002 ms,14
2025-04-21T23:34:55.468310Z,2025-04-21T23:34:55.471369Z,2025-04-21T23:34:55.480056Z,11.745999999999999 ms,8.687000000000001 ms,9.276866666666667 ms,7.9959999999999996 ms,16.025000000000002 ms,15
2025-04-21T23:35:00.469540Z,2025-04-21T23:35:00.472509Z,2025-04-21T23:35:00.480600Z,11.06 ms,8.091 ms,9.20275 ms,7.9959999999999996 ms,16.025000000000002 ms,16
2025-04-21T23:35:05.470048Z,2025-04-21T23:35:05.472707Z,2025-04-21T23:35:05.480538Z,10.489999999999998 ms,7.8309999999999995 ms,9.122058823529413 ms,7.8309999999999995 ms,16.025000000000002 ms,17
2025-04-21T23:35:10.471925Z,2025-04-21T23:35:10.474808Z,2025-04-21T23:35:10.485040Z,13.115 ms,10.232 ms,9.183722222222222 ms,7.8309999999999995 ms,16.025000000000002 ms,18
2025-04-21T23:35:15.470561Z,2025-04-21T23:35:15.473453Z,2025-04-21T23:35:15.481393Z,10.831999999999999 ms,7.9399999999999995 ms,9.118263157894734 ms,7.8309999999999995 ms,16.025000000000002 ms,19
2025-04-21T23:35:20.473808Z,2025-04-21T23:35:20.476955Z,2025-04-21T23:35:20.485098Z,11.29 ms,8.142999999999999 ms,9.0695 ms,7.8309999999999995 ms,16.025000000000002 ms,20
2025-04-21T23:35:25.473056Z,2025-04-21T23:35:25.476022Z,2025-04-21T23:35:25.486067Z,13.011 ms,10.045 ms,9.11595238095238 ms,7.8309999999999995 ms,16.025000000000002 ms,21
2025-04-21T23:35:30.477791Z,2025-04-21T23:35:30.480537Z,2025-04-21T23:35:30.488584Z,10.793000000000001 ms,8.047 ms,9.067363636363636 ms,7.8309999999999995 ms,16.025000000000002 ms,22
2025-04-21T23:35:35.473703Z,2025-04-21T23:35:35.476514Z,2025-04-21T23:35:35.484988Z,11.285 ms,8.474 ms,9.041565217391303 ms,7.8309999999999995 ms,16.025000000000002 ms,23
2025-04-21T23:35:40.480275Z,2025-04-21T23:35:40.482929Z,2025-04-21T23:35:40.490957Z,10.682 ms,8.028 ms,8.999333333333333 ms,7.8309999999999995 ms,16.025000000000002 ms,24
2025-04-21T23:35:45.483102Z,2025-04-21T23:35:45.486024Z,2025-04-21T23:35:45.494884Z,11.782 ms,8.86 ms,8.99376 ms,7.8309999999999995 ms,16.025000000000002 ms,25
2025-04-21T23:35:50.481781Z,2025-04-21T23:35:50.484537Z,2025-04-21T23:35:50.492659Z,10.878 ms,8.122 ms,8.960230769230769 ms,7.8309999999999995 ms,16.025000000000002 ms,26
2025-04-21T23:35:55.485695Z,2025-04-21T23:35:55.488389Z,2025-04-21T23:35:55.496692Z,10.997 ms,8.302999999999999 ms,8.93588888888889 ms,7.8309999999999995 ms,16.025000000000002 ms,27
2025-04-21T23:36:00.490672Z,2025-04-21T23:36:00.493669Z,2025-04-21T23:36:00.503767Z,13.095 ms,10.097999999999999 ms,8.977392857142858 ms,7.8309999999999995 ms,16.025000000000002 ms,28
2025-04-21T23:36:05.502310Z,2025-04-21T23:36:05.505010Z,2025-04-21T23:36:05.513079Z,10.769 ms,8.068999999999999 ms,8.94606896551724 ms,7.8309999999999995 ms,16.025000000000002 ms,29
2025-04-21T23:36:10.499758Z,2025-04-21T23:36:10.502548Z,2025-04-21T23:36:10.511077Z,11.318999999999999 ms,8.529 ms,8.932166666666667 ms,7.8309999999999995 ms,16.025000000000002 ms,30
