observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T07:53:10.042939Z,2025-04-22T07:53:10.143234Z,100.295 ms,100.295 ms,100.295 ms,100.295 ms,1
2025-04-22T07:53:15.028511Z,2025-04-22T07:53:15.086978Z,58.467 ms,79.381 ms,58.467 ms,100.295 ms,2
2025-04-22T07:53:20.041422Z,2025-04-22T07:53:20.104081Z,62.659000000000006 ms,73.807 ms,58.467 ms,100.295 ms,3
2025-04-22T07:53:25.031501Z,2025-04-22T07:53:25.094330Z,62.82899999999999 ms,71.0625 ms,58.467 ms,100.295 ms,4
2025-04-22T07:53:30.030754Z,2025-04-22T07:53:30.076871Z,46.117 ms,66.0734 ms,46.117 ms,100.295 ms,5
2025-04-22T07:53:35.039464Z,2025-04-22T07:53:35.082147Z,42.683 ms,62.175000000000004 ms,42.683 ms,100.295 ms,6
2025-04-22T07:53:40.044360Z,2025-04-22T07:53:40.085741Z,41.381 ms,59.204428571428565 ms,41.381 ms,100.295 ms,7
2025-04-22T07:53:45.044421Z,2025-04-22T07:53:45.130777Z,86.35600000000001 ms,62.598375 ms,41.381 ms,100.295 ms,8
2025-04-22T07:53:50.045272Z,2025-04-22T07:53:50.085324Z,40.052 ms,60.09322222222222 ms,40.052 ms,100.295 ms,9
2025-04-22T07:53:55.049424Z,2025-04-22T07:53:55.084409Z,34.985 ms,57.5824 ms,34.985 ms,100.295 ms,10
2025-04-22T07:54:00.050359Z,2025-04-22T07:54:00.080900Z,30.541 ms,55.12409090909092 ms,30.541 ms,100.295 ms,11
2025-04-22T07:54:05.052220Z,2025-04-22T07:54:05.108608Z,56.388 ms,55.22941666666667 ms,30.541 ms,100.295 ms,12
2025-04-22T07:54:10.054274Z,2025-04-22T07:54:10.089055Z,34.781 ms,53.656461538461535 ms,30.541 ms,100.295 ms,13
2025-04-22T07:54:15.050185Z,2025-04-22T07:54:15.087104Z,36.919 ms,52.460928571428575 ms,30.541 ms,100.295 ms,14
