observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T07:53:10.042939Z,2025-04-22T07:53:10.107000Z,64.061 ms,64.061 ms,64.061 ms,64.061 ms,1
2025-04-22T07:53:15.028511Z,2025-04-22T07:53:15.055000Z,26.488999999999997 ms,45.275000000000006 ms,26.488999999999997 ms,64.061 ms,2
2025-04-22T07:53:20.041422Z,2025-04-22T07:53:20.069000Z,27.578 ms,39.376000000000005 ms,26.488999999999997 ms,64.061 ms,3
2025-04-22T07:53:25.031501Z,2025-04-22T07:53:25.053000Z,21.499000000000002 ms,34.90675 ms,21.499000000000002 ms,64.061 ms,4
2025-04-22T07:53:30.030754Z,2025-04-22T07:53:30.050000Z,19.246 ms,31.7746 ms,19.246 ms,64.061 ms,5
2025-04-22T07:53:35.039464Z,2025-04-22T07:53:35.056000Z,16.535999999999998 ms,29.23483333333333 ms,16.535999999999998 ms,64.061 ms,6
2025-04-22T07:53:40.044360Z,2025-04-22T07:53:40.061000Z,16.639999999999997 ms,27.435571428571425 ms,16.535999999999998 ms,64.061 ms,7
2025-04-22T07:53:45.044421Z,2025-04-22T07:53:45.078000Z,33.579 ms,28.203499999999995 ms,16.535999999999998 ms,64.061 ms,8
2025-04-22T07:53:50.045272Z,2025-04-22T07:53:50.061000Z,15.728 ms,26.817333333333327 ms,15.728 ms,64.061 ms,9
2025-04-22T07:53:55.049424Z,2025-04-22T07:53:55.065000Z,15.575999999999999 ms,25.693199999999994 ms,15.575999999999999 ms,64.061 ms,10
2025-04-22T07:54:00.050359Z,2025-04-22T07:54:00.064000Z,13.641 ms,24.59754545454545 ms,13.641 ms,64.061 ms,11
2025-04-22T07:54:05.052220Z,2025-04-22T07:54:05.066000Z,13.780000000000001 ms,23.69608333333333 ms,13.641 ms,64.061 ms,12
2025-04-22T07:54:10.054274Z,2025-04-22T07:54:10.068000Z,13.726 ms,22.929153846153845 ms,13.641 ms,64.061 ms,13
2025-04-22T07:54:15.050185Z,2025-04-22T07:54:15.065000Z,14.815 ms,22.34957142857143 ms,13.641 ms,64.061 ms,14
2025-04-22T07:54:20.058193Z,2025-04-22T07:54:20.072000Z,13.807 ms,21.780066666666666 ms,13.641 ms,64.061 ms,15
2025-04-22T07:54:25.060805Z,2025-04-22T07:54:25.076000Z,15.195 ms,21.3685 ms,13.641 ms,64.061 ms,16
2025-04-22T07:54:30.060110Z,2025-04-22T07:54:30.074000Z,13.889999999999999 ms,20.928588235294118 ms,13.641 ms,64.061 ms,17
2025-04-22T07:54:35.057683Z,2025-04-22T07:54:35.077000Z,19.317 ms,20.839055555555557 ms,13.641 ms,64.061 ms,18
2025-04-22T07:54:40.063410Z,2025-04-22T07:54:40.077000Z,13.59 ms,20.45752631578948 ms,13.59 ms,64.061 ms,19
2025-04-22T07:54:45.064284Z,2025-04-22T07:54:45.079000Z,14.716 ms,20.170450000000002 ms,13.59 ms,64.061 ms,20
2025-04-22T07:54:50.067148Z,2025-04-22T07:54:50.081000Z,13.852 ms,19.86957142857143 ms,13.59 ms,64.061 ms,21
2025-04-22T07:54:55.072214Z,2025-04-22T07:54:55.085000Z,12.786000000000001 ms,19.547590909090914 ms,12.786000000000001 ms,64.061 ms,22
