observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T15:59:36.749664Z,2025-04-20T15:59:36.794413Z,44.748999999999995 ms,44.748999999999995 ms,44.748999999999995 ms,44.748999999999995 ms,1
2025-04-20T15:59:41.735087Z,2025-04-20T15:59:41.745261Z,10.174000000000001 ms,27.4615 ms,10.174000000000001 ms,44.748999999999995 ms,2
2025-04-20T15:59:46.735192Z,2025-04-20T15:59:46.746078Z,10.886 ms,21.936333333333337 ms,10.174000000000001 ms,44.748999999999995 ms,3
2025-04-20T15:59:51.735171Z,2025-04-20T15:59:51.745498Z,10.327 ms,19.034000000000002 ms,10.174000000000001 ms,44.748999999999995 ms,4
2025-04-20T15:59:56.735176Z,2025-04-20T15:59:56.746502Z,11.325999999999999 ms,17.4924 ms,10.174000000000001 ms,44.748999999999995 ms,5
2025-04-20T16:00:01.735247Z,2025-04-20T16:00:01.744879Z,9.632 ms,16.182333333333336 ms,9.632 ms,44.748999999999995 ms,6
2025-04-20T16:00:06.735914Z,2025-04-20T16:00:06.745668Z,9.754000000000001 ms,15.264000000000001 ms,9.632 ms,44.748999999999995 ms,7
2025-04-20T16:00:11.735315Z,2025-04-20T16:00:11.746864Z,11.549 ms,14.799625000000002 ms,9.632 ms,44.748999999999995 ms,8
2025-04-20T16:00:16.735415Z,2025-04-20T16:00:16.745619Z,10.203999999999999 ms,14.289000000000003 ms,9.632 ms,44.748999999999995 ms,9
2025-04-20T16:00:21.735338Z,2025-04-20T16:00:21.744909Z,9.571 ms,13.817200000000001 ms,9.571 ms,44.748999999999995 ms,10
2025-04-20T16:00:26.735332Z,2025-04-20T16:00:26.745575Z,10.243 ms,13.492272727272729 ms,9.571 ms,44.748999999999995 ms,11
2025-04-20T16:00:31.735437Z,2025-04-20T16:00:31.745475Z,10.038 ms,13.204416666666669 ms,9.571 ms,44.748999999999995 ms,12
2025-04-20T16:00:36.735624Z,2025-04-20T16:00:36.745797Z,10.173 ms,12.97123076923077 ms,9.571 ms,44.748999999999995 ms,13
2025-04-20T16:00:41.735329Z,2025-04-20T16:00:41.745734Z,10.405 ms,12.787928571428571 ms,9.571 ms,44.748999999999995 ms,14
2025-04-20T16:00:46.736017Z,2025-04-20T16:00:46.747347Z,11.33 ms,12.690733333333334 ms,9.571 ms,44.748999999999995 ms,15
2025-04-20T16:00:51.735709Z,2025-04-20T16:00:51.745506Z,9.797 ms,12.509875000000001 ms,9.571 ms,44.748999999999995 ms,16
2025-04-20T16:00:56.735543Z,2025-04-20T16:00:56.745332Z,9.789000000000001 ms,12.349823529411763 ms,9.571 ms,44.748999999999995 ms,17
2025-04-20T16:01:01.735898Z,2025-04-20T16:01:01.748490Z,12.592 ms,12.363277777777776 ms,9.571 ms,44.748999999999995 ms,18
2025-04-20T16:01:06.735690Z,2025-04-20T16:01:06.745392Z,9.702 ms,12.223210526315787 ms,9.571 ms,44.748999999999995 ms,19
2025-04-20T16:01:11.735702Z,2025-04-20T16:01:11.745740Z,10.038 ms,12.113949999999999 ms,9.571 ms,44.748999999999995 ms,20
2025-04-20T16:01:16.735566Z,2025-04-20T16:01:16.745051Z,9.485000000000001 ms,11.988761904761905 ms,9.485000000000001 ms,44.748999999999995 ms,21
2025-04-20T16:01:21.735725Z,2025-04-20T16:01:21.745320Z,9.594999999999999 ms,11.879954545454545 ms,9.485000000000001 ms,44.748999999999995 ms,22
2025-04-20T16:01:26.735643Z,2025-04-20T16:01:26.745438Z,9.795 ms,11.789304347826087 ms,9.485000000000001 ms,44.748999999999995 ms,23
2025-04-20T16:01:31.735764Z,2025-04-20T16:01:31.745008Z,9.244 ms,11.68325 ms,9.244 ms,44.748999999999995 ms,24
2025-04-20T16:01:36.735845Z,2025-04-20T16:01:36.747272Z,11.427 ms,11.673 ms,9.244 ms,44.748999999999995 ms,25
2025-04-20T16:01:41.735866Z,2025-04-20T16:01:41.745146Z,9.28 ms,11.580961538461539 ms,9.244 ms,44.748999999999995 ms,26
2025-04-20T16:01:46.735778Z,2025-04-20T16:01:46.745035Z,9.257 ms,11.49488888888889 ms,9.244 ms,44.748999999999995 ms,27
2025-04-20T16:01:51.735823Z,2025-04-20T16:01:51.747134Z,11.311 ms,11.48832142857143 ms,9.244 ms,44.748999999999995 ms,28
2025-04-20T16:01:56.735928Z,2025-04-20T16:01:56.746005Z,10.077 ms,11.439655172413795 ms,9.244 ms,44.748999999999995 ms,29
2025-04-20T16:02:01.735968Z,2025-04-20T16:02:01.745586Z,9.618 ms,11.378933333333336 ms,9.244 ms,44.748999999999995 ms,30
2025-04-20T16:02:06.736756Z,2025-04-20T16:02:06.746730Z,9.974 ms,11.333612903225808 ms,9.244 ms,44.748999999999995 ms,31
2025-04-20T16:02:11.735973Z,2025-04-20T16:02:11.745641Z,9.668 ms,11.281562500000001 ms,9.244 ms,44.748999999999995 ms,32
2025-04-20T16:02:16.736048Z,2025-04-20T16:02:16.745493Z,9.445 ms,11.225909090909092 ms,9.244 ms,44.748999999999995 ms,33
2025-04-20T16:02:21.735952Z,2025-04-20T16:02:21.745401Z,9.449000000000002 ms,11.17364705882353 ms,9.244 ms,44.748999999999995 ms,34
2025-04-20T16:02:26.735870Z,2025-04-20T16:02:26.747025Z,11.155 ms,11.173114285714288 ms,9.244 ms,44.748999999999995 ms,35
2025-04-20T16:02:31.736067Z,2025-04-20T16:02:31.746379Z,10.312 ms,11.149194444444445 ms,9.244 ms,44.748999999999995 ms,36
2025-04-20T16:02:36.736841Z,2025-04-20T16:02:36.746246Z,9.405 ms,11.102054054054054 ms,9.244 ms,44.748999999999995 ms,37
2025-04-20T16:02:41.737133Z,2025-04-20T16:02:41.757728Z,20.595 ms,11.35186842105263 ms,9.244 ms,44.748999999999995 ms,38
2025-04-20T16:02:46.736695Z,2025-04-20T16:02:46.745922Z,9.227 ms,11.297384615384615 ms,9.227 ms,44.748999999999995 ms,39
2025-04-20T16:02:51.736264Z,2025-04-20T16:02:51.745505Z,9.241 ms,11.245975 ms,9.227 ms,44.748999999999995 ms,40
2025-04-20T16:02:56.736206Z,2025-04-20T16:02:56.745744Z,9.538 ms,11.204317073170731 ms,9.227 ms,44.748999999999995 ms,41
2025-04-20T16:03:01.736304Z,2025-04-20T16:03:01.745744Z,9.440000000000001 ms,11.162309523809524 ms,9.227 ms,44.748999999999995 ms,42
2025-04-20T16:03:06.736207Z,2025-04-20T16:03:06.745966Z,9.759 ms,11.129674418604651 ms,9.227 ms,44.748999999999995 ms,43
2025-04-20T16:03:11.736581Z,2025-04-20T16:03:11.745845Z,9.264 ms,11.087272727272726 ms,9.227 ms,44.748999999999995 ms,44
2025-04-20T16:03:16.736329Z,2025-04-20T16:03:16.747487Z,11.158 ms,11.088844444444444 ms,9.227 ms,44.748999999999995 ms,45
2025-04-20T16:03:21.736380Z,2025-04-20T16:03:21.745424Z,9.044 ms,11.044391304347826 ms,9.044 ms,44.748999999999995 ms,46
2025-04-20T16:03:26.737241Z,2025-04-20T16:03:26.747006Z,9.764999999999999 ms,11.017170212765958 ms,9.044 ms,44.748999999999995 ms,47
2025-04-20T16:03:31.736385Z,2025-04-20T16:03:31.747081Z,10.696000000000002 ms,11.010479166666668 ms,9.044 ms,44.748999999999995 ms,48
2025-04-20T16:03:36.736636Z,2025-04-20T16:03:36.745800Z,9.164 ms,10.972795918367348 ms,9.044 ms,44.748999999999995 ms,49
2025-04-20T16:03:41.736934Z,2025-04-20T16:03:41.745938Z,9.004 ms,10.933420000000002 ms,9.004 ms,44.748999999999995 ms,50
2025-04-20T16:03:46.736490Z,2025-04-20T16:03:46.745705Z,9.215 ms,10.89972549019608 ms,9.004 ms,44.748999999999995 ms,51
2025-04-20T16:03:51.736446Z,2025-04-20T16:03:51.749233Z,12.786999999999999 ms,10.93601923076923 ms,9.004 ms,44.748999999999995 ms,52
2025-04-20T16:03:56.736547Z,2025-04-20T16:03:56.745742Z,9.195 ms,10.903169811320755 ms,9.004 ms,44.748999999999995 ms,53
2025-04-20T16:04:01.736720Z,2025-04-20T16:04:01.745963Z,9.243 ms,10.872425925925924 ms,9.004 ms,44.748999999999995 ms,54
2025-04-20T16:04:06.736668Z,2025-04-20T16:04:06.747738Z,11.07 ms,10.876018181818182 ms,9.004 ms,44.748999999999995 ms,55
2025-04-20T16:04:11.736634Z,2025-04-20T16:04:11.746420Z,9.786 ms,10.85655357142857 ms,9.004 ms,44.748999999999995 ms,56
2025-04-20T16:04:16.736762Z,2025-04-20T16:04:16.745951Z,9.189 ms,10.827298245614033 ms,9.004 ms,44.748999999999995 ms,57
2025-04-20T16:04:21.736770Z,2025-04-20T16:04:21.745792Z,9.022 ms,10.796172413793101 ms,9.004 ms,44.748999999999995 ms,58
2025-04-20T16:04:26.736767Z,2025-04-20T16:04:26.745655Z,8.888 ms,10.763830508474575 ms,8.888 ms,44.748999999999995 ms,59
2025-04-20T16:04:31.736847Z,2025-04-20T16:04:31.746367Z,9.520000000000001 ms,10.743099999999998 ms,8.888 ms,44.748999999999995 ms,60
2025-04-20T16:04:36.737432Z,2025-04-20T16:04:36.751466Z,14.033999999999999 ms,10.797049180327868 ms,8.888 ms,44.748999999999995 ms,61
2025-04-20T16:04:41.738124Z,2025-04-20T16:04:41.748363Z,10.238999999999999 ms,10.788048387096772 ms,8.888 ms,44.748999999999995 ms,62
2025-04-20T16:04:46.737782Z,2025-04-20T16:04:46.746875Z,9.093 ms,10.761142857142854 ms,8.888 ms,44.748999999999995 ms,63
2025-04-20T16:04:51.737205Z,2025-04-20T16:04:51.747512Z,10.307 ms,10.754046874999997 ms,8.888 ms,44.748999999999995 ms,64
2025-04-20T16:04:56.737113Z,2025-04-20T16:04:56.748331Z,11.218 ms,10.761184615384611 ms,8.888 ms,44.748999999999995 ms,65
2025-04-20T16:05:01.737053Z,2025-04-20T16:05:01.746010Z,8.956999999999999 ms,10.733848484848481 ms,8.888 ms,44.748999999999995 ms,66
2025-04-20T16:05:06.737224Z,2025-04-20T16:05:06.745997Z,8.773 ms,10.704582089552236 ms,8.773 ms,44.748999999999995 ms,67
2025-04-20T16:05:11.737167Z,2025-04-20T16:05:11.745965Z,8.798 ms,10.676544117647055 ms,8.773 ms,44.748999999999995 ms,68
2025-04-20T16:05:16.738246Z,2025-04-20T16:05:16.747312Z,9.065999999999999 ms,10.653202898550722 ms,8.773 ms,44.748999999999995 ms,69
2025-04-20T16:05:21.737161Z,2025-04-20T16:05:21.745991Z,8.83 ms,10.627157142857142 ms,8.773 ms,44.748999999999995 ms,70
2025-04-20T16:05:26.738794Z,2025-04-20T16:05:26.747917Z,9.123 ms,10.605971830985913 ms,8.773 ms,44.748999999999995 ms,71
2025-04-20T16:05:31.737230Z,2025-04-20T16:05:31.748552Z,11.322000000000001 ms,10.615916666666664 ms,8.773 ms,44.748999999999995 ms,72
2025-04-20T16:05:36.737177Z,2025-04-20T16:05:36.746083Z,8.906 ms,10.592493150684929 ms,8.773 ms,44.748999999999995 ms,73
2025-04-20T16:05:41.737240Z,2025-04-20T16:05:41.746183Z,8.943 ms,10.570202702702701 ms,8.773 ms,44.748999999999995 ms,74
2025-04-20T16:05:46.739544Z,2025-04-20T16:05:46.750432Z,10.888 ms,10.574439999999997 ms,8.773 ms,44.748999999999995 ms,75
2025-04-20T16:05:51.739350Z,2025-04-20T16:05:51.748643Z,9.293 ms,10.55757894736842 ms,8.773 ms,44.748999999999995 ms,76
2025-04-20T16:05:56.738841Z,2025-04-20T16:05:56.747543Z,8.702 ms,10.533480519480516 ms,8.702 ms,44.748999999999995 ms,77
2025-04-20T16:06:01.738803Z,2025-04-20T16:06:01.747524Z,8.721 ms,10.510243589743588 ms,8.702 ms,44.748999999999995 ms,78
2025-04-20T16:06:06.740083Z,2025-04-20T16:06:06.749464Z,9.381 ms,10.495949367088604 ms,8.702 ms,44.748999999999995 ms,79
2025-04-20T16:06:11.742920Z,2025-04-20T16:06:11.751980Z,9.06 ms,10.477999999999998 ms,8.702 ms,44.748999999999995 ms,80
2025-04-20T16:06:16.742118Z,2025-04-20T16:06:16.751174Z,9.056 ms,10.460444444444441 ms,8.702 ms,44.748999999999995 ms,81
2025-04-20T16:06:21.741814Z,2025-04-20T16:06:21.752179Z,10.364999999999998 ms,10.459280487804874 ms,8.702 ms,44.748999999999995 ms,82
2025-04-20T16:06:26.741712Z,2025-04-20T16:06:26.750879Z,9.167 ms,10.443710843373491 ms,8.702 ms,44.748999999999995 ms,83
2025-04-20T16:06:31.741938Z,2025-04-20T16:06:31.751118Z,9.180000000000001 ms,10.428666666666663 ms,8.702 ms,44.748999999999995 ms,84
2025-04-20T16:06:36.744977Z,2025-04-20T16:06:36.755892Z,10.915 ms,10.434388235294113 ms,8.702 ms,44.748999999999995 ms,85
2025-04-20T16:06:41.742448Z,2025-04-20T16:06:41.751133Z,8.685 ms,10.414046511627905 ms,8.685 ms,44.748999999999995 ms,86
2025-04-20T16:06:46.743114Z,2025-04-20T16:06:46.752028Z,8.914 ms,10.396804597701147 ms,8.685 ms,44.748999999999995 ms,87
2025-04-20T16:06:51.742582Z,2025-04-20T16:06:51.751803Z,9.221 ms,10.38344318181818 ms,8.685 ms,44.748999999999995 ms,88
2025-04-20T16:06:56.742649Z,2025-04-20T16:06:56.753659Z,11.010000000000002 ms,10.390483146067412 ms,8.685 ms,44.748999999999995 ms,89
2025-04-20T16:07:01.743067Z,2025-04-20T16:07:01.752133Z,9.065999999999999 ms,10.375766666666664 ms,8.685 ms,44.748999999999995 ms,90
2025-04-20T16:07:06.742609Z,2025-04-20T16:07:06.751654Z,9.045 ms,10.361142857142854 ms,8.685 ms,44.748999999999995 ms,91
2025-04-20T16:07:11.742738Z,2025-04-20T16:07:11.753300Z,10.562 ms,10.363326086956517 ms,8.685 ms,44.748999999999995 ms,92
2025-04-20T16:07:16.743442Z,2025-04-20T16:07:16.752608Z,9.166 ms,10.350451612903223 ms,8.685 ms,44.748999999999995 ms,93
2025-04-20T16:07:21.744961Z,2025-04-20T16:07:21.754144Z,9.183 ms,10.338031914893612 ms,8.685 ms,44.748999999999995 ms,94
2025-04-20T16:07:26.750051Z,2025-04-20T16:07:26.759486Z,9.435 ms,10.328526315789471 ms,8.685 ms,44.748999999999995 ms,95
2025-04-20T16:07:31.747334Z,2025-04-20T16:07:31.761216Z,13.882 ms,10.365541666666664 ms,8.685 ms,44.748999999999995 ms,96
2025-04-20T16:07:36.746558Z,2025-04-20T16:07:36.755648Z,9.090000000000002 ms,10.352391752577317 ms,8.685 ms,44.748999999999995 ms,97
2025-04-20T16:07:41.746535Z,2025-04-20T16:07:41.755516Z,8.981 ms,10.33839795918367 ms,8.685 ms,44.748999999999995 ms,98
2025-04-20T16:07:46.746623Z,2025-04-20T16:07:46.755571Z,8.947999999999999 ms,10.32435353535353 ms,8.685 ms,44.748999999999995 ms,99
2025-04-20T16:07:51.755421Z,2025-04-20T16:07:51.767199Z,11.778 ms,10.338889999999996 ms,8.685 ms,44.748999999999995 ms,100
2025-04-20T16:07:56.746912Z,2025-04-20T16:07:56.756612Z,9.700000000000001 ms,10.33256435643564 ms,8.685 ms,44.748999999999995 ms,101
2025-04-20T16:08:01.746742Z,2025-04-20T16:08:01.755691Z,8.949 ms,10.318999999999999 ms,8.685 ms,44.748999999999995 ms,102
2025-04-20T16:08:06.746900Z,2025-04-20T16:08:06.755641Z,8.741 ms,10.303679611650484 ms,8.685 ms,44.748999999999995 ms,103
2025-04-20T16:08:11.746660Z,2025-04-20T16:08:11.758657Z,11.997 ms,10.319961538461538 ms,8.685 ms,44.748999999999995 ms,104
2025-04-20T16:08:16.747244Z,2025-04-20T16:08:16.755772Z,8.528 ms,10.302895238095237 ms,8.528 ms,44.748999999999995 ms,105
2025-04-20T16:08:21.747028Z,2025-04-20T16:08:21.755540Z,8.512 ms,10.286 ms,8.512 ms,44.748999999999995 ms,106
2025-04-20T16:08:26.747370Z,2025-04-20T16:08:26.756700Z,9.33 ms,10.27706542056075 ms,8.512 ms,44.748999999999995 ms,107
