observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-21T23:33:45.445812Z,2025-04-21T23:33:45.481334Z,35.522 ms,35.522 ms,35.522 ms,35.522 ms,1
2025-04-21T23:33:50.445003Z,2025-04-21T23:33:50.452723Z,7.720000000000001 ms,21.621 ms,7.720000000000001 ms,35.522 ms,2
2025-04-21T23:33:55.447017Z,2025-04-21T23:33:55.455433Z,8.416 ms,17.21933333333333 ms,7.720000000000001 ms,35.522 ms,3
2025-04-21T23:34:00.447996Z,2025-04-21T23:34:00.455550Z,7.554 ms,14.802999999999999 ms,7.554 ms,35.522 ms,4
2025-04-21T23:34:05.448971Z,2025-04-21T23:34:05.456578Z,7.607 ms,13.3638 ms,7.554 ms,35.522 ms,5
2025-04-21T23:34:10.448937Z,2025-04-21T23:34:10.456163Z,7.226 ms,12.34083333333333 ms,7.226 ms,35.522 ms,6
2025-04-21T23:34:15.449047Z,2025-04-21T23:34:15.456053Z,7.006 ms,11.578714285714284 ms,7.006 ms,35.522 ms,7
2025-04-21T23:34:20.452026Z,2025-04-21T23:34:20.460046Z,8.02 ms,11.133874999999998 ms,7.006 ms,35.522 ms,8
2025-04-21T23:34:25.455339Z,2025-04-21T23:34:25.462737Z,7.398 ms,10.718777777777778 ms,7.006 ms,35.522 ms,9
2025-04-21T23:34:30.454170Z,2025-04-21T23:34:30.461337Z,7.167 ms,10.363599999999996 ms,7.006 ms,35.522 ms,10
2025-04-21T23:34:35.459978Z,2025-04-21T23:34:35.467044Z,7.066 ms,10.063818181818181 ms,7.006 ms,35.522 ms,11
2025-04-21T23:34:40.460898Z,2025-04-21T23:34:40.467413Z,6.515 ms,9.768083333333331 ms,6.515 ms,35.522 ms,12
2025-04-21T23:34:45.463840Z,2025-04-21T23:34:45.470852Z,7.012 ms,9.556076923076922 ms,6.515 ms,35.522 ms,13
2025-04-21T23:34:50.472866Z,2025-04-21T23:34:50.480066Z,7.2 ms,9.387785714285712 ms,6.515 ms,35.522 ms,14
2025-04-21T23:34:55.468310Z,2025-04-21T23:34:55.475924Z,7.614 ms,9.269533333333333 ms,6.515 ms,35.522 ms,15
2025-04-21T23:35:00.469540Z,2025-04-21T23:35:00.476484Z,6.944 ms,9.1241875 ms,6.515 ms,35.522 ms,16
2025-04-21T23:35:05.470048Z,2025-04-21T23:35:05.476506Z,6.458 ms,8.96735294117647 ms,6.458 ms,35.522 ms,17
2025-04-21T23:35:10.471925Z,2025-04-21T23:35:10.479049Z,7.1240000000000006 ms,8.864944444444445 ms,6.458 ms,35.522 ms,18
2025-04-21T23:35:15.470561Z,2025-04-21T23:35:15.477176Z,6.615 ms,8.746526315789474 ms,6.458 ms,35.522 ms,19
2025-04-21T23:35:20.473808Z,2025-04-21T23:35:20.480851Z,7.043 ms,8.66135 ms,6.458 ms,35.522 ms,20
2025-04-21T23:35:25.473056Z,2025-04-21T23:35:25.479965Z,6.909 ms,8.577904761904762 ms,6.458 ms,35.522 ms,21
2025-04-21T23:35:30.477791Z,2025-04-21T23:35:30.484202Z,6.411 ms,8.47940909090909 ms,6.411 ms,35.522 ms,22
2025-04-21T23:35:35.473703Z,2025-04-21T23:35:35.480552Z,6.849 ms,8.408521739130434 ms,6.411 ms,35.522 ms,23
2025-04-21T23:35:40.480275Z,2025-04-21T23:35:40.486609Z,6.3340000000000005 ms,8.322083333333332 ms,6.3340000000000005 ms,35.522 ms,24
2025-04-21T23:35:45.483102Z,2025-04-21T23:35:45.490535Z,7.433000000000001 ms,8.28652 ms,6.3340000000000005 ms,35.522 ms,25
2025-04-21T23:35:50.481781Z,2025-04-21T23:35:50.488298Z,6.517 ms,8.218461538461538 ms,6.3340000000000005 ms,35.522 ms,26
