observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T20:06:12.608547Z,2025-05-21T20:06:12.673000Z,64.453 ms,64.453 ms,64.453 ms,64.453 ms,1
2025-05-21T20:06:17.603064Z,2025-05-21T20:06:17.616000Z,12.936 ms,38.6945 ms,12.936 ms,64.453 ms,2
2025-05-21T20:06:22.603025Z,2025-05-21T20:06:22.621000Z,17.975 ms,31.788000000000004 ms,12.936 ms,64.453 ms,3
2025-05-21T20:06:27.603292Z,2025-05-21T20:06:27.619000Z,15.708 ms,27.768 ms,12.936 ms,64.453 ms,4
2025-05-21T20:06:32.604135Z,2025-05-21T20:06:32.616000Z,11.865 ms,24.587400000000002 ms,11.865 ms,64.453 ms,5
2025-05-21T20:06:37.604400Z,2025-05-21T20:06:37.620000Z,15.6 ms,23.089499999999997 ms,11.865 ms,64.453 ms,6
2025-05-21T20:06:42.603822Z,2025-05-21T20:06:42.615000Z,11.178 ms,21.387857142857143 ms,11.178 ms,64.453 ms,7
2025-05-21T20:06:47.604043Z,2025-05-21T20:06:47.616000Z,11.957 ms,20.208999999999996 ms,11.178 ms,64.453 ms,8
2025-05-21T20:06:52.604820Z,2025-05-21T20:06:52.617000Z,12.18 ms,19.316888888888887 ms,11.178 ms,64.453 ms,9
2025-05-21T20:06:57.604412Z,2025-05-21T20:06:57.625000Z,20.587999999999997 ms,19.443999999999996 ms,11.178 ms,64.453 ms,10
2025-05-21T20:07:02.604084Z,2025-05-21T20:07:02.617000Z,12.916 ms,18.850545454545454 ms,11.178 ms,64.453 ms,11
2025-05-21T20:07:07.604186Z,2025-05-21T20:07:07.615000Z,10.814 ms,18.18083333333333 ms,10.814 ms,64.453 ms,12
2025-05-21T20:07:12.604316Z,2025-05-21T20:07:12.617000Z,12.684000000000001 ms,17.758 ms,10.814 ms,64.453 ms,13
2025-05-21T20:07:17.604172Z,2025-05-21T20:07:17.615000Z,10.828000000000001 ms,17.262999999999998 ms,10.814 ms,64.453 ms,14
2025-05-21T20:07:22.605103Z,2025-05-21T20:07:22.616000Z,10.897 ms,16.8386 ms,10.814 ms,64.453 ms,15
2025-05-21T20:07:27.604579Z,2025-05-21T20:07:27.616000Z,11.421000000000001 ms,16.5 ms,10.814 ms,64.453 ms,16
2025-05-21T20:07:32.604491Z,2025-05-21T20:07:32.615000Z,10.508999999999999 ms,16.14758823529412 ms,10.508999999999999 ms,64.453 ms,17
2025-05-21T20:07:37.604736Z,2025-05-21T20:07:37.615000Z,10.264000000000001 ms,15.820722222222223 ms,10.264000000000001 ms,64.453 ms,18
2025-05-21T20:07:42.607851Z,2025-05-21T20:07:42.619000Z,11.149 ms,15.57484210526316 ms,10.264000000000001 ms,64.453 ms,19
2025-05-21T20:07:47.604846Z,2025-05-21T20:07:47.616000Z,11.154 ms,15.353800000000001 ms,10.264000000000001 ms,64.453 ms,20
2025-05-21T20:07:52.604663Z,2025-05-21T20:07:52.615000Z,10.337000000000002 ms,15.114904761904763 ms,10.264000000000001 ms,64.453 ms,21
2025-05-21T20:08:12.504337Z,2025-05-21T20:08:12.567000Z,62.663 ms,17.276181818181815 ms,10.264000000000001 ms,64.453 ms,22
2025-05-21T20:08:12.504337Z,2025-05-21T20:08:12.600000Z,95.663 ms,20.684304347826085 ms,10.264000000000001 ms,95.663 ms,23
2025-05-21T20:08:12.504337Z,2025-05-21T20:08:12.642000Z,137.663 ms,25.558416666666666 ms,10.264000000000001 ms,137.663 ms,24
2025-05-21T20:08:12.504337Z,2025-05-21T20:08:12.681000Z,176.66299999999998 ms,31.602600000000002 ms,10.264000000000001 ms,176.66299999999998 ms,25
