observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-17T23:21:03.627170Z,2025-04-17T23:21:02.995718Z,2025-04-17T23:21:03.854401Z,227.231 ms,227.231 ms,227.231 ms,227.231 ms,858.683 ms,858.683 ms,858.683 ms,858.683 ms,1
2025-04-17T23:21:09.300394Z,2025-04-17T23:21:08.876051Z,2025-04-17T23:21:09.416077Z,115.68299999999999 ms,171.457 ms,115.68299999999999 ms,227.231 ms,540.026 ms,699.3545 ms,540.026 ms,858.683 ms,2
2025-04-17T23:21:14.820193Z,2025-04-17T23:21:14.428970Z,2025-04-17T23:21:14.932803Z,112.61 ms,151.84133333333332 ms,112.61 ms,227.231 ms,503.83299999999997 ms,634.1806666666666 ms,503.83299999999997 ms,858.683 ms,3
2025-04-17T23:21:20.383532Z,2025-04-17T23:21:19.943479Z,2025-04-17T23:21:20.493397Z,109.86500000000001 ms,141.34725 ms,109.86500000000001 ms,227.231 ms,549.918 ms,613.115 ms,503.83299999999997 ms,858.683 ms,4
2025-04-17T23:21:25.970916Z,2025-04-17T23:21:25.503510Z,2025-04-17T23:21:26.066321Z,95.405 ms,132.15879999999999 ms,95.405 ms,227.231 ms,562.8109999999999 ms,603.0542 ms,503.83299999999997 ms,858.683 ms,5
2025-04-17T23:21:31.513354Z,2025-04-17T23:21:31.079049Z,2025-04-17T23:21:31.620900Z,107.546 ms,128.05666666666667 ms,95.405 ms,227.231 ms,541.851 ms,592.8536666666666 ms,503.83299999999997 ms,858.683 ms,6
2025-04-17T23:21:37.047315Z,2025-04-17T23:21:36.633948Z,2025-04-17T23:21:37.154261Z,106.946 ms,125.04085714285715 ms,95.405 ms,227.231 ms,520.313 ms,582.4907142857141 ms,503.83299999999997 ms,858.683 ms,7
2025-04-17T23:21:42.567716Z,2025-04-17T23:21:42.167476Z,2025-04-17T23:21:42.683772Z,116.05600000000001 ms,123.91775000000001 ms,95.405 ms,227.231 ms,516.2959999999999 ms,574.2163749999999 ms,503.83299999999997 ms,858.683 ms,8
2025-04-17T23:21:48.107036Z,2025-04-17T23:21:47.697505Z,2025-04-17T23:21:48.203737Z,96.701 ms,120.89366666666668 ms,95.405 ms,227.231 ms,506.232 ms,566.6625555555554 ms,503.83299999999997 ms,858.683 ms,9
2025-04-17T23:21:53.628892Z,2025-04-17T23:21:53.215492Z,2025-04-17T23:21:53.730842Z,101.95 ms,118.9993 ms,95.405 ms,227.231 ms,515.35 ms,561.5312999999999 ms,503.83299999999997 ms,858.683 ms,10
