observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-23T05:28:25.172501Z,2025-04-23T05:28:24.654521Z,2025-04-23T05:28:25.328748Z,156.24699999999999 ms,156.24699999999999 ms,156.24699999999999 ms,156.24699999999999 ms,674.227 ms,674.227 ms,674.227 ms,674.227 ms,1
2025-04-23T05:28:30.737605Z,2025-04-23T05:28:30.376379Z,2025-04-23T05:28:30.828966Z,91.361 ms,123.804 ms,91.361 ms,156.24699999999999 ms,452.587 ms,563.407 ms,452.587 ms,674.227 ms,2
2025-04-23T05:28:36.209665Z,2025-04-23T05:28:35.882320Z,2025-04-23T05:28:36.265993Z,56.328 ms,101.312 ms,56.328 ms,156.24699999999999 ms,383.673 ms,503.4956666666667 ms,383.673 ms,674.227 ms,3
2025-04-23T05:28:41.628601Z,2025-04-23T05:28:41.302295Z,2025-04-23T05:28:41.698462Z,69.861 ms,93.44924999999999 ms,56.328 ms,156.24699999999999 ms,396.167 ms,476.66349999999994 ms,383.673 ms,674.227 ms,4
2025-04-23T05:28:47.082471Z,2025-04-23T05:28:46.730516Z,2025-04-23T05:28:47.138130Z,55.659 ms,85.8912 ms,55.659 ms,156.24699999999999 ms,407.614 ms,462.8536 ms,383.673 ms,674.227 ms,5
2025-04-23T05:28:52.564220Z,2025-04-23T05:28:52.170300Z,2025-04-23T05:28:52.650729Z,86.509 ms,85.99416666666666 ms,55.659 ms,156.24699999999999 ms,480.429 ms,465.7828333333333 ms,383.673 ms,674.227 ms,6
2025-04-23T05:28:58.002502Z,2025-04-23T05:28:57.682332Z,2025-04-23T05:28:58.060207Z,57.705 ms,81.95285714285714 ms,55.659 ms,156.24699999999999 ms,377.875 ms,453.2245714285714 ms,377.875 ms,674.227 ms,7
2025-04-23T05:29:03.397589Z,2025-04-23T05:29:03.090289Z,2025-04-23T05:29:03.458355Z,60.766 ms,79.3045 ms,55.659 ms,156.24699999999999 ms,368.06600000000003 ms,442.57974999999993 ms,368.06600000000003 ms,674.227 ms,8
2025-04-23T05:29:08.797428Z,2025-04-23T05:29:08.489652Z,2025-04-23T05:29:08.856913Z,59.48500000000001 ms,77.10233333333333 ms,55.659 ms,156.24699999999999 ms,367.261 ms,434.21099999999996 ms,367.261 ms,674.227 ms,9
2025-04-23T05:29:14.240204Z,2025-04-23T05:29:13.886310Z,2025-04-23T05:29:14.299926Z,59.721999999999994 ms,75.36430000000001 ms,55.659 ms,156.24699999999999 ms,413.616 ms,432.15149999999994 ms,367.261 ms,674.227 ms,10
