observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-05-21T18:49:28.281500Z,2025-05-21T18:49:27.495064Z,2025-05-21T18:49:28.317456Z,35.956 ms,35.956 ms,35.956 ms,35.956 ms,822.392 ms,822.392 ms,822.392 ms,822.392 ms,1
2025-05-21T18:49:33.919850Z,2025-05-21T18:49:33.323048Z,2025-05-21T18:49:33.952873Z,33.022999999999996 ms,34.4895 ms,33.022999999999996 ms,35.956 ms,629.8249999999999 ms,726.1085 ms,629.8249999999999 ms,822.392 ms,2
2025-05-21T18:49:39.641533Z,2025-05-21T18:49:38.955073Z,2025-05-21T18:49:39.668082Z,26.549 ms,31.842666666666666 ms,26.549 ms,35.956 ms,713.009 ms,721.742 ms,629.8249999999999 ms,822.392 ms,3
2025-05-21T18:49:45.184390Z,2025-05-21T18:49:44.671039Z,2025-05-21T18:49:45.211926Z,27.536 ms,30.766000000000002 ms,26.549 ms,35.956 ms,540.8870000000001 ms,676.5282500000001 ms,540.8870000000001 ms,822.392 ms,4
2025-05-21T18:49:50.773452Z,2025-05-21T18:49:50.215040Z,2025-05-21T18:49:50.799547Z,26.095 ms,29.8318 ms,26.095 ms,35.956 ms,584.507 ms,658.124 ms,540.8870000000001 ms,822.392 ms,5
2025-05-21T18:49:56.356442Z,2025-05-21T18:49:55.804870Z,2025-05-21T18:49:56.383804Z,27.362000000000002 ms,29.420166666666667 ms,26.095 ms,35.956 ms,578.934 ms,644.9256666666666 ms,540.8870000000001 ms,822.392 ms,6
2025-05-21T18:50:01.894260Z,2025-05-21T18:50:01.387060Z,2025-05-21T18:50:01.917330Z,23.07 ms,28.513000000000005 ms,23.07 ms,35.956 ms,530.27 ms,628.5462857142858 ms,530.27 ms,822.392 ms,7
2025-05-21T18:50:07.486266Z,2025-05-21T18:50:06.919068Z,2025-05-21T18:50:07.509934Z,23.668000000000003 ms,27.907375000000002 ms,23.07 ms,35.956 ms,590.866 ms,623.83625 ms,530.27 ms,822.392 ms,8
2025-05-21T18:50:13.106990Z,2025-05-21T18:50:12.515091Z,2025-05-21T18:50:13.131825Z,24.835 ms,27.566 ms,23.07 ms,35.956 ms,616.734 ms,623.0471111111111 ms,530.27 ms,822.392 ms,9
2025-05-21T18:50:18.671405Z,2025-05-21T18:50:18.135059Z,2025-05-21T18:50:18.695563Z,24.157999999999998 ms,27.225199999999997 ms,23.07 ms,35.956 ms,560.504 ms,616.7928 ms,530.27 ms,822.392 ms,10
2025-05-21T18:50:24.266290Z,2025-05-21T18:50:23.701380Z,2025-05-21T18:50:24.295567Z,29.277 ms,27.411727272727273 ms,23.07 ms,35.956 ms,594.187 ms,614.7377272727273 ms,530.27 ms,822.392 ms,11
2025-05-21T18:50:29.834325Z,2025-05-21T18:50:29.299062Z,2025-05-21T18:50:29.856603Z,22.278 ms,26.983916666666666 ms,22.278 ms,35.956 ms,557.5409999999999 ms,609.9713333333333 ms,530.27 ms,822.392 ms,12
2025-05-21T18:50:35.368196Z,2025-05-21T18:50:34.859050Z,2025-05-21T18:50:35.391728Z,23.532 ms,26.718384615384615 ms,22.278 ms,35.956 ms,532.678 ms,604.0256923076922 ms,530.27 ms,822.392 ms,13
2025-05-21T18:50:40.980634Z,2025-05-21T18:50:40.395074Z,2025-05-21T18:50:41.004751Z,24.117 ms,26.53257142857143 ms,22.278 ms,35.956 ms,609.677 ms,604.429357142857 ms,530.27 ms,822.392 ms,14
2025-05-21T18:50:46.575822Z,2025-05-21T18:50:46.007052Z,2025-05-21T18:50:46.599392Z,23.57 ms,26.335066666666666 ms,22.278 ms,35.956 ms,592.34 ms,603.6234 ms,530.27 ms,822.392 ms,15
