observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-22T04:32:55.111495Z,2025-04-22T04:32:54.291197Z,2025-04-22T04:32:55.141721Z,30.226 ms,30.226 ms,30.226 ms,30.226 ms,850.524 ms,850.524 ms,850.524 ms,850.524 ms,1
2025-04-22T04:33:00.813114Z,2025-04-22T04:33:00.146303Z,2025-04-22T04:33:00.837682Z,24.567999999999998 ms,27.397 ms,24.567999999999998 ms,30.226 ms,691.379 ms,770.9515 ms,691.379 ms,850.524 ms,2
2025-04-22T04:33:06.626617Z,2025-04-22T04:33:05.842286Z,2025-04-22T04:33:06.653440Z,26.823 ms,27.205666666666666 ms,24.567999999999998 ms,30.226 ms,811.154 ms,784.3523333333334 ms,691.379 ms,850.524 ms,3
2025-04-22T04:33:12.317984Z,2025-04-22T04:33:11.658338Z,2025-04-22T04:33:12.339774Z,21.79 ms,25.85175 ms,21.79 ms,30.226 ms,681.436 ms,758.6232500000001 ms,681.436 ms,850.524 ms,4
2025-04-22T04:33:17.994602Z,2025-04-22T04:33:17.342288Z,2025-04-22T04:33:18.015614Z,21.012 ms,24.8838 ms,21.012 ms,30.226 ms,673.326 ms,741.5638 ms,673.326 ms,850.524 ms,5
2025-04-22T04:33:23.620009Z,2025-04-22T04:33:23.018295Z,2025-04-22T04:33:23.641697Z,21.688 ms,24.351166666666664 ms,21.012 ms,30.226 ms,623.402 ms,721.8701666666667 ms,623.402 ms,850.524 ms,6
2025-04-22T04:33:29.357074Z,2025-04-22T04:33:28.646298Z,2025-04-22T04:33:29.381691Z,24.617 ms,24.389142857142854 ms,21.012 ms,30.226 ms,735.3929999999999 ms,723.802 ms,623.402 ms,850.524 ms,7
2025-04-22T04:33:35.027976Z,2025-04-22T04:33:34.386300Z,2025-04-22T04:33:35.048356Z,20.38 ms,23.887999999999998 ms,20.38 ms,30.226 ms,662.0559999999999 ms,716.08375 ms,623.402 ms,850.524 ms,8
2025-04-22T04:33:40.648163Z,2025-04-22T04:33:40.050311Z,2025-04-22T04:33:40.668214Z,20.051 ms,23.461666666666666 ms,20.051 ms,30.226 ms,617.903 ms,705.1747777777778 ms,617.903 ms,850.524 ms,9
2025-04-22T04:33:46.350809Z,2025-04-22T04:33:45.670280Z,2025-04-22T04:33:46.371221Z,20.412 ms,23.156699999999994 ms,20.051 ms,30.226 ms,700.941 ms,704.7514 ms,617.903 ms,850.524 ms,10
