observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-23T12:47:39.891774Z,2025-04-23T12:47:39.617665Z,2025-04-23T12:47:39.933157Z,41.383 ms,41.383 ms,41.383 ms,41.383 ms,315.492 ms,315.492 ms,315.492 ms,315.492 ms,1
2025-04-23T12:47:45.167110Z,2025-04-23T12:47:44.938968Z,2025-04-23T12:47:45.181250Z,14.14 ms,27.7615 ms,14.14 ms,41.383 ms,242.282 ms,278.887 ms,242.282 ms,315.492 ms,2
2025-04-23T12:47:50.406956Z,2025-04-23T12:47:50.186269Z,2025-04-23T12:47:50.420618Z,13.662 ms,23.061666666666664 ms,13.662 ms,41.383 ms,234.349 ms,264.04100000000005 ms,234.349 ms,315.492 ms,3
2025-04-23T12:47:55.646816Z,2025-04-23T12:47:55.426282Z,2025-04-23T12:47:55.659417Z,12.600999999999999 ms,20.4465 ms,12.600999999999999 ms,41.383 ms,233.13500000000002 ms,256.3145 ms,233.13500000000002 ms,315.492 ms,4
2025-04-23T12:48:00.891323Z,2025-04-23T12:48:00.662356Z,2025-04-23T12:48:00.903264Z,11.941 ms,18.745400000000004 ms,11.941 ms,41.383 ms,240.90800000000002 ms,253.23320000000004 ms,233.13500000000002 ms,315.492 ms,5
2025-04-23T12:48:06.133481Z,2025-04-23T12:48:05.909015Z,2025-04-23T12:48:06.146790Z,13.309 ms,17.839333333333336 ms,11.941 ms,41.383 ms,237.77499999999998 ms,250.6568333333334 ms,233.13500000000002 ms,315.492 ms,6
2025-04-23T12:48:11.376177Z,2025-04-23T12:48:11.151312Z,2025-04-23T12:48:11.388491Z,12.314 ms,17.050000000000004 ms,11.941 ms,41.383 ms,237.179 ms,248.7314285714286 ms,233.13500000000002 ms,315.492 ms,7
2025-04-23T12:48:16.620151Z,2025-04-23T12:48:16.394342Z,2025-04-23T12:48:16.632748Z,12.597000000000001 ms,16.493375 ms,11.941 ms,41.383 ms,238.406 ms,247.44075000000004 ms,233.13500000000002 ms,315.492 ms,8
2025-04-23T12:48:21.859223Z,2025-04-23T12:48:21.635987Z,2025-04-23T12:48:21.870988Z,11.764999999999999 ms,15.968 ms,11.764999999999999 ms,41.383 ms,235.00099999999998 ms,246.05855555555559 ms,233.13500000000002 ms,315.492 ms,9
2025-04-23T12:48:27.110778Z,2025-04-23T12:48:26.876627Z,2025-04-23T12:48:27.122901Z,12.123 ms,15.5835 ms,11.764999999999999 ms,41.383 ms,246.274 ms,246.08010000000004 ms,233.13500000000002 ms,315.492 ms,10
2025-04-23T12:48:32.345986Z,2025-04-23T12:48:32.126327Z,2025-04-23T12:48:32.358162Z,12.176 ms,15.273727272727273 ms,11.764999999999999 ms,41.383 ms,231.835 ms,244.7850909090909 ms,231.835 ms,315.492 ms,11
2025-04-23T12:48:37.600678Z,2025-04-23T12:48:37.359729Z,2025-04-23T12:48:37.612953Z,12.274999999999999 ms,15.023833333333334 ms,11.764999999999999 ms,41.383 ms,253.22400000000002 ms,245.48833333333334 ms,231.835 ms,315.492 ms,12
2025-04-23T12:48:42.859090Z,2025-04-23T12:48:42.618300Z,2025-04-23T12:48:42.870539Z,11.449000000000002 ms,14.748846153846152 ms,11.449000000000002 ms,41.383 ms,252.239 ms,246.00761538461538 ms,231.835 ms,315.492 ms,13
2025-04-23T12:48:48.097715Z,2025-04-23T12:48:47.874942Z,2025-04-23T12:48:48.110316Z,12.600999999999999 ms,14.59542857142857 ms,11.449000000000002 ms,41.383 ms,235.374 ms,245.24807142857145 ms,231.835 ms,315.492 ms,14
2025-04-23T12:48:53.497624Z,2025-04-23T12:48:53.114264Z,2025-04-23T12:48:53.512014Z,14.39 ms,14.58173333333333 ms,11.449000000000002 ms,41.383 ms,397.75 ms,255.41486666666668 ms,231.835 ms,397.75 ms,15
2025-04-23T12:48:58.740431Z,2025-04-23T12:48:58.514299Z,2025-04-23T12:48:58.752308Z,11.877 ms,14.412687499999999 ms,11.449000000000002 ms,41.383 ms,238.009 ms,254.32700000000003 ms,231.835 ms,397.75 ms,16
2025-04-23T12:49:03.989884Z,2025-04-23T12:49:03.754702Z,2025-04-23T12:49:04.001838Z,11.953999999999999 ms,14.26805882352941 ms,11.449000000000002 ms,41.383 ms,247.136 ms,253.90400000000002 ms,231.835 ms,397.75 ms,17
2025-04-23T12:49:09.262185Z,2025-04-23T12:49:09.006293Z,2025-04-23T12:49:09.274373Z,12.187999999999999 ms,14.152499999999996 ms,11.449000000000002 ms,41.383 ms,268.08 ms,254.69155555555562 ms,231.835 ms,397.75 ms,18
2025-04-23T12:49:14.530780Z,2025-04-23T12:49:14.280081Z,2025-04-23T12:49:14.544096Z,13.315999999999999 ms,14.108473684210523 ms,11.449000000000002 ms,41.383 ms,264.015 ms,255.18226315789477 ms,231.835 ms,397.75 ms,19
2025-04-23T12:49:19.814175Z,2025-04-23T12:49:19.545048Z,2025-04-23T12:49:19.826181Z,12.005999999999998 ms,14.003349999999998 ms,11.449000000000002 ms,41.383 ms,281.13300000000004 ms,256.4798 ms,231.835 ms,397.75 ms,20
2025-04-23T12:49:25.057952Z,2025-04-23T12:49:24.830292Z,2025-04-23T12:49:25.069626Z,11.674 ms,13.89242857142857 ms,11.449000000000002 ms,41.383 ms,239.334 ms,255.66333333333336 ms,231.835 ms,397.75 ms,21
2025-04-23T12:49:30.305993Z,2025-04-23T12:49:30.070929Z,2025-04-23T12:49:30.318998Z,13.004999999999999 ms,13.852090909090908 ms,11.449000000000002 ms,41.383 ms,248.06900000000002 ms,255.31813636363637 ms,231.835 ms,397.75 ms,22
2025-04-23T12:49:35.552405Z,2025-04-23T12:49:35.324631Z,2025-04-23T12:49:35.563745Z,11.34 ms,13.74286956521739 ms,11.34 ms,41.383 ms,239.114 ms,254.6136086956522 ms,231.835 ms,397.75 ms,23
2025-04-23T12:49:40.817061Z,2025-04-23T12:49:40.566307Z,2025-04-23T12:49:40.829122Z,12.061 ms,13.672791666666665 ms,11.34 ms,41.383 ms,262.815 ms,254.95533333333336 ms,231.835 ms,397.75 ms,24
2025-04-23T12:49:46.100318Z,2025-04-23T12:49:45.834807Z,2025-04-23T12:49:46.111854Z,11.536 ms,13.587319999999998 ms,11.34 ms,41.383 ms,277.04699999999997 ms,255.83899999999997 ms,231.835 ms,397.75 ms,25
2025-04-23T12:49:51.343271Z,2025-04-23T12:49:51.117059Z,2025-04-23T12:49:51.354987Z,11.716000000000001 ms,13.515346153846153 ms,11.34 ms,41.383 ms,237.928 ms,255.15011538461542 ms,231.835 ms,397.75 ms,26
2025-04-23T12:49:56.578319Z,2025-04-23T12:49:56.359405Z,2025-04-23T12:49:56.590322Z,12.003 ms,13.459333333333332 ms,11.34 ms,41.383 ms,230.917 ms,254.25259259259258 ms,230.917 ms,397.75 ms,27
2025-04-23T12:50:01.866920Z,2025-04-23T12:50:01.594872Z,2025-04-23T12:50:01.878802Z,11.882 ms,13.402999999999999 ms,11.34 ms,41.383 ms,283.93 ms,255.3125 ms,230.917 ms,397.75 ms,28
2025-04-23T12:50:07.128677Z,2025-04-23T12:50:06.882279Z,2025-04-23T12:50:07.139980Z,11.303 ms,13.33058620689655 ms,11.303 ms,41.383 ms,257.701 ms,255.3948620689655 ms,230.917 ms,397.75 ms,29
2025-04-23T12:50:12.361465Z,2025-04-23T12:50:12.142979Z,2025-04-23T12:50:12.372866Z,11.401 ms,13.266266666666665 ms,11.303 ms,41.383 ms,229.887 ms,254.54459999999995 ms,229.887 ms,397.75 ms,30
2025-04-23T12:50:17.607872Z,2025-04-23T12:50:17.378295Z,2025-04-23T12:50:17.619046Z,11.174 ms,13.198774193548386 ms,11.174 ms,41.383 ms,240.751 ms,254.0996451612903 ms,229.887 ms,397.75 ms,31
2025-04-23T12:50:22.879632Z,2025-04-23T12:50:22.624258Z,2025-04-23T12:50:22.891754Z,12.122000000000002 ms,13.165125 ms,11.174 ms,41.383 ms,267.49600000000004 ms,254.51828124999997 ms,229.887 ms,397.75 ms,32
2025-04-23T12:50:28.120448Z,2025-04-23T12:50:27.897513Z,2025-04-23T12:50:28.132009Z,11.561 ms,13.116515151515152 ms,11.174 ms,41.383 ms,234.496 ms,253.9115454545454 ms,229.887 ms,397.75 ms,33
2025-04-23T12:50:33.354183Z,2025-04-23T12:50:33.134299Z,2025-04-23T12:50:33.365634Z,11.450999999999999 ms,13.067529411764705 ms,11.174 ms,41.383 ms,231.335 ms,253.24752941176465 ms,229.887 ms,397.75 ms,34
2025-04-23T12:50:38.595873Z,2025-04-23T12:50:38.370970Z,2025-04-23T12:50:38.607363Z,11.49 ms,13.022457142857142 ms,11.174 ms,41.383 ms,236.393 ms,252.7659714285714 ms,229.887 ms,397.75 ms,35
2025-04-23T12:50:43.842848Z,2025-04-23T12:50:43.613028Z,2025-04-23T12:50:43.853913Z,11.065 ms,12.96808333333333 ms,11.065 ms,41.383 ms,240.885 ms,252.4359444444444 ms,229.887 ms,397.75 ms,36
2025-04-23T12:50:49.080732Z,2025-04-23T12:50:48.859040Z,2025-04-23T12:50:49.092163Z,11.431000000000001 ms,12.92654054054054 ms,11.065 ms,41.383 ms,233.123 ms,251.91397297297297 ms,229.887 ms,397.75 ms,37
2025-04-23T12:50:54.316029Z,2025-04-23T12:50:54.098039Z,2025-04-23T12:50:54.327754Z,11.725 ms,12.894921052631577 ms,11.065 ms,41.383 ms,229.715 ms,251.32978947368423 ms,229.715 ms,397.75 ms,38
2025-04-23T12:50:59.561314Z,2025-04-23T12:50:59.332741Z,2025-04-23T12:50:59.572928Z,11.613999999999999 ms,12.862076923076922 ms,11.065 ms,41.383 ms,240.187 ms,251.04407692307694 ms,229.715 ms,397.75 ms,39
2025-04-23T12:51:04.821104Z,2025-04-23T12:51:04.578254Z,2025-04-23T12:51:04.832980Z,11.876 ms,12.837425 ms,11.065 ms,41.383 ms,254.726 ms,251.13612500000005 ms,229.715 ms,397.75 ms,40
2025-04-23T12:51:10.114105Z,2025-04-23T12:51:09.838413Z,2025-04-23T12:51:10.125403Z,11.298 ms,12.799878048780487 ms,11.065 ms,41.383 ms,286.99 ms,252.01060975609758 ms,229.715 ms,397.75 ms,41
2025-04-23T12:51:15.353257Z,2025-04-23T12:51:15.130287Z,2025-04-23T12:51:15.365058Z,11.801 ms,12.776095238095238 ms,11.065 ms,41.383 ms,234.77100000000002 ms,251.60014285714288 ms,229.715 ms,397.75 ms,42
2025-04-23T12:51:20.634126Z,2025-04-23T12:51:20.370687Z,2025-04-23T12:51:20.645473Z,11.347 ms,12.742860465116278 ms,11.065 ms,41.383 ms,274.786 ms,252.13934883720935 ms,229.715 ms,397.75 ms,43
2025-04-23T12:51:25.907594Z,2025-04-23T12:51:25.650285Z,2025-04-23T12:51:25.919283Z,11.689 ms,12.718909090909088 ms,11.065 ms,41.383 ms,268.998 ms,252.52250000000004 ms,229.715 ms,397.75 ms,44
2025-04-23T12:51:31.175176Z,2025-04-23T12:51:30.922894Z,2025-04-23T12:51:31.186866Z,11.690000000000001 ms,12.696044444444441 ms,11.065 ms,41.383 ms,263.972 ms,252.7769333333334 ms,229.715 ms,397.75 ms,45
