observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-18T17:02:47.646352Z,2025-04-18T17:02:47.753830Z,2025-04-18T17:02:47.781084Z,134.732 ms,27.254 ms,27.254 ms,27.254 ms,27.254 ms,1
2025-04-18T17:02:52.636891Z,2025-04-18T17:02:52.640430Z,2025-04-18T17:02:52.649483Z,12.592 ms,9.053 ms,18.1535 ms,9.053 ms,27.254 ms,2
2025-04-18T17:02:57.642382Z,2025-04-18T17:02:57.645751Z,2025-04-18T17:02:57.655888Z,13.506 ms,10.137 ms,15.481333333333334 ms,9.053 ms,27.254 ms,3
2025-04-18T17:03:02.642192Z,2025-04-18T17:03:02.645511Z,2025-04-18T17:03:02.654728Z,12.536 ms,9.216999999999999 ms,13.91525 ms,9.053 ms,27.254 ms,4
2025-04-18T17:03:07.637844Z,2025-04-18T17:03:07.641142Z,2025-04-18T17:03:07.649943Z,12.099 ms,8.801 ms,12.892400000000002 ms,8.801 ms,27.254 ms,5
2025-04-18T17:03:12.641890Z,2025-04-18T17:03:12.645062Z,2025-04-18T17:03:12.654582Z,12.692 ms,9.520000000000001 ms,12.330333333333334 ms,8.801 ms,27.254 ms,6
2025-04-18T17:03:17.637661Z,2025-04-18T17:03:17.640823Z,2025-04-18T17:03:17.650314Z,12.652999999999999 ms,9.491 ms,11.924714285714288 ms,8.801 ms,27.254 ms,7
2025-04-18T17:03:22.641689Z,2025-04-18T17:03:22.644523Z,2025-04-18T17:03:22.653087Z,11.398 ms,8.564 ms,11.504625 ms,8.564 ms,27.254 ms,8
2025-04-18T17:03:27.642809Z,2025-04-18T17:03:27.646083Z,2025-04-18T17:03:27.656715Z,13.906 ms,10.632000000000001 ms,11.407666666666668 ms,8.564 ms,27.254 ms,9
2025-04-18T17:03:32.639256Z,2025-04-18T17:03:32.642371Z,2025-04-18T17:03:32.651240Z,11.984 ms,8.869 ms,11.153800000000002 ms,8.564 ms,27.254 ms,10
2025-04-18T17:03:37.636884Z,2025-04-18T17:03:37.640086Z,2025-04-18T17:03:37.649265Z,12.381 ms,9.179 ms,10.974272727272728 ms,8.564 ms,27.254 ms,11
