observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T16:15:33.094361Z,2025-04-22T16:15:33.200178Z,105.817 ms,105.817 ms,105.817 ms,105.817 ms,1
2025-04-22T16:15:38.067441Z,2025-04-22T16:15:38.091530Z,24.089 ms,64.953 ms,24.089 ms,105.817 ms,2
2025-04-22T16:15:43.071209Z,2025-04-22T16:15:43.092334Z,21.125 ms,50.34366666666667 ms,21.125 ms,105.817 ms,3
2025-04-22T16:15:48.068152Z,2025-04-22T16:15:48.088711Z,20.559 ms,42.8975 ms,20.559 ms,105.817 ms,4
2025-04-22T16:15:53.063878Z,2025-04-22T16:15:53.082559Z,18.681 ms,38.054199999999994 ms,18.681 ms,105.817 ms,5
2025-04-22T16:15:58.059253Z,2025-04-22T16:15:58.075769Z,16.516 ms,34.4645 ms,16.516 ms,105.817 ms,6
2025-04-22T16:16:03.060227Z,2025-04-22T16:16:03.077077Z,16.85 ms,31.948142857142855 ms,16.516 ms,105.817 ms,7
2025-04-22T16:16:08.062823Z,2025-04-22T16:16:08.082732Z,19.909 ms,30.443250000000003 ms,16.516 ms,105.817 ms,8
2025-04-22T16:16:13.058892Z,2025-04-22T16:16:13.075369Z,16.477 ms,28.891444444444446 ms,16.477 ms,105.817 ms,9
2025-04-22T16:16:18.058702Z,2025-04-22T16:16:18.075686Z,16.983999999999998 ms,27.7007 ms,16.477 ms,105.817 ms,10
2025-04-22T16:16:23.069555Z,2025-04-22T16:16:23.086856Z,17.301000000000002 ms,26.75527272727273 ms,16.477 ms,105.817 ms,11
2025-04-22T16:16:28.059441Z,2025-04-22T16:16:28.077338Z,17.897 ms,26.017083333333332 ms,16.477 ms,105.817 ms,12
2025-04-22T16:16:33.074828Z,2025-04-22T16:16:33.096031Z,21.203 ms,25.646769230769234 ms,16.477 ms,105.817 ms,13
2025-04-22T16:16:38.064180Z,2025-04-22T16:16:38.081007Z,16.827 ms,25.016785714285717 ms,16.477 ms,105.817 ms,14
2025-04-22T16:16:43.060862Z,2025-04-22T16:16:43.077186Z,16.324 ms,24.43726666666667 ms,16.324 ms,105.817 ms,15
2025-04-22T16:16:48.060450Z,2025-04-22T16:16:48.076995Z,16.545 ms,23.944 ms,16.324 ms,105.817 ms,16
2025-04-22T16:16:53.068169Z,2025-04-22T16:16:53.086225Z,18.055999999999997 ms,23.59764705882353 ms,16.324 ms,105.817 ms,17
