observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T16:15:33.094361Z,2025-04-22T16:15:33.187000Z,92.639 ms,92.639 ms,92.639 ms,92.639 ms,1
2025-04-22T16:15:38.067441Z,2025-04-22T16:15:38.077000Z,9.559 ms,51.099 ms,9.559 ms,92.639 ms,2
2025-04-22T16:15:43.071209Z,2025-04-22T16:15:43.080000Z,8.791 ms,36.99633333333333 ms,8.791 ms,92.639 ms,3
2025-04-22T16:15:48.068152Z,2025-04-22T16:15:48.077000Z,8.848 ms,29.95925 ms,8.791 ms,92.639 ms,4
2025-04-22T16:15:53.063878Z,2025-04-22T16:15:53.072000Z,8.122 ms,25.5918 ms,8.122 ms,92.639 ms,5
2025-04-22T16:15:58.059253Z,2025-04-22T16:15:58.066000Z,6.747000000000001 ms,22.451 ms,6.747000000000001 ms,92.639 ms,6
2025-04-22T16:16:03.060227Z,2025-04-22T16:16:03.068000Z,7.773000000000001 ms,20.354142857142854 ms,6.747000000000001 ms,92.639 ms,7
2025-04-22T16:16:08.062823Z,2025-04-22T16:16:08.071000Z,8.177 ms,18.831999999999997 ms,6.747000000000001 ms,92.639 ms,8
2025-04-22T16:16:13.058892Z,2025-04-22T16:16:13.066000Z,7.108 ms,17.52933333333333 ms,6.747000000000001 ms,92.639 ms,9
2025-04-22T16:16:18.058702Z,2025-04-22T16:16:18.066000Z,7.298 ms,16.5062 ms,6.747000000000001 ms,92.639 ms,10
2025-04-22T16:16:23.069555Z,2025-04-22T16:16:23.077000Z,7.445 ms,15.682454545454545 ms,6.747000000000001 ms,92.639 ms,11
2025-04-22T16:16:28.059441Z,2025-04-22T16:16:28.067000Z,7.559 ms,15.0055 ms,6.747000000000001 ms,92.639 ms,12
2025-04-22T16:16:33.074828Z,2025-04-22T16:16:33.083000Z,8.172 ms,14.479846153846156 ms,6.747000000000001 ms,92.639 ms,13
2025-04-22T16:16:38.064180Z,2025-04-22T16:16:38.072000Z,7.82 ms,14.004142857142858 ms,6.747000000000001 ms,92.639 ms,14
2025-04-22T16:16:43.060862Z,2025-04-22T16:16:43.068000Z,7.138 ms,13.546400000000002 ms,6.747000000000001 ms,92.639 ms,15
2025-04-22T16:16:48.060450Z,2025-04-22T16:16:48.068000Z,7.550000000000001 ms,13.171625 ms,6.747000000000001 ms,92.639 ms,16
2025-04-22T16:16:53.068169Z,2025-04-22T16:16:53.076000Z,7.8309999999999995 ms,12.857470588235294 ms,6.747000000000001 ms,92.639 ms,17
2025-04-22T16:16:58.073923Z,2025-04-22T16:16:58.081000Z,7.077 ms,12.536333333333335 ms,6.747000000000001 ms,92.639 ms,18
2025-04-22T16:17:03.060372Z,2025-04-22T16:17:03.068000Z,7.628 ms,12.278 ms,6.747000000000001 ms,92.639 ms,19
2025-04-22T16:17:08.062227Z,2025-04-22T16:17:08.069000Z,6.773000000000001 ms,12.00275 ms,6.747000000000001 ms,92.639 ms,20
2025-04-22T16:17:13.062131Z,2025-04-22T16:17:13.069000Z,6.869 ms,11.758285714285716 ms,6.747000000000001 ms,92.639 ms,21
2025-04-22T16:17:18.060943Z,2025-04-22T16:17:18.068000Z,7.0569999999999995 ms,11.544590909090909 ms,6.747000000000001 ms,92.639 ms,22
2025-04-22T16:17:23.059735Z,2025-04-22T16:17:23.067000Z,7.265 ms,11.358521739130435 ms,6.747000000000001 ms,92.639 ms,23
2025-04-22T16:17:28.060698Z,2025-04-22T16:17:28.068000Z,7.3020000000000005 ms,11.1895 ms,6.747000000000001 ms,92.639 ms,24
2025-04-22T16:17:33.059986Z,2025-04-22T16:17:33.067000Z,7.014 ms,11.022480000000002 ms,6.747000000000001 ms,92.639 ms,25
