observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T17:44:09.762047Z,2025-04-22T17:44:09.882825Z,120.77799999999999 ms,120.77799999999999 ms,120.77799999999999 ms,120.77799999999999 ms,1
2025-04-22T17:44:14.759847Z,2025-04-22T17:44:14.772387Z,12.540000000000001 ms,66.65899999999999 ms,12.540000000000001 ms,120.77799999999999 ms,2
2025-04-22T17:44:19.752998Z,2025-04-22T17:44:19.765337Z,12.338999999999999 ms,48.55233333333333 ms,12.338999999999999 ms,120.77799999999999 ms,3
2025-04-22T17:44:24.760879Z,2025-04-22T17:44:24.771561Z,10.682 ms,39.08474999999999 ms,10.682 ms,120.77799999999999 ms,4
2025-04-22T17:44:29.766918Z,2025-04-22T17:44:29.777278Z,10.36 ms,33.3398 ms,10.36 ms,120.77799999999999 ms,5
2025-04-22T17:44:34.755409Z,2025-04-22T17:44:34.765954Z,10.545 ms,29.540666666666663 ms,10.36 ms,120.77799999999999 ms,6
2025-04-22T17:44:39.755557Z,2025-04-22T17:44:39.766691Z,11.134 ms,26.911142857142856 ms,10.36 ms,120.77799999999999 ms,7
2025-04-22T17:44:44.757667Z,2025-04-22T17:44:44.768256Z,10.588999999999999 ms,24.870874999999998 ms,10.36 ms,120.77799999999999 ms,8
2025-04-22T17:44:49.755024Z,2025-04-22T17:44:49.766673Z,11.649 ms,23.401777777777774 ms,10.36 ms,120.77799999999999 ms,9
2025-04-22T17:44:54.759608Z,2025-04-22T17:44:54.769891Z,10.283000000000001 ms,22.089899999999997 ms,10.283000000000001 ms,120.77799999999999 ms,10
2025-04-22T17:44:59.755600Z,2025-04-22T17:44:59.765844Z,10.244 ms,21.012999999999998 ms,10.244 ms,120.77799999999999 ms,11
2025-04-22T17:45:04.756050Z,2025-04-22T17:45:04.766021Z,9.971 ms,20.09283333333333 ms,9.971 ms,120.77799999999999 ms,12
2025-04-22T17:45:09.756150Z,2025-04-22T17:45:09.766347Z,10.197 ms,19.331615384615382 ms,9.971 ms,120.77799999999999 ms,13
2025-04-22T17:45:14.765589Z,2025-04-22T17:45:14.775413Z,9.824 ms,18.652499999999996 ms,9.824 ms,120.77799999999999 ms,14
2025-04-22T17:45:19.757617Z,2025-04-22T17:45:19.768016Z,10.399000000000001 ms,18.10226666666666 ms,9.824 ms,120.77799999999999 ms,15
2025-04-22T17:45:24.755572Z,2025-04-22T17:45:24.765770Z,10.198 ms,17.608249999999995 ms,9.824 ms,120.77799999999999 ms,16
2025-04-22T17:45:29.760551Z,2025-04-22T17:45:29.771378Z,10.827 ms,17.209352941176462 ms,9.824 ms,120.77799999999999 ms,17
2025-04-22T17:45:34.758011Z,2025-04-22T17:45:34.768640Z,10.629 ms,16.843777777777774 ms,9.824 ms,120.77799999999999 ms,18
2025-04-22T17:45:39.760681Z,2025-04-22T17:45:39.771397Z,10.716 ms,16.521263157894733 ms,9.824 ms,120.77799999999999 ms,19
2025-04-22T17:45:44.758886Z,2025-04-22T17:45:44.768627Z,9.741 ms,16.182249999999996 ms,9.741 ms,120.77799999999999 ms,20
2025-04-22T17:45:49.758312Z,2025-04-22T17:45:49.768504Z,10.192 ms,15.896999999999995 ms,9.741 ms,120.77799999999999 ms,21
2025-04-22T17:45:54.763165Z,2025-04-22T17:45:54.776432Z,13.267 ms,15.777454545454539 ms,9.741 ms,120.77799999999999 ms,22
2025-04-22T17:45:59.759121Z,2025-04-22T17:45:59.769202Z,10.081 ms,15.529782608695646 ms,9.741 ms,120.77799999999999 ms,23
2025-04-22T17:46:04.761599Z,2025-04-22T17:46:04.771381Z,9.782 ms,15.290291666666661 ms,9.741 ms,120.77799999999999 ms,24
2025-04-22T17:46:09.762226Z,2025-04-22T17:46:09.773660Z,11.434 ms,15.136039999999994 ms,9.741 ms,120.77799999999999 ms,25
2025-04-22T17:46:14.758264Z,2025-04-22T17:46:14.767164Z,8.9 ms,14.896192307692303 ms,8.9 ms,120.77799999999999 ms,26
2025-04-22T17:46:19.763370Z,2025-04-22T17:46:19.772311Z,8.940999999999999 ms,14.675629629629626 ms,8.9 ms,120.77799999999999 ms,27
2025-04-22T17:46:24.760091Z,2025-04-22T17:46:24.769835Z,9.744 ms,14.499499999999996 ms,8.9 ms,120.77799999999999 ms,28
2025-04-22T17:46:29.758417Z,2025-04-22T17:46:29.768238Z,9.821 ms,14.338172413793098 ms,8.9 ms,120.77799999999999 ms,29
2025-04-22T17:46:34.761698Z,2025-04-22T17:46:34.771548Z,9.85 ms,14.188566666666663 ms,8.9 ms,120.77799999999999 ms,30
2025-04-22T17:46:39.758742Z,2025-04-22T17:46:39.768608Z,9.866 ms,14.049129032258062 ms,8.9 ms,120.77799999999999 ms,31
2025-04-22T17:46:44.761973Z,2025-04-22T17:46:44.772853Z,10.88 ms,13.950093749999997 ms,8.9 ms,120.77799999999999 ms,32
2025-04-22T17:46:49.757455Z,2025-04-22T17:46:49.767115Z,9.66 ms,13.820090909090904 ms,8.9 ms,120.77799999999999 ms,33
2025-04-22T17:46:54.760585Z,2025-04-22T17:46:54.769727Z,9.142000000000001 ms,13.682499999999997 ms,8.9 ms,120.77799999999999 ms,34
2025-04-22T17:46:59.759369Z,2025-04-22T17:46:59.770555Z,11.186 ms,13.611171428571424 ms,8.9 ms,120.77799999999999 ms,35
2025-04-22T17:47:04.762312Z,2025-04-22T17:47:04.772022Z,9.709999999999999 ms,13.50280555555555 ms,8.9 ms,120.77799999999999 ms,36
2025-04-22T17:47:09.758990Z,2025-04-22T17:47:09.768170Z,9.180000000000001 ms,13.385972972972969 ms,8.9 ms,120.77799999999999 ms,37
2025-04-22T17:47:14.759538Z,2025-04-22T17:47:14.768509Z,8.971 ms,13.269789473684206 ms,8.9 ms,120.77799999999999 ms,38
2025-04-22T17:47:19.760711Z,2025-04-22T17:47:19.771089Z,10.378 ms,13.195641025641022 ms,8.9 ms,120.77799999999999 ms,39
2025-04-22T17:47:24.760308Z,2025-04-22T17:47:24.770029Z,9.721 ms,13.108774999999994 ms,8.9 ms,120.77799999999999 ms,40
2025-04-22T17:47:29.765350Z,2025-04-22T17:47:29.774971Z,9.620999999999999 ms,13.023707317073166 ms,8.9 ms,120.77799999999999 ms,41
2025-04-22T17:47:34.763666Z,2025-04-22T17:47:34.773884Z,10.218 ms,12.956904761904756 ms,8.9 ms,120.77799999999999 ms,42
2025-04-22T17:47:39.767436Z,2025-04-22T17:47:39.776955Z,9.519 ms,12.876953488372088 ms,8.9 ms,120.77799999999999 ms,43
2025-04-22T17:47:44.763683Z,2025-04-22T17:47:44.773215Z,9.532 ms,12.800931818181814 ms,8.9 ms,120.77799999999999 ms,44
2025-04-22T17:47:49.760578Z,2025-04-22T17:47:49.770627Z,10.049000000000001 ms,12.739777777777771 ms,8.9 ms,120.77799999999999 ms,45
2025-04-22T17:47:54.774459Z,2025-04-22T17:47:54.783930Z,9.471 ms,12.668717391304343 ms,8.9 ms,120.77799999999999 ms,46
2025-04-22T17:47:59.765632Z,2025-04-22T17:47:59.776528Z,10.895999999999999 ms,12.630999999999995 ms,8.9 ms,120.77799999999999 ms,47
2025-04-22T17:48:04.762686Z,2025-04-22T17:48:04.774074Z,11.388 ms,12.60510416666666 ms,8.9 ms,120.77799999999999 ms,48
2025-04-22T17:48:09.770756Z,2025-04-22T17:48:09.781035Z,10.279 ms,12.55763265306122 ms,8.9 ms,120.77799999999999 ms,49
2025-04-22T17:48:14.769874Z,2025-04-22T17:48:14.780053Z,10.179 ms,12.510059999999996 ms,8.9 ms,120.77799999999999 ms,50
2025-04-22T17:48:19.765565Z,2025-04-22T17:48:19.777206Z,11.641 ms,12.493019607843134 ms,8.9 ms,120.77799999999999 ms,51
