observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-18T17:02:47.646352Z,2025-04-18T17:02:47.763151Z,116.799 ms,116.799 ms,116.799 ms,116.799 ms,1
2025-04-18T17:02:52.636891Z,2025-04-18T17:02:52.645276Z,8.385 ms,62.59199999999999 ms,8.385 ms,116.799 ms,2
2025-04-18T17:02:57.642382Z,2025-04-18T17:02:57.651440Z,9.058 ms,44.74733333333333 ms,8.385 ms,116.799 ms,3
2025-04-18T17:03:02.642192Z,2025-04-18T17:03:02.650239Z,8.047 ms,35.57225 ms,8.047 ms,116.799 ms,4
2025-04-18T17:03:07.637844Z,2025-04-18T17:03:07.645658Z,7.814 ms,30.020599999999998 ms,7.814 ms,116.799 ms,5
2025-04-18T17:03:12.641890Z,2025-04-18T17:03:12.650003Z,8.113 ms,26.36933333333333 ms,7.814 ms,116.799 ms,6
2025-04-18T17:03:17.637661Z,2025-04-18T17:03:17.645878Z,8.217 ms,23.776142857142858 ms,7.814 ms,116.799 ms,7
2025-04-18T17:03:22.641689Z,2025-04-18T17:03:22.648779Z,7.09 ms,21.690375000000003 ms,7.09 ms,116.799 ms,8
2025-04-18T17:03:27.642809Z,2025-04-18T17:03:27.651198Z,8.389000000000001 ms,20.212444444444447 ms,7.09 ms,116.799 ms,9
2025-04-18T17:03:32.639256Z,2025-04-18T17:03:32.646792Z,7.5360000000000005 ms,18.9448 ms,7.09 ms,116.799 ms,10
2025-04-18T17:03:37.636884Z,2025-04-18T17:03:37.644740Z,7.856 ms,17.936727272727275 ms,7.09 ms,116.799 ms,11
2025-04-18T17:03:42.641247Z,2025-04-18T17:03:42.648255Z,7.008 ms,17.026 ms,7.008 ms,116.799 ms,12
2025-04-18T17:03:47.642542Z,2025-04-18T17:03:47.649990Z,7.4479999999999995 ms,16.28923076923077 ms,7.008 ms,116.799 ms,13
2025-04-18T17:03:52.641937Z,2025-04-18T17:03:52.649319Z,7.382 ms,15.653 ms,7.008 ms,116.799 ms,14
2025-04-18T17:03:57.642347Z,2025-04-18T17:03:57.649668Z,7.321000000000001 ms,15.097533333333333 ms,7.008 ms,116.799 ms,15
2025-04-18T17:04:02.639633Z,2025-04-18T17:04:02.647027Z,7.394 ms,14.6160625 ms,7.008 ms,116.799 ms,16
