observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-05-21T11:17:02.693802Z,2025-05-21T11:17:01.992008Z,2025-05-21T11:17:02.855185Z,161.383 ms,161.383 ms,161.383 ms,161.383 ms,863.177 ms,863.177 ms,863.177 ms,863.177 ms,1
2025-05-21T11:17:08.604295Z,2025-05-21T11:17:07.883046Z,2025-05-21T11:17:08.664428Z,60.132999999999996 ms,110.758 ms,60.132999999999996 ms,161.383 ms,781.3820000000001 ms,822.2795000000001 ms,781.3820000000001 ms,863.177 ms,2
2025-05-21T11:17:14.365220Z,2025-05-21T11:17:13.699918Z,2025-05-21T11:17:14.439282Z,74.062 ms,98.526 ms,60.132999999999996 ms,161.383 ms,739.364 ms,794.6410000000001 ms,739.364 ms,863.177 ms,3
2025-05-21T11:17:20.118109Z,2025-05-21T11:17:19.460459Z,2025-05-21T11:17:20.161355Z,43.246 ms,84.706 ms,43.246 ms,161.383 ms,700.896 ms,771.2047500000001 ms,700.896 ms,863.177 ms,4
2025-05-21T11:17:25.814003Z,2025-05-21T11:17:25.183034Z,2025-05-21T11:17:25.859514Z,45.511 ms,76.867 ms,43.246 ms,161.383 ms,676.48 ms,752.2598 ms,676.48 ms,863.177 ms,5
2025-05-21T11:17:31.460368Z,2025-05-21T11:17:30.875047Z,2025-05-21T11:17:31.525157Z,64.789 ms,74.854 ms,43.246 ms,161.383 ms,650.11 ms,735.2348333333333 ms,650.11 ms,863.177 ms,6
2025-05-21T11:17:37.181367Z,2025-05-21T11:17:36.563059Z,2025-05-21T11:17:37.213641Z,32.273999999999994 ms,68.77114285714285 ms,32.273999999999994 ms,161.383 ms,650.582 ms,723.1415714285714 ms,650.11 ms,863.177 ms,7
2025-05-21T11:17:42.865393Z,2025-05-21T11:17:42.227055Z,2025-05-21T11:17:42.926643Z,61.25 ms,67.831 ms,32.273999999999994 ms,161.383 ms,699.588 ms,720.1973750000001 ms,650.11 ms,863.177 ms,8
2025-05-21T11:17:48.585245Z,2025-05-21T11:17:47.947102Z,2025-05-21T11:17:48.616848Z,31.602999999999998 ms,63.805666666666674 ms,31.602999999999998 ms,161.383 ms,669.746 ms,714.5916666666667 ms,650.11 ms,863.177 ms,9
2025-05-21T11:17:54.249941Z,2025-05-21T11:17:53.631053Z,2025-05-21T11:17:54.292700Z,42.759 ms,61.70100000000001 ms,31.602999999999998 ms,161.383 ms,661.6469999999999 ms,709.2972000000001 ms,650.11 ms,863.177 ms,10
2025-05-21T11:17:59.976265Z,2025-05-21T11:17:59.319020Z,2025-05-21T11:18:00.015119Z,38.854 ms,59.624 ms,31.602999999999998 ms,161.383 ms,696.099 ms,708.0973636363636 ms,650.11 ms,863.177 ms,11
2025-05-21T11:18:05.657570Z,2025-05-21T11:18:05.035066Z,2025-05-21T11:18:05.707468Z,49.897999999999996 ms,58.8135 ms,31.602999999999998 ms,161.383 ms,672.402 ms,705.1227500000001 ms,650.11 ms,863.177 ms,12
2025-05-21T11:18:11.368607Z,2025-05-21T11:18:10.727055Z,2025-05-21T11:18:11.405749Z,37.142 ms,57.146461538461544 ms,31.602999999999998 ms,161.383 ms,678.6940000000001 ms,703.0897692307694 ms,650.11 ms,863.177 ms,13
2025-05-21T11:18:17.072253Z,2025-05-21T11:18:16.423053Z,2025-05-21T11:18:17.110971Z,38.718 ms,55.83014285714286 ms,31.602999999999998 ms,161.383 ms,687.918 ms,702.0060714285715 ms,650.11 ms,863.177 ms,14
2025-05-21T11:18:22.753321Z,2025-05-21T11:18:22.127070Z,2025-05-21T11:18:22.789238Z,35.916999999999994 ms,54.5026 ms,31.602999999999998 ms,161.383 ms,662.168 ms,699.3502000000001 ms,650.11 ms,863.177 ms,15
2025-05-21T11:18:28.453517Z,2025-05-21T11:18:27.803623Z,2025-05-21T11:18:28.488595Z,35.077999999999996 ms,53.2885625 ms,31.602999999999998 ms,161.383 ms,684.972 ms,698.4515625 ms,650.11 ms,863.177 ms,16
2025-05-21T11:18:34.124715Z,2025-05-21T11:18:33.503047Z,2025-05-21T11:18:34.157095Z,32.38 ms,52.058647058823524 ms,31.602999999999998 ms,161.383 ms,654.048 ms,695.8395882352942 ms,650.11 ms,863.177 ms,17
2025-05-21T11:18:39.813374Z,2025-05-21T11:18:39.171498Z,2025-05-21T11:18:39.857191Z,43.817 ms,51.60077777777777 ms,31.602999999999998 ms,161.383 ms,685.693 ms,695.275888888889 ms,650.11 ms,863.177 ms,18
2025-05-21T11:18:45.492899Z,2025-05-21T11:18:44.871082Z,2025-05-21T11:18:45.536919Z,44.019999999999996 ms,51.2017894736842 ms,31.602999999999998 ms,161.383 ms,665.837 ms,693.7264736842105 ms,650.11 ms,863.177 ms,19
2025-05-21T11:18:51.207605Z,2025-05-21T11:18:50.553841Z,2025-05-21T11:18:51.251914Z,44.309000000000005 ms,50.85715 ms,31.602999999999998 ms,161.383 ms,698.0730000000001 ms,693.9438000000001 ms,650.11 ms,863.177 ms,20
