observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-21T14:13:58.387300Z,2025-04-21T14:13:56.298539Z,2025-04-21T14:13:58.491035Z,103.735 ms,103.735 ms,103.735 ms,103.735 ms,2192.4959999999996 ms,2192.4959999999996 ms,2192.4959999999996 ms,2192.4959999999996 ms,1
2025-04-21T14:14:04.192760Z,2025-04-21T14:14:03.515050Z,2025-04-21T14:14:04.242183Z,49.423 ms,76.579 ms,49.423 ms,103.735 ms,727.133 ms,1459.8144999999997 ms,727.133 ms,2192.4959999999996 ms,2
2025-04-21T14:14:09.959179Z,2025-04-21T14:14:09.262245Z,2025-04-21T14:14:10.004663Z,45.483999999999995 ms,66.214 ms,45.483999999999995 ms,103.735 ms,742.418 ms,1220.6823333333332 ms,727.133 ms,2192.4959999999996 ms,3
2025-04-21T14:14:15.684815Z,2025-04-21T14:14:15.023296Z,2025-04-21T14:14:15.729015Z,44.2 ms,60.7105 ms,44.2 ms,103.735 ms,705.7189999999999 ms,1091.9415 ms,705.7189999999999 ms,2192.4959999999996 ms,4
2025-04-21T14:14:21.395915Z,2025-04-21T14:14:20.746317Z,2025-04-21T14:14:21.424284Z,28.369 ms,54.2422 ms,28.369 ms,103.735 ms,677.967 ms,1009.1465999999998 ms,677.967 ms,2192.4959999999996 ms,5
2025-04-21T14:14:27.102155Z,2025-04-21T14:14:26.438289Z,2025-04-21T14:14:27.128082Z,25.927 ms,49.52299999999999 ms,25.927 ms,103.735 ms,689.793 ms,955.9209999999999 ms,677.967 ms,2192.4959999999996 ms,6
2025-04-21T14:14:32.813637Z,2025-04-21T14:14:32.142426Z,2025-04-21T14:14:32.860169Z,46.532 ms,49.09571428571429 ms,25.927 ms,103.735 ms,717.743 ms,921.8955714285712 ms,677.967 ms,2192.4959999999996 ms,7
2025-04-21T14:14:38.544952Z,2025-04-21T14:14:37.874304Z,2025-04-21T14:14:38.573120Z,28.168 ms,46.47975 ms,25.927 ms,103.735 ms,698.816 ms,894.0106249999999 ms,677.967 ms,2192.4959999999996 ms,8
2025-04-21T14:14:44.268045Z,2025-04-21T14:14:43.590357Z,2025-04-21T14:14:44.300675Z,32.63 ms,44.94088888888889 ms,25.927 ms,103.735 ms,710.318 ms,873.6003333333332 ms,677.967 ms,2192.4959999999996 ms,9
2025-04-21T14:14:49.948217Z,2025-04-21T14:14:49.314300Z,2025-04-21T14:14:49.973044Z,24.826999999999998 ms,42.9295 ms,24.826999999999998 ms,103.735 ms,658.744 ms,852.1146999999999 ms,658.744 ms,2192.4959999999996 ms,10
2025-04-21T14:14:55.642605Z,2025-04-21T14:14:54.986294Z,2025-04-21T14:14:55.677998Z,35.393 ms,42.24436363636364 ms,24.826999999999998 ms,103.735 ms,691.704 ms,837.531909090909 ms,658.744 ms,2192.4959999999996 ms,11
2025-04-21T14:15:01.358691Z,2025-04-21T14:15:00.694296Z,2025-04-21T14:15:01.397179Z,38.488 ms,41.93133333333333 ms,24.826999999999998 ms,103.735 ms,702.883 ms,826.3111666666666 ms,658.744 ms,2192.4959999999996 ms,12
2025-04-21T14:15:07.072194Z,2025-04-21T14:15:06.414606Z,2025-04-21T14:15:07.122035Z,49.841 ms,42.53976923076923 ms,24.826999999999998 ms,103.735 ms,707.429 ms,817.1663846153845 ms,658.744 ms,2192.4959999999996 ms,13
2025-04-21T14:15:12.826691Z,2025-04-21T14:15:12.139463Z,2025-04-21T14:15:12.866114Z,39.423 ms,42.317142857142855 ms,24.826999999999998 ms,103.735 ms,726.6510000000001 ms,810.7009999999999 ms,658.744 ms,2192.4959999999996 ms,14
2025-04-21T14:15:18.549957Z,2025-04-21T14:15:17.882298Z,2025-04-21T14:15:18.581064Z,31.107 ms,41.569799999999994 ms,24.826999999999998 ms,103.735 ms,698.766 ms,803.2386666666665 ms,658.744 ms,2192.4959999999996 ms,15
2025-04-21T14:15:24.277562Z,2025-04-21T14:15:23.602300Z,2025-04-21T14:15:24.316017Z,38.455000000000005 ms,41.375125 ms,24.826999999999998 ms,103.735 ms,713.7170000000001 ms,797.6435624999999 ms,658.744 ms,2192.4959999999996 ms,16
2025-04-21T14:15:29.992858Z,2025-04-21T14:15:29.330299Z,2025-04-21T14:15:30.026217Z,33.359 ms,40.903588235294116 ms,24.826999999999998 ms,103.735 ms,695.918 ms,791.6597058823529 ms,658.744 ms,2192.4959999999996 ms,17
2025-04-21T14:15:35.703661Z,2025-04-21T14:15:35.043223Z,2025-04-21T14:15:35.735680Z,32.019 ms,40.410000000000004 ms,24.826999999999998 ms,103.735 ms,692.457 ms,786.1484444444443 ms,658.744 ms,2192.4959999999996 ms,18
