observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2024-12-11T18:02:51.649403Z,2024-12-11T18:02:50.908085Z,2024-12-11T18:02:51.728074Z,78.671 ms,78.671 ms,78.671 ms,78.671 ms,819.9889999999999 ms,819.9889999999999 ms,819.9889999999999 ms,819.9889999999999 ms,1
2024-12-11T18:02:57.448665Z,2024-12-11T18:02:56.739533Z,2024-12-11T18:02:57.491329Z,42.664 ms,60.6675 ms,42.664 ms,78.671 ms,751.796 ms,785.8925 ms,751.796 ms,819.9889999999999 ms,2
2024-12-11T18:03:03.209915Z,2024-12-11T18:03:02.507562Z,2024-12-11T18:03:03.251526Z,41.611000000000004 ms,54.315333333333335 ms,41.611000000000004 ms,78.671 ms,743.9639999999999 ms,771.9163333333333 ms,743.9639999999999 ms,819.9889999999999 ms,3
2024-12-11T18:03:08.984110Z,2024-12-11T18:03:08.263526Z,2024-12-11T18:03:09.018668Z,34.558 ms,49.376000000000005 ms,34.558 ms,78.671 ms,755.1419999999999 ms,767.7227499999999 ms,743.9639999999999 ms,819.9889999999999 ms,4
2024-12-11T18:03:14.724986Z,2024-12-11T18:03:14.034097Z,2024-12-11T18:03:14.748953Z,23.967 ms,44.2942 ms,23.967 ms,78.671 ms,714.856 ms,757.1494 ms,714.856 ms,819.9889999999999 ms,5
2024-12-11T18:03:20.461118Z,2024-12-11T18:03:19.759758Z,2024-12-11T18:03:20.491784Z,30.666 ms,42.02283333333334 ms,23.967 ms,78.671 ms,732.026 ms,752.9621666666667 ms,714.856 ms,819.9889999999999 ms,6
2024-12-11T18:03:26.204131Z,2024-12-11T18:03:25.503529Z,2024-12-11T18:03:26.228223Z,24.092 ms,39.461285714285715 ms,23.967 ms,78.671 ms,724.694 ms,748.9238571428571 ms,714.856 ms,819.9889999999999 ms,7
2024-12-11T18:03:31.954129Z,2024-12-11T18:03:31.235539Z,2024-12-11T18:03:31.977927Z,23.798 ms,37.503375 ms,23.798 ms,78.671 ms,742.388 ms,748.106875 ms,714.856 ms,819.9889999999999 ms,8
2024-12-11T18:03:37.653151Z,2024-12-11T18:03:36.987569Z,2024-12-11T18:03:37.676364Z,23.213 ms,35.91555555555556 ms,23.213 ms,78.671 ms,688.7950000000001 ms,741.5166666666667 ms,688.7950000000001 ms,819.9889999999999 ms,9
2024-12-11T18:03:43.371925Z,2024-12-11T18:03:42.683534Z,2024-12-11T18:03:43.405243Z,33.318 ms,35.6558 ms,23.213 ms,78.671 ms,721.7090000000001 ms,739.5358999999999 ms,688.7950000000001 ms,819.9889999999999 ms,10
2024-12-11T18:03:49.087426Z,2024-12-11T18:03:48.412491Z,2024-12-11T18:03:49.111835Z,24.409 ms,34.63336363636363 ms,23.213 ms,78.671 ms,699.3439999999999 ms,735.8820909090908 ms,688.7950000000001 ms,819.9889999999999 ms,11
2024-12-11T18:03:54.816424Z,2024-12-11T18:03:54.119569Z,2024-12-11T18:03:54.841338Z,24.913999999999998 ms,33.82341666666667 ms,23.213 ms,78.671 ms,721.769 ms,734.706 ms,688.7950000000001 ms,819.9889999999999 ms,12
2024-12-11T18:04:00.559253Z,2024-12-11T18:03:59.848587Z,2024-12-11T18:04:00.577969Z,18.716 ms,32.66130769230769 ms,18.716 ms,78.671 ms,729.382 ms,734.2964615384614 ms,688.7950000000001 ms,819.9889999999999 ms,13
2024-12-11T18:04:06.280857Z,2024-12-11T18:04:05.587598Z,2024-12-11T18:04:06.301975Z,21.118000000000002 ms,31.836785714285714 ms,18.716 ms,78.671 ms,714.3770000000001 ms,732.8736428571428 ms,688.7950000000001 ms,819.9889999999999 ms,14
2024-12-11T18:04:11.977393Z,2024-12-11T18:04:11.311530Z,2024-12-11T18:04:11.995325Z,17.932 ms,30.9098 ms,17.932 ms,78.671 ms,683.7950000000001 ms,729.6017333333332 ms,683.7950000000001 ms,819.9889999999999 ms,15
2024-12-11T18:04:17.641612Z,2024-12-11T18:04:17.003546Z,2024-12-11T18:04:17.658529Z,16.917 ms,30.03525 ms,16.917 ms,78.671 ms,654.983 ms,724.9380624999999 ms,654.983 ms,819.9889999999999 ms,16
2024-12-11T18:04:23.334312Z,2024-12-11T18:04:22.667535Z,2024-12-11T18:04:23.356605Z,22.293 ms,29.579823529411765 ms,16.917 ms,78.671 ms,689.0699999999999 ms,722.8281764705881 ms,654.983 ms,819.9889999999999 ms,17
2024-12-11T18:04:29.016932Z,2024-12-11T18:04:28.363538Z,2024-12-11T18:04:29.043777Z,26.845000000000002 ms,29.427888888888887 ms,16.917 ms,78.671 ms,680.239 ms,720.462111111111 ms,654.983 ms,819.9889999999999 ms,18
2024-12-11T18:04:34.723823Z,2024-12-11T18:04:34.051531Z,2024-12-11T18:04:34.749064Z,25.241 ms,29.207526315789472 ms,16.917 ms,78.671 ms,697.5329999999999 ms,719.2553157894736 ms,654.983 ms,819.9889999999999 ms,19
2024-12-11T18:04:40.453924Z,2024-12-11T18:04:39.755529Z,2024-12-11T18:04:40.477037Z,23.113000000000003 ms,28.9028 ms,16.917 ms,78.671 ms,721.508 ms,719.3679499999998 ms,654.983 ms,819.9889999999999 ms,20
2024-12-11T18:04:46.103509Z,2024-12-11T18:04:45.483546Z,2024-12-11T18:04:46.136119Z,32.61 ms,29.079333333333334 ms,16.917 ms,78.671 ms,652.573 ms,716.187238095238 ms,652.573 ms,819.9889999999999 ms,21
2024-12-11T18:04:51.816122Z,2024-12-11T18:04:51.143533Z,2024-12-11T18:04:51.840385Z,24.262999999999998 ms,28.860409090909094 ms,16.917 ms,78.671 ms,696.852 ms,715.3083636363635 ms,652.573 ms,819.9889999999999 ms,22
2024-12-11T18:04:57.517350Z,2024-12-11T18:04:56.847566Z,2024-12-11T18:04:57.540755Z,23.404999999999998 ms,28.623217391304355 ms,16.917 ms,78.671 ms,693.1890000000001 ms,714.346652173913 ms,652.573 ms,819.9889999999999 ms,23
2024-12-11T18:05:03.194448Z,2024-12-11T18:05:02.547541Z,2024-12-11T18:05:03.212041Z,17.593 ms,28.163625 ms,16.917 ms,78.671 ms,664.5 ms,712.2697083333333 ms,652.573 ms,819.9889999999999 ms,24
2024-12-11T18:05:08.902166Z,2024-12-11T18:05:08.219528Z,2024-12-11T18:05:08.920540Z,18.374000000000002 ms,27.77204 ms,16.917 ms,78.671 ms,701.012 ms,711.8193999999999 ms,652.573 ms,819.9889999999999 ms,25
2024-12-11T18:05:14.604530Z,2024-12-11T18:05:13.927540Z,2024-12-11T18:05:14.624407Z,19.877 ms,27.468384615384622 ms,16.917 ms,78.671 ms,696.867 ms,711.2443076923076 ms,652.573 ms,819.9889999999999 ms,26
2024-12-11T18:05:20.304894Z,2024-12-11T18:05:19.631528Z,2024-12-11T18:05:20.325386Z,20.492 ms,27.21 ms,16.917 ms,78.671 ms,693.858 ms,710.6003703703701 ms,652.573 ms,819.9889999999999 ms,27
2024-12-11T18:05:26.004490Z,2024-12-11T18:05:25.339567Z,2024-12-11T18:05:26.023709Z,19.219 ms,26.92460714285714 ms,16.917 ms,78.671 ms,684.142 ms,709.6554285714285 ms,652.573 ms,819.9889999999999 ms,28
2024-12-11T18:05:31.696972Z,2024-12-11T18:05:31.032925Z,2024-12-11T18:05:31.716110Z,19.137999999999998 ms,26.65610344827586 ms,16.917 ms,78.671 ms,683.1850000000001 ms,708.7426551724137 ms,652.573 ms,819.9889999999999 ms,29
2024-12-11T18:05:37.375896Z,2024-12-11T18:05:36.723514Z,2024-12-11T18:05:37.405009Z,29.113 ms,26.738000000000003 ms,16.917 ms,78.671 ms,681.495 ms,707.8343999999998 ms,652.573 ms,819.9889999999999 ms,30
2024-12-11T18:05:43.085208Z,2024-12-11T18:05:42.411534Z,2024-12-11T18:05:43.107961Z,22.753 ms,26.60945161290323 ms,16.917 ms,78.671 ms,696.427 ms,707.4664193548385 ms,652.573 ms,819.9889999999999 ms,31
2024-12-11T18:05:48.790137Z,2024-12-11T18:05:48.116799Z,2024-12-11T18:05:48.807011Z,16.874 ms,26.305218750000005 ms,16.874 ms,78.671 ms,690.2120000000001 ms,706.9272187499998 ms,652.573 ms,819.9889999999999 ms,32
2024-12-11T18:05:54.472905Z,2024-12-11T18:05:53.815532Z,2024-12-11T18:05:54.493741Z,20.836000000000002 ms,26.13948484848485 ms,16.874 ms,78.671 ms,678.209 ms,706.0569696969695 ms,652.573 ms,819.9889999999999 ms,33
2024-12-11T18:06:00.171150Z,2024-12-11T18:05:59.503016Z,2024-12-11T18:06:00.191437Z,20.287 ms,25.967352941176475 ms,16.874 ms,78.671 ms,688.4209999999999 ms,705.538264705882 ms,652.573 ms,819.9889999999999 ms,34
2024-12-11T18:06:05.870744Z,2024-12-11T18:06:05.199530Z,2024-12-11T18:06:05.889993Z,19.249 ms,25.775400000000005 ms,16.874 ms,78.671 ms,690.4630000000001 ms,705.1075428571427 ms,652.573 ms,819.9889999999999 ms,35
2024-12-11T18:06:11.562735Z,2024-12-11T18:06:10.899055Z,2024-12-11T18:06:11.583187Z,20.452 ms,25.627527777777782 ms,16.874 ms,78.671 ms,684.132 ms,704.5248888888887 ms,652.573 ms,819.9889999999999 ms,36
2024-12-11T18:06:17.255750Z,2024-12-11T18:06:16.591590Z,2024-12-11T18:06:17.277150Z,21.4 ms,25.513270270270272 ms,16.874 ms,78.671 ms,685.56 ms,704.012324324324 ms,652.573 ms,819.9889999999999 ms,37
2024-12-11T18:06:22.958491Z,2024-12-11T18:06:22.283548Z,2024-12-11T18:06:22.976112Z,17.621000000000002 ms,25.305578947368424 ms,16.874 ms,78.671 ms,692.564 ms,703.7110526315787 ms,652.573 ms,819.9889999999999 ms,38
2024-12-11T18:06:28.715758Z,2024-12-11T18:06:27.983532Z,2024-12-11T18:06:28.737575Z,21.817 ms,25.216128205128207 ms,16.874 ms,78.671 ms,754.043 ms,705.0016153846151 ms,652.573 ms,819.9889999999999 ms,39
2024-12-11T18:06:34.395366Z,2024-12-11T18:06:33.743528Z,2024-12-11T18:06:34.415888Z,20.522 ms,25.098775 ms,16.874 ms,78.671 ms,672.36 ms,704.1855749999997 ms,652.573 ms,819.9889999999999 ms,40
2024-12-11T18:06:40.096124Z,2024-12-11T18:06:39.423554Z,2024-12-11T18:06:40.118504Z,22.38 ms,25.032463414634147 ms,16.874 ms,78.671 ms,694.9499999999999 ms,703.9603170731705 ms,652.573 ms,819.9889999999999 ms,41
2024-12-11T18:06:45.798151Z,2024-12-11T18:06:45.127733Z,2024-12-11T18:06:45.815399Z,17.248 ms,24.84711904761905 ms,16.874 ms,78.671 ms,687.666 ms,703.572357142857 ms,652.573 ms,819.9889999999999 ms,42
2024-12-11T18:06:51.495166Z,2024-12-11T18:06:50.823489Z,2024-12-11T18:06:51.517652Z,22.486 ms,24.792209302325585 ms,16.874 ms,78.671 ms,694.163 ms,703.3535348837207 ms,652.573 ms,819.9889999999999 ms,43
2024-12-11T18:06:57.139780Z,2024-12-11T18:06:56.523575Z,2024-12-11T18:06:57.160899Z,21.119 ms,24.708727272727273 ms,16.874 ms,78.671 ms,637.324 ms,701.8528636363635 ms,637.324 ms,819.9889999999999 ms,44
2024-12-11T18:07:02.821480Z,2024-12-11T18:07:02.167514Z,2024-12-11T18:07:02.837088Z,15.608 ms,24.506488888888892 ms,15.608 ms,78.671 ms,669.574 ms,701.1355555555554 ms,637.324 ms,819.9889999999999 ms,45
2024-12-11T18:07:08.509292Z,2024-12-11T18:07:07.843607Z,2024-12-11T18:07:08.533167Z,23.875 ms,24.492760869565224 ms,15.608 ms,78.671 ms,689.56 ms,700.8839130434781 ms,637.324 ms,819.9889999999999 ms,46
2024-12-11T18:07:14.213366Z,2024-12-11T18:07:13.539528Z,2024-12-11T18:07:14.230493Z,17.127 ms,24.336042553191493 ms,15.608 ms,78.671 ms,690.965 ms,700.6728723404253 ms,637.324 ms,819.9889999999999 ms,47
2024-12-11T18:07:19.914562Z,2024-12-11T18:07:19.239531Z,2024-12-11T18:07:19.933072Z,18.509999999999998 ms,24.214666666666673 ms,15.608 ms,78.671 ms,693.5409999999999 ms,700.5242916666665 ms,637.324 ms,819.9889999999999 ms,48
2024-12-11T18:07:25.613622Z,2024-12-11T18:07:24.939534Z,2024-12-11T18:07:25.634873Z,21.250999999999998 ms,24.15418367346939 ms,15.608 ms,78.671 ms,695.339 ms,700.4184693877548 ms,637.324 ms,819.9889999999999 ms,49
2024-12-11T18:07:31.304783Z,2024-12-11T18:07:30.643865Z,2024-12-11T18:07:31.326029Z,21.246000000000002 ms,24.096020000000006 ms,15.608 ms,78.671 ms,682.164 ms,700.0533799999998 ms,637.324 ms,819.9889999999999 ms,50
2024-12-11T18:07:36.995552Z,2024-12-11T18:07:36.331532Z,2024-12-11T18:07:37.024480Z,28.927999999999997 ms,24.19076470588236 ms,15.608 ms,78.671 ms,692.948 ms,699.9140588235292 ms,637.324 ms,819.9889999999999 ms,51
2024-12-11T18:07:42.709947Z,2024-12-11T18:07:42.031558Z,2024-12-11T18:07:42.729555Z,19.608 ms,24.102634615384623 ms,15.608 ms,78.671 ms,697.997 ms,699.8771923076922 ms,637.324 ms,819.9889999999999 ms,52
2024-12-11T18:07:48.403726Z,2024-12-11T18:07:47.739548Z,2024-12-11T18:07:48.429724Z,25.998 ms,24.1383962264151 ms,15.608 ms,78.671 ms,690.176 ms,699.6941509433962 ms,637.324 ms,819.9889999999999 ms,53
2024-12-11T18:07:54.108733Z,2024-12-11T18:07:53.439536Z,2024-12-11T18:07:54.131566Z,22.833 ms,24.11422222222223 ms,15.608 ms,78.671 ms,692.0300000000001 ms,699.5522222222221 ms,637.324 ms,819.9889999999999 ms,54
2024-12-11T18:07:59.803698Z,2024-12-11T18:07:59.139574Z,2024-12-11T18:07:59.827366Z,23.668000000000003 ms,24.1061090909091 ms,15.608 ms,78.671 ms,687.7919999999999 ms,699.3383999999999 ms,637.324 ms,819.9889999999999 ms,55
2024-12-11T18:08:05.522038Z,2024-12-11T18:08:04.839539Z,2024-12-11T18:08:05.543185Z,21.147 ms,24.053267857142867 ms,15.608 ms,78.671 ms,703.646 ms,699.4153214285714 ms,637.324 ms,819.9889999999999 ms,56
2024-12-11T18:08:11.201044Z,2024-12-11T18:08:10.552336Z,2024-12-11T18:08:11.227192Z,26.148 ms,24.090017543859656 ms,15.608 ms,78.671 ms,674.856 ms,698.9844561403507 ms,637.324 ms,819.9889999999999 ms,57
2024-12-11T18:08:16.908294Z,2024-12-11T18:08:16.243529Z,2024-12-11T18:08:16.926860Z,18.566 ms,23.994775862068973 ms,15.608 ms,78.671 ms,683.331 ms,698.7145689655172 ms,637.324 ms,819.9889999999999 ms,58
2024-12-11T18:08:22.614186Z,2024-12-11T18:08:21.935550Z,2024-12-11T18:08:22.638149Z,23.963 ms,23.994237288135604 ms,15.608 ms,78.671 ms,702.5989999999999 ms,698.7804067796609 ms,637.324 ms,819.9889999999999 ms,59
2024-12-11T18:08:28.275491Z,2024-12-11T18:08:27.647794Z,2024-12-11T18:08:28.305187Z,29.696 ms,24.089266666666674 ms,15.608 ms,78.671 ms,657.393 ms,698.0906166666666 ms,637.324 ms,819.9889999999999 ms,60
2024-12-11T18:08:34.007758Z,2024-12-11T18:08:33.311547Z,2024-12-11T18:08:34.032482Z,24.724 ms,24.09967213114755 ms,15.608 ms,78.671 ms,720.935 ms,698.4651147540982 ms,637.324 ms,819.9889999999999 ms,61
2024-12-11T18:08:39.702554Z,2024-12-11T18:08:39.039541Z,2024-12-11T18:08:39.723683Z,21.128999999999998 ms,24.051758064516136 ms,15.608 ms,78.671 ms,684.142 ms,698.2340967741934 ms,637.324 ms,819.9889999999999 ms,62
2024-12-11T18:08:45.482321Z,2024-12-11T18:08:44.731587Z,2024-12-11T18:08:45.505401Z,23.08 ms,24.03633333333334 ms,15.608 ms,78.671 ms,773.814 ms,699.4337777777777 ms,637.324 ms,819.9889999999999 ms,63
2024-12-11T18:08:51.200805Z,2024-12-11T18:08:50.512283Z,2024-12-11T18:08:51.220757Z,19.952 ms,23.972515625000007 ms,15.608 ms,78.671 ms,708.474 ms,699.5750312499999 ms,637.324 ms,819.9889999999999 ms,64
2024-12-11T18:08:56.906937Z,2024-12-11T18:08:56.231546Z,2024-12-11T18:08:56.930685Z,23.747999999999998 ms,23.969061538461546 ms,15.608 ms,78.671 ms,699.139 ms,699.5683230769231 ms,637.324 ms,819.9889999999999 ms,65
2024-12-11T18:09:02.653071Z,2024-12-11T18:09:01.940179Z,2024-12-11T18:09:02.672261Z,19.189999999999998 ms,23.896651515151525 ms,15.608 ms,78.671 ms,732.082 ms,700.0609545454546 ms,637.324 ms,819.9889999999999 ms,66
2024-12-11T18:09:08.339928Z,2024-12-11T18:09:07.679604Z,2024-12-11T18:09:08.364618Z,24.69 ms,23.908492537313442 ms,15.608 ms,78.671 ms,685.014 ms,699.8363731343284 ms,637.324 ms,819.9889999999999 ms,67
2024-12-11T18:09:14.060975Z,2024-12-11T18:09:13.371531Z,2024-12-11T18:09:14.082139Z,21.163999999999998 ms,23.86813235294119 ms,15.608 ms,78.671 ms,710.6080000000001 ms,699.9947794117647 ms,637.324 ms,819.9889999999999 ms,68
