observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-21T18:19:03.874524Z,2025-04-21T18:19:02.607502Z,2025-04-21T18:19:03.902158Z,27.634 ms,27.634 ms,27.634 ms,27.634 ms,1294.656 ms,1294.656 ms,1294.656 ms,1294.656 ms,1
2025-04-21T18:19:10.048059Z,2025-04-21T18:19:08.906296Z,2025-04-21T18:19:10.069992Z,21.933 ms,24.7835 ms,21.933 ms,27.634 ms,1163.6960000000001 ms,1229.1760000000002 ms,1163.6960000000001 ms,1294.656 ms,2
2025-04-21T18:19:16.229115Z,2025-04-21T18:19:15.074293Z,2025-04-21T18:19:16.250942Z,21.826999999999998 ms,23.798 ms,21.826999999999998 ms,27.634 ms,1176.6490000000001 ms,1211.6670000000001 ms,1163.6960000000001 ms,1294.656 ms,3
2025-04-21T18:19:22.393146Z,2025-04-21T18:19:21.254359Z,2025-04-21T18:19:22.419947Z,26.801 ms,24.548750000000002 ms,21.826999999999998 ms,27.634 ms,1165.588 ms,1200.1472500000002 ms,1163.6960000000001 ms,1294.656 ms,4
2025-04-21T18:19:28.590799Z,2025-04-21T18:19:27.422639Z,2025-04-21T18:19:28.610882Z,20.083 ms,23.655600000000003 ms,20.083 ms,27.634 ms,1188.243 ms,1197.7664000000002 ms,1163.6960000000001 ms,1294.656 ms,5
2025-04-21T18:19:34.764418Z,2025-04-21T18:19:33.614694Z,2025-04-21T18:19:34.784224Z,19.806 ms,23.014000000000003 ms,19.806 ms,27.634 ms,1169.53 ms,1193.0603333333333 ms,1163.6960000000001 ms,1294.656 ms,6
2025-04-21T18:19:40.933552Z,2025-04-21T18:19:39.786648Z,2025-04-21T18:19:40.953393Z,19.841 ms,22.560714285714287 ms,19.806 ms,27.634 ms,1166.745 ms,1189.3010000000002 ms,1163.6960000000001 ms,1294.656 ms,7
2025-04-21T18:19:47.086625Z,2025-04-21T18:19:45.958290Z,2025-04-21T18:19:47.106763Z,20.137999999999998 ms,22.257875 ms,19.806 ms,27.634 ms,1148.4730000000002 ms,1184.1975000000002 ms,1148.4730000000002 ms,1294.656 ms,8
2025-04-21T18:19:53.292256Z,2025-04-21T18:19:52.110818Z,2025-04-21T18:19:53.313110Z,20.854000000000003 ms,22.10188888888889 ms,19.806 ms,27.634 ms,1202.292 ms,1186.208 ms,1148.4730000000002 ms,1294.656 ms,9
2025-04-21T18:19:59.465946Z,2025-04-21T18:19:58.318314Z,2025-04-21T18:19:59.486794Z,20.848 ms,21.9765 ms,19.806 ms,27.634 ms,1168.48 ms,1184.4352000000003 ms,1148.4730000000002 ms,1294.656 ms,10
