observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-22T21:00:30.944145Z,2025-04-22T21:00:30.358820Z,2025-04-22T21:00:30.989397Z,45.252 ms,45.252 ms,45.252 ms,45.252 ms,630.577 ms,630.577 ms,630.577 ms,630.577 ms,1
2025-04-22T21:00:36.567317Z,2025-04-22T21:00:35.994315Z,2025-04-22T21:00:36.583103Z,15.786000000000001 ms,30.519000000000002 ms,15.786000000000001 ms,45.252 ms,588.788 ms,609.6825 ms,588.788 ms,630.577 ms,2
2025-04-22T21:00:42.153517Z,2025-04-22T21:00:41.586288Z,2025-04-22T21:00:42.167436Z,13.919 ms,24.985666666666667 ms,13.919 ms,45.252 ms,581.148 ms,600.171 ms,581.148 ms,630.577 ms,3
2025-04-22T21:00:47.702800Z,2025-04-22T21:00:47.170682Z,2025-04-22T21:00:47.717289Z,14.489 ms,22.3615 ms,13.919 ms,45.252 ms,546.607 ms,586.78 ms,546.607 ms,630.577 ms,4
2025-04-22T21:00:53.280235Z,2025-04-22T21:00:52.720604Z,2025-04-22T21:00:53.294139Z,13.904 ms,20.67 ms,13.904 ms,45.252 ms,573.535 ms,584.131 ms,546.607 ms,630.577 ms,5
2025-04-22T21:00:58.853860Z,2025-04-22T21:00:58.298297Z,2025-04-22T21:00:58.867465Z,13.605 ms,19.4925 ms,13.605 ms,45.252 ms,569.168 ms,581.6371666666666 ms,546.607 ms,630.577 ms,6
2025-04-22T21:01:04.483849Z,2025-04-22T21:01:03.870840Z,2025-04-22T21:01:04.497110Z,13.261000000000001 ms,18.602285714285713 ms,13.261000000000001 ms,45.252 ms,626.27 ms,588.0132857142858 ms,546.607 ms,630.577 ms,7
2025-04-22T21:01:10.018392Z,2025-04-22T21:01:09.502308Z,2025-04-22T21:01:10.032472Z,14.08 ms,18.037000000000003 ms,13.261000000000001 ms,45.252 ms,530.164 ms,580.7821250000001 ms,530.164 ms,630.577 ms,8
2025-04-22T21:01:15.590860Z,2025-04-22T21:01:15.035408Z,2025-04-22T21:01:15.604721Z,13.861 ms,17.573 ms,13.261000000000001 ms,45.252 ms,569.313 ms,579.5077777777778 ms,530.164 ms,630.577 ms,9
2025-04-22T21:01:21.131999Z,2025-04-22T21:01:20.610288Z,2025-04-22T21:01:21.145617Z,13.618 ms,17.177500000000002 ms,13.261000000000001 ms,45.252 ms,535.3290000000001 ms,575.0899000000001 ms,530.164 ms,630.577 ms,10
2025-04-22T21:01:26.668606Z,2025-04-22T21:01:26.150350Z,2025-04-22T21:01:26.681776Z,13.17 ms,16.813181818181818 ms,13.17 ms,45.252 ms,531.4259999999999 ms,571.1204545454545 ms,530.164 ms,630.577 ms,11
2025-04-22T21:01:32.249385Z,2025-04-22T21:01:31.686296Z,2025-04-22T21:01:32.262276Z,12.891 ms,16.486333333333334 ms,12.891 ms,45.252 ms,575.98 ms,571.5254166666667 ms,530.164 ms,630.577 ms,12
2025-04-22T21:01:37.816231Z,2025-04-22T21:01:37.266294Z,2025-04-22T21:01:37.830099Z,13.868 ms,16.28492307692308 ms,12.891 ms,45.252 ms,563.805 ms,570.9315384615386 ms,530.164 ms,630.577 ms,13
2025-04-22T21:01:43.389465Z,2025-04-22T21:01:42.834340Z,2025-04-22T21:01:43.402698Z,13.233 ms,16.066928571428573 ms,12.891 ms,45.252 ms,568.3580000000001 ms,570.7477142857143 ms,530.164 ms,630.577 ms,14
2025-04-22T21:01:48.977882Z,2025-04-22T21:01:48.406315Z,2025-04-22T21:01:48.990737Z,12.855 ms,15.8528 ms,12.855 ms,45.252 ms,584.422 ms,571.6593333333333 ms,530.164 ms,630.577 ms,15
2025-04-22T21:01:54.514330Z,2025-04-22T21:01:53.996316Z,2025-04-22T21:01:54.527929Z,13.599 ms,15.711937500000001 ms,12.855 ms,45.252 ms,531.613 ms,569.1564375 ms,530.164 ms,630.577 ms,16
2025-04-22T21:02:00.104073Z,2025-04-22T21:01:59.533723Z,2025-04-22T21:02:00.117098Z,13.025 ms,15.55388235294118 ms,12.855 ms,45.252 ms,583.375 ms,569.9928235294118 ms,530.164 ms,630.577 ms,17
2025-04-22T21:02:05.710994Z,2025-04-22T21:02:05.122298Z,2025-04-22T21:02:05.723799Z,12.805 ms,15.401166666666668 ms,12.805 ms,45.252 ms,601.501 ms,571.7432777777777 ms,530.164 ms,630.577 ms,18
2025-04-22T21:02:11.289116Z,2025-04-22T21:02:10.726309Z,2025-04-22T21:02:11.301615Z,12.499 ms,15.248421052631581 ms,12.499 ms,45.252 ms,575.306 ms,571.9307894736843 ms,530.164 ms,630.577 ms,19
2025-04-22T21:02:16.866983Z,2025-04-22T21:02:16.306346Z,2025-04-22T21:02:16.879942Z,12.959 ms,15.133950000000002 ms,12.499 ms,45.252 ms,573.596 ms,572.01405 ms,530.164 ms,630.577 ms,20
2025-04-22T21:02:22.445421Z,2025-04-22T21:02:21.882339Z,2025-04-22T21:02:22.458771Z,13.350000000000001 ms,15.049 ms,12.499 ms,45.252 ms,576.432 ms,572.2244285714287 ms,530.164 ms,630.577 ms,21
2025-04-22T21:02:28.015936Z,2025-04-22T21:02:27.462967Z,2025-04-22T21:02:28.029565Z,13.629000000000001 ms,14.984454545454545 ms,12.499 ms,45.252 ms,566.5980000000001 ms,571.968681818182 ms,530.164 ms,630.577 ms,22
2025-04-22T21:02:33.599776Z,2025-04-22T21:02:33.034288Z,2025-04-22T21:02:33.612368Z,12.592 ms,14.880434782608697 ms,12.499 ms,45.252 ms,578.08 ms,572.2343913043479 ms,530.164 ms,630.577 ms,23
2025-04-22T21:02:39.189805Z,2025-04-22T21:02:38.617373Z,2025-04-22T21:02:39.202750Z,12.945 ms,14.799791666666666 ms,12.499 ms,45.252 ms,585.3770000000001 ms,572.782 ms,530.164 ms,630.577 ms,24
2025-04-22T21:02:44.715789Z,2025-04-22T21:02:44.206288Z,2025-04-22T21:02:44.728334Z,12.545 ms,14.709599999999998 ms,12.499 ms,45.252 ms,522.046 ms,570.7525600000001 ms,522.046 ms,630.577 ms,25
2025-04-22T21:02:50.286397Z,2025-04-22T21:02:49.730844Z,2025-04-22T21:02:50.300217Z,13.82 ms,14.675384615384614 ms,12.499 ms,45.252 ms,569.373 ms,570.6995000000001 ms,522.046 ms,630.577 ms,26
2025-04-22T21:02:55.854727Z,2025-04-22T21:02:55.302293Z,2025-04-22T21:02:55.867272Z,12.545 ms,14.59648148148148 ms,12.499 ms,45.252 ms,564.979 ms,570.4876296296296 ms,522.046 ms,630.577 ms,27
2025-04-22T21:03:01.436535Z,2025-04-22T21:03:00.870321Z,2025-04-22T21:03:01.449155Z,12.62 ms,14.525892857142855 ms,12.499 ms,45.252 ms,578.834 ms,570.7857142857143 ms,522.046 ms,630.577 ms,28
2025-04-22T21:03:06.979806Z,2025-04-22T21:03:06.454286Z,2025-04-22T21:03:06.992934Z,13.128 ms,14.477689655172412 ms,12.499 ms,45.252 ms,538.648 ms,569.6775172413794 ms,522.046 ms,630.577 ms,29
2025-04-22T21:03:12.593536Z,2025-04-22T21:03:11.998306Z,2025-04-22T21:03:12.606197Z,12.661 ms,14.41713333333333 ms,12.499 ms,45.252 ms,607.891 ms,570.9513000000001 ms,522.046 ms,630.577 ms,30
2025-04-22T21:03:18.122332Z,2025-04-22T21:03:17.610349Z,2025-04-22T21:03:18.134666Z,12.334 ms,14.349935483870965 ms,12.334 ms,45.252 ms,524.317 ms,569.4469677419355 ms,522.046 ms,630.577 ms,31
2025-04-22T21:03:23.709138Z,2025-04-22T21:03:23.138292Z,2025-04-22T21:03:23.721379Z,12.241 ms,14.284031249999996 ms,12.241 ms,45.252 ms,583.087 ms,569.87321875 ms,522.046 ms,630.577 ms,32
2025-04-22T21:03:29.301965Z,2025-04-22T21:03:28.726786Z,2025-04-22T21:03:29.314713Z,12.748000000000001 ms,14.237484848484845 ms,12.241 ms,45.252 ms,587.927 ms,570.420303030303 ms,522.046 ms,630.577 ms,33
2025-04-22T21:03:34.877832Z,2025-04-22T21:03:34.320297Z,2025-04-22T21:03:34.890050Z,12.218 ms,14.178088235294114 ms,12.218 ms,45.252 ms,569.7529999999999 ms,570.4006764705882 ms,522.046 ms,630.577 ms,34
2025-04-22T21:03:40.453617Z,2025-04-22T21:03:39.895696Z,2025-04-22T21:03:40.465929Z,12.312 ms,14.124771428571426 ms,12.218 ms,45.252 ms,570.233 ms,570.3958857142857 ms,522.046 ms,630.577 ms,35
2025-04-22T21:03:46.029770Z,2025-04-22T21:03:45.471109Z,2025-04-22T21:03:46.042705Z,12.935 ms,14.09172222222222 ms,12.218 ms,45.252 ms,571.596 ms,570.4292222222223 ms,522.046 ms,630.577 ms,36
2025-04-22T21:03:51.603663Z,2025-04-22T21:03:51.046297Z,2025-04-22T21:03:51.616650Z,12.987 ms,14.061864864864862 ms,12.218 ms,45.252 ms,570.353 ms,570.4271621621622 ms,522.046 ms,630.577 ms,37
2025-04-22T21:03:57.167916Z,2025-04-22T21:03:56.622270Z,2025-04-22T21:03:57.180514Z,12.597999999999999 ms,14.023342105263156 ms,12.218 ms,45.252 ms,558.2439999999999 ms,570.1065526315789 ms,522.046 ms,630.577 ms,38
2025-04-22T21:04:02.752436Z,2025-04-22T21:04:02.184614Z,2025-04-22T21:04:02.764898Z,12.462000000000002 ms,13.983307692307688 ms,12.218 ms,45.252 ms,580.284 ms,570.3675128205128 ms,522.046 ms,630.577 ms,39
2025-04-22T21:04:08.329202Z,2025-04-22T21:04:07.770372Z,2025-04-22T21:04:08.341734Z,12.532 ms,13.947024999999996 ms,12.218 ms,45.252 ms,571.3620000000001 ms,570.3923749999999 ms,522.046 ms,630.577 ms,40
2025-04-22T21:04:13.921684Z,2025-04-22T21:04:13.346998Z,2025-04-22T21:04:13.933789Z,12.104999999999999 ms,13.902097560975607 ms,12.104999999999999 ms,45.252 ms,586.7909999999999 ms,570.7923414634146 ms,522.046 ms,630.577 ms,41
2025-04-22T21:04:19.501221Z,2025-04-22T21:04:18.938290Z,2025-04-22T21:04:19.513472Z,12.251 ms,13.862785714285712 ms,12.104999999999999 ms,45.252 ms,575.182 ms,570.8968571428572 ms,522.046 ms,630.577 ms,42
2025-04-22T21:04:25.078911Z,2025-04-22T21:04:24.518339Z,2025-04-22T21:04:25.091500Z,12.588999999999999 ms,13.833162790697672 ms,12.104999999999999 ms,45.252 ms,573.1610000000001 ms,570.949511627907 ms,522.046 ms,630.577 ms,43
2025-04-22T21:04:30.642913Z,2025-04-22T21:04:30.094284Z,2025-04-22T21:04:30.655570Z,12.657 ms,13.806431818181816 ms,12.104999999999999 ms,45.252 ms,561.286 ms,570.7298863636363 ms,522.046 ms,630.577 ms,44
2025-04-22T21:04:36.215863Z,2025-04-22T21:04:35.660807Z,2025-04-22T21:04:36.228345Z,12.482 ms,13.776999999999997 ms,12.104999999999999 ms,45.252 ms,567.538 ms,570.6589555555556 ms,522.046 ms,630.577 ms,45
2025-04-22T21:04:41.812209Z,2025-04-22T21:04:41.231004Z,2025-04-22T21:04:41.824216Z,12.007 ms,13.738521739130432 ms,12.007 ms,45.252 ms,593.212 ms,571.1492391304348 ms,522.046 ms,630.577 ms,46
2025-04-22T21:04:47.380407Z,2025-04-22T21:04:46.826303Z,2025-04-22T21:04:47.392844Z,12.437 ms,13.71082978723404 ms,12.007 ms,45.252 ms,566.5409999999999 ms,571.0511914893617 ms,522.046 ms,630.577 ms,47
2025-04-22T21:04:52.960012Z,2025-04-22T21:04:52.398315Z,2025-04-22T21:04:52.972355Z,12.343 ms,13.68233333333333 ms,12.007 ms,45.252 ms,574.04 ms,571.1134583333334 ms,522.046 ms,630.577 ms,48
2025-04-22T21:04:58.491262Z,2025-04-22T21:04:57.974292Z,2025-04-22T21:04:58.502951Z,11.689 ms,13.641653061224487 ms,11.689 ms,45.252 ms,528.659 ms,570.2470408163266 ms,522.046 ms,630.577 ms,49
2025-04-22T21:05:04.069802Z,2025-04-22T21:05:03.506299Z,2025-04-22T21:05:04.082379Z,12.577 ms,13.620359999999996 ms,11.689 ms,45.252 ms,576.08 ms,570.3637 ms,522.046 ms,630.577 ms,50
2025-04-22T21:05:09.677106Z,2025-04-22T21:05:09.085061Z,2025-04-22T21:05:09.689287Z,12.181000000000001 ms,13.592137254901957 ms,11.689 ms,45.252 ms,604.226 ms,571.0276666666667 ms,522.046 ms,630.577 ms,51
2025-04-22T21:05:15.245182Z,2025-04-22T21:05:14.694296Z,2025-04-22T21:05:15.257490Z,12.308 ms,13.567442307692303 ms,11.689 ms,45.252 ms,563.194 ms,570.8770192307693 ms,522.046 ms,630.577 ms,52
2025-04-22T21:05:20.835018Z,2025-04-22T21:05:20.262286Z,2025-04-22T21:05:20.847283Z,12.265 ms,13.542867924528299 ms,11.689 ms,45.252 ms,584.997 ms,571.1434339622642 ms,522.046 ms,630.577 ms,53
2025-04-22T21:05:26.383603Z,2025-04-22T21:05:25.851450Z,2025-04-22T21:05:26.395698Z,12.095 ms,13.51605555555555 ms,11.689 ms,45.252 ms,544.2479999999999 ms,570.6453703703704 ms,522.046 ms,630.577 ms,54
2025-04-22T21:05:31.973136Z,2025-04-22T21:05:31.397219Z,2025-04-22T21:05:31.985730Z,12.594 ms,13.499290909090904 ms,11.689 ms,45.252 ms,588.511 ms,570.9702000000001 ms,522.046 ms,630.577 ms,55
2025-04-22T21:05:37.548408Z,2025-04-22T21:05:36.990287Z,2025-04-22T21:05:37.560592Z,12.184000000000001 ms,13.475803571428566 ms,11.689 ms,45.252 ms,570.305 ms,570.9583214285715 ms,522.046 ms,630.577 ms,56
2025-04-22T21:05:43.127518Z,2025-04-22T21:05:42.566291Z,2025-04-22T21:05:43.140069Z,12.551 ms,13.459578947368415 ms,11.689 ms,45.252 ms,573.778 ms,571.0077894736844 ms,522.046 ms,630.577 ms,57
2025-04-22T21:05:48.694130Z,2025-04-22T21:05:48.142293Z,2025-04-22T21:05:48.706648Z,12.517999999999999 ms,13.443344827586202 ms,11.689 ms,45.252 ms,564.355 ms,570.8930862068966 ms,522.046 ms,630.577 ms,58
2025-04-22T21:05:54.284937Z,2025-04-22T21:05:53.710300Z,2025-04-22T21:05:54.297514Z,12.577 ms,13.428661016949146 ms,11.689 ms,45.252 ms,587.214 ms,571.1697118644068 ms,522.046 ms,630.577 ms,59
2025-04-22T21:05:59.887893Z,2025-04-22T21:05:59.302972Z,2025-04-22T21:05:59.900415Z,12.522 ms,13.413549999999995 ms,11.689 ms,45.252 ms,597.443 ms,571.6076 ms,522.046 ms,630.577 ms,60
2025-04-22T21:06:05.463487Z,2025-04-22T21:06:04.902304Z,2025-04-22T21:06:05.475980Z,12.493 ms,13.398459016393437 ms,11.689 ms,45.252 ms,573.6759999999999 ms,571.6415081967215 ms,522.046 ms,630.577 ms,61
2025-04-22T21:06:11.061656Z,2025-04-22T21:06:10.481696Z,2025-04-22T21:06:11.073562Z,11.906 ms,13.374387096774187 ms,11.689 ms,45.252 ms,591.866 ms,571.9677096774195 ms,522.046 ms,630.577 ms,62
2025-04-22T21:06:16.647780Z,2025-04-22T21:06:16.078294Z,2025-04-22T21:06:16.660280Z,12.5 ms,13.36050793650793 ms,11.689 ms,45.252 ms,581.986 ms,572.1267301587303 ms,522.046 ms,630.577 ms,63
2025-04-22T21:06:22.231718Z,2025-04-22T21:06:21.662334Z,2025-04-22T21:06:22.244148Z,12.43 ms,13.345968749999994 ms,11.689 ms,45.252 ms,581.8140000000001 ms,572.2780937500002 ms,522.046 ms,630.577 ms,64
2025-04-22T21:06:27.811492Z,2025-04-22T21:06:27.246447Z,2025-04-22T21:06:27.823638Z,12.146 ms,13.327507692307686 ms,11.689 ms,45.252 ms,577.191 ms,572.353676923077 ms,522.046 ms,630.577 ms,65
2025-04-22T21:06:33.424900Z,2025-04-22T21:06:32.828866Z,2025-04-22T21:06:33.437508Z,12.607999999999999 ms,13.316606060606055 ms,11.689 ms,45.252 ms,608.642 ms,572.9035000000002 ms,522.046 ms,630.577 ms,66
2025-04-22T21:06:39.014375Z,2025-04-22T21:06:38.442322Z,2025-04-22T21:06:39.026644Z,12.269 ms,13.300970149253725 ms,11.689 ms,45.252 ms,584.322 ms,573.0739253731346 ms,522.046 ms,630.577 ms,67
2025-04-22T21:06:44.552765Z,2025-04-22T21:06:44.030267Z,2025-04-22T21:06:44.564595Z,11.83 ms,13.27933823529411 ms,11.689 ms,45.252 ms,534.328 ms,572.5041323529414 ms,522.046 ms,630.577 ms,68
2025-04-22T21:06:50.135341Z,2025-04-22T21:06:49.567878Z,2025-04-22T21:06:50.147029Z,11.688 ms,13.256275362318835 ms,11.688 ms,45.252 ms,579.151 ms,572.6004637681162 ms,522.046 ms,630.577 ms,69
2025-04-22T21:06:55.741701Z,2025-04-22T21:06:55.150287Z,2025-04-22T21:06:55.753638Z,11.937 ms,13.237428571428564 ms,11.688 ms,45.252 ms,603.351 ms,573.0397571428575 ms,522.046 ms,630.577 ms,70
2025-04-22T21:07:01.305421Z,2025-04-22T21:07:00.758721Z,2025-04-22T21:07:01.317470Z,12.049000000000001 ms,13.220690140845063 ms,11.688 ms,45.252 ms,558.749 ms,572.8384788732396 ms,522.046 ms,630.577 ms,71
2025-04-22T21:07:06.868604Z,2025-04-22T21:07:06.322301Z,2025-04-22T21:07:06.885622Z,17.017999999999997 ms,13.27343055555555 ms,11.688 ms,45.252 ms,563.3209999999999 ms,572.706291666667 ms,522.046 ms,630.577 ms,72
2025-04-22T21:07:12.411395Z,2025-04-22T21:07:11.890290Z,2025-04-22T21:07:12.424924Z,13.529 ms,13.276931506849309 ms,11.688 ms,45.252 ms,534.634 ms,572.1847534246579 ms,522.046 ms,630.577 ms,73
