observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2024-12-11T21:51:30.508756Z,2024-12-11T21:51:29.930084Z,2024-12-11T21:51:30.596959Z,88.203 ms,88.203 ms,88.203 ms,88.203 ms,666.875 ms,666.875 ms,666.875 ms,666.875 ms,1
2024-12-11T21:51:36.199275Z,2024-12-11T21:51:35.599533Z,2024-12-11T21:51:36.209188Z,9.913 ms,49.05800000000001 ms,9.913 ms,88.203 ms,609.655 ms,638.265 ms,609.655 ms,666.875 ms,2
2024-12-11T21:51:41.803324Z,2024-12-11T21:51:41.211527Z,2024-12-11T21:51:41.813252Z,9.927999999999999 ms,36.01466666666667 ms,9.913 ms,88.203 ms,601.7249999999999 ms,626.0849999999999 ms,601.7249999999999 ms,666.875 ms,3
2024-12-11T21:51:47.417745Z,2024-12-11T21:51:46.817085Z,2024-12-11T21:51:47.426499Z,8.754 ms,29.1995 ms,8.754 ms,88.203 ms,609.414 ms,621.91725 ms,601.7249999999999 ms,666.875 ms,4
2024-12-11T21:51:53.021852Z,2024-12-11T21:51:52.432223Z,2024-12-11T21:51:53.031213Z,9.360999999999999 ms,25.2318 ms,8.754 ms,88.203 ms,598.99 ms,617.3317999999999 ms,598.99 ms,666.875 ms,5
2024-12-11T21:51:58.638889Z,2024-12-11T21:51:58.036858Z,2024-12-11T21:51:58.647780Z,8.891 ms,22.508333333333336 ms,8.754 ms,88.203 ms,610.9219999999999 ms,616.2634999999999 ms,598.99 ms,666.875 ms,6
2024-12-11T21:52:04.299054Z,2024-12-11T21:52:03.653603Z,2024-12-11T21:52:04.308875Z,9.821 ms,20.695857142857143 ms,8.754 ms,88.203 ms,655.2719999999999 ms,621.8361428571428 ms,598.99 ms,666.875 ms,7
2024-12-11T21:52:09.905978Z,2024-12-11T21:52:09.312408Z,2024-12-11T21:52:09.915420Z,9.442 ms,19.289125000000002 ms,8.754 ms,88.203 ms,603.012 ms,619.4831249999999 ms,598.99 ms,666.875 ms,8
2024-12-11T21:52:15.522689Z,2024-12-11T21:52:14.921385Z,2024-12-11T21:52:15.531926Z,9.237 ms,18.17222222222222 ms,8.754 ms,88.203 ms,610.541 ms,618.4895555555554 ms,598.99 ms,666.875 ms,9
2024-12-11T21:52:21.140065Z,2024-12-11T21:52:20.536782Z,2024-12-11T21:52:21.148651Z,8.586 ms,17.213600000000003 ms,8.586 ms,88.203 ms,611.869 ms,617.8275 ms,598.99 ms,666.875 ms,10
2024-12-11T21:52:26.771902Z,2024-12-11T21:52:26.151540Z,2024-12-11T21:52:26.780786Z,8.884 ms,16.456363636363637 ms,8.586 ms,88.203 ms,629.246 ms,618.8655454545454 ms,598.99 ms,666.875 ms,11
2024-12-11T21:52:32.376430Z,2024-12-11T21:52:31.785535Z,2024-12-11T21:52:32.385173Z,8.743 ms,15.813583333333336 ms,8.586 ms,88.203 ms,599.638 ms,617.26325 ms,598.99 ms,666.875 ms,12
2024-12-11T21:52:37.989674Z,2024-12-11T21:52:37.387536Z,2024-12-11T21:52:37.998309Z,8.635 ms,15.261384615384618 ms,8.586 ms,88.203 ms,610.773 ms,616.7639999999999 ms,598.99 ms,666.875 ms,13
2024-12-11T21:52:43.606521Z,2024-12-11T21:52:43.003540Z,2024-12-11T21:52:43.615331Z,8.81 ms,14.80057142857143 ms,8.586 ms,88.203 ms,611.7909999999999 ms,616.4087857142856 ms,598.99 ms,666.875 ms,14
2024-12-11T21:52:49.221751Z,2024-12-11T21:52:48.620125Z,2024-12-11T21:52:49.230249Z,8.498000000000001 ms,14.380400000000003 ms,8.498000000000001 ms,88.203 ms,610.124 ms,615.9898 ms,598.99 ms,666.875 ms,15
2024-12-11T21:52:54.834496Z,2024-12-11T21:52:54.235549Z,2024-12-11T21:52:54.843277Z,8.781 ms,14.030437500000003 ms,8.498000000000001 ms,88.203 ms,607.7280000000001 ms,615.4734374999999 ms,598.99 ms,666.875 ms,16
2024-12-11T21:53:00.460520Z,2024-12-11T21:52:59.848674Z,2024-12-11T21:53:00.469590Z,9.07 ms,13.738647058823533 ms,8.498000000000001 ms,88.203 ms,620.916 ms,615.793588235294 ms,598.99 ms,666.875 ms,17
2024-12-11T21:53:06.080421Z,2024-12-11T21:53:05.472785Z,2024-12-11T21:53:06.088481Z,8.059999999999999 ms,13.42316666666667 ms,8.059999999999999 ms,88.203 ms,615.696 ms,615.7881666666666 ms,598.99 ms,666.875 ms,18
2024-12-11T21:53:11.697689Z,2024-12-11T21:53:11.094209Z,2024-12-11T21:53:11.705852Z,8.163 ms,13.146315789473686 ms,8.059999999999999 ms,88.203 ms,611.643 ms,615.5699999999999 ms,598.99 ms,666.875 ms,19
2024-12-11T21:53:17.314426Z,2024-12-11T21:53:16.711529Z,2024-12-11T21:53:17.323468Z,9.042 ms,12.941100000000002 ms,8.059999999999999 ms,88.203 ms,611.939 ms,615.3884499999999 ms,598.99 ms,666.875 ms,20
2024-12-11T21:53:22.924489Z,2024-12-11T21:53:22.329251Z,2024-12-11T21:53:22.933203Z,8.713999999999999 ms,12.739809523809527 ms,8.059999999999999 ms,88.203 ms,603.952 ms,614.843857142857 ms,598.99 ms,666.875 ms,21
