observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T14:39:16.497458Z,2025-05-21T14:39:16.533017Z,2025-05-21T14:39:16.569863Z,72.405 ms,36.849369 ms,36.849369 ms,36.849369 ms,36.849369 ms,1
2025-05-21T14:41:08.229304Z,2025-05-21T14:41:08.232991Z,2025-05-21T14:41:08.284482Z,55.178 ms,51.508935 ms,44.179152 ms,36.849369 ms,51.508935 ms,2
2025-05-21T14:41:36.872949Z,2025-05-21T14:41:36.875706Z,2025-05-21T14:41:36.914173Z,41.224 ms,38.468085 ms,42.275463 ms,36.849369 ms,51.508935 ms,3
2025-05-21T14:42:14.244535Z,2025-05-21T14:42:14.247538Z,2025-05-21T14:42:14.288977Z,44.442 ms,41.439243 ms,42.066408 ms,36.849369 ms,51.508935 ms,4
2025-05-21T14:44:46.803364Z,2025-05-21T14:44:46.809248Z,2025-05-21T14:44:46.840361Z,36.997 ms,31.11474 ms,39.8760744 ms,31.11474 ms,51.508935 ms,5
2025-05-21T14:47:05.471823Z,2025-05-21T14:47:05.475331Z,2025-05-21T14:47:05.502839Z,31.016 ms,27.551296 ms,37.82194466666667 ms,27.551296 ms,51.508935 ms,6
2025-05-21T14:48:50.212331Z,2025-05-21T14:48:50.219404Z,2025-05-21T14:48:50.277680Z,65.349 ms,58.278192 ms,40.74426571428572 ms,27.551296 ms,58.278192 ms,7
2025-05-21T14:50:28.284609Z,2025-05-21T14:50:28.290353Z,2025-05-21T14:50:28.319658Z,35.049 ms,29.308106 ms,39.31474575 ms,27.551296 ms,58.278192 ms,8
2025-05-21T14:50:42.531815Z,2025-05-21T14:50:42.535188Z,2025-05-21T14:50:42.551157Z,19.342000000000002 ms,15.9716 ms,36.72106288888889 ms,15.9716 ms,58.278192 ms,9
2025-05-21T14:51:46.256756Z,2025-05-21T14:51:46.259610Z,2025-05-21T14:51:46.288621Z,31.865 ms,29.012856 ms,35.950242200000005 ms,15.9716 ms,58.278192 ms,10
2025-05-21T14:52:54.910793Z,2025-05-21T14:52:54.914185Z,2025-05-21T14:52:54.940120Z,29.326999999999998 ms,25.937462 ms,35.039989454545456 ms,15.9716 ms,58.278192 ms,11
2025-05-21T14:53:18.338387Z,2025-05-21T14:53:18.341000Z,2025-05-21T14:53:18.366868Z,28.480999999999998 ms,25.870012 ms,34.275824666666665 ms,15.9716 ms,58.278192 ms,12
2025-05-21T14:53:39.077226Z,2025-05-21T14:53:39.080439Z,2025-05-21T14:53:39.101630Z,24.404 ms,21.192572 ms,33.26942061538462 ms,15.9716 ms,58.278192 ms,13
2025-05-21T14:55:57.941176Z,2025-05-21T14:55:57.943767Z,2025-05-21T14:55:57.973658Z,32.482 ms,29.89296 ms,33.02824485714286 ms,15.9716 ms,58.278192 ms,14
2025-05-21T14:56:33.770447Z,2025-05-21T14:56:33.773478Z,2025-05-21T14:56:33.801133Z,30.686 ms,27.656981 ms,32.6701606 ms,15.9716 ms,58.278192 ms,15
2025-05-21T14:57:24.690965Z,2025-05-21T14:57:24.693861Z,2025-05-21T14:57:24.724685Z,33.72 ms,30.825263 ms,32.5548545 ms,15.9716 ms,58.278192 ms,16
2025-05-21T14:58:08.087622Z,2025-05-21T14:58:08.090474Z,2025-05-21T14:58:08.119660Z,32.038 ms,29.18733 ms,32.35676482352941 ms,15.9716 ms,58.278192 ms,17
2025-05-21T14:58:52.334185Z,2025-05-21T14:58:52.337121Z,2025-05-21T14:58:52.365236Z,31.051 ms,28.135143 ms,32.122230277777774 ms,15.9716 ms,58.278192 ms,18
2025-05-21T15:00:21.558010Z,2025-05-21T15:00:21.560970Z,2025-05-21T15:00:21.588496Z,30.486 ms,27.52792 ms,31.88042447368421 ms,15.9716 ms,58.278192 ms,19
2025-05-21T15:01:06.865873Z,2025-05-21T15:01:06.872073Z,2025-05-21T15:01:06.904426Z,38.553 ms,32.35506 ms,31.90415625 ms,15.9716 ms,58.278192 ms,20
2025-05-21T15:03:53.263080Z,2025-05-21T15:03:53.265718Z,2025-05-21T15:03:53.292467Z,29.387 ms,26.751183 ms,31.65877657142857 ms,15.9716 ms,58.278192 ms,21
2025-05-21T15:08:29.863092Z,2025-05-21T15:08:29.866034Z,2025-05-21T15:08:29.896823Z,33.730999999999995 ms,30.791322 ms,31.619346818181818 ms,15.9716 ms,58.278192 ms,22
2025-05-21T15:08:51.170973Z,2025-05-21T15:08:51.173707Z,2025-05-21T15:08:51.198902Z,27.929 ms,25.21149 ms,31.340744347826085 ms,15.9716 ms,58.278192 ms,23
2025-05-21T15:09:06.214906Z,2025-05-21T15:09:06.219287Z,2025-05-21T15:09:06.245271Z,30.365 ms,25.986117 ms,31.117634875 ms,15.9716 ms,58.278192 ms,24
2025-05-21T15:09:38.293262Z,2025-05-21T15:09:38.296354Z,2025-05-21T15:09:38.322783Z,29.520999999999997 ms,26.430385 ms,30.93014488 ms,15.9716 ms,58.278192 ms,25
2025-05-21T15:10:18.633742Z,2025-05-21T15:10:18.636298Z,2025-05-21T15:10:18.669602Z,35.86 ms,33.305375 ms,31.021499884615384 ms,15.9716 ms,58.278192 ms,26
