observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-22T14:21:11.049128Z,2025-04-22T14:21:11.089943Z,2025-04-22T14:21:11.125290Z,76.16199999999999 ms,35.3509 ms,35.3509 ms,35.3509 ms,35.3509 ms,1
2025-04-22T14:21:16.840884Z,2025-04-22T14:21:16.845754Z,2025-04-22T14:21:16.874614Z,33.730000000000004 ms,28.862219 ms,32.1065595 ms,28.862219 ms,35.3509 ms,2
2025-04-22T14:21:22.537584Z,2025-04-22T14:21:22.543149Z,2025-04-22T14:21:22.565310Z,27.726 ms,22.162373 ms,28.79183066666667 ms,22.162373 ms,35.3509 ms,3
2025-04-22T14:21:28.225386Z,2025-04-22T14:21:28.230208Z,2025-04-22T14:21:28.249211Z,23.825 ms,19.005159 ms,26.34516275 ms,19.005159 ms,35.3509 ms,4
2025-04-22T14:21:33.943366Z,2025-04-22T14:21:33.948228Z,2025-04-22T14:21:33.967490Z,24.124 ms,19.26453 ms,24.9290362 ms,19.005159 ms,35.3509 ms,5
2025-04-22T14:21:39.642164Z,2025-04-22T14:21:39.646764Z,2025-04-22T14:21:39.675059Z,32.895 ms,28.296683 ms,25.49031066666667 ms,19.005159 ms,35.3509 ms,6
2025-04-22T14:21:45.347629Z,2025-04-22T14:21:45.352440Z,2025-04-22T14:21:45.369647Z,22.018 ms,17.208898 ms,24.307251714285712 ms,17.208898 ms,35.3509 ms,7
2025-04-22T14:21:51.061180Z,2025-04-22T14:21:51.065576Z,2025-04-22T14:21:51.083274Z,22.093999999999998 ms,17.700505 ms,23.481408375 ms,17.208898 ms,35.3509 ms,8
2025-04-22T14:21:56.751737Z,2025-04-22T14:21:56.756404Z,2025-04-22T14:21:56.773387Z,21.65 ms,16.984946 ms,22.759579222222225 ms,16.984946 ms,35.3509 ms,9
2025-04-22T14:22:02.456586Z,2025-04-22T14:22:02.460925Z,2025-04-22T14:22:02.478846Z,22.259999999999998 ms,17.922231 ms,22.275844399999997 ms,16.984946 ms,35.3509 ms,10
2025-04-22T14:22:08.140400Z,2025-04-22T14:22:08.145303Z,2025-04-22T14:22:08.165785Z,25.385 ms,20.484034 ms,22.112952545454547 ms,16.984946 ms,35.3509 ms,11
2025-04-22T14:22:13.868584Z,2025-04-22T14:22:13.873492Z,2025-04-22T14:22:13.893386Z,24.802 ms,19.895277 ms,21.92814625 ms,16.984946 ms,35.3509 ms,12
2025-04-22T14:22:19.566378Z,2025-04-22T14:22:19.570287Z,2025-04-22T14:22:19.588862Z,22.484 ms,18.576102 ms,21.67029669230769 ms,16.984946 ms,35.3509 ms,13
2025-04-22T14:22:25.189436Z,2025-04-22T14:22:25.193678Z,2025-04-22T14:22:25.211311Z,21.875 ms,17.635602 ms,21.38210421428571 ms,16.984946 ms,35.3509 ms,14
2025-04-22T14:22:30.853204Z,2025-04-22T14:22:30.857838Z,2025-04-22T14:22:30.875405Z,22.200999999999997 ms,17.5686 ms,21.1278706 ms,16.984946 ms,35.3509 ms,15
