observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-18T15:25:49.509585Z,2025-04-18T15:25:49.601933Z,2025-04-18T15:25:49.617693Z,108.10799999999999 ms,15.762059 ms,15.762059 ms,15.762059 ms,15.762059 ms,1
2025-04-18T15:25:54.488444Z,2025-04-18T15:25:54.492311Z,2025-04-18T15:25:54.508726Z,20.282 ms,16.416829 ms,16.089444 ms,15.762059 ms,16.416829 ms,2
2025-04-18T15:25:59.495516Z,2025-04-18T15:25:59.498992Z,2025-04-18T15:25:59.510193Z,14.677000000000001 ms,11.20182 ms,14.460236 ms,11.20182 ms,16.416829 ms,3
2025-04-18T15:26:04.495112Z,2025-04-18T15:26:04.498530Z,2025-04-18T15:26:04.509817Z,14.705 ms,11.288433 ms,13.66728525 ms,11.20182 ms,16.416829 ms,4
2025-04-18T15:26:09.488273Z,2025-04-18T15:26:09.492470Z,2025-04-18T15:26:09.502960Z,14.687000000000001 ms,10.491823 ms,13.0321928 ms,10.491823 ms,16.416829 ms,5
2025-04-18T15:26:14.487179Z,2025-04-18T15:26:14.490078Z,2025-04-18T15:26:14.500680Z,13.501000000000001 ms,10.603287 ms,12.627375166666667 ms,10.491823 ms,16.416829 ms,6
2025-04-18T15:26:19.485911Z,2025-04-18T15:26:19.489035Z,2025-04-18T15:26:19.497096Z,11.185 ms,8.062741 ms,11.97528457142857 ms,8.062741 ms,16.416829 ms,7
2025-04-18T15:26:24.490666Z,2025-04-18T15:26:24.493685Z,2025-04-18T15:26:24.503903Z,13.237 ms,10.218933 ms,11.755740625 ms,8.062741 ms,16.416829 ms,8
2025-04-18T15:26:29.486662Z,2025-04-18T15:26:29.489797Z,2025-04-18T15:26:29.499869Z,13.207 ms,10.073925 ms,11.568872222222222 ms,8.062741 ms,16.416829 ms,9
2025-04-18T15:26:34.491210Z,2025-04-18T15:26:34.494116Z,2025-04-18T15:26:34.504950Z,13.74 ms,10.835716 ms,11.4955566 ms,8.062741 ms,16.416829 ms,10
2025-04-18T15:26:39.488018Z,2025-04-18T15:26:39.491001Z,2025-04-18T15:26:39.500899Z,12.881 ms,9.899601 ms,11.350469727272726 ms,8.062741 ms,16.416829 ms,11
2025-04-18T15:26:44.492992Z,2025-04-18T15:26:44.495894Z,2025-04-18T15:26:44.506704Z,13.712 ms,10.810854 ms,11.30550175 ms,8.062741 ms,16.416829 ms,12
2025-04-18T15:26:49.488023Z,2025-04-18T15:26:49.490946Z,2025-04-18T15:26:49.498957Z,10.934 ms,8.012632 ms,11.052204076923076 ms,8.012632 ms,16.416829 ms,13
2025-04-18T15:26:54.492509Z,2025-04-18T15:26:54.495626Z,2025-04-18T15:26:54.505797Z,13.288 ms,10.172813 ms,10.98939042857143 ms,8.012632 ms,16.416829 ms,14
2025-04-18T15:26:59.486491Z,2025-04-18T15:26:59.489469Z,2025-04-18T15:26:59.499652Z,13.161000000000001 ms,10.18484 ms,10.935753733333332 ms,8.012632 ms,16.416829 ms,15
2025-04-18T15:27:04.489008Z,2025-04-18T15:27:04.491973Z,2025-04-18T15:27:04.502425Z,13.417 ms,10.453889 ms,10.9056371875 ms,8.012632 ms,16.416829 ms,16
2025-04-18T15:27:09.491766Z,2025-04-18T15:27:09.494717Z,2025-04-18T15:27:09.504809Z,13.043000000000001 ms,10.093682 ms,10.85787511764706 ms,8.012632 ms,16.416829 ms,17
2025-04-18T15:27:14.495438Z,2025-04-18T15:27:14.498368Z,2025-04-18T15:27:14.509046Z,13.608 ms,10.679204 ms,10.847948944444443 ms,8.012632 ms,16.416829 ms,18
2025-04-18T15:27:19.487518Z,2025-04-18T15:27:19.490436Z,2025-04-18T15:27:19.500775Z,13.257 ms,10.340486 ms,10.821240368421053 ms,8.012632 ms,16.416829 ms,19
2025-04-18T15:27:24.495816Z,2025-04-18T15:27:24.499059Z,2025-04-18T15:27:24.509146Z,13.33 ms,10.087605 ms,10.7845586 ms,8.012632 ms,16.416829 ms,20
2025-04-18T15:27:29.495550Z,2025-04-18T15:27:29.498513Z,2025-04-18T15:27:29.508169Z,12.619 ms,9.657063 ms,10.730868333333333 ms,8.012632 ms,16.416829 ms,21
2025-04-18T15:27:34.486291Z,2025-04-18T15:27:34.489376Z,2025-04-18T15:27:34.499428Z,13.136999999999999 ms,10.054141 ms,10.700108 ms,8.012632 ms,16.416829 ms,22
2025-04-18T15:27:39.493711Z,2025-04-18T15:27:39.496708Z,2025-04-18T15:27:39.506767Z,13.056 ms,10.060965 ms,10.672319173913044 ms,8.012632 ms,16.416829 ms,23
2025-04-18T15:27:44.491375Z,2025-04-18T15:27:44.494302Z,2025-04-18T15:27:44.504484Z,13.109 ms,10.183336 ms,10.651944875 ms,8.012632 ms,16.416829 ms,24
2025-04-18T15:27:49.491633Z,2025-04-18T15:27:49.494518Z,2025-04-18T15:27:49.504564Z,12.931 ms,10.047317 ms,10.62775976 ms,8.012632 ms,16.416829 ms,25
2025-04-18T15:27:54.494662Z,2025-04-18T15:27:54.497580Z,2025-04-18T15:27:54.507388Z,12.725999999999999 ms,9.809538 ms,10.596289692307693 ms,8.012632 ms,16.416829 ms,26
2025-04-18T15:27:59.493785Z,2025-04-18T15:27:59.496737Z,2025-04-18T15:27:59.506712Z,12.927 ms,9.976149 ms,10.573321518518519 ms,8.012632 ms,16.416829 ms,27
2025-04-18T15:28:04.489100Z,2025-04-18T15:28:04.491741Z,2025-04-18T15:28:04.501473Z,12.373000000000001 ms,9.733481 ms,10.543327214285714 ms,8.012632 ms,16.416829 ms,28
2025-04-18T15:28:09.491840Z,2025-04-18T15:28:09.494503Z,2025-04-18T15:28:09.504347Z,12.507000000000001 ms,9.844598 ms,10.519233103448276 ms,8.012632 ms,16.416829 ms,29
2025-04-18T15:28:14.492406Z,2025-04-18T15:28:14.495142Z,2025-04-18T15:28:14.504538Z,12.132 ms,9.397685 ms,10.481848166666666 ms,8.012632 ms,16.416829 ms,30
2025-04-18T15:28:19.488592Z,2025-04-18T15:28:19.491331Z,2025-04-18T15:28:19.498588Z,9.996 ms,7.257869 ms,10.377848838709676 ms,7.257869 ms,16.416829 ms,31
2025-04-18T15:28:24.490110Z,2025-04-18T15:28:24.493243Z,2025-04-18T15:28:24.500413Z,10.302999999999999 ms,7.171661 ms,10.27765546875 ms,7.171661 ms,16.416829 ms,32
2025-04-18T15:28:29.491320Z,2025-04-18T15:28:29.493889Z,2025-04-18T15:28:29.500629Z,9.309 ms,6.741391 ms,10.17049593939394 ms,6.741391 ms,16.416829 ms,33
2025-04-18T15:28:34.497573Z,2025-04-18T15:28:34.500278Z,2025-04-18T15:28:34.506987Z,9.414 ms,6.710466 ms,10.068730352941175 ms,6.710466 ms,16.416829 ms,34
2025-04-18T15:28:39.498932Z,2025-04-18T15:28:39.501688Z,2025-04-18T15:28:39.508174Z,9.242 ms,6.487569 ms,9.966411457142858 ms,6.487569 ms,16.416829 ms,35
2025-04-18T15:28:44.497592Z,2025-04-18T15:28:44.500452Z,2025-04-18T15:28:44.509051Z,11.459 ms,8.600439 ms,9.928467777777778 ms,6.487569 ms,16.416829 ms,36
2025-04-18T15:28:49.495920Z,2025-04-18T15:28:49.498814Z,2025-04-18T15:28:49.505972Z,10.052 ms,7.158804 ms,9.853612 ms,6.487569 ms,16.416829 ms,37
2025-04-18T15:28:54.504436Z,2025-04-18T15:28:54.507161Z,2025-04-18T15:28:54.513918Z,9.482000000000001 ms,6.758443 ms,9.772160184210525 ms,6.487569 ms,16.416829 ms,38
2025-04-18T15:28:59.508093Z,2025-04-18T15:28:59.511249Z,2025-04-18T15:28:59.519010Z,10.917 ms,7.763143 ms,9.720646923076924 ms,6.487569 ms,16.416829 ms,39
2025-04-18T15:29:04.499118Z,2025-04-18T15:29:04.502002Z,2025-04-18T15:29:04.508640Z,9.521999999999998 ms,6.638974 ms,9.6436051 ms,6.487569 ms,16.416829 ms,40
2025-04-18T15:29:09.499031Z,2025-04-18T15:29:09.501680Z,2025-04-18T15:29:09.508284Z,9.253 ms,6.605126 ms,9.569495853658536 ms,6.487569 ms,16.416829 ms,41
2025-04-18T15:29:14.496682Z,2025-04-18T15:29:14.499544Z,2025-04-18T15:29:14.506374Z,9.691999999999998 ms,6.832434 ms,9.504327714285715 ms,6.487569 ms,16.416829 ms,42
2025-04-18T15:29:19.504698Z,2025-04-18T15:29:19.507342Z,2025-04-18T15:29:19.514909Z,10.211 ms,7.569121 ms,9.459322906976745 ms,6.487569 ms,16.416829 ms,43
2025-04-18T15:29:24.498636Z,2025-04-18T15:29:24.501373Z,2025-04-18T15:29:24.508155Z,9.519 ms,6.783271 ms,9.398503545454545 ms,6.487569 ms,16.416829 ms,44
2025-04-18T15:29:29.503672Z,2025-04-18T15:29:29.506673Z,2025-04-18T15:29:29.513788Z,10.116 ms,7.115846 ms,9.347777822222222 ms,6.487569 ms,16.416829 ms,45
2025-04-18T15:29:34.500703Z,2025-04-18T15:29:34.503627Z,2025-04-18T15:29:34.510443Z,9.74 ms,6.816524 ms,9.292750565217391 ms,6.487569 ms,16.416829 ms,46
2025-04-18T15:29:39.509053Z,2025-04-18T15:29:39.511777Z,2025-04-18T15:29:39.518963Z,9.91 ms,7.187587 ms,9.247959851063829 ms,6.487569 ms,16.416829 ms,47
2025-04-18T15:29:44.505188Z,2025-04-18T15:29:44.507836Z,2025-04-18T15:29:44.514915Z,9.727 ms,7.080358 ms,9.202801479166666 ms,6.487569 ms,16.416829 ms,48
2025-04-18T15:29:49.501002Z,2025-04-18T15:29:49.503672Z,2025-04-18T15:29:49.513197Z,12.194999999999999 ms,9.526558 ms,9.20940875510204 ms,6.487569 ms,16.416829 ms,49
2025-04-18T15:29:54.509103Z,2025-04-18T15:29:54.512046Z,2025-04-18T15:29:54.521881Z,12.777999999999999 ms,9.835645 ms,9.22193348 ms,6.487569 ms,16.416829 ms,50
2025-04-18T15:29:59.511295Z,2025-04-18T15:29:59.514521Z,2025-04-18T15:29:59.524121Z,12.826 ms,9.601109 ms,9.229368294117647 ms,6.487569 ms,16.416829 ms,51
2025-04-18T15:30:04.505140Z,2025-04-18T15:30:04.507899Z,2025-04-18T15:30:04.517330Z,12.19 ms,9.432131 ms,9.233267576923076 ms,6.487569 ms,16.416829 ms,52
2025-04-18T15:30:09.509953Z,2025-04-18T15:30:09.512823Z,2025-04-18T15:30:09.522326Z,12.373000000000001 ms,9.503863 ms,9.238373150943396 ms,6.487569 ms,16.416829 ms,53
2025-04-18T15:30:14.503791Z,2025-04-18T15:30:14.506250Z,2025-04-18T15:30:14.516372Z,12.581 ms,10.122859 ms,9.254752518518519 ms,6.487569 ms,16.416829 ms,54
2025-04-18T15:30:19.512884Z,2025-04-18T15:30:19.515691Z,2025-04-18T15:30:19.525290Z,12.406 ms,9.599793 ms,9.261025981818182 ms,6.487569 ms,16.416829 ms,55
2025-04-18T15:30:24.505580Z,2025-04-18T15:30:24.508388Z,2025-04-18T15:30:24.517698Z,12.118 ms,9.311675 ms,9.261930428571429 ms,6.487569 ms,16.416829 ms,56
2025-04-18T15:30:29.506539Z,2025-04-18T15:30:29.509284Z,2025-04-18T15:30:29.518989Z,12.45 ms,9.706394 ms,9.26972803508772 ms,6.487569 ms,16.416829 ms,57
2025-04-18T15:30:34.506366Z,2025-04-18T15:30:34.509024Z,2025-04-18T15:30:34.518046Z,11.68 ms,9.023673 ms,9.26548570689655 ms,6.487569 ms,16.416829 ms,58
2025-04-18T15:30:39.508261Z,2025-04-18T15:30:39.511055Z,2025-04-18T15:30:39.520581Z,12.319999999999999 ms,9.52776 ms,9.269931033898304 ms,6.487569 ms,16.416829 ms,59
2025-04-18T15:30:44.522627Z,2025-04-18T15:30:44.525244Z,2025-04-18T15:30:44.538485Z,15.858 ms,13.242458 ms,9.336139816666666 ms,6.487569 ms,16.416829 ms,60
2025-04-18T15:30:49.508554Z,2025-04-18T15:30:49.511469Z,2025-04-18T15:30:49.521025Z,12.471 ms,9.557222 ms,9.339764114754098 ms,6.487569 ms,16.416829 ms,61
2025-04-18T15:30:54.509516Z,2025-04-18T15:30:54.512369Z,2025-04-18T15:30:54.521495Z,11.979 ms,9.127578 ms,9.336341758064515 ms,6.487569 ms,16.416829 ms,62
2025-04-18T15:30:59.511259Z,2025-04-18T15:30:59.513877Z,2025-04-18T15:30:59.522928Z,11.669 ms,9.052785 ms,9.331840857142856 ms,6.487569 ms,16.416829 ms,63
2025-04-18T15:31:04.512377Z,2025-04-18T15:31:04.515004Z,2025-04-18T15:31:04.524089Z,11.712 ms,9.08655 ms,9.3280081875 ms,6.487569 ms,16.416829 ms,64
2025-04-18T15:31:09.518073Z,2025-04-18T15:31:09.520765Z,2025-04-18T15:31:09.530269Z,12.196 ms,9.505515 ms,9.33073906153846 ms,6.487569 ms,16.416829 ms,65
2025-04-18T15:31:14.511816Z,2025-04-18T15:31:14.514471Z,2025-04-18T15:31:14.523731Z,11.915000000000001 ms,9.261831 ms,9.329695 ms,6.487569 ms,16.416829 ms,66
2025-04-18T15:31:19.522743Z,2025-04-18T15:31:19.525397Z,2025-04-18T15:31:19.535050Z,12.307 ms,9.653888 ms,9.334533701492537 ms,6.487569 ms,16.416829 ms,67
2025-04-18T15:31:24.514381Z,2025-04-18T15:31:24.516918Z,2025-04-18T15:31:24.526664Z,12.283000000000001 ms,9.747537 ms,9.340607279411765 ms,6.487569 ms,16.416829 ms,68
2025-04-18T15:31:29.520272Z,2025-04-18T15:31:29.522897Z,2025-04-18T15:31:29.532620Z,12.347999999999999 ms,9.724426 ms,9.346169869565216 ms,6.487569 ms,16.416829 ms,69
2025-04-18T15:31:34.513207Z,2025-04-18T15:31:34.515678Z,2025-04-18T15:31:34.524621Z,11.414 ms,8.944819 ms,9.340436285714285 ms,6.487569 ms,16.416829 ms,70
2025-04-18T15:31:39.516539Z,2025-04-18T15:31:39.518989Z,2025-04-18T15:31:39.528123Z,11.584000000000001 ms,9.134999 ms,9.337542802816902 ms,6.487569 ms,16.416829 ms,71
2025-04-18T15:31:44.516535Z,2025-04-18T15:31:44.519220Z,2025-04-18T15:31:44.528502Z,11.967 ms,9.282398 ms,9.336776902777778 ms,6.487569 ms,16.416829 ms,72
2025-04-18T15:31:49.514595Z,2025-04-18T15:31:49.517325Z,2025-04-18T15:31:49.526985Z,12.39 ms,9.66131 ms,9.341222561643836 ms,6.487569 ms,16.416829 ms,73
