observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T14:39:16.497458Z,2025-05-21T14:39:16.533017Z,2025-05-21T14:39:16.533626Z,72.405 ms,0.611914 ms,0.611914 ms,0.611914 ms,0.611914 ms,1
2025-05-21T14:41:08.229304Z,2025-05-21T14:41:08.232991Z,2025-05-21T14:41:08.236467Z,55.178 ms,3.492645 ms,2.0522795 ms,0.611914 ms,3.492645 ms,2
2025-05-21T14:41:36.872949Z,2025-05-21T14:41:36.875706Z,2025-05-21T14:41:36.878940Z,41.224 ms,3.234926 ms,2.446495 ms,0.611914 ms,3.492645 ms,3
2025-05-21T14:42:14.244535Z,2025-05-21T14:42:14.247538Z,2025-05-21T14:42:14.247837Z,44.442 ms,0.29926 ms,1.90968625 ms,0.29926 ms,3.492645 ms,4
2025-05-21T14:44:46.803364Z,2025-05-21T14:44:46.809248Z,2025-05-21T14:44:46.810006Z,36.997 ms,0.760233 ms,1.6797956 ms,0.29926 ms,3.492645 ms,5
2025-05-21T14:47:05.471823Z,2025-05-21T14:47:05.475331Z,2025-05-21T14:47:05.475656Z,31.016 ms,0.368472 ms,1.4612416666666668 ms,0.29926 ms,3.492645 ms,6
2025-05-21T14:48:50.212331Z,2025-05-21T14:48:50.219404Z,2025-05-21T14:48:50.220411Z,65.349 ms,1.009279 ms,1.3966755714285715 ms,0.29926 ms,3.492645 ms,7
2025-05-21T14:50:28.284609Z,2025-05-21T14:50:28.290353Z,2025-05-21T14:50:28.290643Z,35.049 ms,0.292307 ms,1.2586295 ms,0.292307 ms,3.492645 ms,8
2025-05-21T14:50:42.531815Z,2025-05-21T14:50:42.535188Z,2025-05-21T14:50:42.535363Z,19.342000000000002 ms,0.177357 ms,1.138488111111111 ms,0.177357 ms,3.492645 ms,9
2025-05-21T14:51:46.256756Z,2025-05-21T14:51:46.259610Z,2025-05-21T14:51:46.259877Z,31.865 ms,0.268701 ms,1.0515093999999998 ms,0.177357 ms,3.492645 ms,10
2025-05-21T14:52:54.910793Z,2025-05-21T14:52:54.914185Z,2025-05-21T14:52:54.914399Z,29.326999999999998 ms,0.215964 ms,0.9755507272727273 ms,0.177357 ms,3.492645 ms,11
2025-05-21T14:53:18.338387Z,2025-05-21T14:53:18.341000Z,2025-05-21T14:53:18.341166Z,28.480999999999998 ms,0.168031 ms,0.9082574166666666 ms,0.168031 ms,3.492645 ms,12
2025-05-21T14:53:39.077226Z,2025-05-21T14:53:39.080439Z,2025-05-21T14:53:39.080757Z,24.404 ms,0.320071 ms,0.8630123076923077 ms,0.168031 ms,3.492645 ms,13
2025-05-21T14:55:57.941176Z,2025-05-21T14:55:57.943767Z,2025-05-21T14:55:57.943987Z,32.482 ms,0.222626 ms,0.8172704285714285 ms,0.168031 ms,3.492645 ms,14
2025-05-21T14:56:33.770447Z,2025-05-21T14:56:33.773478Z,2025-05-21T14:56:33.773841Z,30.686 ms,0.364717 ms,0.7871001999999999 ms,0.168031 ms,3.492645 ms,15
2025-05-21T14:57:24.690965Z,2025-05-21T14:57:24.693861Z,2025-05-21T14:57:24.694125Z,33.72 ms,0.265394 ms,0.7544935625 ms,0.168031 ms,3.492645 ms,16
2025-05-21T14:58:08.087622Z,2025-05-21T14:58:08.090474Z,2025-05-21T14:58:08.090737Z,32.038 ms,0.264986 ms,0.725699 ms,0.168031 ms,3.492645 ms,17
2025-05-21T14:58:52.334185Z,2025-05-21T14:58:52.337121Z,2025-05-21T14:58:52.337361Z,31.051 ms,0.26012 ms,0.6998335 ms,0.168031 ms,3.492645 ms,18
2025-05-21T15:00:21.558010Z,2025-05-21T15:00:21.560970Z,2025-05-21T15:00:21.561250Z,30.486 ms,0.282402 ms,0.6778634210526315 ms,0.168031 ms,3.492645 ms,19
2025-05-21T15:01:06.865873Z,2025-05-21T15:01:06.872073Z,2025-05-21T15:01:06.872358Z,38.553 ms,0.286466 ms,0.65829355 ms,0.168031 ms,3.492645 ms,20
2025-05-21T15:03:53.263080Z,2025-05-21T15:03:53.265718Z,2025-05-21T15:03:53.265950Z,29.387 ms,0.233432 ms,0.6380620476190476 ms,0.168031 ms,3.492645 ms,21
2025-05-21T15:08:29.863092Z,2025-05-21T15:08:29.866034Z,2025-05-21T15:08:29.866435Z,33.730999999999995 ms,0.403328 ms,0.6273923181818183 ms,0.168031 ms,3.492645 ms,22
2025-05-21T15:08:51.170973Z,2025-05-21T15:08:51.173707Z,2025-05-21T15:08:51.174032Z,27.929 ms,0.341063 ms,0.6149432173913043 ms,0.168031 ms,3.492645 ms,23
2025-05-21T15:09:06.214906Z,2025-05-21T15:09:06.219287Z,2025-05-21T15:09:06.219588Z,30.365 ms,0.302284 ms,0.60191575 ms,0.168031 ms,3.492645 ms,24
2025-05-21T15:09:38.293262Z,2025-05-21T15:09:38.296354Z,2025-05-21T15:09:38.296673Z,29.520999999999997 ms,0.320936 ms,0.59067656 ms,0.168031 ms,3.492645 ms,25
2025-05-21T15:10:18.633742Z,2025-05-21T15:10:18.636298Z,2025-05-21T15:10:18.636533Z,35.86 ms,0.236844 ms,0.5770676153846154 ms,0.168031 ms,3.492645 ms,26
