observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-21T14:13:58.387300Z,2025-04-21T14:13:58.426695Z,2025-04-21T14:13:58.427468Z,86.682 ms,0.775581 ms,0.775581 ms,0.775581 ms,0.775581 ms,1
2025-04-21T14:14:04.192760Z,2025-04-21T14:14:04.197906Z,2025-04-21T14:14:04.198448Z,26.276 ms,0.559062 ms,0.6673215 ms,0.559062 ms,0.775581 ms,2
2025-04-21T14:14:09.959179Z,2025-04-21T14:14:09.965027Z,2025-04-21T14:14:09.965471Z,23.664 ms,0.446128 ms,0.5935903333333333 ms,0.446128 ms,0.775581 ms,3
2025-04-21T14:14:15.684815Z,2025-04-21T14:14:15.689743Z,2025-04-21T14:14:15.690228Z,23.894 ms,0.486823 ms,0.5668985 ms,0.446128 ms,0.775581 ms,4
2025-04-21T14:14:21.395915Z,2025-04-21T14:14:21.401131Z,2025-04-21T14:14:21.401555Z,21.548000000000002 ms,0.426229 ms,0.5387645999999999 ms,0.426229 ms,0.775581 ms,5
2025-04-21T14:14:27.102155Z,2025-04-21T14:14:27.106827Z,2025-04-21T14:14:27.107366Z,21.924 ms,0.541711 ms,0.5392556666666666 ms,0.426229 ms,0.775581 ms,6
2025-04-21T14:14:32.813637Z,2025-04-21T14:14:32.818752Z,2025-04-21T14:14:32.819232Z,22.121 ms,0.481898 ms,0.5310617142857144 ms,0.426229 ms,0.775581 ms,7
2025-04-21T14:14:38.544952Z,2025-04-21T14:14:38.549637Z,2025-04-21T14:14:38.550182Z,21.526 ms,0.547084 ms,0.5330645 ms,0.426229 ms,0.775581 ms,8
2025-04-21T14:14:44.268045Z,2025-04-21T14:14:44.272807Z,2025-04-21T14:14:44.273300Z,21.877 ms,0.494711 ms,0.528803 ms,0.426229 ms,0.775581 ms,9
2025-04-21T14:14:49.948217Z,2025-04-21T14:14:49.952688Z,2025-04-21T14:14:49.953089Z,20.559 ms,0.403122 ms,0.5162349 ms,0.403122 ms,0.775581 ms,10
2025-04-21T14:14:55.642605Z,2025-04-21T14:14:55.647424Z,2025-04-21T14:14:55.648004Z,20.922 ms,0.582783 ms,0.5222847272727273 ms,0.403122 ms,0.775581 ms,11
2025-04-21T14:15:01.358691Z,2025-04-21T14:15:01.363468Z,2025-04-21T14:15:01.364005Z,28.704 ms,0.539095 ms,0.5236855833333333 ms,0.403122 ms,0.775581 ms,12
2025-04-21T14:15:07.072194Z,2025-04-21T14:15:07.076923Z,2025-04-21T14:15:07.077413Z,35.538 ms,0.492858 ms,0.5213142307692308 ms,0.403122 ms,0.775581 ms,13
2025-04-21T14:15:12.826691Z,2025-04-21T14:15:12.831670Z,2025-04-21T14:15:12.832263Z,23.689 ms,0.595267 ms,0.5265965714285715 ms,0.403122 ms,0.775581 ms,14
2025-04-21T14:15:18.549957Z,2025-04-21T14:15:18.554955Z,2025-04-21T14:15:18.555445Z,21.389 ms,0.491736 ms,0.5242725333333333 ms,0.403122 ms,0.775581 ms,15
2025-04-21T14:15:24.277562Z,2025-04-21T14:15:24.282295Z,2025-04-21T14:15:24.282905Z,33.514 ms,0.612255 ms,0.5297714375 ms,0.403122 ms,0.775581 ms,16
2025-04-21T14:15:29.992858Z,2025-04-21T14:15:29.997340Z,2025-04-21T14:15:29.997846Z,21.133 ms,0.508243 ms,0.5285050588235294 ms,0.403122 ms,0.775581 ms,17
