observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-21T16:11:24.841505Z,2025-04-21T16:11:24.926959Z,2025-04-21T16:11:24.927419Z,108.487 ms,0.461815 ms,0.461815 ms,0.461815 ms,0.461815 ms,1
2025-04-21T16:11:29.814366Z,2025-04-21T16:11:29.818070Z,2025-04-21T16:11:29.818393Z,16.326 ms,0.325557 ms,0.393686 ms,0.325557 ms,0.461815 ms,2
2025-04-21T16:11:34.818293Z,2025-04-21T16:11:34.821863Z,2025-04-21T16:11:34.822191Z,14.63 ms,0.329175 ms,0.37218233333333334 ms,0.325557 ms,0.461815 ms,3
2025-04-21T16:11:39.823726Z,2025-04-21T16:11:39.827304Z,2025-04-21T16:11:39.827581Z,15.074 ms,0.278638 ms,0.34879625 ms,0.278638 ms,0.461815 ms,4
2025-04-21T16:11:44.818706Z,2025-04-21T16:11:44.822827Z,2025-04-21T16:11:44.823146Z,15.013 ms,0.321516 ms,0.3433402 ms,0.278638 ms,0.461815 ms,5
2025-04-21T16:11:49.812756Z,2025-04-21T16:11:49.815790Z,2025-04-21T16:11:49.816054Z,13.498 ms,0.265179 ms,0.3303133333333333 ms,0.265179 ms,0.461815 ms,6
2025-04-21T16:11:54.816671Z,2025-04-21T16:11:54.819625Z,2025-04-21T16:11:54.819885Z,12.719 ms,0.261518 ms,0.3204854285714286 ms,0.261518 ms,0.461815 ms,7
2025-04-21T16:11:59.814929Z,2025-04-21T16:11:59.818161Z,2025-04-21T16:11:59.818488Z,14.222 ms,0.328576 ms,0.32149675 ms,0.261518 ms,0.461815 ms,8
2025-04-21T16:12:04.813482Z,2025-04-21T16:12:04.816603Z,2025-04-21T16:12:04.816885Z,13.373 ms,0.283635 ms,0.31728988888888887 ms,0.261518 ms,0.461815 ms,9
2025-04-21T16:12:09.830062Z,2025-04-21T16:12:09.833349Z,2025-04-21T16:12:09.833599Z,13.772 ms,0.251904 ms,0.3107513 ms,0.251904 ms,0.461815 ms,10
2025-04-21T16:12:14.816397Z,2025-04-21T16:12:14.819529Z,2025-04-21T16:12:14.819790Z,13.51 ms,0.262834 ms,0.3063951818181818 ms,0.251904 ms,0.461815 ms,11
2025-04-21T16:12:19.815000Z,2025-04-21T16:12:19.818083Z,2025-04-21T16:12:19.818386Z,13.423 ms,0.304823 ms,0.30626416666666667 ms,0.251904 ms,0.461815 ms,12
2025-04-21T16:12:24.817324Z,2025-04-21T16:12:24.820467Z,2025-04-21T16:12:24.820692Z,19.342000000000002 ms,0.226232 ms,0.3001078461538461 ms,0.226232 ms,0.461815 ms,13
2025-04-21T16:12:29.818575Z,2025-04-21T16:12:29.821761Z,2025-04-21T16:12:29.822023Z,13.440999999999999 ms,0.263798 ms,0.29751428571428573 ms,0.226232 ms,0.461815 ms,14
2025-04-21T16:12:34.820778Z,2025-04-21T16:12:34.823799Z,2025-04-21T16:12:34.824032Z,13.194 ms,0.234583 ms,0.2933188666666666 ms,0.226232 ms,0.461815 ms,15
2025-04-21T16:12:39.818733Z,2025-04-21T16:12:39.821683Z,2025-04-21T16:12:39.821905Z,13.398 ms,0.223202 ms,0.2889365625 ms,0.223202 ms,0.461815 ms,16
2025-04-21T16:12:44.815854Z,2025-04-21T16:12:44.818833Z,2025-04-21T16:12:44.819135Z,14.614 ms,0.304245 ms,0.2898370588235294 ms,0.223202 ms,0.461815 ms,17
2025-04-21T16:12:49.822303Z,2025-04-21T16:12:49.825342Z,2025-04-21T16:12:49.825562Z,13.115 ms,0.222317 ms,0.28608594444444446 ms,0.222317 ms,0.461815 ms,18
2025-04-21T16:12:54.819083Z,2025-04-21T16:12:54.821995Z,2025-04-21T16:12:54.822219Z,13.196 ms,0.225377 ms,0.2828907368421053 ms,0.222317 ms,0.461815 ms,19
2025-04-21T16:12:59.816932Z,2025-04-21T16:12:59.820140Z,2025-04-21T16:12:59.820376Z,13.468 ms,0.236798 ms,0.28058609999999995 ms,0.222317 ms,0.461815 ms,20
2025-04-21T16:13:04.815122Z,2025-04-21T16:13:04.817982Z,2025-04-21T16:13:04.818206Z,12.982000000000001 ms,0.226078 ms,0.27799047619047623 ms,0.222317 ms,0.461815 ms,21
2025-04-21T16:13:09.812878Z,2025-04-21T16:13:09.816073Z,2025-04-21T16:13:09.816387Z,13.415 ms,0.316243 ms,0.2797292272727273 ms,0.222317 ms,0.461815 ms,22
2025-04-21T16:13:14.813428Z,2025-04-21T16:13:14.816634Z,2025-04-21T16:13:14.816886Z,28.227999999999998 ms,0.253728 ms,0.27859873913043476 ms,0.222317 ms,0.461815 ms,23
2025-04-21T16:13:19.823326Z,2025-04-21T16:13:19.826280Z,2025-04-21T16:13:19.826616Z,12.773 ms,0.3377 ms,0.2810612916666667 ms,0.222317 ms,0.461815 ms,24
2025-04-21T16:13:24.822139Z,2025-04-21T16:13:24.825009Z,2025-04-21T16:13:24.825273Z,13.097 ms,0.265117 ms,0.28042352000000004 ms,0.222317 ms,0.461815 ms,25
2025-04-21T16:13:29.816336Z,2025-04-21T16:13:29.819306Z,2025-04-21T16:13:29.819609Z,12.841 ms,0.304822 ms,0.28136192307692304 ms,0.222317 ms,0.461815 ms,26
2025-04-21T16:13:34.812664Z,2025-04-21T16:13:34.815665Z,2025-04-21T16:13:34.815999Z,13.014 ms,0.317634 ms,0.2827053333333333 ms,0.222317 ms,0.461815 ms,27
2025-04-21T16:13:39.813863Z,2025-04-21T16:13:39.816803Z,2025-04-21T16:13:39.817057Z,12.508999999999999 ms,0.255455 ms,0.2817321071428572 ms,0.222317 ms,0.461815 ms,28
2025-04-21T16:13:44.814038Z,2025-04-21T16:13:44.816797Z,2025-04-21T16:13:44.817096Z,12.465 ms,0.300528 ms,0.28238024137931034 ms,0.222317 ms,0.461815 ms,29
2025-04-21T16:13:49.813378Z,2025-04-21T16:13:49.816165Z,2025-04-21T16:13:49.816453Z,12.346 ms,0.289443 ms,0.2826156666666667 ms,0.222317 ms,0.461815 ms,30
2025-04-21T16:13:54.821543Z,2025-04-21T16:13:54.824341Z,2025-04-21T16:13:54.824574Z,12.126 ms,0.233431 ms,0.281029064516129 ms,0.222317 ms,0.461815 ms,31
2025-04-21T16:13:59.823963Z,2025-04-21T16:13:59.826856Z,2025-04-21T16:13:59.827058Z,12.433 ms,0.204195 ms,0.278628 ms,0.204195 ms,0.461815 ms,32
2025-04-21T16:14:04.822609Z,2025-04-21T16:14:04.825314Z,2025-04-21T16:14:04.825542Z,12.444 ms,0.229095 ms,0.277127 ms,0.204195 ms,0.461815 ms,33
2025-04-21T16:14:09.814394Z,2025-04-21T16:14:09.817285Z,2025-04-21T16:14:09.817594Z,12.812000000000001 ms,0.310604 ms,0.2781116176470588 ms,0.204195 ms,0.461815 ms,34
2025-04-21T16:14:14.812649Z,2025-04-21T16:14:14.815511Z,2025-04-21T16:14:14.815773Z,12.388 ms,0.263676 ms,0.2776991714285715 ms,0.204195 ms,0.461815 ms,35
2025-04-21T16:14:19.820724Z,2025-04-21T16:14:19.823349Z,2025-04-21T16:14:19.823592Z,24.625 ms,0.245208 ms,0.2767966388888889 ms,0.204195 ms,0.461815 ms,36
2025-04-21T16:14:24.814138Z,2025-04-21T16:14:24.816982Z,2025-04-21T16:14:24.817275Z,12.959999999999999 ms,0.294842 ms,0.2772843513513514 ms,0.204195 ms,0.461815 ms,37
2025-04-21T16:14:29.822945Z,2025-04-21T16:14:29.825841Z,2025-04-21T16:14:29.826146Z,12.226 ms,0.306725 ms,0.2780591052631579 ms,0.204195 ms,0.461815 ms,38
2025-04-21T16:14:34.820248Z,2025-04-21T16:14:34.823041Z,2025-04-21T16:14:34.823242Z,12.229000000000001 ms,0.20252 ms,0.2761222051282051 ms,0.20252 ms,0.461815 ms,39
2025-04-21T16:14:39.813522Z,2025-04-21T16:14:39.816301Z,2025-04-21T16:14:39.816520Z,12.687000000000001 ms,0.22022 ms,0.27472465 ms,0.20252 ms,0.461815 ms,40
2025-04-21T16:14:44.812559Z,2025-04-21T16:14:44.815482Z,2025-04-21T16:14:44.815752Z,12.192 ms,0.271488 ms,0.27464570731707316 ms,0.20252 ms,0.461815 ms,41
2025-04-21T16:14:49.823670Z,2025-04-21T16:14:49.826726Z,2025-04-21T16:14:49.827034Z,12.902999999999999 ms,0.310078 ms,0.2754893333333333 ms,0.20252 ms,0.461815 ms,42
2025-04-21T16:14:54.819316Z,2025-04-21T16:14:54.822123Z,2025-04-21T16:14:54.822363Z,12.135 ms,0.241354 ms,0.274695488372093 ms,0.20252 ms,0.461815 ms,43
2025-04-21T16:14:59.822893Z,2025-04-21T16:14:59.825609Z,2025-04-21T16:14:59.825901Z,12.241999999999999 ms,0.294197 ms,0.2751387045454545 ms,0.20252 ms,0.461815 ms,44
2025-04-21T16:15:04.813804Z,2025-04-21T16:15:04.816357Z,2025-04-21T16:15:04.816602Z,11.903 ms,0.246873 ms,0.2745105777777778 ms,0.20252 ms,0.461815 ms,45
2025-04-21T16:15:09.816884Z,2025-04-21T16:15:09.819688Z,2025-04-21T16:15:09.819949Z,12.71 ms,0.263467 ms,0.2742705 ms,0.20252 ms,0.461815 ms,46
2025-04-21T16:15:14.822420Z,2025-04-21T16:15:14.824972Z,2025-04-21T16:15:14.825212Z,11.628 ms,0.240798 ms,0.2735583191489362 ms,0.20252 ms,0.461815 ms,47
2025-04-21T16:15:19.813561Z,2025-04-21T16:15:19.816290Z,2025-04-21T16:15:19.816562Z,12.603 ms,0.273095 ms,0.27354866666666666 ms,0.20252 ms,0.461815 ms,48
2025-04-21T16:15:24.822599Z,2025-04-21T16:15:24.825374Z,2025-04-21T16:15:24.825675Z,12.372 ms,0.302048 ms,0.2741302857142857 ms,0.20252 ms,0.461815 ms,49
2025-04-21T16:15:29.813207Z,2025-04-21T16:15:29.815917Z,2025-04-21T16:15:29.816168Z,12.465 ms,0.252244 ms,0.27369256 ms,0.20252 ms,0.461815 ms,50
2025-04-21T16:15:34.813181Z,2025-04-21T16:15:34.815987Z,2025-04-21T16:15:34.816218Z,11.934000000000001 ms,0.233246 ms,0.27289949019607845 ms,0.20252 ms,0.461815 ms,51
2025-04-21T16:15:39.817531Z,2025-04-21T16:15:39.820356Z,2025-04-21T16:15:39.820642Z,12.235 ms,0.288061 ms,0.27319105769230767 ms,0.20252 ms,0.461815 ms,52
2025-04-21T16:15:44.816704Z,2025-04-21T16:15:44.819411Z,2025-04-21T16:15:44.819668Z,12.153 ms,0.258952 ms,0.2729223962264151 ms,0.20252 ms,0.461815 ms,53
2025-04-21T16:15:49.817017Z,2025-04-21T16:15:49.819652Z,2025-04-21T16:15:49.819862Z,11.67 ms,0.211288 ms,0.27178101851851855 ms,0.20252 ms,0.461815 ms,54
2025-04-21T16:15:54.816064Z,2025-04-21T16:15:54.818616Z,2025-04-21T16:15:54.818836Z,11.619000000000002 ms,0.221484 ms,0.2708665272727273 ms,0.20252 ms,0.461815 ms,55
2025-04-21T16:15:59.822872Z,2025-04-21T16:15:59.825598Z,2025-04-21T16:15:59.825872Z,12.259 ms,0.275535 ms,0.2709498928571428 ms,0.20252 ms,0.461815 ms,56
2025-04-21T16:16:04.819417Z,2025-04-21T16:16:04.822025Z,2025-04-21T16:16:04.822313Z,11.998999999999999 ms,0.289506 ms,0.2712754385964912 ms,0.20252 ms,0.461815 ms,57
2025-04-21T16:16:09.818669Z,2025-04-21T16:16:09.821435Z,2025-04-21T16:16:09.821686Z,11.917 ms,0.252971 ms,0.2709598448275862 ms,0.20252 ms,0.461815 ms,58
2025-04-21T16:16:14.819025Z,2025-04-21T16:16:14.821641Z,2025-04-21T16:16:14.821946Z,12.052 ms,0.306209 ms,0.2715572881355932 ms,0.20252 ms,0.461815 ms,59
2025-04-21T16:16:19.821270Z,2025-04-21T16:16:19.823669Z,2025-04-21T16:16:19.823916Z,18.576999999999998 ms,0.249178 ms,0.2711843 ms,0.20252 ms,0.461815 ms,60
2025-04-21T16:16:24.821203Z,2025-04-21T16:16:24.823630Z,2025-04-21T16:16:24.823812Z,11.241 ms,0.183765 ms,0.2697511967213115 ms,0.183765 ms,0.461815 ms,61
2025-04-21T16:16:29.823428Z,2025-04-21T16:16:29.825907Z,2025-04-21T16:16:29.826162Z,11.631 ms,0.257769 ms,0.26955793548387097 ms,0.183765 ms,0.461815 ms,62
2025-04-21T16:16:34.821764Z,2025-04-21T16:16:34.824447Z,2025-04-21T16:16:34.824732Z,11.82 ms,0.286942 ms,0.269833873015873 ms,0.183765 ms,0.461815 ms,63
2025-04-21T16:16:39.823424Z,2025-04-21T16:16:39.826144Z,2025-04-21T16:16:39.826431Z,11.884 ms,0.288749 ms,0.270129421875 ms,0.183765 ms,0.461815 ms,64
2025-04-21T16:16:44.823708Z,2025-04-21T16:16:44.826482Z,2025-04-21T16:16:44.826706Z,11.889999999999999 ms,0.225822 ms,0.26944776923076924 ms,0.183765 ms,0.461815 ms,65
2025-04-21T16:16:49.826976Z,2025-04-21T16:16:49.829664Z,2025-04-21T16:16:49.829935Z,12.958 ms,0.27306 ms,0.2695025 ms,0.183765 ms,0.461815 ms,66
2025-04-21T16:16:54.827779Z,2025-04-21T16:16:54.830603Z,2025-04-21T16:16:54.830930Z,12.386 ms,0.328503 ms,0.27038310447761194 ms,0.183765 ms,0.461815 ms,67
2025-04-21T16:16:59.825162Z,2025-04-21T16:16:59.827966Z,2025-04-21T16:16:59.828205Z,15.565000000000001 ms,0.240666 ms,0.2699460882352941 ms,0.183765 ms,0.461815 ms,68
2025-04-21T16:17:04.824053Z,2025-04-21T16:17:04.826813Z,2025-04-21T16:17:04.827076Z,12.181000000000001 ms,0.264613 ms,0.2698687971014493 ms,0.183765 ms,0.461815 ms,69
2025-04-21T16:17:09.826431Z,2025-04-21T16:17:09.828965Z,2025-04-21T16:17:09.829219Z,11.831 ms,0.255739 ms,0.2696669428571428 ms,0.183765 ms,0.461815 ms,70
2025-04-21T16:17:14.831372Z,2025-04-21T16:17:14.834024Z,2025-04-21T16:17:14.834228Z,11.629000000000001 ms,0.205558 ms,0.268764 ms,0.183765 ms,0.461815 ms,71
2025-04-21T16:17:19.830253Z,2025-04-21T16:17:19.832740Z,2025-04-21T16:17:19.832974Z,11.403 ms,0.235741 ms,0.26830534722222227 ms,0.183765 ms,0.461815 ms,72
2025-04-21T16:17:24.825193Z,2025-04-21T16:17:24.827771Z,2025-04-21T16:17:24.828017Z,11.669 ms,0.247668 ms,0.2680226438356164 ms,0.183765 ms,0.461815 ms,73
2025-04-21T16:17:29.828413Z,2025-04-21T16:17:29.830834Z,2025-04-21T16:17:29.831135Z,19.994 ms,0.286865 ms,0.2682772702702703 ms,0.183765 ms,0.461815 ms,74
2025-04-21T16:17:34.837111Z,2025-04-21T16:17:34.839770Z,2025-04-21T16:17:34.840028Z,12.239999999999998 ms,0.259289 ms,0.2681574266666667 ms,0.183765 ms,0.461815 ms,75
2025-04-21T16:17:39.828171Z,2025-04-21T16:17:39.830776Z,2025-04-21T16:17:39.831042Z,11.683 ms,0.267375 ms,0.2681471315789474 ms,0.183765 ms,0.461815 ms,76
2025-04-21T16:17:44.835290Z,2025-04-21T16:17:44.838168Z,2025-04-21T16:17:44.838415Z,11.943 ms,0.248561 ms,0.26789276623376623 ms,0.183765 ms,0.461815 ms,77
2025-04-21T16:17:49.831090Z,2025-04-21T16:17:49.833674Z,2025-04-21T16:17:49.833929Z,11.927 ms,0.257708 ms,0.2677621923076923 ms,0.183765 ms,0.461815 ms,78
2025-04-21T16:17:54.837786Z,2025-04-21T16:17:54.840547Z,2025-04-21T16:17:54.840766Z,11.876 ms,0.221377 ms,0.26717503797468356 ms,0.183765 ms,0.461815 ms,79
2025-04-21T16:17:59.833901Z,2025-04-21T16:17:59.836519Z,2025-04-21T16:17:59.836735Z,11.74 ms,0.217448 ms,0.26655345 ms,0.183765 ms,0.461815 ms,80
2025-04-21T16:18:04.841756Z,2025-04-21T16:18:04.844141Z,2025-04-21T16:18:04.844381Z,11.181 ms,0.242231 ms,0.26625317283950617 ms,0.183765 ms,0.461815 ms,81
2025-04-21T16:18:09.835086Z,2025-04-21T16:18:09.837761Z,2025-04-21T16:18:09.838025Z,11.068 ms,0.266255 ms,0.2662531951219512 ms,0.183765 ms,0.461815 ms,82
2025-04-21T16:18:14.830438Z,2025-04-21T16:18:14.833031Z,2025-04-21T16:18:14.833302Z,9.213000000000001 ms,0.272332 ms,0.2663264337349398 ms,0.183765 ms,0.461815 ms,83
2025-04-21T16:18:19.837013Z,2025-04-21T16:18:19.839933Z,2025-04-21T16:18:19.840168Z,9.327 ms,0.236992 ms,0.26597721428571425 ms,0.183765 ms,0.461815 ms,84
2025-04-21T16:18:24.832485Z,2025-04-21T16:18:24.835006Z,2025-04-21T16:18:24.835292Z,9.08 ms,0.287868 ms,0.2662347529411765 ms,0.183765 ms,0.461815 ms,85
2025-04-21T16:18:29.837892Z,2025-04-21T16:18:29.840737Z,2025-04-21T16:18:29.841000Z,9.514999999999999 ms,0.264285 ms,0.2662120813953488 ms,0.183765 ms,0.461815 ms,86
2025-04-21T16:18:34.847884Z,2025-04-21T16:18:34.850682Z,2025-04-21T16:18:34.850909Z,9.529 ms,0.22804 ms,0.2657733218390805 ms,0.183765 ms,0.461815 ms,87
2025-04-21T16:18:39.839279Z,2025-04-21T16:18:39.841825Z,2025-04-21T16:18:39.842064Z,9.223 ms,0.240074 ms,0.2654812840909091 ms,0.183765 ms,0.461815 ms,88
2025-04-21T16:18:44.833403Z,2025-04-21T16:18:44.836301Z,2025-04-21T16:18:44.836584Z,12.642000000000001 ms,0.285009 ms,0.2657006966292135 ms,0.183765 ms,0.461815 ms,89
2025-04-21T16:18:49.839918Z,2025-04-21T16:18:49.842472Z,2025-04-21T16:18:49.842739Z,8.865 ms,0.268503 ms,0.26573183333333333 ms,0.183765 ms,0.461815 ms,90
2025-04-21T16:18:54.837721Z,2025-04-21T16:18:54.840476Z,2025-04-21T16:18:54.840714Z,8.904 ms,0.239882 ms,0.26544776923076924 ms,0.183765 ms,0.461815 ms,91
2025-04-21T16:18:59.841990Z,2025-04-21T16:18:59.844382Z,2025-04-21T16:18:59.844651Z,8.666 ms,0.270123 ms,0.26549858695652173 ms,0.183765 ms,0.461815 ms,92
2025-04-21T16:19:04.834894Z,2025-04-21T16:19:04.837556Z,2025-04-21T16:19:04.837876Z,8.938 ms,0.32135 ms,0.2660991397849462 ms,0.183765 ms,0.461815 ms,93
2025-04-21T16:19:09.836727Z,2025-04-21T16:19:09.839267Z,2025-04-21T16:19:09.839585Z,8.692 ms,0.319563 ms,0.26666790425531917 ms,0.183765 ms,0.461815 ms,94
2025-04-21T16:19:14.839586Z,2025-04-21T16:19:14.842282Z,2025-04-21T16:19:14.842649Z,9.700999999999999 ms,0.369171 ms,0.2677468842105263 ms,0.183765 ms,0.461815 ms,95
2025-04-21T16:19:19.838423Z,2025-04-21T16:19:19.841013Z,2025-04-21T16:19:19.841264Z,8.545 ms,0.252388 ms,0.26758689583333334 ms,0.183765 ms,0.461815 ms,96
2025-04-21T16:19:24.836953Z,2025-04-21T16:19:24.839573Z,2025-04-21T16:19:24.839866Z,8.939 ms,0.294538 ms,0.26786474226804124 ms,0.183765 ms,0.461815 ms,97
2025-04-21T16:19:29.842178Z,2025-04-21T16:19:29.844859Z,2025-04-21T16:19:29.845171Z,9.207 ms,0.314019 ms,0.26833570408163265 ms,0.183765 ms,0.461815 ms,98
2025-04-21T16:19:34.840048Z,2025-04-21T16:19:34.842527Z,2025-04-21T16:19:34.842817Z,15.174999999999999 ms,0.291822 ms,0.2685729393939394 ms,0.183765 ms,0.461815 ms,99
2025-04-21T16:19:39.841911Z,2025-04-21T16:19:39.844391Z,2025-04-21T16:19:39.844620Z,15.921999999999999 ms,0.231957 ms,0.26820678000000003 ms,0.183765 ms,0.461815 ms,100
2025-04-21T16:19:44.844063Z,2025-04-21T16:19:44.846668Z,2025-04-21T16:19:44.846923Z,18.506 ms,0.256893 ms,0.2680947623762376 ms,0.183765 ms,0.461815 ms,101
2025-04-21T16:19:49.844630Z,2025-04-21T16:19:49.847533Z,2025-04-21T16:19:49.847802Z,16.323 ms,0.270812 ms,0.2681214019607843 ms,0.183765 ms,0.461815 ms,102
2025-04-21T16:19:54.841564Z,2025-04-21T16:19:54.844209Z,2025-04-21T16:19:54.844499Z,16.325 ms,0.291544 ms,0.26834880582524273 ms,0.183765 ms,0.461815 ms,103
2025-04-21T16:19:59.842063Z,2025-04-21T16:19:59.844910Z,2025-04-21T16:19:59.845215Z,16.974 ms,0.307435 ms,0.26872463461538465 ms,0.183765 ms,0.461815 ms,104
2025-04-21T16:20:04.838369Z,2025-04-21T16:20:04.840827Z,2025-04-21T16:20:04.841132Z,16.625 ms,0.292059 ms,0.2689468666666666 ms,0.183765 ms,0.461815 ms,105
2025-04-21T16:20:09.839976Z,2025-04-21T16:20:09.842564Z,2025-04-21T16:20:09.842799Z,16.36 ms,0.236557 ms,0.26864130188679247 ms,0.183765 ms,0.461815 ms,106
2025-04-21T16:20:14.839239Z,2025-04-21T16:20:14.841770Z,2025-04-21T16:20:14.842018Z,16.11 ms,0.250357 ms,0.26847042056074766 ms,0.183765 ms,0.461815 ms,107
2025-04-21T16:20:19.844604Z,2025-04-21T16:20:19.847136Z,2025-04-21T16:20:19.847365Z,15.975 ms,0.231494 ms,0.2681280462962963 ms,0.183765 ms,0.461815 ms,108
2025-04-21T16:20:24.838528Z,2025-04-21T16:20:24.841069Z,2025-04-21T16:20:24.841268Z,16.063000000000002 ms,0.201445 ms,0.26751627522935784 ms,0.183765 ms,0.461815 ms,109
2025-04-21T16:20:29.846259Z,2025-04-21T16:20:29.848690Z,2025-04-21T16:20:29.848983Z,15.757 ms,0.293941 ms,0.2677565 ms,0.183765 ms,0.461815 ms,110
2025-04-21T16:20:34.847939Z,2025-04-21T16:20:34.850558Z,2025-04-21T16:20:34.850807Z,16.692 ms,0.25094 ms,0.267605 ms,0.183765 ms,0.461815 ms,111
2025-04-21T16:20:39.847108Z,2025-04-21T16:20:39.849664Z,2025-04-21T16:20:39.849932Z,11.912 ms,0.270399 ms,0.2676299464285714 ms,0.183765 ms,0.461815 ms,112
2025-04-21T16:20:44.841381Z,2025-04-21T16:20:44.844259Z,2025-04-21T16:20:44.844542Z,11.84 ms,0.28433 ms,0.26777773451327436 ms,0.183765 ms,0.461815 ms,113
2025-04-21T16:20:49.841705Z,2025-04-21T16:20:49.844142Z,2025-04-21T16:20:49.844441Z,16.114 ms,0.300296 ms,0.26806298245614035 ms,0.183765 ms,0.461815 ms,114
2025-04-21T16:20:54.852988Z,2025-04-21T16:20:54.855754Z,2025-04-21T16:20:54.856038Z,16.624 ms,0.28519 ms,0.26821191304347825 ms,0.183765 ms,0.461815 ms,115
2025-04-21T16:20:59.846939Z,2025-04-21T16:20:59.849410Z,2025-04-21T16:20:59.849722Z,16.056 ms,0.313305 ms,0.2686006465517241 ms,0.183765 ms,0.461815 ms,116
2025-04-21T16:21:04.842225Z,2025-04-21T16:21:04.844867Z,2025-04-21T16:21:04.845112Z,16.207 ms,0.246255 ms,0.2684096581196581 ms,0.183765 ms,0.461815 ms,117
2025-04-21T16:21:09.842728Z,2025-04-21T16:21:09.845242Z,2025-04-21T16:21:09.845528Z,16.507 ms,0.287725 ms,0.2685733474576271 ms,0.183765 ms,0.461815 ms,118
2025-04-21T16:21:14.843871Z,2025-04-21T16:21:14.846536Z,2025-04-21T16:21:14.846788Z,16.262999999999998 ms,0.253009 ms,0.26844255462184874 ms,0.183765 ms,0.461815 ms,119
2025-04-21T16:21:19.845185Z,2025-04-21T16:21:19.847845Z,2025-04-21T16:21:19.848127Z,28.959 ms,0.283681 ms,0.2685695416666667 ms,0.183765 ms,0.461815 ms,120
2025-04-21T16:21:24.847036Z,2025-04-21T16:21:24.849731Z,2025-04-21T16:21:24.850038Z,16.211 ms,0.309164 ms,0.26890503305785124 ms,0.183765 ms,0.461815 ms,121
2025-04-21T16:21:29.844222Z,2025-04-21T16:21:29.846853Z,2025-04-21T16:21:29.847117Z,11.778 ms,0.266161 ms,0.26888254098360653 ms,0.183765 ms,0.461815 ms,122
2025-04-21T16:21:34.845366Z,2025-04-21T16:21:34.848052Z,2025-04-21T16:21:34.848321Z,16.631 ms,0.271134 ms,0.2689008455284553 ms,0.183765 ms,0.461815 ms,123
2025-04-21T16:21:39.847042Z,2025-04-21T16:21:39.849925Z,2025-04-21T16:21:39.850170Z,12.461 ms,0.246535 ms,0.26872047580645164 ms,0.183765 ms,0.461815 ms,124
2025-04-21T16:21:44.839650Z,2025-04-21T16:21:44.842506Z,2025-04-21T16:21:44.842794Z,16.656000000000002 ms,0.289242 ms,0.268884648 ms,0.183765 ms,0.461815 ms,125
2025-04-21T16:21:49.844281Z,2025-04-21T16:21:49.846990Z,2025-04-21T16:21:49.847258Z,16.495 ms,0.27007 ms,0.26889405555555557 ms,0.183765 ms,0.461815 ms,126
2025-04-21T16:21:54.845525Z,2025-04-21T16:21:54.848423Z,2025-04-21T16:21:54.848688Z,16.534 ms,0.266722 ms,0.2688769527559055 ms,0.183765 ms,0.461815 ms,127
2025-04-21T16:21:59.849275Z,2025-04-21T16:21:59.852444Z,2025-04-21T16:21:59.852744Z,16.982 ms,0.301002 ms,0.2691279296875 ms,0.183765 ms,0.461815 ms,128
2025-04-21T16:22:04.846985Z,2025-04-21T16:22:04.849452Z,2025-04-21T16:22:04.849712Z,16.27 ms,0.261326 ms,0.2690674496124031 ms,0.183765 ms,0.461815 ms,129
2025-04-21T16:22:09.849588Z,2025-04-21T16:22:09.852138Z,2025-04-21T16:22:09.852392Z,16.522 ms,0.256253 ms,0.2689688769230769 ms,0.183765 ms,0.461815 ms,130
