observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-09T07:05:38.068330Z,2024-12-09T07:05:38.096265Z,2024-12-09T07:05:38.096880Z,51.931 ms,0.618022 ms,0.618022 ms,0.618022 ms,0.618022 ms,1
2024-12-09T07:05:43.006458Z,2024-12-09T07:05:43.010517Z,2024-12-09T07:05:43.010850Z,20.282999999999998 ms,0.335774 ms,0.476898 ms,0.335774 ms,0.618022 ms,2
2024-12-09T07:05:47.997953Z,2024-12-09T07:05:48.000870Z,2024-12-09T07:05:48.001131Z,20.733999999999998 ms,0.262851 ms,0.405549 ms,0.262851 ms,0.618022 ms,3
2024-12-09T07:05:53.003383Z,2024-12-09T07:05:53.007174Z,2024-12-09T07:05:53.007489Z,19.686 ms,0.316191 ms,0.3832095 ms,0.262851 ms,0.618022 ms,4
2024-12-09T07:05:57.998027Z,2024-12-09T07:05:58.000867Z,2024-12-09T07:05:58.001069Z,18.212 ms,0.204041 ms,0.3473758 ms,0.204041 ms,0.618022 ms,5
2024-12-09T07:06:03.007550Z,2024-12-09T07:06:03.010491Z,2024-12-09T07:06:03.010776Z,18.143 ms,0.285906 ms,0.3371308333333333 ms,0.204041 ms,0.618022 ms,6
2024-12-09T07:06:08.007402Z,2024-12-09T07:06:08.010356Z,2024-12-09T07:06:08.010653Z,21.512 ms,0.298614 ms,0.3316284285714286 ms,0.204041 ms,0.618022 ms,7
2024-12-09T07:06:13.006282Z,2024-12-09T07:06:13.009144Z,2024-12-09T07:06:13.009504Z,17.673000000000002 ms,0.362414 ms,0.335476625 ms,0.204041 ms,0.618022 ms,8
2024-12-09T07:06:18.013748Z,2024-12-09T07:06:18.016604Z,2024-12-09T07:06:18.016910Z,17.608999999999998 ms,0.307352 ms,0.3323516666666667 ms,0.204041 ms,0.618022 ms,9
2024-12-09T07:06:23.023715Z,2024-12-09T07:06:23.026971Z,2024-12-09T07:06:23.027254Z,17.080000000000002 ms,0.284502 ms,0.3275667 ms,0.204041 ms,0.618022 ms,10
2024-12-09T07:06:28.004659Z,2024-12-09T07:06:28.008670Z,2024-12-09T07:06:28.008995Z,22.988000000000003 ms,0.326226 ms,0.3274448181818182 ms,0.204041 ms,0.618022 ms,11
2024-12-09T07:06:33.007578Z,2024-12-09T07:06:33.010320Z,2024-12-09T07:06:33.010622Z,16.95 ms,0.303459 ms,0.325446 ms,0.204041 ms,0.618022 ms,12
2024-12-09T07:06:38.008178Z,2024-12-09T07:06:38.011509Z,2024-12-09T07:06:38.011786Z,18.909 ms,0.278346 ms,0.32182292307692306 ms,0.204041 ms,0.618022 ms,13
2024-12-09T07:06:43.001807Z,2024-12-09T07:06:43.004570Z,2024-12-09T07:06:43.004891Z,17.229000000000003 ms,0.321944 ms,0.32183157142857144 ms,0.204041 ms,0.618022 ms,14
2024-12-09T07:06:48.004803Z,2024-12-09T07:06:48.007592Z,2024-12-09T07:06:48.007841Z,16.879 ms,0.249822 ms,0.3170309333333334 ms,0.204041 ms,0.618022 ms,15
2024-12-09T07:06:53.000479Z,2024-12-09T07:06:53.003179Z,2024-12-09T07:06:53.003418Z,16.316 ms,0.240633 ms,0.3122560625 ms,0.204041 ms,0.618022 ms,16
2024-12-09T07:06:58.000510Z,2024-12-09T07:06:58.003258Z,2024-12-09T07:06:58.003586Z,20.014 ms,0.329233 ms,0.31325470588235294 ms,0.204041 ms,0.618022 ms,17
2024-12-09T07:07:02.998804Z,2024-12-09T07:07:03.001540Z,2024-12-09T07:07:03.001840Z,16.152 ms,0.301564 ms,0.31260522222222226 ms,0.204041 ms,0.618022 ms,18
2024-12-09T07:07:08.003242Z,2024-12-09T07:07:08.005808Z,2024-12-09T07:07:08.006011Z,16.209 ms,0.205562 ms,0.30697136842105266 ms,0.204041 ms,0.618022 ms,19
2024-12-09T07:07:13.007529Z,2024-12-09T07:07:13.010081Z,2024-12-09T07:07:13.010358Z,16.262 ms,0.278224 ms,0.305534 ms,0.204041 ms,0.618022 ms,20
2024-12-09T07:07:17.999030Z,2024-12-09T07:07:18.001835Z,2024-12-09T07:07:18.002148Z,16.596 ms,0.313979 ms,0.3059361428571428 ms,0.204041 ms,0.618022 ms,21
2024-12-09T07:07:23.018032Z,2024-12-09T07:07:23.020579Z,2024-12-09T07:07:23.020831Z,15.006 ms,0.253934 ms,0.3035724090909091 ms,0.204041 ms,0.618022 ms,22
2024-12-09T07:07:27.997683Z,2024-12-09T07:07:28.000486Z,2024-12-09T07:07:28.000795Z,17.325 ms,0.310956 ms,0.3038934347826087 ms,0.204041 ms,0.618022 ms,23
2024-12-09T07:07:33.006188Z,2024-12-09T07:07:33.008873Z,2024-12-09T07:07:33.009187Z,16.891 ms,0.316227 ms,0.3044073333333333 ms,0.204041 ms,0.618022 ms,24
2024-12-09T07:07:38.007715Z,2024-12-09T07:07:38.010331Z,2024-12-09T07:07:38.010611Z,17.187 ms,0.282209 ms,0.30351940000000005 ms,0.204041 ms,0.618022 ms,25
