observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-12T23:33:07.741407Z,2024-12-12T23:33:07.769181Z,2024-12-12T23:33:07.770491Z,29.084 ms,1.31 ms,1.31 ms,1.31 ms,1.31 ms,1
2024-12-12T23:33:12.675634Z,2024-12-12T23:33:12.678903Z,2024-12-12T23:33:12.679416Z,3.782 ms,0.513 ms,0.9115 ms,0.513 ms,1.31 ms,2
2024-12-12T23:33:17.677019Z,2024-12-12T23:33:17.680594Z,2024-12-12T23:33:17.681133Z,4.114 ms,0.539 ms,0.7873333333333333 ms,0.513 ms,1.31 ms,3
2024-12-12T23:33:22.670135Z,2024-12-12T23:33:22.673093Z,2024-12-12T23:33:22.673673Z,3.538 ms,0.58 ms,0.7355 ms,0.513 ms,1.31 ms,4
2024-12-12T23:33:27.671563Z,2024-12-12T23:33:27.674517Z,2024-12-12T23:33:27.675085Z,3.522 ms,0.5680000000000001 ms,0.7020000000000001 ms,0.513 ms,1.31 ms,5
2024-12-12T23:33:32.671065Z,2024-12-12T23:33:32.674511Z,2024-12-12T23:33:32.675077Z,4.012 ms,0.566 ms,0.6793333333333333 ms,0.513 ms,1.31 ms,6
2024-12-12T23:33:37.670817Z,2024-12-12T23:33:37.674037Z,2024-12-12T23:33:37.674609Z,3.792 ms,0.5720000000000001 ms,0.6639999999999999 ms,0.513 ms,1.31 ms,7
2024-12-12T23:33:42.681449Z,2024-12-12T23:33:42.684236Z,2024-12-12T23:33:42.684808Z,3.359 ms,0.5720000000000001 ms,0.6524999999999999 ms,0.513 ms,1.31 ms,8
2024-12-12T23:33:47.676350Z,2024-12-12T23:33:47.679069Z,2024-12-12T23:33:47.679600Z,3.25 ms,0.531 ms,0.6389999999999999 ms,0.513 ms,1.31 ms,9
2024-12-12T23:33:52.676098Z,2024-12-12T23:33:52.678793Z,2024-12-12T23:33:52.679347Z,3.249 ms,0.554 ms,0.6304999999999998 ms,0.513 ms,1.31 ms,10
2024-12-12T23:33:57.679482Z,2024-12-12T23:33:57.682265Z,2024-12-12T23:33:57.682735Z,3.2529999999999997 ms,0.47 ms,0.6159090909090907 ms,0.47 ms,1.31 ms,11
2024-12-12T23:34:02.668988Z,2024-12-12T23:34:02.671547Z,2024-12-12T23:34:02.672113Z,3.125 ms,0.566 ms,0.6117499999999999 ms,0.47 ms,1.31 ms,12
2024-12-12T23:34:07.668319Z,2024-12-12T23:34:07.671205Z,2024-12-12T23:34:07.671789Z,3.47 ms,0.584 ms,0.6096153846153844 ms,0.47 ms,1.31 ms,13
2024-12-12T23:34:12.682509Z,2024-12-12T23:34:12.685271Z,2024-12-12T23:34:12.685933Z,3.424 ms,0.662 ms,0.6133571428571427 ms,0.47 ms,1.31 ms,14
2024-12-12T23:34:17.679438Z,2024-12-12T23:34:17.682162Z,2024-12-12T23:34:17.682697Z,3.2590000000000003 ms,0.535 ms,0.6081333333333332 ms,0.47 ms,1.31 ms,15
2024-12-12T23:34:22.667447Z,2024-12-12T23:34:22.670105Z,2024-12-12T23:34:22.670614Z,3.1670000000000003 ms,0.509 ms,0.6019374999999999 ms,0.47 ms,1.31 ms,16
2024-12-12T23:34:27.673184Z,2024-12-12T23:34:27.676057Z,2024-12-12T23:34:27.676642Z,3.458 ms,0.585 ms,0.6009411764705882 ms,0.47 ms,1.31 ms,17
2024-12-12T23:34:32.673258Z,2024-12-12T23:34:32.678111Z,2024-12-12T23:34:32.678634Z,5.3759999999999994 ms,0.523 ms,0.596611111111111 ms,0.47 ms,1.31 ms,18
2024-12-12T23:34:37.667830Z,2024-12-12T23:34:37.670524Z,2024-12-12T23:34:37.671080Z,3.25 ms,0.5559999999999999 ms,0.5944736842105263 ms,0.47 ms,1.31 ms,19
2024-12-12T23:34:42.672412Z,2024-12-12T23:34:42.674992Z,2024-12-12T23:34:42.675487Z,3.075 ms,0.495 ms,0.5894999999999999 ms,0.47 ms,1.31 ms,20
2024-12-12T23:34:47.673777Z,2024-12-12T23:34:47.676397Z,2024-12-12T23:34:47.676969Z,3.192 ms,0.5720000000000001 ms,0.5886666666666666 ms,0.47 ms,1.31 ms,21
2024-12-12T23:34:52.671157Z,2024-12-12T23:34:52.673792Z,2024-12-12T23:34:52.674310Z,3.153 ms,0.518 ms,0.5854545454545453 ms,0.47 ms,1.31 ms,22
2024-12-12T23:34:57.673391Z,2024-12-12T23:34:57.675965Z,2024-12-12T23:34:57.676506Z,3.115 ms,0.541 ms,0.5835217391304346 ms,0.47 ms,1.31 ms,23
2024-12-12T23:35:02.690428Z,2024-12-12T23:35:02.692645Z,2024-12-12T23:35:02.693185Z,2.757 ms,0.54 ms,0.5817083333333333 ms,0.47 ms,1.31 ms,24
2024-12-12T23:35:07.668607Z,2024-12-12T23:35:07.671245Z,2024-12-12T23:35:07.671813Z,3.206 ms,0.5680000000000001 ms,0.5811599999999999 ms,0.47 ms,1.31 ms,25
2024-12-12T23:35:12.680774Z,2024-12-12T23:35:12.683271Z,2024-12-12T23:35:12.683827Z,3.053 ms,0.5559999999999999 ms,0.5801923076923076 ms,0.47 ms,1.31 ms,26
2024-12-12T23:35:17.674100Z,2024-12-12T23:35:17.676598Z,2024-12-12T23:35:17.677182Z,3.0820000000000003 ms,0.584 ms,0.5803333333333333 ms,0.47 ms,1.31 ms,27
2024-12-12T23:35:22.665764Z,2024-12-12T23:35:22.667955Z,2024-12-12T23:35:22.668444Z,2.68 ms,0.48899999999999993 ms,0.5770714285714286 ms,0.47 ms,1.31 ms,28
2024-12-12T23:35:27.668050Z,2024-12-12T23:35:27.670712Z,2024-12-12T23:35:27.671248Z,3.198 ms,0.536 ms,0.575655172413793 ms,0.47 ms,1.31 ms,29
