observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-05-21T13:09:27.091025Z,2025-05-21T13:09:27.119451Z,2025-05-21T13:09:27.123562Z,32.537000000000006 ms,4.111 ms,4.111 ms,4.111 ms,4.111 ms,1
2025-05-21T13:09:27.695261Z,2025-05-21T13:09:27.698405Z,2025-05-21T13:09:27.699303Z,4.042 ms,0.898 ms,2.5045 ms,0.898 ms,4.111 ms,2
2025-05-21T13:09:33.985513Z,2025-05-21T13:09:33.988823Z,2025-05-21T13:09:33.989376Z,3.863 ms,0.553 ms,1.8539999999999999 ms,0.553 ms,4.111 ms,3
2025-05-21T13:09:42.934529Z,2025-05-21T13:09:42.937698Z,2025-05-21T13:09:42.938699Z,4.17 ms,1.001 ms,1.6407500000000002 ms,0.553 ms,4.111 ms,4
2025-05-21T13:09:43.451785Z,2025-05-21T13:09:43.455134Z,2025-05-21T13:09:43.455658Z,3.873 ms,0.524 ms,1.4174 ms,0.524 ms,4.111 ms,5
2025-05-21T13:09:47.186772Z,2025-05-21T13:09:47.189917Z,2025-05-21T13:09:47.190369Z,3.597 ms,0.45199999999999996 ms,1.2565 ms,0.45199999999999996 ms,4.111 ms,6
2025-05-21T13:09:51.252219Z,2025-05-21T13:09:51.255449Z,2025-05-21T13:09:51.255960Z,3.741 ms,0.5109999999999999 ms,1.15 ms,0.45199999999999996 ms,4.111 ms,7
2025-05-21T13:09:51.791265Z,2025-05-21T13:09:51.794685Z,2025-05-21T13:09:51.795227Z,3.962 ms,0.5419999999999999 ms,1.0739999999999998 ms,0.45199999999999996 ms,4.111 ms,8
2025-05-21T13:09:56.161996Z,2025-05-21T13:09:56.165458Z,2025-05-21T13:09:56.165997Z,4.001 ms,0.539 ms,1.0145555555555554 ms,0.45199999999999996 ms,4.111 ms,9
2025-05-21T13:10:01.635452Z,2025-05-21T13:10:01.638517Z,2025-05-21T13:10:01.642333Z,6.881 ms,3.816 ms,1.2946999999999997 ms,0.45199999999999996 ms,4.111 ms,10
2025-05-21T13:10:02.145377Z,2025-05-21T13:10:02.148201Z,2025-05-21T13:10:02.148848Z,3.471 ms,0.647 ms,1.2358181818181817 ms,0.45199999999999996 ms,4.111 ms,11
2025-05-21T13:10:06.901295Z,2025-05-21T13:10:06.904284Z,2025-05-21T13:10:06.904967Z,3.6719999999999997 ms,0.683 ms,1.1897499999999999 ms,0.45199999999999996 ms,4.111 ms,12
2025-05-21T13:10:10.238242Z,2025-05-21T13:10:10.241722Z,2025-05-21T13:10:10.242255Z,4.013 ms,0.533 ms,1.139230769230769 ms,0.45199999999999996 ms,4.111 ms,13
2025-05-21T13:10:10.750624Z,2025-05-21T13:10:10.753570Z,2025-05-21T13:10:10.754341Z,3.7169999999999996 ms,0.771 ms,1.1129285714285713 ms,0.45199999999999996 ms,4.111 ms,14
2025-05-21T13:10:13.686471Z,2025-05-21T13:10:13.689319Z,2025-05-21T13:10:13.689907Z,3.436 ms,0.588 ms,1.077933333333333 ms,0.45199999999999996 ms,4.111 ms,15
2025-05-21T13:10:27.016209Z,2025-05-21T13:10:27.019583Z,2025-05-21T13:10:27.020277Z,4.068 ms,0.694 ms,1.0539374999999997 ms,0.45199999999999996 ms,4.111 ms,16
2025-05-21T13:10:27.540310Z,2025-05-21T13:10:27.543236Z,2025-05-21T13:10:27.544061Z,3.751 ms,0.825 ms,1.0404705882352938 ms,0.45199999999999996 ms,4.111 ms,17
2025-05-21T13:11:21.908243Z,2025-05-21T13:11:21.911449Z,2025-05-21T13:11:21.912050Z,3.807 ms,0.601 ms,1.0160555555555555 ms,0.45199999999999996 ms,4.111 ms,18
2025-05-21T13:11:22.434580Z,2025-05-21T13:11:22.437425Z,2025-05-21T13:11:22.438267Z,3.6870000000000003 ms,0.842 ms,1.006894736842105 ms,0.45199999999999996 ms,4.111 ms,19
2025-05-21T13:11:41.887598Z,2025-05-21T13:11:41.892135Z,2025-05-21T13:11:41.893312Z,5.714 ms,1.177 ms,1.0153999999999999 ms,0.45199999999999996 ms,4.111 ms,20
2025-05-21T13:11:42.384940Z,2025-05-21T13:11:42.388358Z,2025-05-21T13:11:42.389600Z,4.66 ms,1.242 ms,1.026190476190476 ms,0.45199999999999996 ms,4.111 ms,21
2025-05-21T13:12:17.748340Z,2025-05-21T13:12:17.751764Z,2025-05-21T13:12:17.752732Z,4.392 ms,0.968 ms,1.0235454545454543 ms,0.45199999999999996 ms,4.111 ms,22
2025-05-21T13:12:18.247923Z,2025-05-21T13:12:18.250920Z,2025-05-21T13:12:18.252193Z,4.2700000000000005 ms,1.2730000000000001 ms,1.034391304347826 ms,0.45199999999999996 ms,4.111 ms,23
