observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-22T19:13:31.276701Z,2025-04-22T19:13:31.306404Z,2025-04-22T19:13:31.307881Z,31.18 ms,1.477 ms,1.477 ms,1.477 ms,1.477 ms,1
2025-04-22T19:13:31.869541Z,2025-04-22T19:13:31.874513Z,2025-04-22T19:13:31.875482Z,5.941 ms,0.969 ms,1.223 ms,0.969 ms,1.477 ms,2
2025-04-22T19:13:37.432125Z,2025-04-22T19:13:37.436759Z,2025-04-22T19:13:37.437528Z,5.403 ms,0.769 ms,1.0716666666666668 ms,0.769 ms,1.477 ms,3
2025-04-22T19:13:38.005498Z,2025-04-22T19:13:38.009838Z,2025-04-22T19:13:38.010867Z,5.369 ms,1.029 ms,1.0610000000000002 ms,0.769 ms,1.477 ms,4
2025-04-22T19:13:43.608781Z,2025-04-22T19:13:43.612772Z,2025-04-22T19:13:43.613528Z,4.747000000000001 ms,0.756 ms,1.0 ms,0.756 ms,1.477 ms,5
2025-04-22T19:13:44.163736Z,2025-04-22T19:13:44.167698Z,2025-04-22T19:13:44.168674Z,4.938 ms,0.976 ms,0.9960000000000001 ms,0.756 ms,1.477 ms,6
2025-04-22T19:13:49.762925Z,2025-04-22T19:13:49.767039Z,2025-04-22T19:13:49.767888Z,4.963 ms,0.8490000000000001 ms,0.9750000000000001 ms,0.756 ms,1.477 ms,7
2025-04-22T19:13:50.350406Z,2025-04-22T19:13:50.355733Z,2025-04-22T19:13:50.356987Z,6.581 ms,1.254 ms,1.0098749999999999 ms,0.756 ms,1.477 ms,8
2025-04-22T19:13:55.961769Z,2025-04-22T19:13:55.965845Z,2025-04-22T19:13:55.966671Z,4.902 ms,0.8260000000000001 ms,0.9894444444444445 ms,0.756 ms,1.477 ms,9
2025-04-22T19:13:56.534528Z,2025-04-22T19:13:56.538286Z,2025-04-22T19:13:56.539221Z,4.6930000000000005 ms,0.9349999999999999 ms,0.9840000000000001 ms,0.756 ms,1.477 ms,10
2025-04-22T19:14:02.151775Z,2025-04-22T19:14:02.155754Z,2025-04-22T19:14:02.156538Z,4.763 ms,0.784 ms,0.9658181818181818 ms,0.756 ms,1.477 ms,11
2025-04-22T19:14:02.673280Z,2025-04-22T19:14:02.677139Z,2025-04-22T19:14:02.678121Z,4.841 ms,0.982 ms,0.9671666666666666 ms,0.756 ms,1.477 ms,12
2025-04-22T19:14:08.250355Z,2025-04-22T19:14:08.254468Z,2025-04-22T19:14:08.255279Z,4.924 ms,0.8109999999999999 ms,0.9551538461538461 ms,0.756 ms,1.477 ms,13
2025-04-22T19:14:08.875605Z,2025-04-22T19:14:08.879250Z,2025-04-22T19:14:08.880225Z,4.62 ms,0.975 ms,0.9565714285714285 ms,0.756 ms,1.477 ms,14
2025-04-22T19:14:14.488825Z,2025-04-22T19:14:14.492623Z,2025-04-22T19:14:14.493545Z,4.720000000000001 ms,0.9219999999999999 ms,0.9542666666666666 ms,0.756 ms,1.477 ms,15
2025-04-22T19:14:15.089195Z,2025-04-22T19:14:15.093069Z,2025-04-22T19:14:15.094036Z,4.841 ms,0.967 ms,0.9550624999999999 ms,0.756 ms,1.477 ms,16
2025-04-22T19:14:20.701515Z,2025-04-22T19:14:20.705345Z,2025-04-22T19:14:20.706141Z,4.626 ms,0.796 ms,0.9457058823529413 ms,0.756 ms,1.477 ms,17
2025-04-22T19:14:21.283323Z,2025-04-22T19:14:21.287060Z,2025-04-22T19:14:21.288029Z,4.706 ms,0.969 ms,0.9470000000000002 ms,0.756 ms,1.477 ms,18
2025-04-22T19:14:26.873526Z,2025-04-22T19:14:26.877262Z,2025-04-22T19:14:26.878614Z,5.088 ms,1.3519999999999999 ms,0.9683157894736844 ms,0.756 ms,1.477 ms,19
2025-04-22T19:14:27.450396Z,2025-04-22T19:14:27.454014Z,2025-04-22T19:14:27.455011Z,4.615 ms,0.9970000000000001 ms,0.9697500000000001 ms,0.756 ms,1.477 ms,20
2025-04-22T19:14:33.053405Z,2025-04-22T19:14:33.057484Z,2025-04-22T19:14:33.058281Z,4.876 ms,0.7969999999999999 ms,0.9615238095238096 ms,0.756 ms,1.477 ms,21
2025-04-22T19:14:33.592164Z,2025-04-22T19:14:33.596396Z,2025-04-22T19:14:33.597408Z,5.244000000000001 ms,1.012 ms,0.9638181818181819 ms,0.756 ms,1.477 ms,22
2025-04-22T19:14:39.210046Z,2025-04-22T19:14:39.213866Z,2025-04-22T19:14:39.214697Z,4.651 ms,0.8310000000000001 ms,0.9580434782608694 ms,0.756 ms,1.477 ms,23
2025-04-22T19:14:39.753380Z,2025-04-22T19:14:39.757356Z,2025-04-22T19:14:39.758384Z,5.004 ms,1.028 ms,0.9609583333333334 ms,0.756 ms,1.477 ms,24
2025-04-22T19:14:45.335992Z,2025-04-22T19:14:45.339814Z,2025-04-22T19:14:45.340613Z,4.621 ms,0.799 ms,0.9544800000000001 ms,0.756 ms,1.477 ms,25
2025-04-22T19:14:45.913504Z,2025-04-22T19:14:45.917459Z,2025-04-22T19:14:45.918600Z,5.096 ms,1.141 ms,0.9616538461538462 ms,0.756 ms,1.477 ms,26
2025-04-22T19:14:51.509261Z,2025-04-22T19:14:51.513064Z,2025-04-22T19:14:51.513841Z,4.58 ms,0.777 ms,0.9548148148148148 ms,0.756 ms,1.477 ms,27
2025-04-22T19:14:52.077336Z,2025-04-22T19:14:52.081126Z,2025-04-22T19:14:52.082098Z,4.762 ms,0.972 ms,0.9554285714285715 ms,0.756 ms,1.477 ms,28
2025-04-22T19:14:57.669536Z,2025-04-22T19:14:57.673545Z,2025-04-22T19:14:57.674512Z,4.976 ms,0.967 ms,0.9558275862068966 ms,0.756 ms,1.477 ms,29
2025-04-22T19:14:58.230303Z,2025-04-22T19:14:58.234353Z,2025-04-22T19:14:58.235335Z,5.032 ms,0.982 ms,0.9567 ms,0.756 ms,1.477 ms,30
2025-04-22T19:15:03.809388Z,2025-04-22T19:15:03.812918Z,2025-04-22T19:15:03.813705Z,4.316999999999999 ms,0.787 ms,0.9512258064516129 ms,0.756 ms,1.477 ms,31
2025-04-22T19:15:04.376996Z,2025-04-22T19:15:04.380620Z,2025-04-22T19:15:04.381595Z,4.599 ms,0.975 ms,0.95196875 ms,0.756 ms,1.477 ms,32
2025-04-22T19:15:10.002289Z,2025-04-22T19:15:10.005861Z,2025-04-22T19:15:10.006706Z,4.417 ms,0.8450000000000001 ms,0.9487272727272729 ms,0.756 ms,1.477 ms,33
2025-04-22T19:15:10.554441Z,2025-04-22T19:15:10.558031Z,2025-04-22T19:15:10.559019Z,4.577999999999999 ms,0.988 ms,0.9498823529411766 ms,0.756 ms,1.477 ms,34
2025-04-22T19:15:16.155366Z,2025-04-22T19:15:16.159165Z,2025-04-22T19:15:16.159992Z,4.626 ms,0.8270000000000001 ms,0.9463714285714288 ms,0.756 ms,1.477 ms,35
2025-04-22T19:15:16.721583Z,2025-04-22T19:15:16.725309Z,2025-04-22T19:15:16.726359Z,4.776 ms,1.05 ms,0.9492500000000003 ms,0.756 ms,1.477 ms,36
2025-04-22T19:15:22.312684Z,2025-04-22T19:15:22.316168Z,2025-04-22T19:15:22.316945Z,4.261 ms,0.777 ms,0.9445945945945948 ms,0.756 ms,1.477 ms,37
2025-04-22T19:15:22.892002Z,2025-04-22T19:15:22.895898Z,2025-04-22T19:15:22.896910Z,4.908 ms,1.012 ms,0.9463684210526319 ms,0.756 ms,1.477 ms,38
2025-04-22T19:15:28.433364Z,2025-04-22T19:15:28.436805Z,2025-04-22T19:15:28.437565Z,4.201 ms,0.76 ms,0.9415897435897438 ms,0.756 ms,1.477 ms,39
2025-04-22T19:15:28.981219Z,2025-04-22T19:15:28.984781Z,2025-04-22T19:15:28.985812Z,4.593 ms,1.031 ms,0.943825 ms,0.756 ms,1.477 ms,40
2025-04-22T19:15:34.588707Z,2025-04-22T19:15:34.592279Z,2025-04-22T19:15:34.593055Z,4.348 ms,0.776 ms,0.9397317073170731 ms,0.756 ms,1.477 ms,41
2025-04-22T19:15:35.163990Z,2025-04-22T19:15:35.167781Z,2025-04-22T19:15:35.168769Z,4.779 ms,0.988 ms,0.9408809523809525 ms,0.756 ms,1.477 ms,42
2025-04-22T19:15:40.771046Z,2025-04-22T19:15:40.774707Z,2025-04-22T19:15:40.775495Z,4.449 ms,0.7879999999999999 ms,0.9373255813953489 ms,0.756 ms,1.477 ms,43
2025-04-22T19:15:41.286890Z,2025-04-22T19:15:41.290578Z,2025-04-22T19:15:41.291522Z,4.632 ms,0.944 ms,0.9374772727272728 ms,0.756 ms,1.477 ms,44
2025-04-22T19:15:46.892932Z,2025-04-22T19:15:46.896469Z,2025-04-22T19:15:46.897256Z,4.324 ms,0.787 ms,0.9341333333333335 ms,0.756 ms,1.477 ms,45
2025-04-22T19:15:47.475096Z,2025-04-22T19:15:47.478602Z,2025-04-22T19:15:47.479527Z,4.431 ms,0.925 ms,0.9339347826086958 ms,0.756 ms,1.477 ms,46
2025-04-22T19:15:53.080187Z,2025-04-22T19:15:53.084015Z,2025-04-22T19:15:53.084799Z,4.612 ms,0.784 ms,0.930744680851064 ms,0.756 ms,1.477 ms,47
2025-04-22T19:15:53.671055Z,2025-04-22T19:15:53.674513Z,2025-04-22T19:15:53.675457Z,4.401999999999999 ms,0.944 ms,0.9310208333333335 ms,0.756 ms,1.477 ms,48
2025-04-22T19:15:59.269234Z,2025-04-22T19:15:59.272733Z,2025-04-22T19:15:59.273495Z,4.261 ms,0.762 ms,0.9275714285714286 ms,0.756 ms,1.477 ms,49
2025-04-22T19:15:59.857955Z,2025-04-22T19:15:59.861469Z,2025-04-22T19:15:59.862500Z,4.545000000000001 ms,1.031 ms,0.92964 ms,0.756 ms,1.477 ms,50
2025-04-22T19:16:05.429522Z,2025-04-22T19:16:05.433128Z,2025-04-22T19:16:05.434005Z,4.483 ms,0.877 ms,0.928607843137255 ms,0.756 ms,1.477 ms,51
2025-04-22T19:16:06.013293Z,2025-04-22T19:16:06.017063Z,2025-04-22T19:16:06.018048Z,4.755 ms,0.985 ms,0.9296923076923078 ms,0.756 ms,1.477 ms,52
2025-04-22T19:16:11.613608Z,2025-04-22T19:16:11.617187Z,2025-04-22T19:16:11.617974Z,4.366 ms,0.787 ms,0.9270000000000002 ms,0.756 ms,1.477 ms,53
