observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-18T23:11:09.037236Z,2025-04-18T23:11:09.068717Z,2025-04-18T23:11:09.070238Z,33.001999999999995 ms,1.521 ms,1.521 ms,1.521 ms,1.521 ms,1
2025-04-18T23:11:14.605900Z,2025-04-18T23:11:14.610249Z,2025-04-18T23:11:14.611005Z,5.105 ms,0.756 ms,1.1385 ms,0.756 ms,1.521 ms,2
2025-04-18T23:11:20.190180Z,2025-04-18T23:11:20.194399Z,2025-04-18T23:11:20.195209Z,5.029 ms,0.8099999999999999 ms,1.029 ms,0.756 ms,1.521 ms,3
2025-04-18T23:11:25.769724Z,2025-04-18T23:11:25.773671Z,2025-04-18T23:11:25.774482Z,4.758 ms,0.8109999999999999 ms,0.9745 ms,0.756 ms,1.521 ms,4
2025-04-18T23:11:31.294421Z,2025-04-18T23:11:31.298232Z,2025-04-18T23:11:31.299006Z,4.585 ms,0.7739999999999999 ms,0.9343999999999999 ms,0.756 ms,1.521 ms,5
2025-04-18T23:11:36.878708Z,2025-04-18T23:11:36.882816Z,2025-04-18T23:11:36.883554Z,4.845999999999999 ms,0.7380000000000001 ms,0.9016666666666666 ms,0.7380000000000001 ms,1.521 ms,6
2025-04-18T23:11:42.414083Z,2025-04-18T23:11:42.418085Z,2025-04-18T23:11:42.418906Z,4.823 ms,0.821 ms,0.890142857142857 ms,0.7380000000000001 ms,1.521 ms,7
2025-04-18T23:11:47.984348Z,2025-04-18T23:11:47.988114Z,2025-04-18T23:11:47.988947Z,4.599 ms,0.833 ms,0.8829999999999999 ms,0.7380000000000001 ms,1.521 ms,8
2025-04-18T23:11:53.509905Z,2025-04-18T23:11:53.513721Z,2025-04-18T23:11:53.514504Z,4.599 ms,0.7829999999999999 ms,0.8718888888888888 ms,0.7380000000000001 ms,1.521 ms,9
2025-04-18T23:11:59.051352Z,2025-04-18T23:11:59.055172Z,2025-04-18T23:11:59.055920Z,4.568 ms,0.748 ms,0.8595 ms,0.7380000000000001 ms,1.521 ms,10
2025-04-18T23:12:04.626498Z,2025-04-18T23:12:04.630362Z,2025-04-18T23:12:04.631157Z,4.659 ms,0.795 ms,0.8536363636363637 ms,0.7380000000000001 ms,1.521 ms,11
2025-04-18T23:12:10.208758Z,2025-04-18T23:12:10.212623Z,2025-04-18T23:12:10.213424Z,4.666 ms,0.8009999999999999 ms,0.8492500000000001 ms,0.7380000000000001 ms,1.521 ms,12
2025-04-18T23:12:15.789071Z,2025-04-18T23:12:15.793036Z,2025-04-18T23:12:15.793865Z,4.794 ms,0.829 ms,0.8476923076923077 ms,0.7380000000000001 ms,1.521 ms,13
2025-04-18T23:12:21.371681Z,2025-04-18T23:12:21.375561Z,2025-04-18T23:12:21.376347Z,4.666 ms,0.786 ms,0.8432857142857143 ms,0.7380000000000001 ms,1.521 ms,14
2025-04-18T23:12:26.959920Z,2025-04-18T23:12:26.963628Z,2025-04-18T23:12:26.964435Z,4.515 ms,0.8069999999999999 ms,0.8408666666666668 ms,0.7380000000000001 ms,1.521 ms,15
2025-04-18T23:12:32.540403Z,2025-04-18T23:12:32.544035Z,2025-04-18T23:12:32.545365Z,4.962000000000001 ms,1.33 ms,0.8714375000000001 ms,0.7380000000000001 ms,1.521 ms,16
