observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2025-04-21T21:53:31.856709Z,2025-04-21T21:53:31.960272Z,2025-04-21T21:53:31.964608Z,107.899 ms,4.335999999999999 ms,4.335999999999999 ms,4.335999999999999 ms,4.335999999999999 ms,1
2025-04-21T21:53:36.844808Z,2025-04-21T21:53:36.848957Z,2025-04-21T21:53:36.849604Z,4.796 ms,0.647 ms,2.4915 ms,0.647 ms,4.335999999999999 ms,2
2025-04-21T21:53:41.847038Z,2025-04-21T21:53:41.850469Z,2025-04-21T21:53:41.851121Z,4.083 ms,0.652 ms,1.8783333333333332 ms,0.647 ms,4.335999999999999 ms,3
2025-04-21T21:53:46.845078Z,2025-04-21T21:53:46.848304Z,2025-04-21T21:53:46.848862Z,3.7840000000000003 ms,0.558 ms,1.54825 ms,0.558 ms,4.335999999999999 ms,4
2025-04-21T21:53:51.858851Z,2025-04-21T21:53:51.862186Z,2025-04-21T21:53:51.862918Z,4.067 ms,0.732 ms,1.385 ms,0.558 ms,4.335999999999999 ms,5
2025-04-21T21:53:56.849573Z,2025-04-21T21:53:56.852914Z,2025-04-21T21:53:56.853586Z,4.013 ms,0.6719999999999999 ms,1.2661666666666664 ms,0.558 ms,4.335999999999999 ms,6
2025-04-21T21:54:01.860481Z,2025-04-21T21:54:01.864014Z,2025-04-21T21:54:01.864694Z,4.213 ms,0.68 ms,1.1824285714285714 ms,0.558 ms,4.335999999999999 ms,7
2025-04-21T21:54:06.855204Z,2025-04-21T21:54:06.858569Z,2025-04-21T21:54:06.859279Z,4.074999999999999 ms,0.71 ms,1.123375 ms,0.558 ms,4.335999999999999 ms,8
2025-04-21T21:54:11.849326Z,2025-04-21T21:54:11.852781Z,2025-04-21T21:54:11.853484Z,4.158 ms,0.703 ms,1.0766666666666667 ms,0.558 ms,4.335999999999999 ms,9
2025-04-21T21:54:16.847057Z,2025-04-21T21:54:16.850089Z,2025-04-21T21:54:16.850758Z,3.701 ms,0.669 ms,1.0359 ms,0.558 ms,4.335999999999999 ms,10
2025-04-21T21:54:21.848658Z,2025-04-21T21:54:21.851948Z,2025-04-21T21:54:21.852709Z,4.051 ms,0.761 ms,1.010909090909091 ms,0.558 ms,4.335999999999999 ms,11
2025-04-21T21:54:26.844365Z,2025-04-21T21:54:26.847206Z,2025-04-21T21:54:26.847897Z,3.532 ms,0.691 ms,0.9842500000000001 ms,0.558 ms,4.335999999999999 ms,12
2025-04-21T21:54:31.844995Z,2025-04-21T21:54:31.847935Z,2025-04-21T21:54:31.848594Z,3.599 ms,0.6589999999999999 ms,0.9592307692307693 ms,0.558 ms,4.335999999999999 ms,13
2025-04-21T21:54:36.849995Z,2025-04-21T21:54:36.853337Z,2025-04-21T21:54:36.854077Z,4.082 ms,0.74 ms,0.9435714285714285 ms,0.558 ms,4.335999999999999 ms,14
2025-04-21T21:54:41.850698Z,2025-04-21T21:54:41.853935Z,2025-04-21T21:54:41.854618Z,3.92 ms,0.683 ms,0.9261999999999999 ms,0.558 ms,4.335999999999999 ms,15
2025-04-21T21:54:46.852944Z,2025-04-21T21:54:46.855807Z,2025-04-21T21:54:46.856510Z,3.5660000000000003 ms,0.703 ms,0.91225 ms,0.558 ms,4.335999999999999 ms,16
2025-04-21T21:54:51.844402Z,2025-04-21T21:54:51.847838Z,2025-04-21T21:54:51.848507Z,4.105 ms,0.669 ms,0.8979411764705882 ms,0.558 ms,4.335999999999999 ms,17
2025-04-21T21:54:56.860994Z,2025-04-21T21:54:56.864020Z,2025-04-21T21:54:56.864687Z,3.693 ms,0.6669999999999999 ms,0.8851111111111111 ms,0.558 ms,4.335999999999999 ms,18
2025-04-21T21:55:01.851605Z,2025-04-21T21:55:01.854524Z,2025-04-21T21:55:01.855222Z,3.617 ms,0.6980000000000001 ms,0.8752631578947369 ms,0.558 ms,4.335999999999999 ms,19
2025-04-21T21:55:06.846004Z,2025-04-21T21:55:06.848856Z,2025-04-21T21:55:06.849526Z,3.522 ms,0.67 ms,0.865 ms,0.558 ms,4.335999999999999 ms,20
2025-04-21T21:55:11.853128Z,2025-04-21T21:55:11.856177Z,2025-04-21T21:55:11.856911Z,3.783 ms,0.734 ms,0.8587619047619047 ms,0.558 ms,4.335999999999999 ms,21
2025-04-21T21:55:16.851883Z,2025-04-21T21:55:16.855199Z,2025-04-21T21:55:16.855903Z,4.0200000000000005 ms,0.704 ms,0.8517272727272727 ms,0.558 ms,4.335999999999999 ms,22
2025-04-21T21:55:21.845365Z,2025-04-21T21:55:21.848265Z,2025-04-21T21:55:21.849038Z,3.673 ms,0.773 ms,0.8483043478260869 ms,0.558 ms,4.335999999999999 ms,23
2025-04-21T21:55:26.846824Z,2025-04-21T21:55:26.849593Z,2025-04-21T21:55:26.850248Z,3.424 ms,0.655 ms,0.8402499999999998 ms,0.558 ms,4.335999999999999 ms,24
2025-04-21T21:55:31.846084Z,2025-04-21T21:55:31.848787Z,2025-04-21T21:55:31.849464Z,3.3800000000000003 ms,0.6769999999999999 ms,0.8337199999999999 ms,0.558 ms,4.335999999999999 ms,25
2025-04-21T21:55:36.844358Z,2025-04-21T21:55:36.847042Z,2025-04-21T21:55:36.847702Z,3.3440000000000003 ms,0.66 ms,0.8270384615384614 ms,0.558 ms,4.335999999999999 ms,26
2025-04-21T21:55:41.846195Z,2025-04-21T21:55:41.848729Z,2025-04-21T21:55:41.849418Z,3.2230000000000003 ms,0.6890000000000001 ms,0.8219259259259258 ms,0.558 ms,4.335999999999999 ms,27
2025-04-21T21:55:46.853311Z,2025-04-21T21:55:46.856331Z,2025-04-21T21:55:46.856968Z,3.657 ms,0.637 ms,0.8153214285714284 ms,0.558 ms,4.335999999999999 ms,28
2025-04-21T21:55:51.852664Z,2025-04-21T21:55:51.855567Z,2025-04-21T21:55:51.856232Z,3.568 ms,0.665 ms,0.8101379310344825 ms,0.558 ms,4.335999999999999 ms,29
2025-04-21T21:55:56.850617Z,2025-04-21T21:55:56.853384Z,2025-04-21T21:55:56.854014Z,3.397 ms,0.63 ms,0.8041333333333331 ms,0.558 ms,4.335999999999999 ms,30
2025-04-21T21:56:01.845307Z,2025-04-21T21:56:01.848218Z,2025-04-21T21:56:01.848895Z,3.588 ms,0.6769999999999999 ms,0.8000322580645159 ms,0.558 ms,4.335999999999999 ms,31
2025-04-21T21:56:06.846918Z,2025-04-21T21:56:06.849621Z,2025-04-21T21:56:06.850261Z,3.343 ms,0.64 ms,0.7950312499999999 ms,0.558 ms,4.335999999999999 ms,32
2025-04-21T21:56:11.844611Z,2025-04-21T21:56:11.847392Z,2025-04-21T21:56:11.848027Z,3.4160000000000004 ms,0.635 ms,0.790181818181818 ms,0.558 ms,4.335999999999999 ms,33
2025-04-21T21:56:16.846346Z,2025-04-21T21:56:16.848991Z,2025-04-21T21:56:16.849686Z,3.3400000000000003 ms,0.695 ms,0.7873823529411764 ms,0.558 ms,4.335999999999999 ms,34
2025-04-21T21:56:21.844348Z,2025-04-21T21:56:21.847322Z,2025-04-21T21:56:21.847978Z,3.63 ms,0.656 ms,0.7836285714285713 ms,0.558 ms,4.335999999999999 ms,35
2025-04-21T21:56:26.851016Z,2025-04-21T21:56:26.853763Z,2025-04-21T21:56:26.854504Z,3.4880000000000004 ms,0.741 ms,0.7824444444444444 ms,0.558 ms,4.335999999999999 ms,36
2025-04-21T21:56:31.844115Z,2025-04-21T21:56:31.846705Z,2025-04-21T21:56:31.847395Z,3.28 ms,0.69 ms,0.7799459459459458 ms,0.558 ms,4.335999999999999 ms,37
2025-04-21T21:56:36.849985Z,2025-04-21T21:56:36.852743Z,2025-04-21T21:56:36.853487Z,3.502 ms,0.744 ms,0.7789999999999998 ms,0.558 ms,4.335999999999999 ms,38
2025-04-21T21:56:41.850673Z,2025-04-21T21:56:41.853483Z,2025-04-21T21:56:41.854196Z,3.523 ms,0.713 ms,0.7773076923076921 ms,0.558 ms,4.335999999999999 ms,39
2025-04-21T21:56:46.845154Z,2025-04-21T21:56:46.847862Z,2025-04-21T21:56:46.848613Z,3.4589999999999996 ms,0.751 ms,0.77665 ms,0.558 ms,4.335999999999999 ms,40
2025-04-21T21:56:51.845387Z,2025-04-21T21:56:51.848233Z,2025-04-21T21:56:51.848921Z,3.534 ms,0.6880000000000001 ms,0.7744878048780487 ms,0.558 ms,4.335999999999999 ms,41
2025-04-21T21:56:56.845281Z,2025-04-21T21:56:56.848007Z,2025-04-21T21:56:56.848618Z,3.337 ms,0.611 ms,0.7705952380952381 ms,0.558 ms,4.335999999999999 ms,42
2025-04-21T21:57:01.851033Z,2025-04-21T21:57:01.854005Z,2025-04-21T21:57:01.854687Z,3.654 ms,0.6819999999999999 ms,0.7685348837209303 ms,0.558 ms,4.335999999999999 ms,43
2025-04-21T21:57:06.844122Z,2025-04-21T21:57:06.846820Z,2025-04-21T21:57:06.847537Z,3.415 ms,0.717 ms,0.7673636363636365 ms,0.558 ms,4.335999999999999 ms,44
2025-04-21T21:57:11.847898Z,2025-04-21T21:57:11.852242Z,2025-04-21T21:57:11.852929Z,5.031 ms,0.687 ms,0.7655777777777779 ms,0.558 ms,4.335999999999999 ms,45
