observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-27T09:53:02.349791Z,2024-12-27T09:53:02.377545Z,2024-12-27T09:53:02.446711Z,96.92 ms,69.16600000000001 ms,69.16600000000001 ms,69.16600000000001 ms,69.16600000000001 ms,1
2024-12-27T09:53:07.266638Z,2024-12-27T09:53:07.270010Z,2024-12-27T09:53:07.278391Z,11.753 ms,8.381 ms,38.773500000000006 ms,8.381 ms,69.16600000000001 ms,2
2024-12-27T09:53:12.272512Z,2024-12-27T09:53:12.275555Z,2024-12-27T09:53:12.285362Z,12.85 ms,9.807 ms,29.118000000000002 ms,8.381 ms,69.16600000000001 ms,3
2024-12-27T09:53:17.264878Z,2024-12-27T09:53:17.267765Z,2024-12-27T09:53:17.275895Z,11.017000000000001 ms,8.13 ms,23.871 ms,8.13 ms,69.16600000000001 ms,4
2024-12-27T09:53:22.271998Z,2024-12-27T09:53:22.274770Z,2024-12-27T09:53:22.283443Z,11.445 ms,8.673 ms,20.8314 ms,8.13 ms,69.16600000000001 ms,5
2024-12-27T09:53:27.263261Z,2024-12-27T09:53:27.267249Z,2024-12-27T09:53:27.276006Z,12.745 ms,8.757 ms,18.819 ms,8.13 ms,69.16600000000001 ms,6
2024-12-27T09:53:32.265259Z,2024-12-27T09:53:32.268215Z,2024-12-27T09:53:32.276984Z,11.725 ms,8.769 ms,17.383285714285716 ms,8.13 ms,69.16600000000001 ms,7
2024-12-27T09:53:37.268852Z,2024-12-27T09:53:37.271767Z,2024-12-27T09:53:37.280817Z,11.965 ms,9.05 ms,16.341624999999997 ms,8.13 ms,69.16600000000001 ms,8
2024-12-27T09:53:42.268493Z,2024-12-27T09:53:42.271403Z,2024-12-27T09:53:42.279523Z,11.03 ms,8.120000000000001 ms,15.428111111111107 ms,8.120000000000001 ms,69.16600000000001 ms,9
2024-12-27T09:53:47.265876Z,2024-12-27T09:53:47.268444Z,2024-12-27T09:53:47.276384Z,10.508 ms,7.9399999999999995 ms,14.679299999999998 ms,7.9399999999999995 ms,69.16600000000001 ms,10
