observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-23T17:11:48.471868Z,2024-12-23T17:11:48.504114Z,2024-12-23T17:11:48.571603Z,99.735 ms,67.48899999999999 ms,67.48899999999999 ms,67.48899999999999 ms,67.48899999999999 ms,1
2024-12-23T17:11:53.393931Z,2024-12-23T17:11:53.397376Z,2024-12-23T17:11:53.405450Z,11.519 ms,8.074 ms,37.781499999999994 ms,8.074 ms,67.48899999999999 ms,2
2024-12-23T17:11:58.401973Z,2024-12-23T17:11:58.405117Z,2024-12-23T17:11:58.415454Z,13.481 ms,10.337000000000002 ms,28.63333333333333 ms,8.074 ms,67.48899999999999 ms,3
2024-12-23T17:12:03.388235Z,2024-12-23T17:12:03.391124Z,2024-12-23T17:12:03.399485Z,11.25 ms,8.361 ms,23.565249999999995 ms,8.074 ms,67.48899999999999 ms,4
2024-12-23T17:12:08.400183Z,2024-12-23T17:12:08.403079Z,2024-12-23T17:12:08.411282Z,11.099 ms,8.203 ms,20.4928 ms,8.074 ms,67.48899999999999 ms,5
2024-12-23T17:12:13.393088Z,2024-12-23T17:12:13.397298Z,2024-12-23T17:12:13.406034Z,12.946 ms,8.736 ms,18.53333333333333 ms,8.074 ms,67.48899999999999 ms,6
2024-12-23T17:12:18.391424Z,2024-12-23T17:12:18.394090Z,2024-12-23T17:12:18.402637Z,11.213000000000001 ms,8.547 ms,17.106714285714283 ms,8.074 ms,67.48899999999999 ms,7
2024-12-23T17:12:23.399277Z,2024-12-23T17:12:23.401846Z,2024-12-23T17:12:23.411002Z,11.725 ms,9.155999999999999 ms,16.112875 ms,8.074 ms,67.48899999999999 ms,8
2024-12-23T17:12:28.391405Z,2024-12-23T17:12:28.394009Z,2024-12-23T17:12:28.401864Z,10.459 ms,7.8549999999999995 ms,15.195333333333332 ms,7.8549999999999995 ms,67.48899999999999 ms,9
2024-12-23T17:12:33.398584Z,2024-12-23T17:12:33.401268Z,2024-12-23T17:12:33.409217Z,10.633000000000001 ms,7.949 ms,14.470699999999999 ms,7.8549999999999995 ms,67.48899999999999 ms,10
2024-12-23T17:12:38.390217Z,2024-12-23T17:12:38.392873Z,2024-12-23T17:12:38.401127Z,10.91 ms,8.254 ms,13.905545454545456 ms,7.8549999999999995 ms,67.48899999999999 ms,11
2024-12-23T17:12:43.392392Z,2024-12-23T17:12:43.395150Z,2024-12-23T17:12:43.403757Z,11.365 ms,8.607 ms,13.464000000000002 ms,7.8549999999999995 ms,67.48899999999999 ms,12
2024-12-23T17:12:48.406483Z,2024-12-23T17:12:48.409539Z,2024-12-23T17:12:48.417722Z,11.239 ms,8.183 ms,13.057769230769232 ms,7.8549999999999995 ms,67.48899999999999 ms,13
2024-12-23T17:12:53.400108Z,2024-12-23T17:12:53.402580Z,2024-12-23T17:12:53.410464Z,10.356 ms,7.884 ms,12.688214285714286 ms,7.8549999999999995 ms,67.48899999999999 ms,14
2024-12-23T17:12:58.393179Z,2024-12-23T17:12:58.395799Z,2024-12-23T17:12:58.405278Z,12.099 ms,9.479 ms,12.474266666666667 ms,7.8549999999999995 ms,67.48899999999999 ms,15
2024-12-23T17:13:03.410460Z,2024-12-23T17:13:03.412929Z,2024-12-23T17:13:03.420289Z,9.828999999999999 ms,7.36 ms,12.154625000000001 ms,7.36 ms,67.48899999999999 ms,16
2024-12-23T17:13:08.392963Z,2024-12-23T17:13:08.395535Z,2024-12-23T17:13:08.402945Z,9.982 ms,7.41 ms,11.875529411764706 ms,7.36 ms,67.48899999999999 ms,17
2024-12-23T17:13:13.395605Z,2024-12-23T17:13:13.397846Z,2024-12-23T17:13:13.412111Z,16.506 ms,14.265 ms,12.008277777777778 ms,7.36 ms,67.48899999999999 ms,18
2024-12-23T17:13:18.398526Z,2024-12-23T17:13:18.400991Z,2024-12-23T17:13:18.408522Z,9.996 ms,7.531000000000001 ms,11.772631578947369 ms,7.36 ms,67.48899999999999 ms,19
2024-12-23T17:13:23.403813Z,2024-12-23T17:13:23.406532Z,2024-12-23T17:13:23.414316Z,10.503 ms,7.784 ms,11.573200000000002 ms,7.36 ms,67.48899999999999 ms,20
2024-12-23T17:13:28.411742Z,2024-12-23T17:13:28.414367Z,2024-12-23T17:13:28.422401Z,10.659 ms,8.033999999999999 ms,11.40466666666667 ms,7.36 ms,67.48899999999999 ms,21
