observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,iteration_execution_time,mean_execution_time,min_execution_time,max_execution_time,processed_notifications
2024-12-12T23:33:07.741407Z,2024-12-12T23:33:07.769181Z,2024-12-12T23:33:07.835262Z,93.85499999999999 ms,66.081 ms,66.081 ms,66.081 ms,66.081 ms,1
2024-12-12T23:33:12.675634Z,2024-12-12T23:33:12.678903Z,2024-12-12T23:33:12.688718Z,13.084 ms,9.815000000000001 ms,37.948 ms,9.815000000000001 ms,66.081 ms,2
2024-12-12T23:33:17.677019Z,2024-12-12T23:33:17.680594Z,2024-12-12T23:33:17.689068Z,12.049000000000001 ms,8.474 ms,28.123333333333335 ms,8.474 ms,66.081 ms,3
2024-12-12T23:33:22.670135Z,2024-12-12T23:33:22.673093Z,2024-12-12T23:33:22.681827Z,11.691999999999998 ms,8.734 ms,23.276 ms,8.474 ms,66.081 ms,4
2024-12-12T23:33:27.671563Z,2024-12-12T23:33:27.674517Z,2024-12-12T23:33:27.683878Z,12.315 ms,9.360999999999999 ms,20.493000000000002 ms,8.474 ms,66.081 ms,5
2024-12-12T23:33:32.671065Z,2024-12-12T23:33:32.674511Z,2024-12-12T23:33:32.683805Z,12.74 ms,9.294 ms,18.6265 ms,8.474 ms,66.081 ms,6
2024-12-12T23:33:37.670817Z,2024-12-12T23:33:37.674037Z,2024-12-12T23:33:37.682611Z,11.794 ms,8.574 ms,17.190428571428573 ms,8.474 ms,66.081 ms,7
2024-12-12T23:33:42.681449Z,2024-12-12T23:33:42.684236Z,2024-12-12T23:33:42.693732Z,12.283000000000001 ms,9.495999999999999 ms,16.228625 ms,8.474 ms,66.081 ms,8
2024-12-12T23:33:47.676350Z,2024-12-12T23:33:47.679069Z,2024-12-12T23:33:47.687621Z,11.270999999999999 ms,8.552000000000001 ms,15.375666666666667 ms,8.474 ms,66.081 ms,9
2024-12-12T23:33:52.676098Z,2024-12-12T23:33:52.678793Z,2024-12-12T23:33:52.687122Z,11.024000000000001 ms,8.328999999999999 ms,14.671 ms,8.328999999999999 ms,66.081 ms,10
2024-12-12T23:33:57.679482Z,2024-12-12T23:33:57.682265Z,2024-12-12T23:33:57.691491Z,12.009 ms,9.225999999999999 ms,14.176000000000002 ms,8.328999999999999 ms,66.081 ms,11
2024-12-12T23:34:02.668988Z,2024-12-12T23:34:02.671547Z,2024-12-12T23:34:02.679767Z,10.779 ms,8.22 ms,13.679666666666668 ms,8.22 ms,66.081 ms,12
2024-12-12T23:34:07.668319Z,2024-12-12T23:34:07.671205Z,2024-12-12T23:34:07.679539Z,11.22 ms,8.334 ms,13.268461538461542 ms,8.22 ms,66.081 ms,13
2024-12-12T23:34:12.682509Z,2024-12-12T23:34:12.685271Z,2024-12-12T23:34:12.693767Z,11.258000000000001 ms,8.496 ms,12.927571428571431 ms,8.22 ms,66.081 ms,14
2024-12-12T23:34:17.679438Z,2024-12-12T23:34:17.682162Z,2024-12-12T23:34:17.690133Z,10.695 ms,7.971000000000001 ms,12.597133333333337 ms,7.971000000000001 ms,66.081 ms,15
2024-12-12T23:34:22.667447Z,2024-12-12T23:34:22.670105Z,2024-12-12T23:34:22.678060Z,10.613 ms,7.955 ms,12.307000000000002 ms,7.955 ms,66.081 ms,16
