observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:21:10.578501Z,2024-12-07T19:21:10.666420Z,87.919 ms,87.919 ms,87.919 ms,87.919 ms,1
2024-12-07T19:22:29.826373Z,2024-12-07T19:22:29.863973Z,37.6 ms,62.759499999999996 ms,37.6 ms,87.919 ms,2
2024-12-07T19:22:39.764310Z,2024-12-07T19:22:39.801784Z,37.474000000000004 ms,54.330999999999996 ms,37.474000000000004 ms,87.919 ms,3
2024-12-07T19:22:49.753628Z,2024-12-07T19:22:49.789309Z,35.681 ms,49.668499999999995 ms,35.681 ms,87.919 ms,4
2024-12-07T19:22:59.756609Z,2024-12-07T19:22:59.792275Z,35.666000000000004 ms,46.868 ms,35.666000000000004 ms,87.919 ms,5
2024-12-07T19:23:10.385467Z,2024-12-07T19:23:10.422392Z,36.925 ms,45.21083333333333 ms,35.666000000000004 ms,87.919 ms,6
2024-12-07T19:23:20.314434Z,2024-12-07T19:23:20.348385Z,33.951 ms,43.60228571428571 ms,33.951 ms,87.919 ms,7
2024-12-07T19:23:32.294893Z,2024-12-07T19:23:32.329078Z,34.185 ms,42.425125 ms,33.951 ms,87.919 ms,8
2024-12-07T19:23:42.252247Z,2024-12-07T19:23:42.289131Z,36.884 ms,41.80944444444444 ms,33.951 ms,87.919 ms,9
2024-12-07T19:23:52.224718Z,2024-12-07T19:23:52.343489Z,118.771 ms,49.505599999999994 ms,33.951 ms,118.771 ms,10
