observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-09T07:05:38.068330Z,2024-12-09T07:05:38.125833Z,57.503 ms,57.503 ms,57.503 ms,57.503 ms,1
2024-12-09T07:05:43.006458Z,2024-12-09T07:05:43.032271Z,25.813 ms,41.658 ms,25.813 ms,57.503 ms,2
2024-12-09T07:05:47.997953Z,2024-12-09T07:05:48.024732Z,26.779 ms,36.69833333333333 ms,25.813 ms,57.503 ms,3
2024-12-09T07:05:53.003383Z,2024-12-09T07:05:53.028475Z,25.092 ms,33.79675 ms,25.092 ms,57.503 ms,4
2024-12-09T07:05:57.998027Z,2024-12-09T07:05:58.019747Z,21.72 ms,31.381399999999996 ms,21.72 ms,57.503 ms,5
2024-12-09T07:06:03.007550Z,2024-12-09T07:06:03.030132Z,22.582 ms,29.91483333333333 ms,21.72 ms,57.503 ms,6
2024-12-09T07:06:08.007402Z,2024-12-09T07:06:08.032991Z,25.589000000000002 ms,29.296857142857142 ms,21.72 ms,57.503 ms,7
2024-12-09T07:06:13.006282Z,2024-12-09T07:06:13.026945Z,20.663 ms,28.217624999999995 ms,20.663 ms,57.503 ms,8
2024-12-09T07:06:18.013748Z,2024-12-09T07:06:18.035638Z,21.89 ms,27.514555555555553 ms,20.663 ms,57.503 ms,9
2024-12-09T07:06:23.023715Z,2024-12-09T07:06:23.048263Z,24.548000000000002 ms,27.217899999999997 ms,20.663 ms,57.503 ms,10
2024-12-09T07:06:28.004659Z,2024-12-09T07:06:28.031687Z,27.028 ms,27.200636363636356 ms,20.663 ms,57.503 ms,11
2024-12-09T07:06:33.007578Z,2024-12-09T07:06:33.028262Z,20.684 ms,26.657583333333328 ms,20.663 ms,57.503 ms,12
2024-12-09T07:06:38.008178Z,2024-12-09T07:06:38.030987Z,22.809 ms,26.36153846153846 ms,20.663 ms,57.503 ms,13
2024-12-09T07:06:43.001807Z,2024-12-09T07:06:43.022218Z,20.410999999999998 ms,25.9365 ms,20.410999999999998 ms,57.503 ms,14
2024-12-09T07:06:48.004803Z,2024-12-09T07:06:48.025659Z,20.855999999999998 ms,25.597799999999996 ms,20.410999999999998 ms,57.503 ms,15
2024-12-09T07:06:53.000479Z,2024-12-09T07:06:53.020051Z,19.572 ms,25.221187499999996 ms,19.572 ms,57.503 ms,16
2024-12-09T07:06:58.000510Z,2024-12-09T07:06:58.024301Z,23.791 ms,25.137058823529408 ms,19.572 ms,57.503 ms,17
2024-12-09T07:07:02.998804Z,2024-12-09T07:07:03.017792Z,18.988000000000003 ms,24.79544444444444 ms,18.988000000000003 ms,57.503 ms,18
2024-12-09T07:07:08.003242Z,2024-12-09T07:07:08.023545Z,20.303 ms,24.558999999999997 ms,18.988000000000003 ms,57.503 ms,19
2024-12-09T07:07:13.007529Z,2024-12-09T07:07:13.027280Z,19.751 ms,24.3186 ms,18.988000000000003 ms,57.503 ms,20
2024-12-09T07:07:17.999030Z,2024-12-09T07:07:18.018588Z,19.558 ms,24.09190476190476 ms,18.988000000000003 ms,57.503 ms,21
2024-12-09T07:07:23.018032Z,2024-12-09T07:07:23.037167Z,19.134999999999998 ms,23.86659090909091 ms,18.988000000000003 ms,57.503 ms,22
2024-12-09T07:07:27.997683Z,2024-12-09T07:07:28.019704Z,22.020999999999997 ms,23.786347826086956 ms,18.988000000000003 ms,57.503 ms,23
2024-12-09T07:07:33.006188Z,2024-12-09T07:07:33.027324Z,21.136 ms,23.67591666666667 ms,18.988000000000003 ms,57.503 ms,24
2024-12-09T07:07:38.007715Z,2024-12-09T07:07:38.028334Z,20.619 ms,23.553639999999998 ms,18.988000000000003 ms,57.503 ms,25
2024-12-09T07:07:43.007422Z,2024-12-09T07:07:43.026649Z,19.227 ms,23.38723076923077 ms,18.988000000000003 ms,57.503 ms,26
2024-12-09T07:07:48.006269Z,2024-12-09T07:07:48.024502Z,18.233 ms,23.19633333333333 ms,18.233 ms,57.503 ms,27
2024-12-09T07:07:53.005502Z,2024-12-09T07:07:53.023920Z,18.418 ms,23.02567857142857 ms,18.233 ms,57.503 ms,28
2024-12-09T07:07:58.003259Z,2024-12-09T07:07:58.022171Z,18.912000000000003 ms,22.8838275862069 ms,18.233 ms,57.503 ms,29
2024-12-09T07:08:03.007623Z,2024-12-09T07:08:03.025761Z,18.138 ms,22.725633333333334 ms,18.138 ms,57.503 ms,30
2024-12-09T07:08:08.001595Z,2024-12-09T07:08:08.020005Z,18.41 ms,22.586419354838714 ms,18.138 ms,57.503 ms,31
2024-12-09T07:08:13.005261Z,2024-12-09T07:08:13.022985Z,17.724 ms,22.43446875 ms,17.724 ms,57.503 ms,32
2024-12-09T07:08:18.007776Z,2024-12-09T07:08:18.022854Z,15.078 ms,22.211545454545455 ms,15.078 ms,57.503 ms,33
2024-12-09T07:08:23.003616Z,2024-12-09T07:08:23.019064Z,15.448 ms,22.01261764705883 ms,15.078 ms,57.503 ms,34
2024-12-09T07:08:28.026678Z,2024-12-09T07:08:28.042706Z,16.028000000000002 ms,21.841628571428576 ms,15.078 ms,57.503 ms,35
2024-12-09T07:08:33.005977Z,2024-12-09T07:08:33.029005Z,23.028 ms,21.87458333333334 ms,15.078 ms,57.503 ms,36
2024-12-09T07:08:38.023819Z,2024-12-09T07:08:38.041605Z,17.786 ms,21.764081081081088 ms,15.078 ms,57.503 ms,37
2024-12-09T07:08:43.004509Z,2024-12-09T07:08:43.026196Z,21.687 ms,21.762052631578953 ms,15.078 ms,57.503 ms,38
2024-12-09T07:08:48.026374Z,2024-12-09T07:08:48.043408Z,17.034 ms,21.640820512820518 ms,15.078 ms,57.503 ms,39
