observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-14T15:51:35.986688Z,2024-12-14T15:51:36.025000Z,38.312 ms,38.312 ms,38.312 ms,38.312 ms,1
2024-12-14T15:51:40.918884Z,2024-12-14T15:51:40.931000Z,12.116 ms,25.214 ms,12.116 ms,38.312 ms,2
2024-12-14T15:51:45.919697Z,2024-12-14T15:51:45.930000Z,10.302999999999999 ms,20.243666666666666 ms,10.302999999999999 ms,38.312 ms,3
2024-12-14T15:51:50.915354Z,2024-12-14T15:51:50.927000Z,11.646 ms,18.09425 ms,10.302999999999999 ms,38.312 ms,4
2024-12-14T15:51:55.918744Z,2024-12-14T15:51:55.929000Z,10.256 ms,16.5266 ms,10.256 ms,38.312 ms,5
2024-12-14T15:52:00.918728Z,2024-12-14T15:52:00.928000Z,9.272 ms,15.317499999999999 ms,9.272 ms,38.312 ms,6
2024-12-14T15:52:05.919955Z,2024-12-14T15:52:05.930000Z,10.045 ms,14.564285714285713 ms,9.272 ms,38.312 ms,7
2024-12-14T15:52:10.928571Z,2024-12-14T15:52:10.938000Z,9.429 ms,13.922375 ms,9.272 ms,38.312 ms,8
2024-12-14T15:52:15.925620Z,2024-12-14T15:52:15.935000Z,9.379999999999999 ms,13.417666666666667 ms,9.272 ms,38.312 ms,9
2024-12-14T15:52:20.925756Z,2024-12-14T15:52:20.935000Z,9.244 ms,13.000300000000001 ms,9.244 ms,38.312 ms,10
2024-12-14T15:52:25.926740Z,2024-12-14T15:52:25.936000Z,9.26 ms,12.660272727272726 ms,9.244 ms,38.312 ms,11
2024-12-14T15:52:30.923660Z,2024-12-14T15:52:30.933000Z,9.34 ms,12.383583333333332 ms,9.244 ms,38.312 ms,12
2024-12-14T15:52:35.925012Z,2024-12-14T15:52:35.934000Z,8.988 ms,12.122384615384615 ms,8.988 ms,38.312 ms,13
2024-12-14T15:52:40.919231Z,2024-12-14T15:52:40.928000Z,8.769 ms,11.88285714285714 ms,8.769 ms,38.312 ms,14
