observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-09T07:05:38.068330Z,2024-12-09T07:05:38.108000Z,39.669999999999995 ms,39.669999999999995 ms,39.669999999999995 ms,39.669999999999995 ms,1
2024-12-09T07:05:43.006458Z,2024-12-09T07:05:43.018000Z,11.542 ms,25.605999999999998 ms,11.542 ms,39.669999999999995 ms,2
2024-12-09T07:05:47.997953Z,2024-12-09T07:05:48.008000Z,10.047 ms,20.419666666666664 ms,10.047 ms,39.669999999999995 ms,3
2024-12-09T07:05:53.003383Z,2024-12-09T07:05:53.014000Z,10.616999999999999 ms,17.968999999999998 ms,10.047 ms,39.669999999999995 ms,4
2024-12-09T07:05:57.998027Z,2024-12-09T07:05:58.008000Z,9.972999999999999 ms,16.369799999999998 ms,9.972999999999999 ms,39.669999999999995 ms,5
2024-12-09T07:06:03.007550Z,2024-12-09T07:06:03.017000Z,9.45 ms,15.2165 ms,9.45 ms,39.669999999999995 ms,6
2024-12-09T07:06:08.007402Z,2024-12-09T07:06:08.017000Z,9.598 ms,14.413857142857141 ms,9.45 ms,39.669999999999995 ms,7
2024-12-09T07:06:13.006282Z,2024-12-09T07:06:13.016000Z,9.718 ms,13.826875 ms,9.45 ms,39.669999999999995 ms,8
2024-12-09T07:06:18.013748Z,2024-12-09T07:06:18.023000Z,9.252 ms,13.318555555555553 ms,9.252 ms,39.669999999999995 ms,9
2024-12-09T07:06:23.023715Z,2024-12-09T07:06:23.033000Z,9.285 ms,12.915199999999999 ms,9.252 ms,39.669999999999995 ms,10
2024-12-09T07:06:28.004659Z,2024-12-09T07:06:28.020000Z,15.341000000000001 ms,13.135727272727271 ms,9.252 ms,39.669999999999995 ms,11
2024-12-09T07:06:33.007578Z,2024-12-09T07:06:33.017000Z,9.422 ms,12.826249999999998 ms,9.252 ms,39.669999999999995 ms,12
2024-12-09T07:06:38.008178Z,2024-12-09T07:06:38.018000Z,9.822 ms,12.595153846153842 ms,9.252 ms,39.669999999999995 ms,13
2024-12-09T07:06:43.001807Z,2024-12-09T07:06:43.011000Z,9.193 ms,12.352142857142855 ms,9.193 ms,39.669999999999995 ms,14
2024-12-09T07:06:48.004803Z,2024-12-09T07:06:48.014000Z,9.197000000000001 ms,12.1418 ms,9.193 ms,39.669999999999995 ms,15
2024-12-09T07:06:53.000479Z,2024-12-09T07:06:53.009000Z,8.521 ms,11.9155 ms,8.521 ms,39.669999999999995 ms,16
2024-12-09T07:06:58.000510Z,2024-12-09T07:06:58.009000Z,8.489999999999998 ms,11.713999999999999 ms,8.489999999999998 ms,39.669999999999995 ms,17
2024-12-09T07:07:02.998804Z,2024-12-09T07:07:03.007000Z,8.196 ms,11.518555555555555 ms,8.196 ms,39.669999999999995 ms,18
2024-12-09T07:07:08.003242Z,2024-12-09T07:07:08.012000Z,8.758000000000001 ms,11.373263157894735 ms,8.196 ms,39.669999999999995 ms,19
2024-12-09T07:07:13.007529Z,2024-12-09T07:07:13.016000Z,8.471 ms,11.22815 ms,8.196 ms,39.669999999999995 ms,20
2024-12-09T07:07:17.999030Z,2024-12-09T07:07:18.008000Z,8.97 ms,11.120619047619048 ms,8.196 ms,39.669999999999995 ms,21
2024-12-09T07:07:23.018032Z,2024-12-09T07:07:23.028000Z,9.968 ms,11.068227272727272 ms,8.196 ms,39.669999999999995 ms,22
2024-12-09T07:07:27.997683Z,2024-12-09T07:07:28.006000Z,8.317 ms,10.948608695652172 ms,8.196 ms,39.669999999999995 ms,23
2024-12-09T07:07:33.006188Z,2024-12-09T07:07:33.015000Z,8.812000000000001 ms,10.859583333333331 ms,8.196 ms,39.669999999999995 ms,24
2024-12-09T07:07:38.007715Z,2024-12-09T07:07:38.017000Z,9.285 ms,10.796599999999998 ms,8.196 ms,39.669999999999995 ms,25
2024-12-09T07:07:43.007422Z,2024-12-09T07:07:43.016000Z,8.578000000000001 ms,10.71126923076923 ms,8.196 ms,39.669999999999995 ms,26
2024-12-09T07:07:48.006269Z,2024-12-09T07:07:48.014000Z,7.731 ms,10.600888888888885 ms,7.731 ms,39.669999999999995 ms,27
2024-12-09T07:07:53.005502Z,2024-12-09T07:07:53.013000Z,7.498 ms,10.490071428571428 ms,7.498 ms,39.669999999999995 ms,28
2024-12-09T07:07:58.003259Z,2024-12-09T07:07:58.012000Z,8.741 ms,10.429758620689654 ms,7.498 ms,39.669999999999995 ms,29
2024-12-09T07:08:03.007623Z,2024-12-09T07:08:03.015000Z,7.377 ms,10.328 ms,7.377 ms,39.669999999999995 ms,30
2024-12-09T07:08:08.001595Z,2024-12-09T07:08:08.010000Z,8.405 ms,10.265967741935482 ms,7.377 ms,39.669999999999995 ms,31
2024-12-09T07:08:13.005261Z,2024-12-09T07:08:13.013000Z,7.739 ms,10.186999999999998 ms,7.377 ms,39.669999999999995 ms,32
2024-12-09T07:08:18.007776Z,2024-12-09T07:08:18.016000Z,8.224 ms,10.12751515151515 ms,7.377 ms,39.669999999999995 ms,33
2024-12-09T07:08:23.003616Z,2024-12-09T07:08:23.011000Z,7.384 ms,10.046823529411762 ms,7.377 ms,39.669999999999995 ms,34
2024-12-09T07:08:28.026678Z,2024-12-09T07:08:28.035000Z,8.322 ms,9.997542857142856 ms,7.377 ms,39.669999999999995 ms,35
2024-12-09T07:08:33.005977Z,2024-12-09T07:08:33.015000Z,9.023 ms,9.97047222222222 ms,7.377 ms,39.669999999999995 ms,36
2024-12-09T07:08:38.023819Z,2024-12-09T07:08:38.033000Z,9.181 ms,9.949135135135133 ms,7.377 ms,39.669999999999995 ms,37
2024-12-09T07:08:43.004509Z,2024-12-09T07:08:43.017000Z,12.491 ms,10.016026315789471 ms,7.377 ms,39.669999999999995 ms,38
2024-12-09T07:08:48.026374Z,2024-12-09T07:08:48.035000Z,8.626 ms,9.980384615384613 ms,7.377 ms,39.669999999999995 ms,39
2024-12-09T07:08:53.007798Z,2024-12-09T07:08:53.016000Z,8.202 ms,9.935924999999997 ms,7.377 ms,39.669999999999995 ms,40
2024-12-09T07:08:58.030089Z,2024-12-09T07:08:58.038000Z,7.911 ms,9.886536585365853 ms,7.377 ms,39.669999999999995 ms,41
