observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-27T09:53:02.349791Z,2024-12-27T09:53:02.444538Z,94.747 ms,94.747 ms,94.747 ms,94.747 ms,1
2024-12-27T09:53:07.266638Z,2024-12-27T09:53:07.276818Z,10.18 ms,52.463499999999996 ms,10.18 ms,94.747 ms,2
2024-12-27T09:53:12.272512Z,2024-12-27T09:53:12.283439Z,10.927 ms,38.617999999999995 ms,10.18 ms,94.747 ms,3
2024-12-27T09:53:17.264878Z,2024-12-27T09:53:17.274180Z,9.302 ms,31.288999999999998 ms,9.302 ms,94.747 ms,4
2024-12-27T09:53:22.271998Z,2024-12-27T09:53:22.281656Z,9.658 ms,26.962799999999998 ms,9.302 ms,94.747 ms,5
2024-12-27T09:53:27.263261Z,2024-12-27T09:53:27.274266Z,11.004999999999999 ms,24.303166666666662 ms,9.302 ms,94.747 ms,6
2024-12-27T09:53:32.265259Z,2024-12-27T09:53:32.275044Z,9.785 ms,22.229142857142854 ms,9.302 ms,94.747 ms,7
2024-12-27T09:53:37.268852Z,2024-12-27T09:53:37.277937Z,9.084999999999999 ms,20.586124999999996 ms,9.084999999999999 ms,94.747 ms,8
2024-12-27T09:53:42.268493Z,2024-12-27T09:53:42.277727Z,9.234 ms,19.324777777777776 ms,9.084999999999999 ms,94.747 ms,9
2024-12-27T09:53:47.265876Z,2024-12-27T09:53:47.274517Z,8.641 ms,18.2564 ms,8.641 ms,94.747 ms,10
