observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-27T09:53:02.349791Z,2024-12-27T09:53:02.439336Z,89.545 ms,89.545 ms,89.545 ms,89.545 ms,1
2024-12-27T09:53:07.266638Z,2024-12-27T09:53:07.274089Z,7.4510000000000005 ms,48.498 ms,7.4510000000000005 ms,89.545 ms,2
2024-12-27T09:53:12.272512Z,2024-12-27T09:53:12.280573Z,8.061 ms,35.019 ms,7.4510000000000005 ms,89.545 ms,3
2024-12-27T09:53:17.264878Z,2024-12-27T09:53:17.271669Z,6.791 ms,27.962 ms,6.791 ms,89.545 ms,4
2024-12-27T09:53:22.271998Z,2024-12-27T09:53:22.279051Z,7.053 ms,23.7802 ms,6.791 ms,89.545 ms,5
2024-12-27T09:53:27.263261Z,2024-12-27T09:53:27.271783Z,8.522 ms,21.237166666666667 ms,6.791 ms,89.545 ms,6
2024-12-27T09:53:32.265259Z,2024-12-27T09:53:32.272267Z,7.008 ms,19.204428571428572 ms,6.791 ms,89.545 ms,7
2024-12-27T09:53:37.268852Z,2024-12-27T09:53:37.275374Z,6.522 ms,17.619125000000004 ms,6.522 ms,89.545 ms,8
2024-12-27T09:53:42.268493Z,2024-12-27T09:53:42.274871Z,6.378 ms,16.370111111111115 ms,6.378 ms,89.545 ms,9
2024-12-27T09:53:47.265876Z,2024-12-27T09:53:47.271988Z,6.112 ms,15.344300000000002 ms,6.112 ms,89.545 ms,10
