observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-23T17:11:48.471868Z,2024-12-23T17:11:48.569249Z,97.381 ms,97.381 ms,97.381 ms,97.381 ms,1
2024-12-23T17:11:53.393931Z,2024-12-23T17:11:53.403783Z,9.852 ms,53.616499999999995 ms,9.852 ms,97.381 ms,2
2024-12-23T17:11:58.401973Z,2024-12-23T17:11:58.413653Z,11.68 ms,39.63766666666666 ms,9.852 ms,97.381 ms,3
2024-12-23T17:12:03.388235Z,2024-12-23T17:12:03.397682Z,9.447000000000001 ms,32.09 ms,9.447000000000001 ms,97.381 ms,4
2024-12-23T17:12:08.400183Z,2024-12-23T17:12:08.409492Z,9.309 ms,27.533800000000003 ms,9.309 ms,97.381 ms,5
2024-12-23T17:12:13.393088Z,2024-12-23T17:12:13.404282Z,11.194 ms,24.8105 ms,9.309 ms,97.381 ms,6
2024-12-23T17:12:18.391424Z,2024-12-23T17:12:18.400562Z,9.138 ms,22.571571428571435 ms,9.138 ms,97.381 ms,7
2024-12-23T17:12:23.399277Z,2024-12-23T17:12:23.408556Z,9.279 ms,20.910000000000004 ms,9.138 ms,97.381 ms,8
2024-12-23T17:12:28.391405Z,2024-12-23T17:12:28.400117Z,8.712 ms,19.554666666666673 ms,8.712 ms,97.381 ms,9
2024-12-23T17:12:33.398584Z,2024-12-23T17:12:33.407474Z,8.89 ms,18.488200000000003 ms,8.712 ms,97.381 ms,10
2024-12-23T17:12:38.390217Z,2024-12-23T17:12:38.399507Z,9.29 ms,17.652000000000005 ms,8.712 ms,97.381 ms,11
2024-12-23T17:12:43.392392Z,2024-12-23T17:12:43.402021Z,9.629 ms,16.98341666666667 ms,8.712 ms,97.381 ms,12
2024-12-23T17:12:48.406483Z,2024-12-23T17:12:48.415988Z,9.504999999999999 ms,16.40815384615385 ms,8.712 ms,97.381 ms,13
2024-12-23T17:12:53.400108Z,2024-12-23T17:12:53.408649Z,8.541 ms,15.84621428571429 ms,8.541 ms,97.381 ms,14
2024-12-23T17:12:58.393179Z,2024-12-23T17:12:58.403505Z,10.326 ms,15.478200000000003 ms,8.541 ms,97.381 ms,15
2024-12-23T17:13:03.410460Z,2024-12-23T17:13:03.418484Z,8.024 ms,15.012312500000004 ms,8.024 ms,97.381 ms,16
2024-12-23T17:13:08.392963Z,2024-12-23T17:13:08.401285Z,8.322 ms,14.618764705882356 ms,8.024 ms,97.381 ms,17
2024-12-23T17:13:13.395605Z,2024-12-23T17:13:13.410269Z,14.664 ms,14.621277777777781 ms,8.024 ms,97.381 ms,18
2024-12-23T17:13:18.398526Z,2024-12-23T17:13:18.406840Z,8.314 ms,14.289315789473687 ms,8.024 ms,97.381 ms,19
2024-12-23T17:13:23.403813Z,2024-12-23T17:13:23.412484Z,8.671 ms,14.0084 ms,8.024 ms,97.381 ms,20
2024-12-23T17:13:28.411742Z,2024-12-23T17:13:28.420529Z,8.786999999999999 ms,13.759761904761906 ms,8.024 ms,97.381 ms,21
