observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-23T17:11:48.471868Z,2024-12-23T17:11:48.563962Z,92.094 ms,92.094 ms,92.094 ms,92.094 ms,1
2024-12-23T17:11:53.393931Z,2024-12-23T17:11:53.401300Z,7.369 ms,49.7315 ms,7.369 ms,92.094 ms,2
2024-12-23T17:11:58.401973Z,2024-12-23T17:11:58.410621Z,8.648 ms,36.037 ms,7.369 ms,92.094 ms,3
2024-12-23T17:12:03.388235Z,2024-12-23T17:12:03.395006Z,6.771 ms,28.7205 ms,6.771 ms,92.094 ms,4
2024-12-23T17:12:08.400183Z,2024-12-23T17:12:08.407106Z,6.923 ms,24.361 ms,6.771 ms,92.094 ms,5
2024-12-23T17:12:13.393088Z,2024-12-23T17:12:13.401849Z,8.761 ms,21.761 ms,6.771 ms,92.094 ms,6
2024-12-23T17:12:18.391424Z,2024-12-23T17:12:18.397954Z,6.53 ms,19.585142857142856 ms,6.53 ms,92.094 ms,7
2024-12-23T17:12:23.399277Z,2024-12-23T17:12:23.405708Z,6.431 ms,17.940875 ms,6.431 ms,92.094 ms,8
2024-12-23T17:12:28.391405Z,2024-12-23T17:12:28.397502Z,6.097 ms,16.624888888888886 ms,6.097 ms,92.094 ms,9
2024-12-23T17:12:33.398584Z,2024-12-23T17:12:33.404982Z,6.398 ms,15.602199999999996 ms,6.097 ms,92.094 ms,10
2024-12-23T17:12:38.390217Z,2024-12-23T17:12:38.396856Z,6.639 ms,14.787363636363633 ms,6.097 ms,92.094 ms,11
2024-12-23T17:12:43.392392Z,2024-12-23T17:12:43.399390Z,6.998 ms,14.138249999999998 ms,6.097 ms,92.094 ms,12
2024-12-23T17:12:48.406483Z,2024-12-23T17:12:48.413391Z,6.908 ms,13.58207692307692 ms,6.097 ms,92.094 ms,13
2024-12-23T17:12:53.400108Z,2024-12-23T17:12:53.406006Z,5.898 ms,13.033214285714283 ms,5.898 ms,92.094 ms,14
2024-12-23T17:12:58.393179Z,2024-12-23T17:12:58.399235Z,6.056 ms,12.568066666666663 ms,5.898 ms,92.094 ms,15
2024-12-23T17:13:03.410460Z,2024-12-23T17:13:03.416232Z,5.772 ms,12.143312499999999 ms,5.772 ms,92.094 ms,16
2024-12-23T17:13:08.392963Z,2024-12-23T17:13:08.398926Z,5.963 ms,11.77976470588235 ms,5.772 ms,92.094 ms,17
2024-12-23T17:13:13.395605Z,2024-12-23T17:13:13.401308Z,5.702999999999999 ms,11.442166666666663 ms,5.702999999999999 ms,92.094 ms,18
2024-12-23T17:13:18.398526Z,2024-12-23T17:13:18.404439Z,5.913 ms,11.15115789473684 ms,5.702999999999999 ms,92.094 ms,19
2024-12-23T17:13:23.403813Z,2024-12-23T17:13:23.410063Z,6.25 ms,10.906099999999999 ms,5.702999999999999 ms,92.094 ms,20
2024-12-23T17:13:28.411742Z,2024-12-23T17:13:28.418094Z,6.352 ms,10.689238095238094 ms,5.702999999999999 ms,92.094 ms,21
