observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2024-12-07T19:45:26.871781Z,2024-12-07T19:45:27.080956Z,209.175 ms,209.175 ms,209.175 ms,209.175 ms,1
2024-12-07T19:45:26.871781Z,2024-12-07T19:45:27.082217Z,210.436 ms,209.8055 ms,209.175 ms,210.436 ms,2
2024-12-07T19:45:27.579744Z,2024-12-07T19:45:27.779822Z,200.078 ms,206.56300000000002 ms,200.078 ms,210.436 ms,3
2024-12-07T19:45:27.579744Z,2024-12-07T19:45:27.781007Z,201.263 ms,205.238 ms,200.078 ms,210.436 ms,4
2024-12-07T19:45:36.839953Z,2024-12-07T19:45:37.002476Z,162.523 ms,196.69500000000002 ms,162.523 ms,210.436 ms,5
2024-12-07T19:45:36.839953Z,2024-12-07T19:45:37.003710Z,163.757 ms,191.20533333333333 ms,162.523 ms,210.436 ms,6
2024-12-07T19:45:37.540585Z,2024-12-07T19:45:37.701791Z,161.206 ms,186.91971428571426 ms,161.206 ms,210.436 ms,7
2024-12-07T19:45:37.540585Z,2024-12-07T19:45:37.712011Z,171.426 ms,184.983 ms,161.206 ms,210.436 ms,8
2024-12-07T19:45:46.850636Z,2024-12-07T19:45:47.009028Z,158.392 ms,182.02844444444446 ms,158.392 ms,210.436 ms,9
2024-12-07T19:45:46.850636Z,2024-12-07T19:45:47.010301Z,159.665 ms,179.7921 ms,158.392 ms,210.436 ms,10
2024-12-07T19:45:47.550422Z,2024-12-07T19:45:47.712367Z,161.945 ms,178.16963636363636 ms,158.392 ms,210.436 ms,11
2024-12-07T19:45:47.550422Z,2024-12-07T19:45:47.713575Z,163.153 ms,176.91825000000003 ms,158.392 ms,210.436 ms,12
2024-12-07T19:45:56.830486Z,2024-12-07T19:45:56.982116Z,151.63 ms,174.973 ms,151.63 ms,210.436 ms,13
2024-12-07T19:45:56.830486Z,2024-12-07T19:45:56.999376Z,168.89000000000001 ms,174.5385 ms,151.63 ms,210.436 ms,14
2024-12-07T19:45:57.576933Z,2024-12-07T19:45:57.745988Z,169.055 ms,174.17293333333336 ms,151.63 ms,210.436 ms,15
2024-12-07T19:45:57.576933Z,2024-12-07T19:45:57.748038Z,171.10500000000002 ms,173.98118750000003 ms,151.63 ms,210.436 ms,16
2024-12-07T19:46:06.872021Z,2024-12-07T19:46:07.030738Z,158.71699999999998 ms,173.08329411764709 ms,151.63 ms,210.436 ms,17
2024-12-07T19:46:06.872021Z,2024-12-07T19:46:07.032262Z,160.24099999999999 ms,172.36983333333336 ms,151.63 ms,210.436 ms,18
2024-12-07T19:46:07.562790Z,2024-12-07T19:46:07.728012Z,165.222 ms,171.9936315789474 ms,151.63 ms,210.436 ms,19
2024-12-07T19:46:07.562790Z,2024-12-07T19:46:07.729405Z,166.615 ms,171.72470000000004 ms,151.63 ms,210.436 ms,20
2024-12-07T19:46:16.839622Z,2024-12-07T19:46:16.997683Z,158.061 ms,171.07404761904766 ms,151.63 ms,210.436 ms,21
2024-12-07T19:46:16.839622Z,2024-12-07T19:46:16.998938Z,159.316 ms,170.53959090909095 ms,151.63 ms,210.436 ms,22
2024-12-07T19:46:17.576560Z,2024-12-07T19:46:17.731770Z,155.20999999999998 ms,169.87308695652175 ms,151.63 ms,210.436 ms,23
2024-12-07T19:46:17.576560Z,2024-12-07T19:46:17.733073Z,156.513 ms,169.31641666666673 ms,151.63 ms,210.436 ms,24
2024-12-07T19:46:26.871638Z,2024-12-07T19:46:27.038596Z,166.958 ms,169.22208000000006 ms,151.63 ms,210.436 ms,25
2024-12-07T19:46:26.871638Z,2024-12-07T19:46:27.039918Z,168.28 ms,169.18584615384623 ms,151.63 ms,210.436 ms,26
2024-12-07T19:46:27.551520Z,2024-12-07T19:46:27.719682Z,168.162 ms,169.147925925926 ms,151.63 ms,210.436 ms,27
2024-12-07T19:46:27.551520Z,2024-12-07T19:46:27.721071Z,169.55100000000002 ms,169.1623214285715 ms,151.63 ms,210.436 ms,28
2024-12-07T19:46:36.892322Z,2024-12-07T19:46:37.055643Z,163.321 ms,168.96089655172418 ms,151.63 ms,210.436 ms,29
2024-12-07T19:46:36.892322Z,2024-12-07T19:46:37.056904Z,164.582 ms,168.81493333333339 ms,151.63 ms,210.436 ms,30
2024-12-07T19:46:37.569406Z,2024-12-07T19:46:37.737126Z,167.72 ms,168.77961290322585 ms,151.63 ms,210.436 ms,31
2024-12-07T19:46:37.569406Z,2024-12-07T19:46:37.738545Z,169.139 ms,168.79084375000005 ms,151.63 ms,210.436 ms,32
2024-12-07T19:46:46.866821Z,2024-12-07T19:46:47.033297Z,166.476 ms,168.72069696969706 ms,151.63 ms,210.436 ms,33
2024-12-07T19:46:46.866821Z,2024-12-07T19:46:47.034511Z,167.69 ms,168.69038235294127 ms,151.63 ms,210.436 ms,34
2024-12-07T19:46:47.573944Z,2024-12-07T19:46:47.729305Z,155.361 ms,168.30954285714293 ms,151.63 ms,210.436 ms,35
2024-12-07T19:46:47.573944Z,2024-12-07T19:46:47.730573Z,156.629 ms,167.9850833333334 ms,151.63 ms,210.436 ms,36
2024-12-07T19:46:56.881078Z,2024-12-07T19:46:57.037678Z,156.6 ms,167.67737837837842 ms,151.63 ms,210.436 ms,37
2024-12-07T19:46:56.881078Z,2024-12-07T19:46:57.038991Z,157.913 ms,167.42042105263164 ms,151.63 ms,210.436 ms,38
2024-12-07T19:46:57.547704Z,2024-12-07T19:46:57.706816Z,159.112 ms,167.20738461538468 ms,151.63 ms,210.436 ms,39
2024-12-07T19:46:57.547704Z,2024-12-07T19:46:57.708164Z,160.45999999999998 ms,167.03870000000003 ms,151.63 ms,210.436 ms,40
2024-12-07T19:47:06.866566Z,2024-12-07T19:47:07.028309Z,161.743 ms,166.9095365853659 ms,151.63 ms,210.436 ms,41
2024-12-07T19:47:06.866566Z,2024-12-07T19:47:07.029666Z,163.1 ms,166.8188333333334 ms,151.63 ms,210.436 ms,42
2024-12-07T19:47:07.548125Z,2024-12-07T19:47:07.715179Z,167.054 ms,166.82430232558147 ms,151.63 ms,210.436 ms,43
2024-12-07T19:47:07.548125Z,2024-12-07T19:47:07.716583Z,168.458 ms,166.8614318181819 ms,151.63 ms,210.436 ms,44
2024-12-07T19:47:16.874280Z,2024-12-07T19:47:17.043959Z,169.679 ms,166.92404444444452 ms,151.63 ms,210.436 ms,45
2024-12-07T19:47:16.874280Z,2024-12-07T19:47:17.045349Z,171.069 ms,167.01415217391312 ms,151.63 ms,210.436 ms,46
2024-12-07T19:47:17.565269Z,2024-12-07T19:47:17.730107Z,164.83800000000002 ms,166.96785106382987 ms,151.63 ms,210.436 ms,47
2024-12-07T19:47:17.565269Z,2024-12-07T19:47:17.731565Z,166.296 ms,166.95385416666673 ms,151.63 ms,210.436 ms,48
2024-12-07T19:47:26.871811Z,2024-12-07T19:47:27.039851Z,168.04 ms,166.97602040816332 ms,151.63 ms,210.436 ms,49
